<video_id>nBaqlf7KsNk</video_id>	JJ	<video_id>nBaqlf7KsNk</video_id>
constantly	RB	constantly
um	JJ	um
at	IN	at
the	DT	the
IDF	NP	IDF
level	NN	level
but	CC	but
also	RB	also
with	IN	with
the	DT	the
Hamas	JJ	Hamas
authorities	NNS	authority
at	IN	at
the	DT	the
highest	JJS	high
level	NN	level
making	VVG	make
sure	JJ	sure
that	IN/that	that
these	DT	these
infrastructures	NNS	infrastructure
including	VVG	include
those	DT	those
that	WDT	that
have	VHP	have
been	VBN	be
left	VVN	leave
behind	RB	behind
can	MD	can
be	VB	be
respected	VVN	respect
well	RB	well
the	DT	the
icrc	NN	icrc
your	PP$	your
organization	NN	organization
works	VVZ	work
specifically	RB	specifically
on	IN	on
civilian	JJ	civilian
protection	NN	protection
and	CC	and
international	JJ	international
humanitarian	JJ	humanitarian
law	NN	law
so	RB	so
let	VV	let
me	PP	me
ask	VV	ask
do	VVP	do
you	PP	you
have	VHP	have
any	DT	any
expectation	NN	expectation
any	DT	any
hope	NN	hope
that	IN/that	that
there	EX	there
will	MD	will
actually	RB	actually
be	VB	be
accountability	NN	accountability
for	IN	for
the	DT	the
violations	NNS	violation
of	IN	of
international	JJ	international
law	NN	law
that	WDT	that
have	VHP	have
already	RB	already
taken	VVN	take
place	NN	place
you	PP	you
know	VVP	know
for	IN	for
the	DT	the
time	NN	time
being	VBG	be
the	DT	the
urgency	NN	urgency
we've	NN	we've
discussed	VVD	discuss
it	PP	it
it's	JJ	it's
to	TO	to
bring	VV	bring
Aid	NP	Aid
making	VVG	make
sure	JJ	sure
that	IN/that	that
what's	NNS	what's
happening	VVG	happen
now	RB	now
the	DT	the
events	NNS	event
that	WDT	that
are	VBP	be
unfolding	VVG	unfold
and	CC	and
making	VVG	make
sure	JJ	sure
that	IN/that	that
the	DT	the
parties	NNS	party
respect	VVP	respect
that	IN/that	that
L	NP	L
yes	NN	yes
we	PP	we
believe	VVP	believe
it's	NNS	it's
realistic	JJ	realistic
yes	NN	yes
we	PP	we
believe	VVP	believe
that	IN/that	that
there	EX	there
can	MD	can
be	VB	be
humanitarian	JJ	humanitarian
pose	VVP	pose
absolutely	RB	absolutely
there	EX	there
could	MD	could
be	VB	be
a	DT	a
secession	NN	secession
of	IN	of
hostilities	NNS	hostility
so	IN	so
that	DT	that
people	NNS	people
you	PP	you
know	VVP	know
can	MD	can
manage	VV	manage
their	PP$	their
debt	NN	debt
can	MD	can
Evacuate	VV	evacuate
the	DT	the
wounded	NN	wounded
can	MD	can
actually	RB	actually
uh	UH	uh
have	VH	have
their	PP$	their
food	NN	food
and	CC	and
water	NN	water
access	NN	access
to	TO	to
food	NN	food
water	NN	water
and	CC	and
electricity	NN	electricity
so	IN	so
yes	UH	yes
we	PP	we
believe	VVP	believe
as	IN	as
humanitarian	JJ	humanitarian
actor	NN	actor
having	VHG	have
wor	NN	wor
there	RB	there
in	IN	in
the	DT	the
past	JJ	past
and	CC	and
in	IN	in
many	JJ	many
other	JJ	other
places	NNS	place
that	IN/that	that
obviously	RB	obviously
bringing	VVG	bring
humanity	NN	humanity
and	CC	and
also	RB	also
International	JJ	international
humanitarian	JJ	humanitarian
law	NN	law
at	IN	at
the	DT	the
middle	NN	middle
of	IN	of
this	DT	this
is	VBZ	be
absolutely	RB	absolutely
urgent	JJ	urgent
now	RB	now
Christian	JJ	Christian
just	RB	just
before	IN	before
I	PP	I
let	VVP	let
you	PP	you
go	VVP	go
you	PP	you
obviously	RB	obviously
mentioned	VVD	mention
that	IN/that	that
there	EX	there
are	VBP	be
Aid	NN	aid
convoys	NNS	convoy
waiting	VVG	wait
to	TO	to
go	VV	go
in	RP	in
and	CC	and
they	PP	they
haven't	VVD	haven't
been	VBN	be
allowed	VVN	allow
to	TO	to
do	VV	do
so	RB	so
what	WP	what
is	VBZ	be
the	DT	the
situation	NN	situation
like	IN	like
now	RB	now
at	IN	at
Rafa	NP	Rafa
Crossing	VVG	cross
well	RB	well
at	IN	at
the	DT	the
moment	NN	moment
and	CC	and
from	IN	from
what	WP	what
we	PP	we
hear	VVP	hear
from	IN	from
our	PP$	our
team	NN	team
again	RB	again
on	IN	on
on	IN	on
the	DT	the
other	JJ	other
side	NN	side
from	IN	from
from	IN	from
the	DT	the
the	DT	the
Gaza	NP	Gaza
sign	NN	sign
very	RB	very
close	JJ	close
to	TO	to
the	DT	the
to	TO	to
the	DT	the
Rafa	NP	Rafa
Crossing	NN	crossing
is	VBZ	be
that	IN/that	that
obviously	RB	obviously
that	RB	that
that	IN/that	that
there	EX	there
is	VBZ	be
a	DT	a
so	RB	so
many	JJ	many
people	NNS	people
and	CC	and
and	CC	and
still	RB	still
many	JJ	many
people	NNS	people
arriving	VVG	arrive
but	CC	but
as	RB	as
I	PP	I
said	VVD	say
for	IN	for
a	DT	a
still	RB	still
very	JJ	very
unsecure	NN	unsecure
situation	NN	situation
and	CC	and
what	WP	what
they	PP	they
can	MD	can
see	VV	see
what	WP	what
we	PP	we
can	MD	can
hear	VV	hear
on	IN	on
the	DT	the
other	JJ	other
side	NN	side
is	VBZ	be
that	IN/that	that
things	NNS	thing
are	VBP	be
being	VBG	be
prepared	VVN	prepare
but	CC	but
for	IN	for
the	DT	the
time	NN	time
being	VBG	be
the	DT	the
door	NN	door
remain	VVP	remain
closed	JJ	closed
and	CC	and
that's	NNS	that's
the	DT	the
urgency	NN	urgency
and	CC	and
this	DT	this
is	VBZ	be
why	WRB	why
the	DT	the
ongoing	JJ	ongoing
negotiations	NNS	negotiation
that	WDT	that
are	VBP	be
taking	VVG	take
place	NN	place
are	VBP	be
absolutely	RB	absolutely
vital	JJ	vital
for	IN	for
the	DT	the
population	NN	population
of	IN	of
Gaza	NP	Gaza
Christian	NP	Christian
Cardon	NP	Cardon
there	RB	there
who	WP	who
was	VBD	be
the	DT	the
head	NN	head
of	IN	of
the	DT	the
office	NN	office
in	IN	in
Gaza	NP	Gaza
at	IN	at
the	DT	the
icrc	NN	icrc
the	DT	the
international	JJ	international
Committee	NN	committee
of	IN	of
the	DT	the
Red	NP	Red
Cross	NP	Cross
thank	VVP	thank
you	PP	you
for	IN	for
joining	VVG	join
us	PP	us
on	IN	on
Al	NP	Al
jazer	NN	jazer
we	PP	we
really	RB	really
wish	VVP	wish
you	PP	you
all	PDT	all
the	DT	the
best	JJS	good
with	IN	with
your	PP$	your
work	NN	work
and	CC	and
your	PP$	your
efforts	NNS	effort
thank	VVP	thank
you	PP	you
very	RB	very
much	JJ	much
</doc>	NN	</doc>
