<video_id>Jn1GrEcv5l0</video_id>	JJ	<video_id>Jn1GrEcv5l0</video_id>
will	MD	will
Hamas	RB	Hamas
agree	VV	agree
to	TO	to
a	DT	a
deal	NN	deal
that	WDT	that
will	MD	will
allow	VV	allow
uh	UH	uh
for	IN	for
the	DT	the
release	NN	release
of	IN	of
40	CD	@card@
captives	NNS	captive
held	VVN	hold
in	IN	in
Gaza	NP	Gaza
well	RB	well
this	DT	this
is	VBZ	be
the	DT	the
main	JJ	main
problem	NN	problem
how	WRB	how
the	DT	the
Americans	NPS	Americans
are	VBP	be
thinking	VVG	think
we	PP	we
are	VBP	be
are	VBP	be
talking	VVG	talk
about	IN	about
the	DT	the
ceasefire	NN	ceasefire
we	PP	we
are	VBP	be
talking	VVG	talk
about	IN	about
uh	UH	uh
the	DT	the
Israeli	JJ	Israeli
attacks	NNS	attack
to	TO	to
stop	VV	stop
the	DT	the
Israeli	JJ	Israeli
attacks	NNS	attack
against	IN	against
the	DT	the
Palestinians	NPS	Palestinians
we	PP	we
are	VBP	be
talking	VVG	talk
about	IN	about
the	DT	the
starvation	NN	starvation
in	IN	in
Gaza	NP	Gaza
how	WRB	how
to	TO	to
make	VV	make
an	DT	an
end	NN	end
for	IN	for
this	DT	this
everyone	NN	everyone
heard	VVD	hear
Gallant	JJ	gallant
at	IN	at
the	DT	the
the	DT	the
9th	JJ	9th
of	IN	of
October	NP	October
talking	VVG	talk
that	IN/that	that
he	PP	he
will	MD	will
prevent	VV	prevent
food	NN	food
water	NN	water
anything	NN	anything
electricity	NN	electricity
to	TO	to
the	DT	the
Palestinians	NPS	Palestinians
in	IN	in
order	NN	order
to	TO	to
make	VV	make
them	PP	them
surrend	NN	surrend
for	IN	for
the	DT	the
Israelis	NPS	Israelis
so	IN	so
it	PP	it
is	VBZ	be
a	DT	a
will	NN	will
to	TO	to
do	VV	do
that	DT	that
starvation	NN	starvation
in	IN	in
Gaza	NP	Gaza
and	CC	and
the	DT	the
Americans	NPS	Americans
are	VBP	be
talking	VVG	talk
about	IN	about
the	DT	the
The	DT	the
pronal	JJ	pronal
Exchange	NP	Exchange
we	PP	we
have	VHP	have
to	TO	to
talk	VV	talk
about	IN	about
the	DT	the
most	RBS	most
important	JJ	important
essential	JJ	essential
issue	NN	issue
to	TO	to
release	VV	release
the	DT	the
prisoners	NNS	prisoner
in	IN	in
the	DT	the
open	JJ	open
air	NN	air
jail	NN	jail
the	DT	the
biggest	JJS	big
open	JJ	open
air	NN	air
jail	NN	jail
in	IN	in
the	DT	the
world	NN	world
Gaza	NP	Gaza
he	PP	he
has	VHZ	have
to	TO	to
release	VV	release
the	DT	the
people	NNS	people
in	IN	in
Gaza	NP	Gaza
to	TO	to
let	VV	let
the	DT	the
food	NN	food
come	VVN	come
to	TO	to
them	PP	them
to	TO	to
to	IN	to
to	TO	to
to	TO	to
eat	VV	eat
because	IN	because
we	PP	we
are	VBP	be
talking	VVG	talk
about	IN	about
certain	JJ	certain
people	NNS	people
who	WP	who
have	VHP	have
died	VVN	die
by	IN	by
starvation	NN	starvation
in	IN	in
the	DT	the
northern	JJ	northern
part	NN	part
of	IN	of
Gaza	NP	Gaza
this	DT	this
is	VBZ	be
what	WP	what
how	WRB	how
we	PP	we
see	VVP	see
the	DT	the
hypocracy	NN	hypocracy
of	IN	of
the	DT	the
American	JJ	American
Administration	NN	administration
they	PP	they
are	VBP	be
talking	VVG	talk
about	IN	about
releasing	VVG	release
some	DT	some
Israelis	NPS	Israelis
while	IN	while
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
2.4	CD	@card@
millions	NNS	million
of	IN	of
Palestinians	NPS	Palestinians
are	VBP	be
starving	VVG	starve
in	IN	in
Gaza	NP	Gaza
what	WP	what
is	VBZ	be
hamas's	NN	hamas's
main	JJ	main
demand	NN	demand
today	NN	today
Mr	NP	Mr
hamdan	JJ	hamdan
uh	UH	uh
what	WP	what
would	MD	would
you	PP	you
uh	UH	uh
agree	VVP	agree
to	TO	to
uh	UH	uh
in	IN	in
order	NN	order
to	TO	to
have	VH	have
a	DT	a
a	DT	a
deal	NN	deal
right	RB	right
now	RB	now
with	IN	with
Israel	NP	Israel
and	CC	and
make	VV	make
a	DT	a
a	DT	a
ceasefire	NN	ceasefire
a	DT	a
reality	NN	reality
uh	UH	uh
in	IN	in
Gaza	NP	Gaza
in	IN	in
the	DT	the
coming	VVG	come
days	NNS	day
well	RB	well
we	PP	we
are	VBP	be
we	PP	we
are	VBP	be
the	DT	the
only	JJ	only
side	NN	side
who	WP	who
is	VBZ	be
talking	VVG	talk
about	IN	about
the	DT	the
is	VBZ	be
fire	NN	fire
while	IN	while
the	DT	the
Israelis	NPS	Israelis
are	VBP	be
talking	VVG	talk
about	IN	about
Theos	NPS	Theo
and	CC	and
the	DT	the
Americans	NPS	Americans
are	VBP	be
still	RB	still
talking	VVG	talk
about	IN	about
Theos	NPS	Theo
our	PP$	our
paper	NN	paper
which	WDT	which
was	VBD	be
introduced	VVN	introduce
for	IN	for
the	DT	the
mediators	NNS	mediator
and	CC	and
for	IN	for
through	IN	through
them	PP	them
to	TO	to
the	DT	the
Israelis	NPS	Israelis
and	CC	and
the	DT	the
Americans	NPS	Americans
talks	NNS	talk
about	IN	about
the	DT	the
ceasefire	NN	ceasefire
it	PP	it
talks	VVZ	talk
about	IN	about
the	DT	the
lift	NN	lift
of	IN	of
The	DT	the
Siege	NN	siege
on	IN	on
gazda	NN	gazda
it	PP	it
talks	VVZ	talk
about	IN	about
the	DT	the
the	DT	the
the	DT	the
the	DT	the
the	DT	the
Reconstruction	NN	reconstruction
of	IN	of
gazda	NNS	gazda
and	CC	and
talks	NNS	talk
also	RB	also
about	IN	about
the	DT	the
prisoners	NNS	prisoner
exchange	VVP	exchange
no	DT	no
one	CD	one
can	MD	can
talk	VV	talk
about	RB	about
just	RB	just
only	RB	only
the	DT	the
prisoners	NNS	prisoner
exchange	VVP	exchange
we	PP	we
have	VHP	have
to	TO	to
start	VV	start
talking	VVG	talk
from	IN	from
making	VVG	make
an	DT	an
end	NN	end
for	IN	for
the	DT	the
the	DT	the
the	DT	the
the	DT	the
suffness	NN	suffness
of	IN	of
the	DT	the
Palestinians	NPS	Palestinians
as	IN	as
I	PP	I
have	VHP	have
said	VVN	say
in	IN	in
the	DT	the
most	RBS	most
biggest	JJS	big
open	JJ	open
air	NN	air
jail	NN	jail
in	IN	in
the	DT	the
world	NN	world
so	IN	so
Hamas	JJ	Hamas
today	NN	today
wants	VVZ	want
a	DT	a
ceasefire	NN	ceasefire
as	IN	as
you	PP	you
say	VVP	say
not	RB	not
a	DT	a
pause	NN	pause
you	PP	you
want	VVP	want
a	DT	a
LIF	NP	LIF
of	IN	of
the	DT	the
siege	NN	siege
of	IN	of
Gaza	NP	Gaza
as	IN	as
well	RB	well
Mr	NN	Mr
hamdan	NN	hamdan
we	PP	we
have	VHP	have
almost	RB	almost
30,000	CD	@card@
Palestinians	NPS	Palestinians
who	WP	who
have	VHP	have
been	VBN	be
killed	VVN	kill
and	CC	and
who	WP	who
are	VBP	be
under	IN	under
a	DT	a
lot	NN	lot
of	IN	of
pressure	NN	pressure
today	NN	today
they	PP	they
are	VBP	be
starving	VVG	starve
babies	NNS	baby
are	VBP	be
dying	VVG	die
malnutrition	NN	malnutrition
what	WP	what
are	VBP	be
you	PP	you
willing	JJ	willing
to	TO	to
compromise	VV	compromise
on	RP	on
on	IN	on
on	IN	on
you	PP	you
know	VVP	know
where	WRB	where
can	MD	can
you	PP	you
be	VB	be
flexible	JJ	flexible
to	TO	to
allow	VV	allow
the	DT	the
the	DT	the
suffering	NN	suffering
of	IN	of
Palestinians	NPS	Palestinians
to	TO	to
stop	VV	stop
well	RB	well
I	PP	I
have	VHP	have
to	TO	to
remind	VV	remind
you	PP	you
that	IN/that	that
those	DT	those
Palestinians	NPS	Palestinians
have	VHP	have
been	VBN	be
killed	VVN	kill
by	IN	by
the	DT	the
Israelis	NPS	Israelis
and	CC	and
those	DT	those
Palestinians	NPS	Palestinians
are	VBP	be
starving	VVG	starve
by	IN	by
the	DT	the
Israelis	NPS	Israelis
and	CC	and
by	IN	by
the	DT	the
hypocrisy	NN	hypocrisy
and	CC	and
the	DT	the
support	NN	support
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
Administration	NP	Administration
so	RB	so
if	IN	if
anyone	NN	anyone
is	VBZ	be
talking	VVG	talk
frankly	RB	frankly
about	IN	about
making	VVG	make
an	DT	an
end	NN	end
for	IN	for
this	DT	this
suffness	NN	suffness
for	IN	for
this	DT	this
King	NP	King
you	PP	you
have	VHP	have
to	TO	to
make	VV	make
an	DT	an
end	NN	end
for	IN	for
the	DT	the
Israeli	JJ	Israeli
attacks	NNS	attack
against	IN	against
the	DT	the
Palestinians	NPS	Palestinians
this	DT	this
is	VBZ	be
why	WRB	why
Hamas	NP	Hamas
is	VBZ	be
standing	VVG	stand
very	RB	very
sharp	JJ	sharp
we	PP	we
want	VVP	want
to	TO	to
make	VV	make
an	DT	an
end	NN	end
for	IN	for
the	DT	the
occupation	NN	occupation
and	CC	and
attack	NN	attack
against	IN	against
the	DT	the
Palestinians	NPS	Palestinians
because	IN	because
you	PP	you
can't	VVD	can't
guarantee	VV	guarantee
the	DT	the
end	NN	end
of	IN	of
the	DT	the
suffness	NN	suffness
unless	IN	unless
the	DT	the
incubation	NN	incubation
is	VBZ	be
ended	VVN	end
this	DT	this
is	VBZ	be
why	WRB	why
we	PP	we
are	VBP	be
standing	VVG	stand
in	IN	in
this	DT	this
sharp	JJ	sharp
position	NN	position
because	IN	because
Israel	NP	Israel
is	VBZ	be
killing	VVG	kill
the	DT	the
Palestinians	NPS	Palestinians
for	IN	for
the	DT	the
last	JJ	last
75	CD	@card@
years	NNS	year
and	CC	and
no	DT	no
one	CD	one
is	VBZ	be
saying	VVG	say
that	DT	that
everyone	NN	everyone
is	VBZ	be
asking	VVG	ask
the	DT	the
victims	NNS	victim
to	TO	to
be	VB	be
CM	NP	CM
while	IN	while
they	PP	they
are	VBP	be
being	VBG	be
slaughtered	VVN	slaughter
this	DT	this
is	VBZ	be
a	DT	a
real	JJ	real
hypocrisy	NN	hypocrisy
in	IN	in
the	DT	the
American	JJ	American
policy	NN	policy
so	IN	so
so	RB	so
one	CD	one
last	JJ	last
question	NN	question
Mr	NP	Mr
hamdan	NP	Hamdan
so	RB	so
is	VBZ	be
a	DT	a
deal	NN	deal
near	RB	near
or	CC	or
not	RB	not
could	MD	could
they	PP	they
be	VB	be
a	DT	a
ceasefire	NN	ceasefire
in	IN	in
the	DT	the
coming	VVG	come
days	NNS	day
we	PP	we
hope	VVP	hope
to	TO	to
have	VH	have
a	DT	a
ceas	NNS	ceas
far	RB	far
but	CC	but
it	PP	it
seems	VVZ	seem
to	TO	to
me	PP	me
that	IN/that	that
neither	DT	neither
Biden	NP	Biden
or	CC	or
Netanyahu	NP	Netanyahu
are	VBP	be
willing	JJ	willing
to	TO	to
do	VV	do
the	DT	the
the	DT	the
same	JJ	same
thank	VV	thank
you	PP	you
for	IN	for
talking	VVG	talk
to	TO	to
us	PP	us
AMA	NP	AMA
hamdan	NP	Hamdan
is	VBZ	be
Senor	NN	senor
Hamas	JJ	Hamas
spokesperson	NN	spokesperson
joining	VVG	join
us	PP	us
there	RB	there
on	IN	on
the	DT	the
phone	NN	phone
well	NN	well
let's	NNS	let's
get	VVP	get
the	DT	the
Viewpoint	NN	viewpoint
from	IN	from
Israel	NP	Israel
now	RB	now
and	CC	and
bring	VV	bring
in	IN	in
Zan	NP	Zan
basravi	NP	basravi
from	IN	from
the	DT	the
Israeli	JJ	Israeli
Viewpoint	NN	viewpoint
I	PP	I
should	MD	should
say	VV	say
and	CC	and
bring	VV	bring
in	IN	in
Zayn	NP	Zayn
basravi	NP	basravi
who's	NNS	who's
in	IN	in
ramala	NN	ramala
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
what	WP	what
are	VBP	be
the	DT	the
Israelis	NPS	Israelis
saying	VVG	say
uh	UH	uh
Zay	NP	Zay
to	TO	to
to	TO	to
these	DT	these
hopeful	JJ	hopeful
comments	NNS	comment
from	IN	from
Biden	NP	Biden
well	RB	well
it	PP	it
seems	VVZ	seem
as	RB	as
though	RB	though
at	IN	at
the	DT	the
moment	NN	moment
the	DT	the
only	JJ	only
thing	NN	thing
Hamas	NP	Hamas
and	CC	and
Israel	NP	Israel
seem	VVP	seem
to	TO	to
agree	VV	agree
on	IN	on
is	VBZ	be
contradicting	VVG	contradict
the	DT	the
US	NP	US
president	NN	president
Israeli	JJ	Israeli
officials	NNS	official
spent	VVD	spend
much	RB	much
of	IN	of
the	DT	the
day	NN	day
downplaying	VVG	downplay
these	DT	these
very	RB	very
as	IN	as
you	PP	you
say	VVP	say
optimistic	JJ	optimistic
remarks	NNS	remark
from	IN	from
US	NP	US
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
regarding	VVG	regard
ing	NN	ing
a	DT	a
potential	JJ	potential
timeline	NN	timeline
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
in	IN	in
the	DT	the
war	NN	war
on	IN	on
Gaza	NP	Gaza
and	CC	and
in	IN	in
the	DT	the
last	JJ	last
few	JJ	few
hours	NNS	hour
we've	NN	we've
heard	VVN	hear
from	IN	from
The	DT	the
Office	NP	Office
of	IN	of
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
in	IN	in
a	DT	a
statement	NN	statement
he	PP	he
has	VHZ	have
said	VVN	say
that	DT	that
quote	NN	quote
since	IN	since
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
war	NN	war
I	PP	I
have	VHP	have
been	VBN	be
leading	VVG	lead
a	DT	a
political	JJ	political
campaign	NN	campaign
aimed	VVN	aim
at	IN	at
curbing	VVG	curb
the	DT	the
pressure	NN	pressure
to	TO	to
end	VV	end
the	DT	the
war	NN	war
prematurely	RB	prematurely
he	PP	he
says	VVZ	say
and	CC	and
on	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
also	RB	also
getting	VVG	get
support	NN	support
for	IN	for
Israel	NP	Israel
and	CC	and
in	IN	in
the	DT	the
statement	NN	statement
Netanyahu	NP	Netanyahu
goes	VVZ	go
on	RP	on
to	TO	to
quote	VV	quote
a	DT	a
poll	NN	poll
saying	VVG	say
that	IN/that	that
Israel	NP	Israel
continues	VVZ	continue
to	TO	to
enjoy	VV	enjoy
widespread	JJ	widespread
support	NN	support
support	NN	support
in	IN	in
the	DT	the
American	JJ	American
public	NN	public
Netanyahu	NP	Netanyahu
clearly	RB	clearly
signaling	VVG	signal
that	IN/that	that
as	RB	as
long	RB	long
as	IN	as
he	PP	he
enjoys	VVZ	enjoy
American	JJ	American
public	JJ	public
support	NN	support
as	IN	as
long	JJ	long
as	IN	as
Israel	NP	Israel
enjoys	VVZ	enjoy
support	NN	support
in	IN	in
the	DT	the
US	NP	US
public	JJ	public
sphere	NN	sphere
he	PP	he
does	VVZ	do
not	RB	not
have	VH	have
to	TO	to
do	VV	do
what	WP	what
the	DT	the
White	NP	White
House	NP	House
or	CC	or
what	WP	what
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
says	VVZ	say
with	IN	with
regards	NNS	regard
to	TO	to
curbing	VVG	curb
the	DT	the
conflict	NN	conflict
or	CC	or
trying	VVG	try
to	TO	to
be	VB	be
bring	VV	bring
an	DT	an
end	NN	end
to	TO	to
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
and	CC	and
just	RB	just
on	IN	on
Sunday	NP	Sunday
on	IN	on
the	DT	the
US	NP	US
talk	NN	talk
shows	NNS	show
Netanyahu	NP	Netanyahu
was	VBD	be
also	RB	also
quoted	VVN	quote
as	IN	as
saying	VVG	say
that	DT	that
deal	NN	deal
or	CC	or
no	DT	no
deal	NN	deal
and	CC	and
assault	NN	assault
on	IN	on
Rafa	NP	Rafa
on	IN	on
the	DT	the
besieged	JJ	besieged
area	NN	area
of	IN	of
Rafa	NP	Rafa
where	WRB	where
so	RB	so
many	JJ	many
people	NNS	people
are	VBP	be
Sheltering	VVG	shelter
so	RB	so
many	JJ	many
displaced	VVN	displace
Palestinians	NNS	Palestinian
are	VBP	be
Sheltering	VVG	shelter
that	WDT	that
will	MD	will
carry	VV	carry
on	IN	on
regardless	RB	regardless
of	IN	of
how	WRB	how
the	DT	the
deal	NN	deal
does	VVZ	do
or	CC	or
does	VVZ	do
not	RB	not
go	VV	go
forward	RB	forward
zann	RB	zann
thank	VV	thank
you	PP	you
for	IN	for
the	DT	the
update	NN	update
Zayn	NP	Zayn
basravi	NP	basravi
live	VVP	live
for	IN	for
us	PP	us
in	IN	in
ramala	NN	ramala
</doc>	NN	</doc>
