<video_id>-z0hiPFFuQY</video_id>	JJ	<video_id>-z0hiPFFuQY</video_id>
Honey	NP	Honey
Mahmud	NP	Mahmud
he	PP	he
joins	VVZ	join
me	PP	me
now	RB	now
from	IN	from
darl	NN	darl
Bala	NP	Bala
in	IN	in
central	JJ	central
Gaza	NP	Gaza
honey	NN	honey
as	IN	as
we've	NNS	we've
been	VBN	be
reporting	VVG	report
more	JJR	more
Israeli	JJ	Israeli
movements	NNS	movement
in	IN	in
and	CC	and
around	IN	around
Rafa	NP	Rafa
in	IN	in
the	DT	the
last	JJ	last
day	NN	day
or	CC	or
so	RB	so
talk	VV	talk
us	PP	us
through	IN	through
exactly	RB	exactly
what	WP	what
you're	NN	you're
hearing	VVG	hear
yes	UH	yes
well	RB	well
for	IN	for
the	DT	the
past	JJ	past
20	CD	@card@
days	NNS	day
the	DT	the
Israeli	JJ	Israeli
military	NN	military
has	VHZ	have
been	VBN	be
pushing	VVG	push
its	PP$	its
occupying	JJ	occupying
forces	NNS	force
at	IN	at
the	DT	the
center	NN	center
of	IN	of
rafah	NN	rafah
City	NN	city
all	PDT	all
the	DT	the
way	NN	way
to	TO	to
the	DT	the
western	JJ	western
part	NN	part
that's	NNS	that's
the	DT	the
EV	NP	Ev
evacuation	NN	evacuation
Zone	NP	Zone
where	WRB	where
literally	RB	literally
we're	NN	we're
looking	VVG	look
at	IN	at
thousand	CD	thousand
of	IN	of
displaced	VVN	displace
Palestinians	NNS	Palestinian
who	WP	who
have	VHP	have
nowhere	RB	nowhere
else	RB	else
to	TO	to
go	VV	go
we're	NN	we're
looking	VVG	look
at	IN	at
there's	RB	there's
no	DT	no
safe	JJ	safe
zone	NN	zone
no	DT	no
safe	JJ	safe
place	NN	place
to	TO	to
go	VV	go
to	TO	to
but	CC	but
also	RB	also
there's	RB	there's
no	DT	no
esape	NN	esape
away	RB	away
from	IN	from
the	DT	the
genocidal	JJ	genocidal
acts	NNS	act
taking	VVG	take
place	NN	place
in	IN	in
Rafa	NP	Rafa
City	NP	City
right	RB	right
now	RB	now
particularly	RB	particularly
the	DT	the
past	JJ	past
three	CD	three
days	NNS	day
have	VHP	have
been	VBN	be
quite	RB	quite
difficult	JJ	difficult
we're	NN	we're
seeing	VVG	see
an	DT	an
exponential	JJ	exponential
increase	NN	increase
and	CC	and
surge	NN	surge
in	IN	in
the	DT	the
attacks	NNS	attack
that	WDT	that
are	VBP	be
carried	VVN	carry
out	RP	out
by	IN	by
the	DT	the
Israeli	JJ	Israeli
military	NN	military
supported	VVN	support
by	IN	by
the	DT	the
occupying	JJ	occupying
forces	NNS	force
that	WDT	that
are	VBP	be
now	RB	now
the	DT	the
their	PP$	their
artillery	NN	artillery
Shilling	NP	Shilling
and	CC	and
the	DT	the
tank	NN	tank
sh	NNS	sh
are	VBP	be
reaching	VVG	reach
as	RB	as
far	RB	far
as	IN	as
the	DT	the
vicinity	NN	vicinity
of	IN	of
the	DT	the
Kuwaiti	JJ	Kuwaiti
hospital	NN	hospital
that's	NNS	that's
at	IN	at
the	DT	the
center	NN	center
of	IN	of
the	DT	the
city	NN	city
and	CC	and
also	RB	also
along	IN	along
the	DT	the
remaining	VVG	remain
part	NN	part
of	IN	of
the	DT	the
Philadelphia	NP	Philadelphia
Corridor	NP	Corridor
to	TO	to
the	DT	the
southern	JJ	southern
part	NN	part
of	IN	of
the	DT	the
strip	NN	strip
between	IN	between
the	DT	the
rafah	NP	rafah
and	CC	and
Egypt	NP	Egypt
uh	UH	uh
borders	NNS	border
and	CC	and
what	WP	what
seems	VVZ	seem
to	TO	to
be	VB	be
the	DT	the
Israeli	JJ	Israeli
military	NN	military
is	VBZ	be
pushing	VVG	push
deeper	JJR	deep
and	CC	and
soon	RB	soon
enough	JJ	enough
uh	UH	uh
from	IN	from
the	DT	the
judging	VVG	judge
from	IN	from
the	DT	the
patterns	NNS	pattern
of	IN	of
the	DT	the
attacks	NNS	attack
and	CC	and
the	DT	the
bombing	NN	bombing
soon	RB	soon
enough	RB	enough
this	DT	this
operation	NN	operation
is	VBZ	be
not	RB	not
going	VVG	go
to	TO	to
be	VB	be
limited	VVN	limit
is	VBZ	be
in	IN	in
fact	NN	fact
quite	RB	quite
unlimited	JJ	unlimited
right	NN	right
now	RB	now
and	CC	and
we	PP	we
are	VBP	be
days	NNS	day
away	RB	away
from	IN	from
the	DT	the
Israeli	JJ	Israeli
military	NN	military
taking	VVG	take
over	IN	over
the	DT	the
entire	JJ	entire
uh	UH	uh
city	NN	city
of	IN	of
raah	NN	raah
and	CC	and
of	IN	of
course	NN	course
that	WDT	that
has	VHZ	have
a	DT	a
a	DT	a
negative	JJ	negative
implications	NNS	implication
on	IN	on
the	DT	the
ground	NN	ground
not	RB	not
only	RB	only
we've	NNS	we've
been	VBN	be
seeing	VVG	see
this	DT	this
a	DT	a
rapid	JJ	rapid
Mass	NP	Mass
killing	NN	killing
of	IN	of
civilians	NNS	civilian
inside	IN	inside
evacuation	NN	evacuation
Zone	NP	Zone
like	IN	like
the	DT	the
past	JJ	past
two	CD	two
days	NNS	day
where	WRB	where
an	DT	an
attack	NN	attack
on	IN	on
the	DT	the
Northern	NP	Northern
Western	JJ	Western
uh	UH	uh
part	NN	part
of	IN	of
the	DT	the
city	NN	city
at	IN	at
least	JJS	least
45	CD	@card@
people	NNS	people
were	VBD	be
killed	VVN	kill
including	VVG	include
children	NNS	child
and	CC	and
women	NNS	woman
the	DT	the
scenes	NNS	scene
of	IN	of
the	DT	the
decapitated	VVN	decapitate
children	NNS	child
and	CC	and
the	DT	the
uh	UH	uh
the	DT	the
the	DT	the
shredded	JJ	shredded
babies	NNS	baby
as	RB	as
well	RB	well
inside	IN	inside
the	DT	the
tents	NNS	tent
and	CC	and
the	DT	the
women	NNS	woman
who	WP	who
were	VBD	be
taken	VVN	take
into	IN	into
hospitals	NNS	hospital
in	IN	in
the	DT	the
area	NN	area
also	RB	also
within	IN	within
the	DT	the
past	JJ	past
12	CD	@card@
hours	NNS	hour
another	DT	another
attack	NN	attack
very	RB	very
close	JJ	close
to	TO	to
the	DT	the
EV	NP	Ev
the	DT	the
first	JJ	first
one	CD	one
also	RB	also
it's	JJ	it's
a	DT	a
10th	JJ	10th
site	NN	site
where	WRB	where
21	CD	@card@
people	NNS	people
were	VBD	be
also	RB	also
killed	VVN	kill
and	CC	and
if	IN	if
we	PP	we
look	VVP	look
at	IN	at
the	DT	the
same	JJ	same
exact	JJ	exact
pattern	NN	pattern
of	IN	of
casualties	NNS	casualty
women	NNS	woman
and	CC	and
children	NNS	child
making	VVG	make
the	DT	the
vast	JJ	vast
majority	NN	majority
of	IN	of
casualties	NNS	casualty
of	IN	of
these	DT	these
deliberate	JJ	deliberate
attacks	NNS	attack
on	IN	on
areas	NNS	area
that	WDT	that
have	VHP	have
been	VBN	be
designated	VVN	designate
as	IN	as
safe	JJ	safe
Zone	NP	Zone
by	IN	by
the	DT	the
Israeli	JJ	Israeli
militaries	NN	militaries
people	NNS	people
in	IN	in
the	DT	the
area	NN	area
are	VBP	be
living	VVG	live
with	IN	with
shattered	JJ	shattered
sense	NN	sense
of	IN	of
Safety	NP	Safety
and	CC	and
Security	NP	Security
right	RB	right
now	RB	now
they're	NN	they're
pushed	VVN	push
into	IN	into
further	RBR	further
enforce	VV	enforce
displacement	NN	displacement
not	RB	not
only	RB	only
to	TO	to
uh	UH	uh
the	DT	the
evacuation	NN	evacuation
Zone	NP	Zone
but	CC	but
elsewhere	RB	elsewhere
in	IN	in
the	DT	the
western	JJ	western
KH	NP	KH
units	NNS	unit
the	DT	the
remaining	VVG	remain
part	NN	part
of	IN	of
Amasi	NP	Amasi
as	RB	as
well	RB	well
as	IN	as
the	DT	the
central	JJ	central
area	NN	area
that	WDT	that
is	VBZ	be
becoming	VVG	become
overcrowded	VVN	overcrowd
right	NN	right
now	RB	now
Hy	NP	Hy
as	IN	as
you	PP	you
say	VVP	say
so	RB	so
many	JJ	many
of	IN	of
these	DT	these
attacks	NNS	attack
are	VBP	be
taking	VVG	take
place	NN	place
in	IN	in
areas	NNS	area
that	IN/that	that
people	NNS	people
were	VBD	be
told	VVN	tell
were	VBD	be
safe	JJ	safe
so	IN	so
what	WP	what
is	VBZ	be
the	DT	the
situation	NN	situation
right	RB	right
now	RB	now
for	IN	for
civilians	NNS	civilian
particularly	RB	particularly
in	IN	in
the	DT	the
South	JJ	South
given	VVN	give
that	IN/that	that
all	PDT	all
the	DT	the
hospitals	NNS	hospital
are	VBP	be
now	RB	now
closed	VVN	close
quite	RB	quite
dire	JJ	dire
situation	NN	situation
created	VVN	create
by	IN	by
this	DT	this
intense	JJ	intense
bombing	NN	bombing
campaign	NN	campaign
we're	NN	we're
in	IN	in
fact	NN	fact
looking	VVG	look
at	IN	at
an	DT	an
an	DT	an
a	DT	a
crisis	NN	crisis
that	WDT	that
is	VBZ	be
above	IN	above
emergency	NN	emergency
not	RB	not
only	JJ	only
people	NNS	people
are	VBP	be
being	VBG	be
herded	VVN	herd
from	IN	from
one	CD	one
place	NN	place
to	TO	to
another	DT	another
by	IN	by
the	DT	the
quadcopters	NNS	quadcopters
by	IN	by
the	DT	the
intense	JJ	intense
bombing	NN	bombing
campaign	NN	campaign
moved	VVN	move
into	IN	into
areas	NNS	area
that	WDT	that
are	VBP	be
supposed	VVN	suppose
to	TO	to
be	VB	be
safe	JJ	safe
but	CC	but
they're	JJ	they're
not	RB	not
safe	JJ	safe
but	CC	but
the	DT	the
infrastructure	NN	infrastructure
the	DT	the
facilities	NNS	facility
that	WDT	that
are	VBP	be
supposed	VVN	suppose
to	TO	to
be	VB	be
there	RB	there
to	TO	to
support	VV	support
people	NNS	people
people	NNS	people
are	VBP	be
pushed	VVN	push
to	TO	to
the	DT	the
point	NN	point
of	IN	of
of	IN	of
offering	VVG	offer
no	DT	no
Services	NPS	Services
whatsoever	RB	whatsoever
and	CC	and
by	IN	by
that	WDT	that
I	PP	I
mean	VVP	mean
the	DT	the
health	NN	health
facilities	NNS	facility
that	WDT	that
are	VBP	be
quite	RB	quite
vital	JJ	vital
right	RB	right
now	RB	now
at	IN	at
these	DT	these
difficult	JJ	difficult
conditions	NNS	condition
the	DT	the
vast	JJ	vast
majority	NN	majority
of	IN	of
these	DT	these
Hospital	NN	hospital
nearly	RB	nearly
all	RB	all
of	IN	of
them	PP	them
with	IN	with
the	DT	the
exception	NN	exception
of	IN	of
one	CD	one
maternity	NN	maternity
health	NN	health
facility	NN	facility
a	DT	a
small	JJ	small
one	CD	one
in	IN	in
western	JJ	western
part	NN	part
of	IN	of
RA	NP	RA
City	NP	City
and	CC	and
soon	RB	soon
enough	RB	enough
given	VVN	give
the	DT	the
insufficient	JJ	insufficient
medical	JJ	medical
staff	NN	staff
as	RB	as
well	RB	well
as	IN	as
the	DT	the
shortage	NN	shortage
of	IN	of
medical	JJ	medical
supplies	NNS	supply
this	DT	this
maternity	NN	maternity
health	NN	health
facility	NN	facility
is	VBZ	be
going	VVG	go
to	TO	to
close	VV	close
down	RP	down
all	PDT	all
the	DT	the
field	NN	field
hospitals	NNS	hospital
were	VBD	be
forced	VVN	force
to	TO	to
shut	VV	shut
down	RP	down
and	CC	and
and	CC	and
and	CC	and
shut	VV	shut
services	NNS	service
and	CC	and
moved	VVD	move
all	PDT	all
the	DT	the
way	NN	way
to	TO	to
Khan	NP	Khan
Unis	NNS	uni
in	IN	in
in	IN	in
different	JJ	different
locations	NNS	location
they	PP	they
were	VBD	be
forced	VVN	force
to	TO	to
relocate	VV	relocate
and	CC	and
start	VV	start
field	NN	field
hospitals	NNS	hospital
in	IN	in
different	JJ	different
places	NNS	place
the	DT	the
two	CD	two
uh	UH	uh
official	JJ	official
public	JJ	public
Hospital	NN	hospital
the	DT	the
kuti	NN	kuti
hospital	NN	hospital
and	CC	and
the	DT	the
Nar	NP	Nar
hospital	NN	hospital
they	PP	they
were	VBD	be
forced	VVN	force
to	TO	to
be	VB	be
out	RP	out
of	IN	of
service	NN	service
given	VVN	give
the	DT	the
intensity	NN	intensity
of	IN	of
the	DT	the
the	DT	the
bombing	NN	bombing
campaign	NN	campaign
and	CC	and
the	DT	the
the	DT	the
all	DT	all
of	IN	of
their	PP$	their
almost	RB	almost
the	DT	the
their	PP$	their
their	PP$	their
vehicle	NN	vehicle
the	DT	the
ambulance	NN	ambulance
the	DT	the
the	DT	the
the	DT	the
inability	NN	inability
to	TO	to
get	VV	get
medical	JJ	medical
supply	NN	supply
to	TO	to
these	DT	these
facilities	NNS	facility
uh	UH	uh
it	PP	it
become	VVP	become
un	JJ	un
safe	JJ	safe
situations	NNS	situation
for	IN	for
everyone	NN	everyone
including	VVG	include
the	DT	the
injuries	NNS	injury
and	CC	and
the	DT	the
patients	NNS	patient
inside	IN	inside
these	DT	these
two	CD	two
facilities	NNS	facility
are	VBP	be
forced	VVN	force
to	TO	to
relocate	VV	relocate
uh	UH	uh
elsewhere	RB	elsewhere
in	IN	in
western	JJ	western
part	NN	part
of	IN	of
kanun	NN	kanun
city	NN	city
and	CC	and
again	RB	again
we're	NN	we're
looking	VVG	look
at	IN	at
the	DT	the
maasi	NP	maasi
evacuation	NN	evacuation
Zone	NP	Zone
and	CC	and
it's	NNS	it's
not	RB	not
it	PP	it
hasn't	VVD	hasn't
been	VBN	be
largely	RB	largely
safe	JJ	safe
we	PP	we
seen	VVN	see
the	DT	the
patterns	NNS	pattern
of	IN	of
attacks	NNS	attack
on	IN	on
these	DT	these
zones	NNS	zone
and	CC	and
which	WDT	which
confirm	VVP	confirm
quite	RB	quite
consistent	JJ	consistent
with	IN	with
what	WP	what
people	NNS	people
have	VHP	have
described	VVN	describe
that	IN/that	that
there	EX	there
is	VBZ	be
no	DT	no
safe	JJ	safe
Zone	NP	Zone
in	IN	in
a	DT	a
war	NN	war
zone	NN	zone
Hy	NP	Hy
Mahmud	NP	Mahmud
they're	NN	they're
reporting	VVG	report
for	IN	for
us	PP	us
from	IN	from
the	DT	the
ground	NN	ground
today	NN	today
from	IN	from
darl	NP	Darl
Bala	NP	Bala
in	IN	in
central	JJ	central
Gaza	NP	Gaza
thank	VVP	thank
you	PP	you
honey	VVP	honey
make	VV	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
aler	NN	aler
</doc>	NN	</doc>
