<video_id>AE5UyY4e5i0</video_id>	JJ	<video_id>AE5UyY4e5i0</video_id>
members	NNS	member
who	WP	who
were	VBD	be
killed	VVN	kill
as	IN	as
a	DT	a
result	NN	result
of	IN	of
the	DT	the
air	NN	air
strike	NN	strike
these	DT	these
people	NNS	people
were	VBD	be
refugees	NNS	refugee
and	CC	and
you	PP	you
can	MD	can
see	VV	see
the	DT	the
dead	JJ	dead
children	NNS	child
on	IN	on
the	DT	the
floor	NN	floor
these	DT	these
are	VBP	be
the	DT	the
ones	NNS	one
they	PP	they
call	VVP	call
terrorists	NNS	terrorist
right	RB	right
they	PP	they
are	VBP	be
no	DT	no
targets	NNS	target
civilians	NNS	civilian
are	VBP	be
the	DT	the
only	JJ	only
targets	NNS	target
we	PP	we
were	VBD	be
sleeping	VVG	sleep
soundly	RB	soundly
suddenly	RB	suddenly
we	PP	we
heard	VVD	hear
something	NN	something
fall	NN	fall
on	IN	on
top	NN	top
of	IN	of
our	PP$	our
heads	NNS	head
without	IN	without
warning	VVG	warn
we	PP	we
were	VBD	be
sleeping	VVG	sleep
soundly	RB	soundly
all	RB	all
of	IN	of
us	PP	us
22	CD	@card@
men	NNS	man
and	CC	and
83	CD	@card@
women	NNS	woman
inside	IN	inside
the	DT	the
house	NN	house
we	PP	we
were	VBD	be
arrested	VVN	arrest
in	IN	in
safawi	NNS	safawi
last	JJ	last
Friday	NP	Friday
the	DT	the
women	NNS	woman
were	VBD	be
told	VVN	tell
to	TO	to
move	VV	move
to	TO	to
jabalia	NN	jabalia
while	IN	while
the	DT	the
men	NNS	man
were	VBD	be
taken	VVN	take
to	TO	to
zikim	VV	zikim
they	PP	they
then	RB	then
brought	VVD	bring
us	PP	us
here	RB	here
in	IN	in
our	PP$	our
underwear	NN	underwear
and	CC	and
let	VV	let
us	PP	us
out	RP	out
of	IN	of
their	PP$	their
trucks	NNS	truck
at	IN	at
the	DT	the
SAA	NP	SAA
roundabout	NN	roundabout
and	CC	and
told	VVD	tell
us	PP	us
to	TO	to
go	VV	go
to	TO	to
jabalia	NN	jabalia
we	PP	we
came	VVD	come
here	RB	here
to	TO	to
jabalia	NN	jabalia
it	PP	it
was	VBD	be
they	PP	they
who	WP	who
told	VVD	tell
us	PP	us
to	TO	to
come	VV	come
here	RB	here
this	DT	this
is	VBZ	be
my	PP$	my
brother	NN	brother
and	CC	and
his	PP$	his
son	NN	son
this	DT	this
is	VBZ	be
my	PP$	my
sister	NN	sister
and	CC	and
her	PP$	her
son	NN	son
their	PP$	their
entire	JJ	entire
family	NN	family
my	PP$	my
mother	NN	mother
and	CC	and
father	NN	father
they're	NN	they're
all	RB	all
here	RB	here
my	PP$	my
cousins	NNS	cousin
there	EX	there
were	VBD	be
three	CD	three
families	NNS	family
here	RB	here
look	VVP	look
at	IN	at
this	DT	this
look	NN	look
at	IN	at
this	DT	this
this	DT	this
is	VBZ	be
a	DT	a
child	NN	child
he	PP	he
had	VHD	have
nothing	NN	nothing
to	TO	to
do	VV	do
with	IN	with
any	DT	any
organizations	NNS	organization
this	DT	this
is	VBZ	be
ibraim	NNS	ibraim
may	MD	may
God	NP	God
have	VHP	have
mercy	NN	mercy
on	IN	on
his	PP$	his
soul	NN	soul
we	PP	we
are	VBP	be
now	RB	now
trying	VVG	try
to	TO	to
move	VV	move
to	TO	to
other	JJ	other
parts	NNS	part
of	IN	of
the	DT	the
house	NN	house
there	EX	there
are	VBP	be
large	JJ	large
numbers	NNS	number
of	IN	of
dead	JJ	dead
everywhere	RB	everywhere
in	IN	in
the	DT	the
house	NN	house
and	CC	and
we	PP	we
will	MD	will
try	VV	try
to	TO	to
reach	VV	reach
them	PP	them
even	RB	even
though	IN	though
the	DT	the
area	NN	area
is	VBZ	be
quite	RB	quite
treacherous	JJ	treacherous
we	PP	we
can	MD	can
see	VV	see
here	RB	here
the	DT	the
foot	NN	foot
of	IN	of
one	CD	one
of	IN	of
the	DT	the
dead	NN	dead
he	PP	he
was	VBD	be
torn	VVN	tear
to	TO	to
pieces	NNS	piece
and	CC	and
it's	NNS	it's
impossible	JJ	impossible
to	TO	to
pull	VV	pull
him	PP	him
out	IN	out
we	PP	we
also	RB	also
have	VHP	have
a	DT	a
large	JJ	large
number	NN	number
of	IN	of
dead	JJ	dead
on	IN	on
this	DT	this
floor	NN	floor
they're	NNS	they're
everywhere	RB	everywhere
there	EX	there
are	VBP	be
dead	JJ	dead
on	IN	on
every	DT	every
floor	NN	floor
nobody	NN	nobody
survived	VVD	survive
the	DT	the
massacre	NN	massacre
nobody	NN	nobody
in	IN	in
the	DT	the
house	NN	house
survived	VVD	survive
the	DT	the
strike	NN	strike
that	WDT	that
was	VBD	be
carried	VVN	carry
out	RP	out
by	IN	by
the	DT	the
occupation	NN	occupation
aircraft	NN	aircraft
we	PP	we
will	MD	will
still	RB	still
have	VH	have
large	JJ	large
numbers	NNS	number
of	IN	of
civils	NNS	civils
here	RB	here
under	IN	under
the	DT	the
</doc>	NN	</doc>
