<video_id>Kkh8L_me7Wk</video_id>	JJ	<video_id>Kkh8L_me7Wk</video_id>
a	DT	a
shelter	NN	shelter
and	CC	and
a	DT	a
refuge	NN	refuge
for	IN	for
thousands	NNS	thousand
of	IN	of
Palestinians	NPS	Palestinians
who	WP	who
made	VVD	make
and	CC	and
set	VVD	set
up	RP	up
their	PP$	their
tents	NNS	tent
and	CC	and
there	EX	there
have	VHP	have
been	VBN	be
living	VVG	live
here	RB	here
uh	UH	uh
journalists	NNS	journalist
have	VHP	have
been	VBN	be
uh	UH	uh
working	NN	working
from	IN	from
uh	UH	uh
the	DT	the
hospital	NN	hospital
for	IN	for
months	NNS	month
now	RB	now
this	DT	this
is	VBZ	be
not	RB	not
only	RB	only
a	DT	a
hospital	NN	hospital
it's	NNS	it's
a	DT	a
house	NN	house
and	CC	and
a	DT	a
home	NN	home
uh	UH	uh
for	IN	for
hundreds	NNS	hundred
uh	UH	uh
of	IN	of
Palestinians	NPS	Palestinians
especially	RB	especially
uh	UH	uh
under	IN	under
uh	UH	uh
this	DT	this
displacement	NN	displacement
conditions	NNS	condition
um	NNS	um
talking	VVG	talk
to	TO	to
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
uh	UH	uh
displaced	VVN	displace
here	RB	here
they're	NN	they're
saying	VVG	say
that	DT	that
they're	NN	they're
terrified	VVD	terrify
that	IN/that	that
this	DT	this
incident	NN	incident
is	VBZ	be
repeating	VVG	repeat
itself	PP	itself
where	WRB	where
uh	UH	uh
cha	NN	cha
hospital	NN	hospital
has	VHZ	have
been	VBN	be
attacked	VVN	attack
in	IN	in
the	DT	the
previous	JJ	previous
months	NNS	month
and	CC	and
norer	NN	norer
hospitals	NNS	hospital
and	CC	and
Palestinians	NNS	Palestinian
are	VBP	be
saying	VVG	say
that	IN/that	that
they	PP	they
do	VVP	do
not	RB	not
feel	VV	feel
safe	JJ	safe
anywhere	RB	anywhere
and	CC	and
they	PP	they
don't	VVD	don't
know	VV	know
where	WRB	where
they're	NN	they're
going	VVG	go
to	TO	to
go	VV	go
after	IN	after
the	DT	the
hospital	NN	hospital
has	VHZ	have
been	VBN	be
um	JJ	um
directly	RB	directly
targeted	VVN	target
by	IN	by
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
hind	JJ	hind
we've	NN	we've
had	VHD	have
a	DT	a
statement	NN	statement
from	IN	from
the	DT	the
Reuters	NP	Reuters
news	NN	news
agency	NN	agency
which	WDT	which
is	VBZ	be
quoting	VVG	quote
Israel's	NP	Israel's
military	NN	military
saying	VVG	say
that	IN/that	that
it	PP	it
was	VBD	be
targeting	VVG	target
it	PP	it
carried	VVD	carry
out	RP	out
the	DT	the
air	NN	air
strikes	VVZ	strike
targeting	VVG	target
um	NNS	um
an	DT	an
area	NN	area
operated	VVN	operate
by	IN	by
what	WP	what
it's	NNS	it's
calling	VVG	call
the	DT	the
armed	JJ	armed
is	VBZ	be
isamic	JJ	isamic
Jihad	NP	Jihad
group	NN	group
in	IN	in
the	DT	the
courtyard	NN	courtyard
of	IN	of
the	DT	the
hospital	NN	hospital
um	NN	um
can	MD	can
you	PP	you
tell	VV	tell
me	PP	me
was	VBD	be
there	RB	there
any	DT	any
way	NN	way
of	IN	of
distinguishing	VVG	distinguish
the	DT	the
tents	NNS	tent
in	IN	in
which	WDT	which
particularly	RB	particularly
the	DT	the
journalists	NNS	journalist
were	VBD	be
working	VVG	work
because	IN	because
as	IN	as
we	PP	we
can	MD	can
see	VV	see
obviously	RB	obviously
you	PP	you
and	CC	and
your	PP$	your
colleagues	NNS	colleague
have	VHP	have
press	NN	press
across	IN	across
your	PP$	your
uh	UH	uh
the	DT	the
the	DT	the
protective	JJ	protective
clothing	NN	clothing
that	IN/that	that
you	PP	you
have	VHP	have
there	RB	there
was	VBD	be
there	RB	there
any	DT	any
way	NN	way
of	IN	of
making	VVG	make
the	DT	the
tents	NNS	tent
for	IN	for
the	DT	the
journalists	NNS	journalist
working	VVG	work
uh	UH	uh
more	RBR	more
distinctive	JJ	distinctive
to	TO	to
show	VV	show
that	IN/that	that
it	PP	it
was	VBD	be
press	NN	press
that	WDT	that
was	VBD	be
working	VVG	work
there	RB	there
well	RB	well
I	PP	I
told	VVD	tell
you	PP	you
we	PP	we
have	VHP	have
been	VBN	be
living	VVG	live
and	CC	and
coming	VVG	come
to	TO	to
this	DT	this
hospital	NN	hospital
since	IN	since
November	NP	November
we	PP	we
never	RB	never
witnessed	VVD	witness
any	DT	any
type	NN	type
of	IN	of
any	DT	any
uh	UH	uh
military	NN	military
action	NN	action
in	IN	in
the	DT	the
hospital	NN	hospital
uh	UH	uh
my	PP$	my
my	PP$	my
colleagues	NNS	colleague
work	VVP	work
in	IN	in
the	DT	the
in	IN	in
in	IN	in
the	DT	the
tent	NN	tent
sticking	VVG	stick
to	TO	to
this	DT	this
tent	NN	tent
um	NN	um
we	PP	we
have	VHP	have
been	VBN	be
also	RB	also
talking	VVG	talk
with	IN	with
other	JJ	other
displaced	VVN	displace
people	NNS	people
surrounding	VVG	surround
the	DT	the
tent	NN	tent
they	PP	they
personally	RB	personally
know	VV	know
uh	UH	uh
the	DT	the
person	NN	person
that	WDT	that
was	VBD	be
killed	VVN	kill
inside	IN	inside
the	DT	the
tent	NN	tent
they	PP	they
said	VVD	say
that	IN/that	that
he	PP	he
uh	UH	uh
sells	VVZ	sell
vegetables	NNS	vegetable
on	IN	on
uh	UH	uh
uh	UH	uh
a	DT	a
a	DT	a
near	JJ	near
near	IN	near
the	DT	the
hospital	NN	hospital
and	CC	and
in	IN	in
the	DT	the
market	NN	market
we	PP	we
never	RB	never
saw	VVD	see
any	DT	any
uh	UH	uh
military	NN	military
action	NN	action
we	PP	we
never	RB	never
saw	VVD	see
anything	NN	anything
related	VVN	relate
to	TO	to
Islamic	NP	Islamic
Jihad	NP	Jihad
in	IN	in
uh	UH	uh
the	DT	the
hospital	NN	hospital
we	PP	we
come	VVP	come
the	DT	the
we	PP	we
come	VVP	come
here	RB	here
every	DT	every
single	JJ	single
day	NN	day
because	IN	because
we	PP	we
have	VHP	have
been	VBN	be
all	DT	all
uh	UH	uh
being	VBG	be
displaced	VVN	displace
and	CC	and
the	DT	the
hospital	NN	hospital
is	VBZ	be
the	DT	the
only	JJ	only
place	NN	place
that	WDT	that
provides	VVZ	provide
uh	UH	uh
journalists	NNS	journalist
with	IN	with
internet	NN	Internet
and	CC	and
electricity	NN	electricity
because	IN	because
there	EX	there
is	VBZ	be
a	DT	a
solar	JJ	solar
panel	NN	panel
here	RB	here
um	VVZ	um
the	DT	the
hospital	NN	hospital
is	VBZ	be
also	RB	also
full	JJ	full
with	IN	with
displaced	VVN	displace
people	NNS	people
and	CC	and
uh	UH	uh
the	DT	the
like	IN	like
I	PP	I
I	PP	I
believe	VVP	believe
that	IN/that	that
this	DT	this
uh	UH	uh
a	DT	a
claim	NN	claim
has	VHZ	have
been	VBN	be
a	DT	a
justification	NN	justification
to	TO	to
justify	VV	justify
the	DT	the
target	NN	target
of	IN	of
uh	UH	uh
of	IN	of
Palestinians	NNS	Palestinian
and	CC	and
we	PP	we
have	VHP	have
been	VBN	be
seeing	VVG	see
this	DT	this
ongoing	JJ	ongoing
for	IN	for
6	CD	@card@
months	NNS	month
right	RB	right
now	RB	now
Palestinians	NNS	Palestinian
being	VBG	be
targeted	VVN	target
in	IN	in
un	JJ	un
shelters	NNS	shelter
in	IN	in
hospitals	NNS	hospital
in	IN	in
schools	NNS	school
and	CC	and
always	RB	always
it's	NNS	it's
the	DT	the
same	JJ	same
claim	NN	claim
military	JJ	military
action	NN	action
Islamic	NP	Islamic
Jihad	NP	Jihad
and	CC	and
Hamas	VVZ	Hamas
uh	UH	uh
there's	RB	there's
no	DT	no
uh	UH	uh
proof	NN	proof
that	IN/that	that
there	EX	there
has	VHZ	have
been	VBN	be
any	DT	any
Islamic	NP	Islamic
Jihad	NP	Jihad
in	IN	in
the	DT	the
hospital	NN	hospital
and	CC	and
in	IN	in
the	DT	the
tent	NN	tent
targeted	VVD	target
H	NP	H
thank	VV	thank
you	PP	you
very	RB	very
much	RB	much
indeed	RB	indeed
as	IN	as
you're	NN	you're
talking	VVG	talk
to	TO	to
us	PP	us
of	IN	of
course	NN	course
we	PP	we
can	MD	can
hear	VV	hear
the	DT	the
Drone	NP	Drone
from	IN	from
the	DT	the
quadcopters	NNS	quadcopters
that	WDT	that
are	VBP	be
flying	VVG	fly
above	IN	above
you	PP	you
which	WDT	which
obviously	RB	obviously
obviously	RB	obviously
as	IN	as
we	PP	we
know	VVP	know
the	DT	the
Israeli	JJ	Israeli
military	JJ	military
use	NN	use
to	TO	to
monitor	VV	monitor
areas	NNS	area
like	IN	like
that	WDT	that
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
identify	VV	identify
who	WP	who
is	VBZ	be
on	IN	on
the	DT	the
ground	NN	ground
HRI	NP	HRI
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
indeed	RB	indeed
</doc>	JJ	</doc>
