<video_id>kxqyZhoRP1c</video_id>	JJ	<video_id>kxqyZhoRP1c</video_id>
minimal	JJ	minimal
and	CC	and
so	RB	so
we	PP	we
continue	VVP	continue
to	TO	to
uh	UH	uh
provide	VV	provide
humanitarian	JJ	humanitarian
assistance	NN	assistance
and	CC	and
we	PP	we
continue	VVP	continue
to	TO	to
do	VV	do
everything	NN	everything
possible	JJ	possible
with	IN	with
very	RB	very
very	RB	very
little	RB	little
supplies	VVZ	supply
uh	UH	uh
coming	VVG	come
in	IN	in
by	IN	by
far	RB	far
not	RB	not
enough	NN	enough
as	IN	as
uh	UH	uh
uh	UH	uh
famine	NN	famine
in	IN	in
some	DT	some
parts	NNS	part
of	IN	of
of	IN	of
Gaza	NP	Gaza
looms	VVZ	loom
and	CC	and
we	PP	we
continue	VVP	continue
to	TO	to
have	VH	have
that	DT	that
issue	NN	issue
with	IN	with
accessing	VVG	access
Northern	NP	Northern
Gaza	NP	Gaza
yeah	RB	yeah
there's	RB	there's
obviously	RB	obviously
also	RB	also
the	DT	the
issue	NN	issue
of	IN	of
safety	NN	safety
for	IN	for
for	IN	for
your	PP$	your
own	JJ	own
staff	NN	staff
and	CC	and
those	DT	those
waiting	NN	waiting
to	TO	to
to	TO	to
collect	VV	collect
the	DT	the
aid	NN	aid
is	VBZ	be
there	RB	there
anything	NN	anything
more	RBR	more
that	IN/that	that
you	PP	you
can	MD	can
do	VV	do
at	IN	at
all	RB	all
to	TO	to
to	TO	to
protect	VV	protect
uh	UH	uh
to	TO	to
ensure	VV	ensure
the	DT	the
safety	NN	safety
of	IN	of
your	PP$	your
staff	NN	staff
it's	NNS	it's
up	RB	up
to	TO	to
the	DT	the
Waring	NP	Waring
parties	VVZ	party
uh	UH	uh
to	TO	to
make	VV	make
sure	JJ	sure
that	IN/that	that
um	JJ	um
United	NP	United
Nations	NPS	Nations
personnel	NNS	personnel
and	CC	and
assets	NNS	asset
um	NNS	um
and	CC	and
facilities	NNS	facility
are	VBP	be
protected	VVN	protect
at	IN	at
all	DT	all
times	NNS	time
and	CC	and
too	RB	too
many	JJ	many
times	NNS	time
during	IN	during
this	DT	this
warom	NN	warom
um	NN	um
these	DT	these
facilities	NNS	facility
and	CC	and
our	PP$	our
Personnel	NNS	Personnel
have	VHP	have
come	VVN	come
under	IN	under
attack	NN	attack
and	CC	and
they've	NN	they've
been	VBN	be
hit	VVN	hit
and	CC	and
it's	NNS	it's
of	IN	of
course	NN	course
no	DT	no
uh	UH	uh
surpris	NN	surpris
to	TO	to
Israel	NP	Israel
that	IN/that	that
where	WRB	where
your	PP$	your
distribution	NN	distribution
centers	NNS	center
are	VBP	be
can	NN	can
can	MD	can
you	PP	you
just	RB	just
explain	VVP	explain
the	DT	the
level	NN	level
of	IN	of
contact	NN	contact
you	PP	you
have	VHP	have
with	IN	with
Israeli	JJ	Israeli
forces	NNS	force
in	IN	in
regards	NNS	regard
to	TO	to
how	WRB	how
you	PP	you
distribute	VVP	distribute
Aid	NP	Aid
and	CC	and
and	CC	and
how	WRB	how
that	DT	that
works	NNS	work
so	IN	so
every	DT	every
day	NN	day
anra	NN	anra
shares	NNS	share
the	DT	the
coordinates	NN	coordinates
of	IN	of
our	PP$	our
facilities	NNS	facility
across	IN	across
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
with	IN	with
all	DT	all
parties	NNS	party
to	TO	to
the	DT	the
conflict	NN	conflict
including	VVG	include
with	IN	with
the	DT	the
state	NN	state
of	IN	of
Israel	NP	Israel
and	CC	and
I	NP	I
checked	VVD	check
uh	UH	uh
on	IN	on
this	DT	this
particular	JJ	particular
way	NN	way
house	NN	house
and	CC	and
it	PP	it
was	VBD	be
uh	UH	uh
on	IN	on
the	DT	the
list	NN	list
and	CC	and
the	DT	the
list	NN	list
was	VBD	be
shared	VVN	share
a	DT	a
day	NN	day
before	IN	before
um	NNS	um
this	DT	this
hit	NN	hit
happened	VVN	happen
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
okay	VV	okay
you	PP	you
you	PP	you
touched	VVD	touch
on	IN	on
this	DT	this
a	DT	a
little	RB	little
earlier	RBR	earlier
uh	UH	uh
the	DT	the
the	DT	the
issue	NN	issue
of	IN	of
famine	NN	famine
in	IN	in
the	DT	the
north	NN	north
of	IN	of
Gaza	NP	Gaza
can	MD	can
you	PP	you
just	RB	just
give	VVP	give
us	PP	us
a	DT	a
bit	NN	bit
of	IN	of
an	DT	an
update	NN	update
on	IN	on
uh	UH	uh
if	IN	if
any	DT	any
Aid	NN	aid
has	VHZ	have
been	VBN	be
able	JJ	able
to	TO	to
get	VV	get
in	IN	in
to	TO	to
Northern	NP	Northern
Gaza	NP	Gaza
at	IN	at
this	DT	this
point	NN	point
in	IN	in
time	NN	time
the	DT	the
northern	JJ	northern
Gaza	NP	Gaza
and	CC	and
Gaza	NP	Gaza
City	NP	City
is	VBZ	be
where	WRB	where
are	VBP	be
the	DT	the
deepest	JJS	deep
deepest	JJS	deep
pockets	NNS	pocket
of	IN	of
starvation	NN	starvation
um	NNS	um
and	CC	and
um	JJ	um
severe	JJ	severe
hunger	NN	hunger
have	VHP	have
been	VBN	be
identified	VVN	identify
so	IN	so
um	JJ	um
this	NN	this
is	VBZ	be
uh	UH	uh
quite	RB	quite
risky	JJ	risky
and	CC	and
it	PP	it
means	VVZ	mean
that	DT	that
uh	UH	uh
we	PP	we
are	VBP	be
just	RB	just
uh	UH	uh
a	DT	a
level	NN	level
down	RB	down
from	IN	from
famine	NN	famine
in	IN	in
that	DT	that
part	NN	part
of	IN	of
Gaza	NP	Gaza
now	RB	now
that's	NNS	that's
man-made	JJ	man-made
and	CC	and
it	PP	it
can	MD	can
be	VB	be
averted	VVN	avert
and	CC	and
it	PP	it
can	MD	can
be	VB	be
averted	VVN	avert
through	IN	through
sending	VVG	send
on	IN	on
a	DT	a
regular	JJ	regular
basis	NN	basis
supplies	NNS	supply
including	VVG	include
food	NN	food
to	TO	to
that	DT	that
part	NN	part
of	IN	of
Gaza	NP	Gaza
which	WDT	which
we	PP	we
had	VHD	have
Andra	NP	Andra
as	IN	as
one	CD	one
example	NN	example
were	VBD	be
not	RB	not
able	JJ	able
to	TO	to
do	VV	do
since	IN	since
the	DT	the
29th	JJ	29th
of	IN	of
January	NP	January
so	RB	so
more	JJR	more
than	IN	than
six	CD	six
weeks	NNS	week
now	RB	now
I	PP	I
don't	VVD	don't
know	VV	know
if	IN	if
you	PP	you
heard	VVD	hear
just	RB	just
before	IN	before
uh	UH	uh
you	PP	you
came	VVD	come
on	IN	on
uh	UH	uh
the	DT	the
program	VV	program
uh	UH	uh
we	PP	we
had	VHD	have
a	DT	a
a	DT	a
s	NN	S
from	IN	from
Anthony	NP	Anthony
blinkin	NN	blinkin
who	WP	who
asked	VVD	ask
Israel	NP	Israel
to	TO	to
ensure	VV	ensure
the	DT	the
safety	NN	safety
of	IN	of
humanitarian	JJ	humanitarian
workers	NNS	worker
in	IN	in
Gaza	NP	Gaza
in	IN	in
regards	NNS	regard
to	TO	to
this	DT	this
latest	JJS	late
attack	NN	attack
I	PP	I
mean	VVP	mean
more	JJR	more
than	IN	than
100	CD	@card@
un	NN	un
workers	NNS	worker
have	VHP	have
been	VBN	be
killed	VVN	kill
so	RB	so
far	RB	far
what	WP	what
if	IN	if
anything	NN	anything
do	VVP	do
do	VV	do
blinken's	NN	blinken's
words	NNS	word
mean	VVP	mean
at	IN	at
this	DT	this
point	NN	point
in	IN	in
time	NN	time
just	RB	just
to	TO	to
be	VB	be
accurate	JJ	accurate
we	PP	we
lost	VVD	lose
165	CD	@card@
colleagues	NNS	colleague
at	IN	at
Andra	NP	Andra
alone	RB	alone
who	WP	who
were	VBD	be
killed	VVN	kill
since	IN	since
the	DT	the
War	NP	War
Began	NP	Began
that's	NNS	that's
the	DT	the
highest	JJS	high
number	NN	number
of	IN	of
Aid	NP	Aid
workers	NNS	worker
uh	UH	uh
any	DT	any
time	NN	time
in	IN	in
the	DT	the
history	NN	history
of	IN	of
the	DT	the
United	NP	United
Nations	NPS	Nations
in	IN	in
in	IN	in
any	DT	any
conflict	NN	conflict
or	CC	or
natural	JJ	natural
disaster	NN	disaster
there	RB	there
needs	VVZ	need
to	TO	to
be	VB	be
much	RB	much
more	JJR	more
uh	UH	uh
done	VVN	do
in	IN	in
this	DT	this
war	NN	war
as	IN	as
well	RB	well
which	WDT	which
has	VHZ	have
rules	NNS	rule
as	IN	as
well	RB	well
that	WDT	that
should	MD	should
apply	VV	apply
to	TO	to
this	DT	this
war	NN	war
to	TO	to
protect	VV	protect
the	DT	the
United	NP	United
Nations	NPS	Nations
personnel	NNS	personnel
and	CC	and
Facilities	NPS	Facilities
by	IN	by
all	DT	all
parties	NNS	party
to	TO	to
the	DT	the
conflict	NN	conflict
okay	RB	okay
thank	VVP	thank
you	PP	you
so	RB	so
much	JJ	much
Julia	NP	Julia
once	RB	once
again	RB	again
we	PP	we
really	RB	really
do	VVP	do
appreciate	VV	appreciate
your	PP$	your
time	NN	time
here	RB	here
on	IN	on
elera	NN	elera
</doc>	NN	</doc>
