right	NN	right
that	IN/that	that
they	PP	they
wanted	VVD	want
it	PP	it
to	TO	to
remain	VV	remain
firmly	RB	firmly
shut	VV	shut
if	IN	if
it	PP	it
was	VBD	be
up	RP	up
to	TO	to
the	DT	the
Israelis	NPS	Israelis
left	VVD	leave
of	IN	of
their	PP$	their
own	JJ	own
devices	NNS	device
they	PP	they
would	MD	would
never	RB	never
have	VH	have
opened	VVN	open
Rafa	NP	Rafa
in	IN	in
the	DT	the
first	JJ	first
place	NN	place
that	WDT	that
was	VBD	be
their	PP$	their
stated	JJ	stated
aim	NN	aim
it	PP	it
was	VBD	be
only	RB	only
International	JJ	international
pressure	NN	pressure
um	NNS	um
that	WDT	that
that	RB	that
got	VVD	get
to	TO	to
them	PP	them
and	CC	and
they	PP	they
allowed	VVD	allow
it	PP	it
to	TO	to
be	VB	be
open	JJ	open
but	CC	but
you	PP	you
know	VVP	know
that	IN/that	that
Aid	NP	Aid
is	VBZ	be
coming	VVG	come
in	IN	in
in	IN	in
a	DT	a
trickle	NN	trickle
it	PP	it
'	POS	'
s	NN	S
nowhere	RB	nowhere
near	IN	near
enough	RB	enough
and	CC	and
then	RB	then
if	IN	if
there	EX	there
'	''	'
s	NN	S
violence	NN	violence
happening	VVG	happen
there	RB	there
you	PP	you
know	VVP	know
let	NN	let
'	POS	'
s	NN	S
put	VVD	put
let	NN	let
'	POS	'
s	NN	S
put	VVD	put
yourself	PP	yourself
in	IN	in
the	DT	the
position	NN	position
of	IN	of
a	DT	a
truck	NN	truck
driver	NN	driver
never	RB	never
mind	VV	mind
the	DT	the
international	JJ	international
diplomacy	NN	diplomacy
you	PP	you
'	''	'
re	IN	re
a	DT	a
simple	JJ	simple
truck	NN	truck
driver	NN	driver
and	CC	and
you	PP	you
'	POS	'
ve	NN	ve
got	VVD	get
to	TO	to
get	VV	get
across	IN	across
that	DT	that
border	NN	border
and	CC	and
it	PP	it
'	POS	'
s	NNS	s
being	VBG	be
shelled	VVN	shell
do	VVP	do
you	PP	you
want	VVP	want
to	TO	to
drive	VV	drive
that	DT	that
border	NN	border
that	RB	that
'	POS	'
s	NN	S
actually	RB	actually
a	DT	a
concern	NN	concern
it	PP	it
is	VBZ	be
a	DT	a
concern	NN	concern
indeed	RB	indeed
Imran	NP	Imran
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
that	DT	that
Imran	NP	Imran
Khan	NP	Khan
live	VVP	live
there	RB	there
in	IN	in
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
