<video_id>-41vt7KAf70</video_id>	NN	<video_id>-41vt7KAf70</video_id>
the	DT	the
United	NP	United
Nations	NPS	Nations
by	IN	by
Secretary	NP	Secretary
of	IN	of
State	NP	State
Powell	NP	Powell
Colin	NP	Colin
Powell	NP	Powell
sted	VVD	sted
his	PP$	his
own	JJ	own
credibility	NN	credibility
20	CD	@card@
years	NNS	year
ago	RB	ago
and	CC	and
told	VVD	tell
the	DT	the
world	NN	world
trust	NN	trust
us	PP	us
there	RB	there
is	VBZ	be
there	EX	there
is	VBZ	be
Weapons	NNS	weapon
of	IN	of
Mass	NP	Mass
destructions	NNS	destruction
in	IN	in
Iraq	NP	Iraq
Iraq	NP	Iraq
was	VBD	be
destroyed	VVN	destroy
and	CC	and
there	EX	there
were	VBD	be
no	DT	no
weapons	NNS	weapon
of	IN	of
destructions	NNS	destruction
here	RB	here
we	PP	we
are	VBP	be
again	RB	again
the	DT	the
Americans	NPS	Americans
are	VBP	be
saying	VVG	say
trust	VV	trust
us	PP	us
I	PP	I
think	VVP	think
the	DT	the
two	CD	two
words	NNS	word
probably	RB	probably
the	DT	the
most	RBS	most
dangerous	JJ	dangerous
words	NNS	word
for	IN	for
a	DT	a
middle	JJ	middle
easterner	JJR	eastern
is	VBZ	be
the	DT	the
Americans	NPS	Americans
words	NNS	word
trust	VVP	trust
us	PP	us
no	RB	no
one	CD	one
trusts	NNS	trust
them	PP	them
now	RB	now
in	IN	in
as	RB	as
far	RB	far
as	IN	as
the	DT	the
int	NN	int
is	VBZ	be
concerned	JJ	concerned
I	PP	I
think	VVP	think
there's	RB	there's
something	NN	something
very	RB	very
important	JJ	important
that	WDT	that
was	VBD	be
ignored	VVN	ignore
I	PP	I
think	VVP	think
intentionally	RB	intentionally
about	RB	about
10	CD	@card@
days	NNS	day
ago	RB	ago
Hamas	JJ	Hamas
um	NNS	um
proposed	VVN	propose
for	IN	for
the	DT	the
United	NP	United
Nations	NPS	Nations
to	TO	to
send	VV	send
independent	JJ	independent
observers	NNS	observer
to	TO	to
the	DT	the
hospitals	NNS	hospital
and	CC	and
to	TO	to
find	VV	find
out	RP	out
for	IN	for
themselves	PP	themselves
to	TO	to
look	VV	look
under	IN	under
and	CC	and
over	IN	over
and	CC	and
inside	RB	inside
and	CC	and
so	RB	so
on	IN	on
so	RB	so
forth	RB	forth
and	CC	and
to	TO	to
report	VV	report
about	IN	about
those	DT	those
uh	UH	uh
headquarters	NN	headquarters
and	CC	and
ammunition	NN	ammunition
centers	NNS	center
and	CC	and
all	RB	all
of	IN	of
that	IN/that	that
under	IN	under
hospitals	NNS	hospital
shifa	NN	shifa
hospital	NN	hospital
and	CC	and
what	WP	what
have	VHP	have
you	PP	you
that	IN/that	that
call	NN	call
was	VBD	be
ignored	VVN	ignore
but	CC	but
I	PP	I
think	VVP	think
there's	RB	there's
still	RB	still
room	NN	room
for	IN	for
that	DT	that
call	NN	call
I	PP	I
think	VVP	think
those	DT	those
so-called	JJ	so-called
the	DT	the
infamous	JJ	infamous
uh	UH	uh
humanitarian	JJ	humanitarian
pauses	NNS	pause
could	MD	could
allow	VV	allow
for	IN	for
a	DT	a
delegation	NN	delegation
an	DT	an
international	JJ	international
delegation	NN	delegation
to	TO	to
go	VV	go
in	RP	in
and	CC	and
check	VV	check
for	IN	for
themselves	PP	themselves
but	CC	but
no	RB	no
I	PP	I
think	VVP	think
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
Israel	NP	Israel
the	DT	the
United	NP	United
States	NPS	States
echoing	VVG	echo
Israel	NP	Israel
about	IN	about
uh	UH	uh
about	IN	about
those	DT	those
uh	UH	uh
intelligence	NN	intelligence
and	CC	and
by	IN	by
the	DT	the
way	NN	way
I	PP	I
was	VBD	be
just	RB	just
looking	VVG	look
because	IN	because
now	RB	now
we're	NN	we're
looking	VVG	look
at	IN	at
that	DT	that
Israeli	JJ	Israeli
uh	UH	uh
spokesperson	NN	spokesperson
under	IN	under
some	DT	some
building	NN	building
in	IN	in
Gaza	NP	Gaza
it	PP	it
was	VBD	be
almost	RB	almost
hilarious	JJ	hilarious
to	TO	to
the	DT	the
point	NN	point
of	IN	of
uh	UH	uh
a	DT	a
comical	JJ	comical
if	IN	if
it	PP	it
wasn't	VVD	wasn't
tragic	JJ	tragic
that	IN/that	that
they	PP	they
were	VBD	be
showing	VVG	show
a	DT	a
list	NN	list
of	IN	of
uh	UH	uh
a	DT	a
calendar	NN	calendar
and	CC	and
the	DT	the
spokesperson	NN	spokesperson
was	VBD	be
was	VBD	be
showing	VVG	show
us	PP	us
how	WRB	how
those	DT	those
are	VBP	be
the	DT	the
names	NNS	name
of	IN	of
the	DT	the
terrorists	NNS	terrorist
in	IN	in
his	PP$	his
words	NNS	word
but	CC	but
in	IN	in
fact	NN	fact
if	IN	if
you	PP	you
looked	VVD	look
carefully	RB	carefully
it	PP	it
was	VBD	be
all	RB	all
in	IN	in
Arabic	NP	Arabic
and	CC	and
it	PP	it
said	VVD	say
as	RB	as
with	IN	with
the	DT	the
Godfather	NN	godfather
would	MD	would
say	VV	say
Monday	NP	Monday
Tuesday	NP	Tuesday
Thursday	NP	Thursday
Wednesday	NP	Wednesday
that's	NNS	that's
what	WP	what
it	PP	it
was	VBD	be
it	PP	it
was	VBD	be
the	DT	the
days	NNS	day
of	IN	of
the	DT	the
week	NN	week
right	NN	right
and	CC	and
they	PP	they
were	VBD	be
saying	VVG	say
these	DT	these
were	VBD	be
the	DT	the
names	NNS	name
of	IN	of
terrorists	NNS	terrorist
it's	NNS	it's
the	DT	the
thing	NN	thing
is	VBZ	be
when	WRB	when
the	DT	the
United	NP	United
States	NPS	States
comes	VVZ	come
out	RP	out
with	IN	with
these	DT	these
comments	NNS	comment
at	IN	at
this	DT	this
particular	JJ	particular
time	NN	time
when	WRB	when
uh	UH	uh
as	IN	as
we've	NNS	we've
been	VBN	be
seeing	VVG	see
and	CC	and
Reporting	NP	Reporting
on	IN	on
the	DT	the
horrific	JJ	horrific
scenes	NNS	scene
that	WDT	that
are	VBP	be
coming	VVG	come
out	RP	out
of	IN	of
hospitals	NNS	hospital
is	VBZ	be
there	RB	there
a	DT	a
risk	NN	risk
that	IN/that	that
this	DT	this
encourages	VVZ	encourage
Israel	NP	Israel
to	TO	to
ramp	VV	ramp
up	RP	up
its	PP$	its
uh	UH	uh
operations	NNS	operation
in	IN	in
and	CC	and
around	IN	around
the	DT	the
hospitals	NNS	hospital
you	PP	you
know	VVP	know
to	TO	to
be	VB	be
honest	JJ	honest
I'm	NN	I'm
not	RB	not
sure	JJ	sure
if	IN	if
there's	RB	there's
any	DT	any
more	JJR	more
ramping	VVG	ramp
up	RP	up
to	TO	to
do	VV	do
right	NN	right
I	PP	I
mean	VVP	mean
look	VV	look
what	WP	what
happened	VVD	happen
just	RB	just
the	DT	the
last	JJ	last
few	JJ	few
weeks	NNS	week
the	DT	the
United	NP	United
States	NPS	States
has	VHZ	have
given	VVN	give
its	PP$	its
unconditional	JJ	unconditional
support	NN	support
and	CC	and
said	VVD	say
that	IN/that	that
you	PP	you
know	VVP	know
Hamas	NP	Hamas
is	VBZ	be
Isis	NP	Isis
I	PP	I
think	VVP	think
there's	RB	there's
nothing	RB	nothing
more	RBR	more
damning	VVG	damn
and	CC	and
encouraging	VVG	encourage
for	IN	for
the	DT	the
kind	NN	kind
of	IN	of
genocide	NN	genocide
that	IN/that	that
we	PP	we
see	VVP	see
unraveling	NN	unraveling
in	IN	in
Gaza	NP	Gaza
than	IN	than
comparing	VVG	compare
Hamas	NNS	Hamas
to	TO	to
isil	VV	isil
so	IN	so
I	PP	I
think	VVP	think
the	DT	the
United	NP	United
States	NPS	States
set	VVD	set
the	DT	the
tone	NN	tone
from	IN	from
the	DT	the
very	JJ	very
beginning	NN	beginning
when	WRB	when
comparing	VVG	compare
Hamas	NNS	Hamas
to	TO	to
isol	NN	isol
and	CC	and
from	IN	from
then	RB	then
on	IN	on
the	DT	the
demonization	NN	demonization
of	IN	of
Hamas	NP	Hamas
did	VVD	do
not	RB	not
stop	VV	stop
now	RB	now
I'm	NN	I'm
not	RB	not
sure	JJ	sure
what	WP	what
Hamas	NP	Hamas
is	VBZ	be
doing	VVG	do
in	IN	in
Gaza	NP	Gaza
I	PP	I
don't	VVD	don't
know	VV	know
but	CC	but
I	PP	I
would	MD	would
like	VV	like
to	TO	to
see	VV	see
evidence	NN	evidence
the	DT	the
problem	NN	problem
with	IN	with
the	DT	the
Israel	NP	Israel
and	CC	and
the	DT	the
United	NP	United
States	NP	States
they	PP	they
keep	VVP	keep
they	PP	they
continue	VVP	continue
to	TO	to
say	VV	say
trust	NN	trust
us	PP	us
but	CC	but
so	RB	so
far	RB	far
they	PP	they
have	VHP	have
provided	VVN	provide
not	RB	not
a	DT	a
shred	NN	shred
of	IN	of
evidence	NN	evidence
for	IN	for
what	WP	what
they're	NN	they're
saying	VVG	say
</doc>	NN	</doc>
