<video_id>1jeNCFH1JxI</video_id>	JJ	<video_id>1jeNCFH1JxI</video_id>
Israel	NP	Israel
in	IN	in
during	IN	during
the	DT	the
along	IN	along
this	DT	this
conflict	NN	conflict
meaning	VVG	mean
that	IN/that	that
they	PP	they
are	VBP	be
not	RB	not
sure	JJ	sure
that	IN/that	that
the	DT	the
Congress	NP	Congress
will	MD	will
pass	VV	pass
that	IN/that	that
because	IN	because
even	RB	even
within	IN	within
the	DT	the
Democrat	NP	Democrat
Party	NP	Party
there	RB	there
are	VBP	be
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
that	IN/that	that
they	PP	they
are	VBP	be
considering	VVG	consider
that	IN/that	that
the	DT	the
US	NP	US
should	MD	should
rethink	VV	rethink
the	DT	the
overall	JJ	overall
relation	NN	relation
with	IN	with
Israel	NP	Israel
and	CC	and
the	DT	the
inconditional	JJ	inconditional
support	NN	support
to	TO	to
what	WP	what
is	VBZ	be
doing	VVG	do
so	IN	so
he	PP	he
showing	VVG	show
on	IN	on
one	CD	one
hand	NN	hand
that	IN/that	that
there	EX	there
is	VBZ	be
some	DT	some
change	NN	change
public	JJ	public
opinion	NN	opinion
in	IN	in
the	DT	the
US	NP	US
politic	JJ	politic
I	PP	I
are	VBP	be
changing	VVG	change
opinion	NN	opinion
but	CC	but
the	DT	the
US	NP	US
cannot	MD	can
deviate	VV	deviate
from	IN	from
that	DT	that
uh	UH	uh
long-term	JJ	long-term
interest	NN	interest
and	CC	and
long-term	JJ	long-term
Alliance	NP	Alliance
that	WDT	that
has	VHZ	have
with	IN	with
Israel	NP	Israel
and	CC	and
with	IN	with
the	DT	the
support	NN	support
of	IN	of
Israel	NP	Israel
wherever	WRB	wherever
it	PP	it
happens	VVZ	happen
yeah	RB	yeah
I	PP	I
guess	VVP	guess
the	DT	the
point	NN	point
that	IN/that	that
many	JJ	many
people	NNS	people
have	VHP	have
been	VBN	be
making	VVG	make
is	VBZ	be
how	WRB	how
is	VBZ	be
selling	VVG	sell
more	RBR	more
deadly	JJ	deadly
weapons	NNS	weapon
to	TO	to
Israel	NP	Israel
to	TO	to
kill	VV	kill
thousands	NNS	thousand
of	IN	of
Palestinians	NPS	Palestinians
within	IN	within
Gaza	NP	Gaza
how	WRB	how
is	VBZ	be
that	IN/that	that
in	IN	in
the	DT	the
interests	NNS	interest
of	IN	of
US	NP	US
National	NP	National
Security	NP	Security
well	RB	well
that's	NNS	that's
that's	NNS	that's
the	DT	the
whole	JJ	whole
point	NN	point
we	PP	we
don't	VVD	don't
understand	VV	understand
that	IN/that	that
this	DT	this
is	VBZ	be
helping	VVG	help
the	DT	the
us	PP	us
considering	VVG	consider
that	DT	that
is	VBZ	be
doing	VVG	do
the	DT	the
US	NP	US
in	IN	in
the	DT	the
region	NN	region
is	VBZ	be
not	RB	not
providing	VVG	provide
United	NP	United
States	NP	States
more	JJR	more
support	NN	support
in	IN	in
the	DT	the
region	NN	region
but	CC	but
on	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
more	JJR	more
backlash	NN	backlash
on	IN	on
what	WP	what
they	PP	they
are	VBP	be
doing	VVG	do
and	CC	and
this	DT	this
double	JJ	double
standard	NN	standard
is	VBZ	be
is	VBZ	be
been	VBN	be
raised	VVN	raise
by	IN	by
many	JJ	many
many	JJ	many
many	JJ	many
people	NNS	people
even	RB	even
different	JJ	different
initiatives	NNS	initiative
that	IN/that	that
United	NP	United
is	VBZ	be
trying	VVG	try
to	TO	to
to	TO	to
do	VV	do
like	IN	like
having	VHG	have
a	DT	a
Coalition	NP	Coalition
in	IN	in
the	DT	the
Red	NP	Red
Sea	NP	Sea
uh	UH	uh
is	VBZ	be
not	RB	not
getting	VVG	get
the	DT	the
the	DT	the
support	NN	support
that	IN/that	that
he	PP	he
expected	VVD	expect
from	IN	from
the	DT	the
Arab	JJ	Arab
countries	NNS	country
more	RBR	more
Arab	JJ	Arab
countries	NNS	country
will	MD	will
try	VV	try
not	RB	not
to	TO	to
engage	VV	engage
in	IN	in
direct	VV	direct
uh	UH	uh
negotiation	NN	negotiation
with	IN	with
the	DT	the
United	NP	United
St	NP	St
in	IN	in
different	JJ	different
aspect	NN	aspect
that	WDT	that
have	VHP	have
to	TO	to
do	VV	do
with	IN	with
security	NN	security
as	RB	as
far	RB	far
as	IN	as
the	DT	the
United	NP	United
States	NPS	States
keeps	VVZ	keep
this	DT	this
double	JJ	double
standard	NN	standard
pressuring	VVG	pressure
Israel	NP	Israel
supposedly	RB	supposedly
and	CC	and
on	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
still	RB	still
providing	VVG	provide
GS	NP	GS
yeah	RB	yeah
we've	VVP	we've
also	RB	also
heard	VVN	hear
in	IN	in
the	DT	the
last	JJ	last
few	JJ	few
hours	NNS	hour
that	IN/that	that
South	NP	South
Africa's	NNS	Africa's
launched	VVD	launch
a	DT	a
case	NN	case
accusing	VVG	accuse
Israel	NP	Israel
of	IN	of
genocide	NN	genocide
at	IN	at
the	DT	the
un's	JJ	un's
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
how	WRB	how
significant	JJ	significant
is	VBZ	be
that	IN/that	that
or	CC	or
is	VBZ	be
it	PP	it
more	JJR	more
of	IN	of
a	DT	a
symbolic	JJ	symbolic
move	NN	move
do	VVP	do
you	PP	you
think	VVP	think
it's	NNS	it's
symbolic	JJ	symbolic
but	CC	but
significant	JJ	significant
on	IN	on
on	RB	on
on	IN	on
on	IN	on
some	DT	some
aspects	NNS	aspect
uh	UH	uh
South	NP	South
Africa	NP	Africa
itself	PP	itself
suffer	VVP	suffer
from	IN	from
apart	RB	apart
hate	NN	hate
so	IN	so
being	VBG	be
a	DT	a
country	NN	country
that	WDT	that
suffer	VVP	suffer
from	IN	from
apart	RB	apart
considering	VVG	consider
that	IN/that	that
what	WP	what
is	VBZ	be
doing	VVG	do
Israel	NP	Israel
is	VBZ	be
wrong	JJ	wrong
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
history	NN	history
of	IN	of
South	NP	South
Africa	NP	Africa
is	VBZ	be
very	RB	very
is	VBZ	be
relevant	JJ	relevant
in	IN	in
terms	NNS	term
of	IN	of
giving	VVG	give
a	DT	a
message	NN	message
to	TO	to
the	DT	the
whole	JJ	whole
International	NP	International
Community	NP	Community
if	IN	if
it	PP	it
is	VBZ	be
practical	JJ	practical
we	PP	we
don't	VVD	don't
know	VV	know
I	PP	I
mean	VV	mean
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
is	VBZ	be
not	RB	not
H	NN	H
the	DT	the
particular	JJ	particular
court	NN	court
that	WDT	that
decides	VVZ	decide
about	IN	about
genocide	NN	genocide
or	CC	or
war	NN	war
crimes	NNS	crime
is	VBZ	be
the	DT	the
other	JJ	other
court	NN	court
yes	NN	yes
but	CC	but
in	IN	in
the	DT	the
other	JJ	other
court	NN	court
Israel	NP	Israel
considered	VVN	consider
that	WDT	that
has	VHZ	have
no	DT	no
jurisdiction	NN	jurisdiction
at	IN	at
all	DT	all
it's	NNS	it's
not	RB	not
even	RB	even
signatory	NN	signatory
of	IN	of
of	IN	of
those	DT	those
agreements	NNS	agreement
it's	NNS	it's
a	DT	a
good	JJ	good
way	NN	way
to	TO	to
start	VV	start
a	DT	a
process	NN	process
that	WDT	that
is	VBZ	be
already	RB	already
there	RB	there
I	PP	I
mean	VV	mean
uh	UH	uh
many	JJ	many
fights	NNS	fight
were	VBD	be
were	VBD	be
already	RB	already
submitted	VVN	submit
to	TO	to
both	DT	both
International	NP	International
court	NN	court
of	IN	of
justice	NN	justice
and	CC	and
international	JJ	international
criminal	JJ	criminal
court	NN	court
against	IN	against
Israel	NP	Israel
from	IN	from
2014	CD	@card@
onwards	RB	onwards
nothing	NN	nothing
has	VHZ	have
been	VBN	be
decided	VVN	decide
yet	RB	yet
mainly	RB	mainly
because	IN	because
Israel	NP	Israel
consider	VVP	consider
that	IN/that	that
they	PP	they
are	VBP	be
not	RB	not
abiding	VVG	abide
with	IN	with
that	DT	that
yeah	RB	yeah
and	CC	and
I	PP	I
guess	VVP	guess
it	PP	it
is	VBZ	be
a	DT	a
way	NN	way
to	TO	to
keep	VV	keep
the	DT	the
international	JJ	international
pressure	NN	pressure
on	IN	on
Israel	NP	Israel
and	CC	and
the	DT	the
United	NP	United
States	NPS	States
as	IN	as
well	RB	well
South	NP	South
Africa	NP	Africa
has	VHZ	have
been	VBN	be
very	RB	very
prominent	JJ	prominent
and	CC	and
vocal	JJ	vocal
in	IN	in
leading	VVG	lead
the	DT	the
condemnation	NN	condemnation
of	IN	of
Israel	NP	Israel
do	VVP	do
you	PP	you
think	VVP	think
that	IN/that	that
others	NNS	other
the	DT	the
Arab	JJ	Arab
states	NNS	state
should	MD	should
be	VB	be
doing	VVG	do
more	JJR	more
along	IN	along
the	DT	the
lines	NNS	line
of	IN	of
what	WP	what
South	NP	South
Africa	NP	Africa
is	VBZ	be
doing	VVG	do
here	IN	here
I	PP	I
they	PP	they
truly	RB	truly
believe	VVP	believe
yes	RB	yes
that	IN/that	that
they	PP	they
should	MD	should
be	VB	be
doing	VVG	do
more	RBR	more
I	PP	I
mean	VVP	mean
even	RB	even
Latin	JJ	Latin
American	NP	American
countri	NP	countri
I'm	NP	I'm
from	IN	from
Latin	NP	Latin
American	NP	American
background	NN	background
so	IN	so
Latin	JJ	Latin
American	JJ	American
countries	NNS	country
have	VHP	have
been	VBN	be
very	RB	very
vocal	JJ	vocal
more	JJR	more
vocals	NNS	vocal
African	JJ	African
and	CC	and
Latin	JJ	Latin
American	JJ	American
count	NN	count
than	IN	than
Middle	NP	Middle
East	NP	East
countries	NNS	country
uh	UH	uh
themselves	PP	themselves
so	IN	so
I	PP	I
think	VVP	think
it	PP	it
something	NN	something
can	MD	can
be	VB	be
done	VVN	do
that	IN/that	that
despite	IN	despite
the	DT	the
fact	NN	fact
that	IN/that	that
the	DT	the
Arab	JJ	Arab
leaders	NNS	leader
have	VHP	have
been	VBN	be
traveling	VVG	travel
visiting	VVG	visit
different	JJ	different
Capital	NP	Capital
trying	VVG	try
to	TO	to
gather	VV	gather
uh	UH	uh
diplomatic	JJ	diplomatic
uh	UH	uh
support	NN	support
to	TO	to
to	TO	to
different	JJ	different
initiatives	NNS	initiative
mediation	NN	mediation
etc	FW	etc
etc	FW	etc
but	CC	but
I	PP	I
think	VVP	think
that	IN/that	that
these	DT	these
kind	NN	kind
of	IN	of
legal	JJ	legal
measures	NNS	measure
can	MD	can
be	VB	be
also	RB	also
start	VV	start
from	IN	from
the	DT	the
Arab	JJ	Arab
countries	NNS	country
okay	RB	okay
thank	VVP	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
your	PP$	your
Insight	NP	Insight
we	PP	we
really	RB	really
do	VVP	do
appreciate	VV	appreciate
it	PP	it
this	DT	this
Luciano	NP	Luciano
zakara	NN	zakara
thank	VVP	thank
you	PP	you
</doc>	JJ	</doc>
