<video_id>q7QGdZjuItU</video_id>	JJ	<video_id>q7QGdZjuItU</video_id>
was	VBD	be
talk	NN	talk
of	IN	of
a	DT	a
post-war	JJ	post-war
Gaza	NP	Gaza
plan	NN	plan
that	WDT	that
would	MD	would
include	VV	include
the	DT	the
Palestinian	JJ	Palestinian
Authority	NP	Authority
extending	VVG	extend
its	PP$	its
governance	NN	governance
to	TO	to
the	DT	the
West	NP	West
Bank	NP	Bank
now	RB	now
that	IN/that	that
talk	NN	talk
has	VHZ	have
stopped	VVN	stop
for	IN	for
some	DT	some
reason	NN	reason
because	RB	because
is	VBZ	be
apart	RB	apart
from	IN	from
um	JJ	um
other	JJ	other
reasons	NNS	reason
Israel	NP	Israel
was	VBD	be
recalcitrant	JJ	recalcitrant
and	CC	and
defiant	JJ	defiant
and	CC	and
engaging	VVG	engage
it	PP	it
but	CC	but
now	RB	now
with	IN	with
this	DT	this
operation	NN	operation
Israel	NP	Israel
is	VBZ	be
weakening	VVG	weaken
the	DT	the
Palestinian	JJ	Palestinian
Authority	NP	Authority
to	TO	to
the	DT	the
point	NN	point
that	IN/that	that
there's	RB	there's
no	DT	no
there's	NNS	there's
not	RB	not
going	VVG	go
to	TO	to
be	VB	be
anyone	NN	anyone
to	TO	to
negotiate	VV	negotiate
with	IN	with
and	CC	and
that	DT	that
is	VBZ	be
the	DT	the
grand	JJ	grand
plan	NN	plan
that	IN/that	that
the	DT	the
government	NN	government
has	VHZ	have
when	WRB	when
you	PP	you
say	VVP	say
that	IN/that	that
uh	UH	uh
Israel	NP	Israel
is	VBZ	be
afraid	JJ	afraid
to	TO	to
Annex	NP	Annex
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
who	WP	who
or	CC	or
what	WP	what
are	VBP	be
they	PP	they
afraid	JJ	afraid
of	IN	of
you	PP	you
talking	VVG	talk
about	IN	about
the	DT	the
United	NP	United
States	NPS	States
here	RB	here
well	RB	well
no	RB	no
no	RB	no
no	RB	no
no	DT	no
well	RB	well
first	JJ	first
there's	NNS	there's
something	NN	something
very	RB	very
simple	JJ	simple
you	PP	you
know	VVP	know
between	IN	between
the	DT	the
Jordan	NP	Jordan
River	NP	River
on	IN	on
the	DT	the
East	NP	East
and	CC	and
the	DT	the
Mediterranean	JJ	Mediterranean
uh	UH	uh
Sea	NP	Sea
on	IN	on
the	DT	the
west	NN	west
there	EX	there
are	VBP	be
roughly	RB	roughly
15	CD	@card@
million	CD	million
people	NNS	people
and	CC	and
the	DT	the
uh	UH	uh
um	NN	um
the	DT	the
distribution	NN	distribution
is	VBZ	be
50%	CD	@card@
Israeli	JJ	Israeli
Jews	NNS	jew
50%	CD	@card@
Palestinian	JJ	Palestinian
Arabs	NNS	Arab
you	PP	you
take	VVP	take
take	VV	take
a	DT	a
percentage	NN	percentage
off	IN	off
here	RB	here
and	CC	and
there	RB	there
it	PP	it
doesn't	VVD	doesn't
matter	NN	matter
in	IN	in
terms	NNS	term
of	IN	of
demographics	NNS	demographic
it's	NNS	it's
an	DT	an
equilibrium	NN	equilibrium
that	WDT	that
means	VVZ	mean
that	IN/that	that
if	IN	if
Israel	NP	Israel
an	DT	an
next	JJ	next
territories	NNS	territory
with	IN	with
population	NN	population
not	RB	not
only	RB	only
is	VBZ	be
it	PP	it
illegal	JJ	illegal
from	IN	from
an	DT	an
international	JJ	international
point	NN	point
of	IN	of
view	NN	view
let's	NNS	let's
assume	VVP	assume
that	IN/that	that
Israel	NP	Israel
is	VBZ	be
uh	UH	uh
not	RB	not
worried	VVN	worry
and	CC	and
not	RB	not
concerned	VVN	concern
by	IN	by
that	DT	that
uh	UH	uh
um	NN	um
aspect	NN	aspect
but	CC	but
in	IN	in
terms	NNS	term
of	IN	of
of	IN	of
of	IN	of
governance	NN	governance
uh	UH	uh
uh	UH	uh
what	WP	what
are	VBP	be
you	PP	you
going	VVG	go
to	TO	to
do	VV	do
are	VBP	be
you	PP	you
going	VVG	go
to	TO	to
INF	NP	INF
franchise	NN	franchise
the	DT	the
Palestinians	NPS	Palestinians
that's	JJ	that's
fine	NN	fine
that's	NNS	that's
okay	JJ	okay
um	NN	um
that	WDT	that
means	VVZ	mean
a	DT	a
one	CD	one
by	IN	by
National	NP	National
State	NP	State
uh	UH	uh
the	DT	the
chances	NNS	chance
of	IN	of
that	WDT	that
are	VBP	be
working	VVG	work
are	VBP	be
lower	JJR	low
than	IN	than
zero	CD	zero
just	RB	just
look	VVP	look
at	IN	at
Yugoslavia	NP	Yugoslavia
um	NN	um
is	VBZ	be
Israel	NP	Israel
going	VVG	go
to	TO	to
disenfranchise	VV	disenfranchise
the	DT	the
Palestinians	NPS	Palestinians
well	RB	well
then	RB	then
you	PP	you
have	VHP	have
a	DT	a
fullblown	JJ	fullblown
apite	NN	apite
state	NN	state
something	NN	something
which	WDT	which
I	PP	I
don't	VVD	don't
think	NN	think
exists	VVZ	exist
now	RB	now
although	IN	although
know	VVP	know
that	RB	that
let	VV	let
me	PP	me
jump	VV	jump
in	IN	in
there	RB	there
because	IN	because
many	JJ	many
Palestinians	NNS	Palestinian
of	IN	of
course	NN	course
would	MD	would
argue	VV	argue
that	IN/that	that
what	WP	what
we're	NN	we're
seeing	VVG	see
and	CC	and
what	WP	what
is	VBZ	be
supported	VVN	support
by	IN	by
this	DT	this
right-wing	JJ	right-wing
Israeli	JJ	Israeli
government	NN	government
is	VBZ	be
already	RB	already
a	DT	a
form	NN	form
of	IN	of
creeping	VVG	creep
annexation	NN	annexation
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
accelerated	VVN	accelerate
settlement	NN	settlement
building	VVG	build
well	UH	well
yes	UH	yes
I	PP	I
I	NP	I
I	NP	I
I	PP	I
I	PP	I
know	VVP	know
that	IN/that	that
argument	NN	argument
I'm	NN	I'm
familiar	JJ	familiar
with	IN	with
that	DT	that
argument	NN	argument
but	CC	but
if	IN	if
you	PP	you
look	VVP	look
at	IN	at
the	DT	the
map	NN	map
closely	RB	closely
NE	RB	ne
you	PP	you
will	MD	will
see	VV	see
that	IN/that	that
the	DT	the
expansion	NN	expansion
of	IN	of
settlements	NNS	settlement
which	WDT	which
I	PP	I
am	VBP	be
not	RB	not
uh	UH	uh
um	NNS	um
advocating	VVG	advocate
one	CD	one
bit	NN	bit
but	CC	but
the	DT	the
expansion	NN	expansion
of	IN	of
settlements	NNS	settlement
or	CC	or
in	IN	in
the	DT	the
three	CD	three
settlement	NN	settlement
blocks	VVZ	block
that	IN/that	that
even	RB	even
if	IN	if
you	PP	you
go	VVP	go
back	RB	back
to	TO	to
the	DT	the
Clinton	NP	Clinton
parameters	NNS	parameter
following	VVG	follow
Camp	NP	Camp
David	NP	David
in	IN	in
the	DT	the
year	NN	year
of	IN	of
2000	CD	@card@
uh	UH	uh
24	CD	@card@
years	NNS	year
ago	RB	ago
uh	UH	uh
these	DT	these
settlement	NN	settlement
blocks	NNS	block
will	MD	will
be	VB	be
annexed	VVN	annex
to	TO	to
Israel	NP	Israel
in	IN	in
in	IN	in
uh	UH	uh
according	VVG	accord
to	TO	to
those	DT	those
parameters	NNS	parameter
according	VVG	accord
to	TO	to
that	DT	that
plan	NN	plan
now	RB	now
I	PP	I
don't	VVD	don't
know	VV	know
how	WRB	how
relevant	JJ	relevant
that	DT	that
plan	NN	plan
is	VBZ	be
today	RB	today
how	WRB	how
applicable	JJ	applicable
it	PP	it
is	VBZ	be
it	PP	it
probably	RB	probably
isn't	VVD	isn't
we	PP	we
need	VVP	need
to	TO	to
look	VV	look
at	IN	at
different	JJ	different
modalities	NNS	modality
but	CC	but
you're	NN	you're
not	RB	not
going	VVG	go
to	TO	to
find	VV	find
any	DT	any
modalities	NNS	modality
if	IN	if
you're	NN	you're
weakening	VVG	weaken
the	DT	the
Palestinian	JJ	Palestinian
Authority	NP	Authority
into	IN	into
complete	JJ	complete
dysfunction	NN	dysfunction
which	WDT	which
is	VBZ	be
why	WRB	why
I	PP	I
understand	VVP	understand
when	WRB	when
people	NNS	people
are	VBP	be
saying	VVG	say
as	IN	as
you	PP	you
just	RB	just
said	VVD	say
Neeve	NP	Neeve
that	IN/that	that
they	PP	they
uh	UH	uh
that	IN/that	that
there's	RB	there's
a	DT	a
creeping	VVG	creep
annexation	NN	annexation
uh	UH	uh
but	CC	but
but	CC	but
it's	NNS	it's
not	RB	not
real	JJ	real
annexation	NN	annexation
because	IN	because
that	WDT	that
has	VHZ	have
legal	JJ	legal
uh	UH	uh
implications	NNS	implication
that	IN/that	that
Israel	NP	Israel
has	VHZ	have
not	RB	not
used	VVN	use
until	IN	until
now	RB	now
okay	JJ	okay
I'm	NP	I'm
very	JJ	very
keen	NN	keen
to	TO	to
uh	UH	uh
cast	VV	cast
an	DT	an
eye	NN	eye
on	IN	on
what's	NNS	what's
going	VVG	go
on	IN	on
inside	IN	inside
Israel	NP	Israel
on	IN	on
the	DT	the
power	NN	power
play	VV	play
the	DT	the
power	NN	power
dynamics	NNS	dynamics
of	IN	of
play	NN	play
at	IN	at
the	DT	the
moment	NN	moment
there	RB	there
I	PP	I
mean	VVP	mean
you	PP	you
recently	RB	recently
wrote	VVD	write
that	IN/that	that
Israel's	NP	Israel's
entire	JJ	entire
political	JJ	political
opposition	NN	opposition
should	MD	should
resign	VV	resign
as	IN	as
a	DT	a
form	NN	form
of	IN	of
resistance	NN	resistance
to	TO	to
Netanyahu	NP	Netanyahu
is	VBZ	be
that	IN/that	that
what	WP	what
you	PP	you
meant	VVD	mean
by	IN	by
that	IN/that	that
yeah	RB	yeah
yeah	RB	yeah
yeah	RB	yeah
yeah	RB	yeah
it's	NNS	it's
explained	VVN	explain
in	IN	in
the	DT	the
article	NN	article
itself	PP	itself
look	VV	look
uh	UH	uh
uh	UH	uh
the	DT	the
opposition	NN	opposition
has	VHZ	have
been	VBN	be
very	RB	very
weak	JJ	weak
very	RB	very
feeble	JJ	feeble
very	RB	very
uh	UH	uh
lethargic	JJ	lethargic
U	NP	U
um	NNS	um
out	RP	out
of	IN	of
ideas	NNS	idea
devoid	JJ	devoid
of	IN	of
any	DT	any
creativity	NN	creativity
what	WP	what
I	PP	I
asked	VVD	ask
them	PP	them
to	TO	to
do	VV	do
obviously	RB	obviously
in	IN	in
an	DT	an
article	NN	article
not	RB	not
not	RB	not
that	IN/that	that
I	PP	I
had	VHD	have
any	DT	any
expectations	NNS	expectation
of	IN	of
them	PP	them
actually	RB	actually
rising	VVG	rise
to	TO	to
the	DT	the
occasion	NN	occasion
is	VBZ	be
to	TO	to
unilaterally	RB	unilaterally
and	CC	and
collectively	RB	collectively
resign	VV	resign
from	IN	from
Parliament	NP	Parliament
that's	NNS	that's
a	DT	a
constitutional	JJ	constitutional
crisis	NN	crisis
that	WDT	that
essentially	RB	essentially
will	MD	will
bring	VV	bring
down	RP	down
the	DT	the
government	NN	government
now	RB	now
you	PP	you
can	MD	can
you	PP	you
can	MD	can
find	VV	find
57	CD	@card@
reasons	NNS	reason
why	WRB	why
it	PP	it
won't	VVD	won't
happen	VV	happen
I	PP	I
I	PP	I
subscribe	VVP	subscribe
to	TO	to
all	DT	all
of	IN	of
them	PP	them
but	CC	but
my	PP$	my
point	NN	point
is	VBZ	be
the	DT	the
dynamic	JJ	dynamic
right	NN	right
now	RB	now
is	VBZ	be
that	IN/that	that
there	EX	there
is	VBZ	be
an	DT	an
extraordinarily	RB	extraordinarily
unpopular	JJ	unpopular
prime	JJ	prime
minister	NN	minister
the	DT	the
latest	JJS	late
poll	NN	poll
from	IN	from
yesterday	NN	yesterday
shows	VVZ	show
that	IN/that	that
nearly	RB	nearly
70%	CD	@card@
of	IN	of
Israelis	NNS	Israeli
want	VVP	want
him	PP	him
to	TO	to
resign	VV	resign
including	VVG	include
including	VVG	include
46%	CD	@card@
of	IN	of
people	NNS	people
who	WP	who
said	VVD	say
they	PP	they
had	VHD	have
voted	VVN	vote
for	IN	for
him	PP	him
in	IN	in
in	IN	in
the	DT	the
latest	JJS	late
election	NN	election
that	WDT	that
was	VBD	be
2022	CD	@card@
just	RB	just
two	CD	two
years	NNS	year
ago	RB	ago
um	RB	um
yet	RB	yet
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
his	PP$	his
his	PP$	his
parliamentary	JJ	parliamentary
blot	NN	blot
is	VBZ	be
is	VBZ	be
uh	UH	uh
pretty	RB	pretty
stable	JJ	stable
despite	IN	despite
what	WP	what
many	JJ	many
including	VVG	include
me	PP	me
uh	UH	uh
many	JJ	many
people	NNS	people
thought	VVN	think
uh	UH	uh
uh	UH	uh
that	IN/that	that
it	PP	it
would	MD	would
crumble	VV	crumble
it	PP	it
didn't	JJ	didn't
uh	UH	uh
you	PP	you
know	VVP	know
the	DT	the
uh	UH	uh
uh	UH	uh
the	DT	the
scent	NN	scent
of	IN	of
power	NN	power
intoxicates	VVZ	intoxicate
them	PP	them
too	RB	too
much	RB	much
um	JJ	um
but	CC	but
uh	UH	uh
that	IN/that	that
that	DT	that
is	VBZ	be
why	WRB	why
I	PP	I
call	VVP	call
for	IN	for
the	DT	the
opposition	NN	opposition
to	TO	to
do	VV	do
you	PP	you
know	VV	know
a	DT	a
Hail	NP	Hail
Mary	NP	Mary
if	IN	if
you	PP	you
will	MD	will
to	TO	to
borrow	VV	borrow
a	DT	a
Christian	JJ	Christian
term	NN	term
and	CC	and
do	VV	do
something	NN	something
out	RP	out
of	IN	of
the	DT	the
box	NN	box
out	RP	out
of	IN	of
the	DT	the
box	NN	box
I'm	NN	I'm
sorry	RB	sorry
out	RB	out
of	IN	of
the	DT	the
ordinary	JJ	ordinary
um	NN	um
I	PP	I
don't	VVD	don't
have	VH	have
any	DT	any
hopes	VVZ	hope
that	IN/that	that
they	PP	they
will	MD	will
do	VV	do
so	RB	so
but	CC	but
again	RB	again
um	JJ	um
Mr	NP	Mr
netan	NN	netan
is	VBZ	be
doing	VVG	do
something	NN	something
uh	UH	uh
uh	UH	uh
very	RB	very
problematic	JJ	problematic
here	RB	here
very	RB	very
ominous	JJ	ominous
here	RB	here
and	CC	and
that	IN/that	that
he	PP	he
is	VBZ	be
creating	VVG	create
a	DT	a
situation	NN	situation
an	DT	an
environment	NN	environment
in	IN	in
which	WDT	which
further	JJR	further
negotiations	NNS	negotiation
with	IN	with
the	DT	the
Palestinians	NNS	Palestinian
three	CD	three
four	CD	four
five	CD	five
years	NNS	year
from	IN	from
now	RB	now
would	MD	would
probably	RB	probably
impossible	JJ	impossible
because	RB	because
be	VB	be
impossible	JJ	impossible
because	IN	because
of	IN	of
the	DT	the
uh	UH	uh
weakness	NN	weakness
and	CC	and
the	DT	the
fragility	NN	fragility
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
Authority	NP	Authority
Alon	NP	Alon
pigas	VV	pigas
uh	UH	uh
former	JJ	former
Israeli	JJ	Israeli
Diplomat	NN	diplomat
and	CC	and
ex	JJ	ex
Ambassador	NN	ambassador
and	CC	and
conso	NN	conso
general	NN	general
of	IN	of
Israel	NP	Israel
in	IN	in
New	NP	New
York	NP	York
it's	NN	it's
been	VBN	be
uh	UH	uh
really	RB	really
good	JJ	good
to	TO	to
hear	VV	hear
your	PP$	your
thoughts	NNS	thought
and	CC	and
all	DT	all
of	IN	of
that	WDT	that
thanks	NNS	thanks
for	IN	for
joining	VVG	join
us	PP	us
now	RB	now
Jer	NN	Jer
thank	VVP	thank
you	PP	you
any	DT	any
make	VVP	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jazer	NN	jazer
</doc>	NN	</doc>
