<video_id>Fbelo3US5gY</video_id>	JJ	<video_id>Fbelo3US5gY</video_id>
and	CC	and
in	IN	in
southern	JJ	southern
Israel	NP	Israel
preparations	NNS	preparation
are	VBP	be
now	RB	now
being	VBG	be
made	VVN	make
for	IN	for
evacuations	NNS	evacuation
to	TO	to
IAT	NP	IAT
alzer's	NP	alzer's
Theresa	NP	Theresa
Bo	NP	Bo
is	VBZ	be
there	RB	there
for	IN	for
us	PP	us
Teresa	NP	Teresa
what	WDT	what
sort	VVP	sort
of	IN	of
scale	NN	scale
are	VBP	be
we	PP	we
talking	VVG	talk
about	RB	about
here	RB	here
well	RB	well
I'm	NN	I'm
here	RB	here
in	IN	in
aad	NN	aad
this	DT	this
is	VBZ	be
right	RB	right
next	JJ	next
to	TO	to
the	DT	the
Red	NP	Red
Sea	NP	Sea
this	DT	this
is	VBZ	be
a	DT	a
tourist	NN	tourist
destination	NN	destination
that's	NNS	that's
now	RB	now
been	VBN	be
overwhelmed	VVN	overwhelm
with	IN	with
thousands	NNS	thousand
and	CC	and
thousands	NNS	thousand
of	IN	of
people	NNS	people
being	VBG	be
evacuated	VVN	evacuate
to	TO	to
this	DT	this
place	NN	place
because	IN	because
it's	NNS	it's
safer	JJR	safe
from	IN	from
the	DT	the
rockets	NNS	rocket
that	WDT	that
are	VBP	be
coming	VVG	come
from	IN	from
Gaza	NP	Gaza
you	PP	you
can	MD	can
see	VV	see
that	IN/that	that
several	JJ	several
of	IN	of
the	DT	the
shops	NNS	shop
around	RB	around
here	RB	here
are	VBP	be
open	JJ	open
now	RB	now
there's	RB	there's
some	DT	some
music	NN	music
playing	NN	playing
but	CC	but
still	RB	still
people	NNS	people
are	VBP	be
coming	VVG	come
to	TO	to
this	DT	this
part	NN	part
of	IN	of
the	DT	the
country	NN	country
mostly	RB	mostly
evacuated	VVN	evacuate
from	IN	from
the	DT	the
southern	JJ	southern
part	NN	part
of	IN	of
Israel's	NP	Israel's
surrounding	VVG	surround
areas	NNS	area
from	IN	from
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
but	CC	but
also	RB	also
from	IN	from
northern	JJ	northern
uh	UH	uh
Israel	NP	Israel
where	WRB	where
people	NNS	people
are	VBP	be
fleeing	VVG	flee
the	DT	the
latest	JJS	late
fighting	NN	fighting
between	IN	between
Hezbollah	NP	Hezbollah
and	CC	and
the	DT	the
Israeli	JJ	Israeli
military	NN	military
the	DT	the
government	NN	government
has	VHZ	have
evacuated	VVN	evacuate
around	IN	around
200,000	CD	@card@
people	NNS	people
all	DT	all
around	IN	around
the	DT	the
country	NN	country
but	CC	but
not	RB	not
everything	NN	everything
is	VBZ	be
going	VVG	go
as	RB	as
planned	VVN	plan
with	IN	with
hurts	NNS	hurt
lots	NNS	lot
of	IN	of
reports	NNS	report
for	IN	for
example	NN	example
that	IN/that	that
some	DT	some
of	IN	of
the	DT	the
evacuations	NNS	evacuation
were	VBD	be
halted	VVN	halt
in	IN	in
kimona	NN	kimona
that's	NNS	that's
in	IN	in
Northern	NP	Northern
Israel	NP	Israel
because	IN	because
there	EX	there
were	VBD	be
not	RB	not
enough	JJ	enough
hotel	NN	hotel
rooms	NNS	room
people	NNS	people
were	VBD	be
brought	VVN	bring
here	RB	here
and	CC	and
they're	RB	they're
staying	VVG	stay
in	IN	in
many	JJ	many
of	IN	of
the	DT	the
hotels	NNS	hotel
that	IN/that	that
you	PP	you
can	MD	can
see	VV	see
right	RB	right
behind	IN	behind
me	PP	me
around	IN	around
60,000	CD	@card@
people	NNS	people
were	VBD	be
brought	VVN	bring
here	RB	here
the	DT	the
mayor	NN	mayor
of	IN	of
uh	UH	uh
this	DT	this
city	NN	city
is	VBZ	be
saying	VVG	say
that	IN/that	that
they	PP	they
do	VVP	do
not	RB	not
have	VH	have
any	DT	any
more	JJR	more
rooms	NNS	room
that	IN/that	that
they	PP	they
need	VVP	need
assistance	NN	assistance
from	IN	from
the	DT	the
federal	JJ	federal
government	NN	government
uh	UH	uh
they're	NN	they're
also	RB	also
saying	VVG	say
that	IN/that	that
if	IN	if
people	NNS	people
continue	VVP	continue
to	TO	to
arrive	VV	arrive
here	RB	here
it's	NNS	it's
going	VVG	go
to	TO	to
the	DT	the
city	NN	city
is	VBZ	be
going	VVG	go
to	TO	to
collapse	VV	collapse
uh	UH	uh
they	PP	they
also	RB	also
we've	VVP	we've
been	VBN	be
hearing	VVG	hear
reports	NNS	report
that	IN/that	that
there	EX	there
could	MD	could
be	VB	be
a	DT	a
tent	NN	tent
city	NN	city
not	RB	not
far	RB	far
away	RB	away
from	IN	from
where	WRB	where
I	PP	I
am	VBP	be
right	RB	right
now	RB	now
for	IN	for
60,000	CD	@card@
people	NNS	people
it	PP	it
would	MD	would
have	VH	have
a	DT	a
medical	JJ	medical
facilities	NNS	facility
it	PP	it
would	MD	would
also	RB	also
uh	UH	uh
have	VH	have
a	DT	a
school	NN	school
for	IN	for
example	NN	example
if	IN	if
the	DT	the
situation	NN	situation
continues	VVZ	continue
to	TO	to
escalate	VV	escalate
uh	UH	uh
Teresa	NP	Teresa
you	PP	you
talk	VVP	talk
about	RB	about
potential	JJ	potential
escalation	NN	escalation
I	PP	I
know	VVP	know
tensions	NNS	tension
have	VHP	have
already	RB	already
been	VBN	be
running	VVG	run
High	JJ	high
what's	NNS	what's
the	DT	the
mood	NN	mood
like	IN	like
on	IN	on
the	DT	the
ground	NN	ground
there	RB	there
now	RB	now
well	RB	well
there's	RB	there's
lots	NNS	lot
of	IN	of
Enon	NP	Enon
on	IN	on
the	DT	the
ground	NN	ground
not	RB	not
specifically	RB	specifically
here	RB	here
because	IN	because
it's	NNS	it's
considered	VVN	consider
to	TO	to
be	VB	be
a	DT	a
safe	JJ	safe
area	NN	area
but	CC	but
people	NNS	people
are	VBP	be
still	RB	still
afraid	JJ	afraid
they're	NN	they're
still	RB	still
angry	JJ	angry
they're	NN	they're
still	RB	still
in	IN	in
shock	NN	shock
about	IN	about
what	WP	what
happened	VVD	happen
we've	NN	we've
been	VBN	be
talking	VVG	talk
to	TO	to
many	JJ	many
of	IN	of
them	PP	them
and	CC	and
many	JJ	many
support	NN	support
a	DT	a
ground	NN	ground
Invasion	NN	invasion
with	IN	with
Gaza	NP	Gaza
they	PP	they
want	VVP	want
the	DT	the
Israeli	JJ	Israeli
government	NN	government
to	TO	to
be	VB	be
done	VVN	do
with	IN	with
Hamas	NNS	Hamas
with	IN	with
the	DT	the
Islamic	NP	Islamic
Jihad	NP	Jihad
among	IN	among
others	NNS	other
but	CC	but
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
earlier	RBR	earlier
today	NN	today
we	PP	we
were	VBD	be
in	IN	in
some	DT	some
centers	NNS	center
where	WRB	where
they're	JJ	they're
Distributing	NN	distributing
clothes	NNS	clothes
to	TO	to
those	DT	those
who	WP	who
had	VHD	have
to	TO	to
flee	VV	flee
they	PP	they
had	VHD	have
left	VVN	leave
everything	NN	everything
behind	IN	behind
and	CC	and
they're	NN	they're
living	NN	living
here	RB	here
right	RB	right
now	RB	now
and	CC	and
also	RB	also
there's	RB	there's
a	DT	a
sense	NN	sense
sentiment	NN	sentiment
that	IN/that	that
some	DT	some
people	NNS	people
do	VVP	do
want	VV	want
peace	NN	peace
they're	NN	they're
saying	VVG	say
that	DT	that
it's	NN	it's
time	NN	time
for	IN	for
something	NN	something
different	JJ	different
to	TO	to
happen	VV	happen
in	IN	in
Israel	NP	Israel
I	PP	I
think	VVP	think
that	IN/that	that
what's	NNS	what's
extremely	RB	extremely
interesting	JJ	interesting
that	WDT	that
is	VBZ	be
happening	VVG	happen
here	RB	here
is	VBZ	be
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
government	NN	government
is	VBZ	be
trying	VVG	try
to	TO	to
keep	VV	keep
the	DT	the
morale	NN	morale
High	JJ	high
uh	UH	uh
they're	NN	they're
trying	VVG	try
to	TO	to
tell	VV	tell
people	NNS	people
that	IN/that	that
they're	NN	they're
going	VVG	go
to	TO	to
win	VV	win
this	DT	this
war	NN	war
that	IN/that	that
this	DT	this
situation	NN	situation
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
over	IN	over
soon	RB	soon
but	CC	but
when	WRB	when
you	PP	you
talk	VVP	talk
to	TO	to
people	NNS	people
on	IN	on
the	DT	the
ground	NN	ground
nobody	NN	nobody
knows	VVZ	know
exactly	RB	exactly
whether	IN	whether
that	DT	that
will	MD	will
happen	VV	happen
they	PP	they
feel	VV	feel
afraid	JJ	afraid
they	PP	they
feel	VVP	feel
threatened	JJ	threatened
and	CC	and
many	JJ	many
are	VBP	be
saying	VVG	say
and	CC	and
many	JJ	many
have	VHP	have
told	VVN	tell
us	PP	us
actually	RB	actually
that	IN/that	that
they	PP	they
blame	VVP	blame
president	NN	president
Benjamin	NP	Benjamin
Teresa	NP	Teresa
Bo	NP	Bo
there	RB	there
on	IN	on
the	DT	the
ground	NN	ground
for	IN	for
us	PP	us
with	IN	with
the	DT	the
latest	JJS	late
from	IN	from
ISAT	NP	ISAT
thank	VV	thank
you	PP	you
Teresa	NP	Teresa
</doc>	NN	</doc>
