<video_id>uEJHMZf4nEo</video_id>	JJ	<video_id>uEJHMZf4nEo</video_id>
presence	NN	presence
nothing	NN	nothing
at	IN	at
all	DT	all
just	JJ	just
thousands	NNS	thousand
of	IN	of
Palestinians	NPS	Palestinians
here	RB	here
many	JJ	many
of	IN	of
whom	WP	whom
have	VHP	have
lost	VVN	lose
their	PP$	their
homes	NNS	home
thousands	NNS	thousand
of	IN	of
others	NNS	other
are	VBP	be
seeking	VVG	seek
shelter	NN	shelter
in	IN	in
UNR	NP	UNR
schools	NNS	school
and	CC	and
Israel	NP	Israel
is	VBZ	be
targeting	VVG	target
every	DT	every
single	JJ	single
building	NN	building
around	IN	around
Al's	NP	Al's
Hospital	NP	Hospital
why	WRB	why
is	VBZ	be
that	IN/that	that
nobody	NN	nobody
knows	VVZ	know
join	VV	join
me	PP	me
now	RB	now
is	VBZ	be
Al	NP	Al
jazer	NN	jazer
correspondent	NN	correspondent
hanni	NP	Hanni
Mahmud	NP	Mahmud
who	WP	who
joins	VVZ	join
us	PP	us
from	IN	from
KH	NP	KH
Unice	NP	Unice
inside	IN	inside
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
uh	UH	uh
for	IN	for
the	DT	the
for	IN	for
for	IN	for
the	DT	the
last	JJ	last
uh	UH	uh
few	JJ	few
minutes	VVZ	minute
uh	UH	uh
hany	NN	hany
I	PP	I
believe	VVP	believe
that	DT	that
you've	NN	you've
been	VBN	be
taking	VVG	take
shelter	NN	shelter
as	IN	as
well	RB	well
what	WP	what
is	VBZ	be
the	DT	the
situation	NN	situation
like	IN	like
there	RB	there
[Music]	JJ	[Music]
now	RB	now
yes	RB	yes
well	RB	well
within	IN	within
the	DT	the
past	JJ	past
30	CD	@card@
minutes	NNS	minute
or	CC	or
so	RB	so
uh	UH	uh
loud	JJ	loud
explosions	NNS	explosion
were	VBD	be
heard	VVN	hear
uh	UH	uh
within	IN	within
the	DT	the
vicinity	NN	vicinity
uh	UH	uh
of	IN	of
the	DT	the
hospital	NN	hospital
we	PP	we
later	RBR	later
learned	VVD	learn
it	PP	it
was	VBD	be
in	IN	in
Benny	NP	Benny
sahila	NP	sahila
area	NN	area
that's	NNS	that's
a	DT	a
little	JJ	little
bit	NN	bit
far	RB	far
from	IN	from
the	DT	the
hospital	NN	hospital
but	CC	but
because	IN	because
of	IN	of
the	DT	the
loud	JJ	loud
explosions	NNS	explosion
everybody	NN	everybody
thought	VVD	think
it	PP	it
was	VBD	be
a	DT	a
close	NN	close
very	RB	very
very	RB	very
close	NN	close
to	TO	to
uh	UH	uh
the	DT	the
the	DT	the
the	DT	the
hospital	NN	hospital
uh	UH	uh
it	PP	it
was	VBD	be
an	DT	an
F-16	NP	F-16
uh	UH	uh
air	NN	air
strikes	NNS	strike
on	IN	on
on	IN	on
a	DT	a
residential	JJ	residential
area	NN	area
and	CC	and
open	VV	open
uh	UH	uh
area	NN	area
uh	UH	uh
by	IN	by
the	DT	the
time	NN	time
we	PP	we
heard	VVD	hear
the	DT	the
explosion	NN	explosion
we	PP	we
just	RB	just
uh	UH	uh
took	VVD	take
shelter	NN	shelter
inside	IN	inside
uh	UH	uh
the	DT	the
building	NN	building
of	IN	of
the	DT	the
hospital	NN	hospital
I	PP	I
was	VBD	be
mainly	RB	mainly
at	IN	at
the	DT	the
main	JJ	main
entrance	NN	entrance
of	IN	of
the	DT	the
emergency	NN	emergency
uh	UH	uh
Department	NP	Department
uh	UH	uh
waiting	VVG	wait
for	IN	for
for	IN	for
things	NNS	thing
to	TO	to
settle	VV	settle
down	IN	down
we	PP	we
could	MD	could
see	VV	see
smoke	NN	smoke
rising	VVG	rise
in	IN	in
the	DT	the
sky	NN	sky
dark	JJ	dark
smoke	NN	smoke
and	CC	and
that's	NNS	that's
when	WRB	when
that	WDT	that
normally	RB	normally
happens	VVZ	happen
uh	UH	uh
we	PP	we
think	VVP	think
we	PP	we
we	PP	we
we	PP	we
know	VVP	know
right	RB	right
away	RB	away
it's	JJ	it's
a	DT	a
it's	NN	it's
a	DT	a
residential	JJ	residential
home	NN	home
or	CC	or
building	NN	building
that's	NNS	that's
being	VBG	be
targeted	VVN	target
uh	UH	uh
the	DT	the
situations	NNS	situation
are	VBP	be
still	RB	still
intense	JJ	intense
there	EX	there
are	VBP	be
more	JJR	more
more	JJR	more
air	NN	air
strikes	NNS	strike
and	CC	and
and	CC	and
bombardment	NN	bombardment
going	VVG	go
on	IN	on
in	IN	in
different	JJ	different
uh	UH	uh
parts	NNS	part
of	IN	of
of	IN	of
hunis	NNS	hunis
uh	UH	uh
because	IN	because
of	IN	of
disabled	JJ	disabled
Communications	NP	Communications
the	DT	the
paramedics	NN	paramedics
and	CC	and
civil	JJ	civil
defense	NN	defense
personel	NN	personel
could	MD	could
not	RB	not
locate	VV	locate
the	DT	the
the	DT	the
site	NN	site
of	IN	of
the	DT	the
the	DT	the
targeted	JJ	targeted
area	NN	area
right	NN	right
away	IN	away
uh	UH	uh
which	WDT	which
forced	JJ	forced
people	NNS	people
who	WP	who
were	VBD	be
in	IN	in
that	WDT	that
are	VBP	be
to	TO	to
take	VV	take
injuries	NNS	injury
to	TO	to
surrounding	VVG	surround
medical	JJ	medical
centers	NNS	center
and	CC	and
a	DT	a
Smalls	NP	Smalls
size	NN	size
hospitals	NNS	hospital
uh	UH	uh
we	PP	we
believe	VV	believe
uh	UH	uh
if	IN	if
if	IN	if
if	IN	if
the	DT	the
med	NN	med
more	RBR	more
medical	JJ	medical
uh	UH	uh
intervention	NN	intervention
needed	VVD	need
those	DT	those
injur	NN	injur
injuries	NNS	injury
will	MD	will
be	VB	be
brought	VVN	bring
and	CC	and
transferred	VVN	transfer
to	TO	to
uh	UH	uh
to	TO	to
the	DT	the
hospital	NN	hospital
later	RBR	later
on	IN	on
so	RB	so
expecting	VVG	expect
them	PP	them
at	IN	at
any	DT	any
time	NN	time
to	TO	to
come	VV	come
here	RB	here
and	CC	and
of	IN	of
course	NN	course
the	DT	the
bombardment	NN	bombardment
uh	UH	uh
in	IN	in
and	CC	and
around	IN	around
Al's	NP	Al's
Hospital	NP	Hospital
uh	UH	uh
in	IN	in
central	JJ	central
Gaza	NP	Gaza
is	VBZ	be
concerning	VVG	concern
uh	UH	uh
many	JJ	many
people	NNS	people
including	VVG	include
the	DT	the
director	NN	director
of	IN	of
the	DT	the
hospital	NN	hospital
okay	VV	okay
yes	UH	yes
well	RB	well
we	PP	we
just	JJ	just
uh	UH	uh
read	VV	read
a	DT	a
statement	NN	statement
made	VVN	make
by	IN	by
the	DT	the
director	NN	director
of	IN	of
alud	NP	alud
Hospital	NP	Hospital
appealing	VVG	appeal
to	TO	to
uh	UH	uh
everyone	NN	everyone
just	RB	just
to	TO	to
stand	NN	stand
between	IN	between
uh	UH	uh
between	IN	between
the	DT	the
uh	UH	uh
Israel	NP	Israel
and	CC	and
the	DT	the
the	DT	the
destruction	NN	destruction
uh	UH	uh
of	IN	of
the	DT	the
hospital	NN	hospital
so	IN	so
it	PP	it
doesn't	VVD	doesn't
happen	VV	happen
uh	UH	uh
there	EX	there
are	VBP	be
more	JJR	more
than	IN	than
14,000	CD	@card@
people	NNS	people
inside	IN	inside
the	DT	the
hospital	NN	hospital
including	VVG	include
patients	NNS	patient
and	CC	and
and	CC	and
the	DT	the
the	DT	the
the	DT	the
the	DT	the
hospital	NN	hospital
uh	UH	uh
Administration	NN	administration
as	IN	as
well	UH	well
uh	UH	uh
so	RB	so
earlier	RBR	earlier
this	DT	this
day	NN	day
a	DT	a
sharp	JJ	sharp
warning	NN	warning
was	VBD	be
sent	VVN	send
to	TO	to
the	DT	the
Palestinian	JJ	Palestinian
Crescent	NP	Crescent
uh	UH	uh
to	TO	to
uh	UH	uh
uh	UH	uh
to	TO	to
evacuate	VV	evacuate
the	DT	the
hospital	NN	hospital
uh	UH	uh
but	CC	but
people	NNS	people
have	VHP	have
nowhere	RB	nowhere
to	TO	to
go	VV	go
as	IN	as
there	EX	there
is	VBZ	be
no	UH	no
uh	UH	uh
safe	RB	safe
place	VV	place
uh	UH	uh
to	TO	to
go	VV	go
to	TO	to
uh	UH	uh
we	PP	we
do	VVP	do
have	VH	have
a	DT	a
a	DT	a
guest	NN	guest
with	IN	with
us	PP	us
here	RB	here
uh	UH	uh
she	PP	she
is	VBZ	be
an	DT	an
evacuate	VVP	evacuate
from	IN	from
Gaza	NP	Gaza
City	NP	City
and	CC	and
we	PP	we
we	PP	we
intended	VVD	intend
to	TO	to
ask	VV	ask
her	PP	her
about	IN	about
the	DT	the
daily	JJ	daily
humanitarian	JJ	humanitarian
uh	UH	uh
situations	NNS	situation
that	IN/that	that
she's	NNS	she's
going	VVG	go
through	IN	through
with	IN	with
her	PP$	her
her	PP$	her
family	NN	family
uh	UH	uh
and	CC	and
basma	NN	basma
we	PP	we
need	VVP	need
to	TO	to
know	VV	know
about	IN	about
the	DT	the
condition	NN	condition
we	PP	we
are	VBP	be
in	IN	in
Gaza	NP	Gaza
we	PP	we
are	VBP	be
okay	JJ	okay
but	CC	but
they	PP	they
asked	VVD	ask
us	PP	us
to	TO	to
leave	VV	leave
and	CC	and
the	DT	the
north	NN	north
of	IN	of
Gaza	NP	Gaza
and	CC	and
to	TO	to
go	VV	go
towards	IN	towards
the	DT	the
South	NP	South
we	PP	we
have	VHP	have
left	VVN	leave
the	DT	the
North	JJ	North
and	CC	and
we	PP	we
went	VVD	go
to	TO	to
the	DT	the
South	NP	South
we	PP	we
came	VVD	come
to	TO	to
uh	UH	uh
our	PP$	our
Rel	NNS	Rel
here	RB	here
I	PP	I
don't	VVD	don't
know	VV	know
what	WP	what
to	TO	to
tell	VV	tell
you	PP	you
don't	NN	don't
know	VVP	know
about	IN	about
the	DT	the
situation	NN	situation
water	NN	water
is	VBZ	be
is	VBZ	be
a	DT	a
crisis	NN	crisis
we	PP	we
can't	VVD	can't
find	VV	find
a	DT	a
drop	NN	drop
of	IN	of
water	NN	water
money	NN	money
we	PP	we
don't	VVD	don't
have	VH	have
you	PP	you
have	VHP	have
seen	VVN	see
everything	NN	everything
the	DT	the
war	NN	war
res	NNS	re
erupted	VVD	erupt
immediately	RB	immediately
and	CC	and
a	DT	a
surprise	NN	surprise
to	TO	to
everyone	NN	everyone
may	MD	may
Allah	NP	Allah
be	VB	be
with	IN	with
us	PP	us
we've	VVP	we've
been	VBN	be
targeted	VVN	target
myself	PP	myself
and	CC	and
my	PP$	my
family	NN	family
my	PP$	my
daughter	NN	daughter
her	PP	her
husband	VVP	husband
her	PP$	her
children	NNS	child
my	PP$	my
brother	NN	brother
we	PP	we
have	VHP	have
lost	VVN	lose
all	PDT	all
these	DT	these
they	PP	they
lost	VVD	lose
their	PP$	their
lives	NNS	life
will	MD	will
be	VB	be
with	IN	with
us	PP	us
and	CC	and
Allah	NP	Allah
will	MD	will
be	VB	be
with	IN	with
my	PP$	my
father	NN	father
and	CC	and
help	VV	help
us	PP	us
to	TO	to
be	VB	be
patient	JJ	patient
and	CC	and
please	VV	please
God	NP	God
everything	NN	everything
happened	VVD	happen
to	TO	to
us	PP	us
may	MD	may
happen	VV	happen
to	TO	to
all	DT	all
other	JJ	other
countries	NNS	country
that's	NNS	that's
it	PP	it
that's	NNS	that's
all	RB	all
what	WP	what
I	PP	I
can	MD	can
say	VV	say
may	MD	may
Allah	NP	Allah
help	VV	help
you	PP	you
B	NP	B
but	CC	but
what	WP	what
you	PP	you
do	VVP	do
every	DT	every
day	NN	day
as	IN	as
you	PP	you
can	MD	can
see	VV	see
we	PP	we
came	VVD	come
to	TO	to
the	DT	the
hospital	NN	hospital
and	CC	and
trying	VVG	try
to	TO	to
find	VV	find
a	DT	a
place	NN	place
to	TO	to
sleep	VV	sleep
I'm	NP	I'm
trying	VVG	try
to	TO	to
find	VV	find
a	DT	a
bed	NN	bed
to	TO	to
my	PP$	my
son	NN	son
and	CC	and
my	PP$	my
daughter	NN	daughter
my	PP$	my
daughter	NN	daughter
is	VBZ	be
in	IN	in
the	DT	the
room	NN	room
of	IN	of
the	DT	the
head	NN	head
of	IN	of
the	DT	the
department	NN	department
God	NP	God
is	VBZ	be
Paving	VVG	pave
the	DT	the
way	NN	way
for	IN	for
us	PP	us
we	PP	we
don't	VVD	don't
know	VV	know
what	WP	what
to	TO	to
eat	VV	eat
how	WRB	how
to	TO	to
eat	VV	eat
how	WRB	how
to	TO	to
spend	VV	spend
thank	VV	thank
God	NP	God
this	DT	this
is	VBZ	be
our	PP$	our
life	NN	life
thank	VV	thank
God	NP	God
thank	VV	thank
you	PP	you
B	NN	B
so	IN	so
this	DT	this
is	VBZ	be
uh	UH	uh
what's	NNS	what's
going	VVG	go
on	RP	on
in	IN	in
in	IN	in
in	IN	in
Gaza	NP	Gaza
and	CC	and
this	DT	this
is	VBZ	be
just	RB	just
an	DT	an
example	NN	example
of	IN	of
an	DT	an
evacuate	VVP	evacuate
from	IN	from
Gaza	NP	Gaza
City	NP	City
to	TO	to
the	DT	the
southern	JJ	southern
part	NN	part
someone	NN	someone
who	WP	who
lost	VVD	lose
family	NN	family
members	NNS	member
and	CC	and
and	CC	and
just	RB	just
struggle	VV	struggle
daily	RB	daily
for	IN	for
for	IN	for
their	PP$	their
needs	VVZ	need
uh	UH	uh
water	NN	water
and	CC	and
and	NP	and
Food	NP	Food
Supplies	VVZ	supply
such	PDT	such
a	DT	a
heartbreaking	JJ	heartbreaking
situations	NNS	situation
for	IN	for
for	IN	for
basma	NN	basma
and	CC	and
her	PP$	her
and	CC	and
her	PP$	her
family	NN	family
uh	UH	uh
but	CC	but
this	DT	this
is	VBZ	be
the	DT	the
the	DT	the
reality	NN	reality
of	IN	of
of	IN	of
every	DT	every
single	JJ	single
Palestinians	NPS	Palestinians
in	IN	in
Gaza	NP	Gaza
right	RB	right
now	RB	now
Han	NP	Han
mahm	NN	mahm
thanks	NNS	thanks
very	RB	very
much	RB	much
for	IN	for
joining	VVG	join
us	PP	us
from	IN	from
Kan	NP	Kan
correspondent	JJ	correspondent
uh	UH	uh
on	IN	on
the	DT	the
ground	NN	ground
</doc>	NN	</doc>
