<video_id>bgstNecbyVg</video_id>	JJ	<video_id>bgstNecbyVg</video_id>
security	NN	security
Israel's	NN	Israel's
efforts	NNS	effort
to	TO	to
dismantle	VV	dismantle
the	DT	the
Hamas	JJ	Hamas
Terror	NN	terror
organization	NN	organization
in	IN	in
response	NN	response
to	TO	to
the	DT	the
October	NP	October
7th	JJ	7th
Massacre	NN	massacre
are	VBP	be
designed	VVN	design
to	TO	to
uphold	VV	uphold
and	CC	and
restore	VV	restore
International	NP	International
Peace	NN	peace
and	CC	and
security	NN	security
well	NN	well
let's	NNS	let's
go	VVP	go
to	TO	to
Imran	NP	Imran
Khan	NP	Khan
who's	NNS	who's
in	IN	in
Tel	NP	Tel
Aviv	NP	Aviv
for	IN	for
us	PP	us
now	RB	now
Imran	NP	Imran
and	CC	and
you	PP	you
know	VVP	know
a	DT	a
pretty	RB	pretty
contemptuous	JJ	contemptuous
really	RB	really
response	NN	response
that	IN/that	that
to	TO	to
uh	UH	uh
the	DT	the
best	JJS	good
efforts	NNS	effort
of	IN	of
the	DT	the
un's	NP	un's
Secretary	NP	Secretary
General	NP	General
and	CC	and
that's	NNS	that's
pretty	RB	pretty
much	RB	much
the	DT	the
same	JJ	same
response	NN	response
Israel	NP	Israel
has	VHZ	have
given	VVN	give
to	TO	to
all	DT	all
shows	NNS	show
of	IN	of
of	IN	of
of	IN	of
pressure	NN	pressure
by	IN	by
countries	NNS	country
around	IN	around
the	DT	the
world	NN	world
that's	NNS	that's
absolutely	RB	absolutely
right	JJ	right
it's	NNS	it's
always	RB	always
been	VBN	be
the	DT	the
same	JJ	same
Playbook	NN	playbook
condemn	VV	condemn
uh	UH	uh
the	DT	the
United	NP	United
Nations	NPS	Nations
accuse	VVP	accuse
them	PP	them
of	IN	of
bias	NN	bias
anti-israeli	NN	anti-israeli
bias	NN	bias
on	IN	on
occasion	NN	occasion
accuse	VVP	accuse
them	PP	them
of	IN	of
being	VBG	be
anti-semitic	JJ	anti-semitic
it's	NNS	it's
been	VBN	be
followed	VVN	follow
up	RP	up
actually	RB	actually
by	IN	by
comments	NNS	comment
from	IN	from
the	DT	the
foreign	JJ	foreign
minister	NN	minister
Eli	NP	Eli
Cohen	NP	Cohen
who	WP	who
says	VVZ	say
Garis	NP	Garis
actions	NNS	action
constitute	VVP	constitute
support	NN	support
of	IN	of
the	DT	the
Hamas	JJ	Hamas
terrorist	JJ	terrorist
organization	NN	organization
he	PP	he
goes	VVZ	go
on	RP	on
to	TO	to
say	VV	say
anyone	NN	anyone
who	WP	who
supports	VVZ	support
World	NP	World
Peace	NP	Peace
must	MD	must
support	VV	support
the	DT	the
liberation	NN	liberation
of	IN	of
Gaza	NP	Gaza
from	IN	from
Hamas	NP	Hamas
the	DT	the
Israeli	JJ	Israeli
ambassador	NN	ambassador
to	TO	to
the	DT	the
UN	NP	UN
Gillard	NP	Gillard
Eran	NP	Eran
also	RB	also
said	VVD	say
the	DT	the
UN	NP	UN
needs	VVZ	need
a	DT	a
Secretary	NP	Secretary
General	NP	General
who	WP	who
supports	VVZ	support
the	DT	the
war	NN	war
on	IN	on
terror	NN	terror
and	CC	and
not	RB	not
a	DT	a
Secretary	NP	Secretary
General	NP	General
who	WP	who
acts	VVZ	act
according	VVG	accord
to	TO	to
the	DT	the
script	NN	script
written	VVN	write
by	IN	by
Hamas	NN	Hamas
now	IN	now
uh	UH	uh
that's	NNS	that's
the	DT	the
reaction	NN	reaction
from	IN	from
here	RB	here
but	CC	but
article	VV	article
99	CD	@card@
is	VBZ	be
about	RB	about
calling	VVG	call
uh	UH	uh
for	IN	for
a	DT	a
humanitarian	JJ	humanitarian
ceasefire	NN	ceasefire
Israel	NP	Israel
couldn't	NN	couldn't
even	RB	even
agree	VVP	agree
on	IN	on
getting	VVG	get
in	IN	in
fuel	NN	fuel
into	IN	into
the	DT	the
strip	NN	strip
humanitarian	JJ	humanitarian
Aid	NN	aid
into	IN	into
the	DT	the
strip	NN	strip
there	EX	there
was	VBD	be
a	DT	a
fraud	NN	fraud
security	NN	security
coun	NN	coun
cabinet	NN	cabinet
meeting	NN	meeting
last	JJ	last
night	NN	night
where	WRB	where
there	EX	there
was	VBD	be
intense	JJ	intense
disagreement	NN	disagreement
eventually	RB	eventually
they	PP	they
did	VVD	do
agree	VV	agree
but	CC	but
not	RB	not
the	DT	the
amount	NN	amount
of	IN	of
fuel	NN	fuel
that	IN/that	that
the	DT	the
US	NP	US
wants	VVZ	want
to	TO	to
get	VV	get
in	IN	in
and	CC	and
nowhere	RB	nowhere
near	IN	near
the	DT	the
amount	NN	amount
of	IN	of
fuel	NN	fuel
the	DT	the
Palestinians	NPS	Palestinians
need	VVP	need
in	IN	in
Gaza	NP	Gaza
Israel	NP	Israel
is	VBZ	be
very	RB	very
bluntly	RB	bluntly
not	RB	not
in	IN	in
the	DT	the
mood	NN	mood
for	IN	for
any	DT	any
kind	NN	kind
of	IN	of
compromise	NN	compromise
right	NN	right
now	RB	now
and	CC	and
we	PP	we
keep	VVP	keep
hearing	VVG	hear
that	IN/that	that
so	RB	so
how	WRB	how
far	RB	far
this	DT	this
ceas	NNS	ceas
calls	NNS	call
for	IN	for
ceasefire	NN	ceasefire
go	VVP	go
within	IN	within
the	DT	the
UN	NP	UN
it	PP	it
needs	VVZ	need
a	DT	a
Buy	NN	buy
in	IN	in
from	IN	from
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
that's	NNS	that's
simply	RB	simply
not	RB	not
happening	VVG	happen
right	RB	right
now	RB	now
Imran	NP	Imran
Khan	NP	Khan
with	IN	with
the	DT	the
latest	JJS	late
from	IN	from
Tel	NP	Tel
Aviv	NP	Aviv
thanks	VVZ	thank
Imran	NP	Imran
</doc>	NP	</doc>
