<video_id>YV37A9NhVyE</video_id>	JJ	<video_id>YV37A9NhVyE</video_id>
chance	NN	chance
to	TO	to
capture	VV	capture
that	DT	that
moment	NN	moment
and	CC	and
frame	VV	frame
it	PP	it
I	PP	I
would	MD	would
put	VV	put
it	PP	it
in	IN	in
my	PP$	my
office	NN	office
for	IN	for
eternity	NN	eternity
this	DT	this
is	VBZ	be
what	WP	what
media	NNS	medium
is	VBZ	be
is	VBZ	be
made	VVN	make
for	IN	for
in	IN	in
order	NN	order
to	TO	to
capture	VV	capture
those	DT	those
moments	NNS	moment
expose	VVP	expose
them	PP	them
for	IN	for
what	WP	what
they	PP	they
are	VBP	be
the	DT	the
lies	NNS	lie
of	IN	of
power	NN	power
right	NN	right
and	CC	and
that's	NNS	that's
why	WRB	why
power	NN	power
needs	VVZ	need
to	TO	to
be	VB	be
questioned	VVN	question
all	PDT	all
the	DT	the
time	NN	time
you	PP	you
had	VHD	have
these	DT	these
two	CD	two
kind	NN	kind
of	IN	of
you	PP	you
know	VV	know
uh	UH	uh
Grim	NP	Grim
characters	NNS	character
appearing	VVG	appear
in	IN	in
the	DT	the
international	JJ	international
quarter	NN	quarter
Justice	NP	Justice
making	VVG	make
a	DT	a
defenseless	JJ	defenseless
defense	NN	defense
uh	UH	uh
indefensible	JJ	indefensible
uh	UH	uh
of	IN	of
Israel	NP	Israel
and	CC	and
making	VVG	make
such	JJ	such
claims	NNS	claim
that	DT	that
everybody	NN	everybody
in	IN	in
the	DT	the
world	NN	world
knows	VVZ	know
to	TO	to
be	VB	be
false	JJ	false
everybody	NN	everybody
in	IN	in
the	DT	the
world	NN	world
why	WRB	why
do	VVP	do
I	PP	I
say	VVP	say
everybody	NN	everybody
in	IN	in
the	DT	the
world	NN	world
because	IN	because
even	JJ	even
Israel's	NP	Israel's
allies	NNS	ally
think	VVP	think
it's	NNS	it's
false	JJ	false
otherwise	RB	otherwise
why	WRB	why
would	MD	would
the	DT	the
Americans	NPS	Americans
build	VVP	build
a	DT	a
floating	JJ	floating
Port	NP	Port
of	IN	of
the	DT	the
Gaza	NP	Gaza
cost	NN	cost
if	IN	if
Israel	NP	Israel
is	VBZ	be
flooding	VVG	flood
uh	UH	uh
Gaza	NP	Gaza
with	IN	with
Aid	NP	Aid
why	WRB	why
would	MD	would
the	DT	the
um	NN	um
the	DT	the
wife	NN	wife
of	IN	of
former	JJ	former
Senator	NP	Senator
McCain	NP	McCain
a	DT	a
Republican	JJ	Republican
senator	NN	senator
a	DT	a
great	JJ	great
friend	NN	friend
of	IN	of
Israel	NP	Israel
she	PP	she
is	VBZ	be
a	DT	a
great	JJ	great
friend	NN	friend
of	IN	of
Israel	NP	Israel
but	CC	but
she's	NNS	she's
now	RB	now
the	DT	the
director	NN	director
or	CC	or
the	DT	the
head	NN	head
of	IN	of
the	DT	the
world	NN	world
uh	UH	uh
food	NN	food
program	NN	program
why	WRB	why
would	MD	would
she	PP	she
talk	VV	talk
about	IN	about
famine	NN	famine
in	IN	in
Gaza	NP	Gaza
right	RB	right
why	WRB	why
would	MD	would
the	DT	the
Europeans	NPS	Europeans
talk	VVP	talk
about	IN	about
famine	NN	famine
in	IN	in
Gaza	NP	Gaza
I'm	NP	I'm
talking	VVG	talk
about	IN	about
Israel's	NP	Israel's
friends	NNS	friend
in	IN	in
Europe	NP	Europe
Germany	NP	Germany
France	NP	France
and	CC	and
so	RB	so
on	IN	on
so	RB	so
forth	RB	forth
so	RB	so
so	RB	so
basically	RB	basically
everyone	NN	everyone
knows	VVZ	know
we	PP	we
just	RB	just
heard	VVD	hear
from	IN	from
the	DT	the
UN	NP	UN
in	IN	in
your	PP$	your
own	JJ	own
report	NN	report
earlier	RBR	earlier
that	IN/that	that
Israel	NP	Israel
is	VBZ	be
closing	VVG	close
in	RP	in
on	IN	on
on	IN	on
on	IN	on
Gaza	NP	Gaza
Israel	NP	Israel
is	VBZ	be
is	VBZ	be
blocking	VVG	block
aid	NN	aid
from	IN	from
reaching	VVG	reach
Gaza	NP	Gaza
the	DT	the
Americans	NPS	Americans
have	VHP	have
pleaded	VVN	plead
with	IN	with
the	DT	the
netan	JJ	netan
government	NN	government
to	TO	to
allow	VV	allow
Aid	NP	Aid
to	TO	to
Gaza	NP	Gaza
so	RB	so
despite	IN	despite
all	PDT	all
the	DT	the
testimony	NN	testimony
despite	IN	despite
all	PDT	all
the	DT	the
images	NNS	image
despite	IN	despite
all	PDT	all
the	DT	the
reporting	VVG	report
all	PDT	all
the	DT	the
facts	NNS	fact
all	PDT	all
the	DT	the
UN	NP	UN
documents	NNS	document
and	CC	and
still	RB	still
you	PP	you
would	MD	would
have	VH	have
an	DT	an
Israeli	JJ	Israeli
bureaucrat	NN	bureaucrat
right	NN	right
come	VVN	come
out	RP	out
and	CC	and
say	VVP	say
we	PP	we
are	VBP	be
flooding	VVG	flood
Gaza	NP	Gaza
and	CC	and
it's	JJ	it's
worth	NN	worth
mentioning	VVG	mention
that	IN/that	that
when	WRB	when
she	PP	she
came	VVD	come
to	TO	to
the	DT	the
end	NN	end
of	IN	of
her	PP$	her
her	PP$	her
presentation	NN	presentation
there	EX	there
was	VBD	be
a	DT	a
woman	NN	woman
in	IN	in
the	DT	the
gallery	NN	gallery
who	WP	who
shouted	VVD	shout
out	RP	out
liar	NN	liar
at	IN	at
which	WDT	which
point	NN	point
the	DT	the
feed	VV	feed
uh	UH	uh
was	VBD	be
cut	VVN	cut
so	RB	so
even	RB	even
in	IN	in
the	DT	the
the	DT	the
icj	NN	icj
itself	PP	itself
there	EX	there
were	VBD	be
members	NNS	member
of	IN	of
the	DT	the
public	NN	public
who	WP	who
were	VBD	be
not	RB	not
being	VBG	be
convinced	VVN	convince
by	IN	by
what	WP	what
was	VBD	be
being	VBG	be
said	VVN	say
but	CC	but
these	DT	these
things	NNS	thing
are	VBP	be
very	RB	very
often	RB	often
fairly	RB	fairly
dry	JJ	dry
fairly	RB	fairly
uh	UH	uh
as	IN	as
you	PP	you
say	VVP	say
bureaucratic	JJ	bureaucratic
in	IN	in
their	PP$	their
approach	NN	approach
we've	NN	we've
seen	VVN	see
a	DT	a
different	JJ	different
approach	NN	approach
from	IN	from
Israel	NP	Israel
at	IN	at
the	DT	the
United	NP	United
Nation	NP	Nation
ations	NNS	ations
talk	VVP	talk
to	TO	to
us	PP	us
through	IN	through
what	WP	what
you	PP	you
see	VVP	see
is	VBZ	be
the	DT	the
different	JJ	different
different	JJ	different
ways	NNS	way
that	IN/that	that
Israel	NP	Israel
is	VBZ	be
representing	VVG	represent
itself	PP	itself
in	IN	in
the	DT	the
um	JJ	um
International	NP	International
court	NN	court
of	IN	of
justice	NN	justice
compared	VVN	compare
to	TO	to
the	DT	the
United	NP	United
Nations	NPS	Nations
so	CC	so
this	DT	this
is	VBZ	be
the	DT	the
thing	NN	thing
right	NN	right
I	PP	I
mean	VVP	mean
if	IN	if
I	PP	I
could	MD	could
uh	UH	uh
use	VV	use
any	DT	any
kind	NN	kind
of	IN	of
analogy	NN	analogy
or	CC	or
metaphor	NN	metaphor
it	PP	it
would	MD	would
be	VB	be
that	DT	that
was	VBD	be
the	DT	the
circus	NN	circus
right	NN	right
at	IN	at
the	DT	the
United	NP	United
Nations	NPS	Nations
with	IN	with
the	DT	the
Israeli	JJ	Israeli
Ambassador	NN	ambassador
doing	VVG	do
his	PP$	his
acrobatics	NN	acrobatics
rude	JJ	rude
obnoxious	JJ	obnoxious
HPA	NP	HPA
like	IN	like
acrobatics	NNS	acrobatics
and	CC	and
at	IN	at
the	DT	the
icj	NN	icj
it	PP	it
was	VBD	be
more	RBR	more
of	IN	of
the	DT	the
theater	NN	theater
of	IN	of
the	DT	the
Absurd	JJ	absurd
just	JJ	just
lie	NN	lie
after	IN	after
lie	NN	lie
after	IN	after
lie	NN	lie
after	IN	after
lie	NN	lie
just	RB	just
you	PP	you
know	VVP	know
series	NN	series
of	IN	of
lies	NNS	lie
that	WDT	that
easily	RB	easily
debunked	VVD	debunk
easily	RB	easily
contradicted	VVN	contradict
easily	RB	easily
argued	VVD	argue
against	IN	against
and	CC	and
so	RB	so
on	IN	on
not	RB	not
convincing	VVG	convince
it	PP	it
is	VBZ	be
interesting	JJ	interesting
though	RB	though
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
Ambassador	NN	ambassador
at	IN	at
the	DT	the
United	NP	United
Nations	NPS	Nations
is	VBZ	be
cocky	JJ	cocky
the	DT	the
Israeli	JJ	Israeli
delegation	NN	delegation
the	DT	the
icj	NN	icj
is	VBZ	be
koi	NP	koi
cocki	NP	cocki
versus	CC	versus
koi	NNS	koi
why	WRB	why
why	WRB	why
are	VBP	be
they	PP	they
koi	NNS	koi
here	RB	here
and	CC	and
cocky	JJ	cocky
there	RB	there
I	PP	I
think	VVP	think
because	IN	because
the	DT	the
icj	NN	icj
matters	VVZ	matter
not	RB	not
because	IN	because
the	DT	the
icj	NN	icj
is	VBZ	be
going	VVG	go
to	TO	to
liberate	VV	liberate
Palestine	NP	Palestine
or	CC	or
in	IN	in
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
or	CC	or
uh	UH	uh
force	VV	force
a	DT	a
ceasefire	NN	ceasefire
on	IN	on
Israel	NP	Israel
because	IN	because
you	PP	you
can	MD	can
do	VV	do
whatever	WDT	whatever
you	PP	you
might	MD	might
do	VV	do
at	IN	at
the	DT	the
United	NP	United
Nations	NPS	Nations
and	CC	and
basically	RB	basically
the	DT	the
end	NN	end
of	IN	of
the	DT	the
day	NN	day
there's	NP	there's
America	NP	America
and	CC	and
it	PP	it
can	MD	can
block	VV	block
any	DT	any
action	NN	action
at	IN	at
the	DT	the
icj	NN	icj
it's	NNS	it's
about	IN	about
the	DT	the
moral	JJ	moral
and	CC	and
the	DT	the
legal	JJ	legal
standing	NN	standing
and	CC	and
if	IN	if
the	DT	the
icj	NN	icj
does	VVZ	do
take	VV	take
the	DT	the
position	NN	position
that	IN/that	that
there	EX	there
needs	VVZ	need
to	TO	to
be	VB	be
provisional	JJ	provisional
steps	NNS	step
against	IN	against
Israel	NP	Israel
that	IN/that	that
Israel	NP	Israel
is	VBZ	be
plausibly	RB	plausibly
again	RB	again
carrying	VVG	carry
genocide	NN	genocide
Israel	NP	Israel
cannot	MD	can
withstand	VV	withstand
that	IN/that	that
but	CC	but
the	DT	the
same	JJ	same
quickly	RB	quickly
that's	JJ	that's
why	WRB	why
the	DT	the
SEC	NP	SEC
is	VBZ	be
also	RB	also
important	JJ	important
because	IN	because
once	RB	once
you	PP	you
start	VVP	start
calling	VVG	call
those	DT	those
generals	NNS	general
and	CC	and
at	IN	at
any	DT	any
criminals	NNS	criminal
this	DT	this
is	VBZ	be
will	MD	will
not	RB	not
go	VV	go
away	RP	away
M	NP	M
Bashar	NP	Bashar
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
indeed	RB	indeed
make	VV	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jazer	NN	jazer
</doc>	NN	</doc>
