<video_id>d89rU-Ak80E</video_id>	NP	<video_id>d89rU-Ak80E</video_id>
of	IN	of
the	DT	the
witnesses	NNS	witness
was	VBD	be
telling	VVG	tell
us	PP	us
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
were	VBD	be
torturing	VVG	torture
him	PP	him
asking	VVG	ask
him	PP	him
what	WP	what
he	PP	he
knows	VVZ	know
who	WP	who
he	PP	he
knows	VVZ	know
in	IN	in
the	DT	the
refugee	NN	refugee
camp	NN	camp
so	IN	so
it's	NNS	it's
seen	VVN	see
here	RB	here
as	IN	as
time	NN	time
of	IN	of
like	JJ	like
as	IN	as
a	DT	a
way	NN	way
of	IN	of
intimidating	VVG	intimidate
Palestinians	NNS	Palestinian
to	TO	to
get	VV	get
information	NN	information
out	RP	out
of	IN	of
them	PP	them
sometimes	RB	sometimes
they	PP	they
this	DT	this
information	NN	information
simply	RB	simply
does	VVZ	do
not	RB	not
exist	VV	exist
with	IN	with
those	DT	those
people	NNS	people
who	WP	who
are	VBP	be
being	VBG	be
tortured	VVN	torture
and	CC	and
arrested	VVN	arrest
indeed	RB	indeed
it's	JJ	it's
an	DT	an
ongoing	JJ	ongoing
situation	NN	situation
of	IN	of
course	NN	course
we'll	NN	we'll
join	VV	join
you	PP	you
through	IN	through
the	DT	the
day	NN	day
need	VVP	need
there	RB	there
for	IN	for
us	PP	us
in	IN	in
to	TO	to
crme	NN	crme
</doc>	NN	</doc>
