<video_id>ecOOx5EX38Q</video_id>	NP	<video_id>ecOOx5EX38Q</video_id>
look	VV	look
at	IN	at
it	PP	it
this	DT	this
way	NN	way
Chuck	NP	Chuck
Schumer	NP	Schumer
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
day	NN	day
is	VBZ	be
the	DT	the
he's	NN	he's
described	VVN	describe
as	IN	as
the	DT	the
highest	JJS	high
ranking	JJ	ranking
Jewish	JJ	Jewish
official	NN	official
elect	NN	elect
official	NN	official
in	IN	in
the	DT	the
US	NP	US
and	CC	and
he	PP	he
has	VHZ	have
said	VVN	say
something	NN	something
essentially	RB	essentially
a	DT	a
really	RB	really
scathing	JJ	scathing
condemnation	NN	condemnation
of	IN	of
Netanyahu	NP	Netanyahu
during	IN	during
a	DT	a
time	NN	time
where	WRB	where
the	DT	the
US	NP	US
you	PP	you
know	VVP	know
support	NN	support
for	IN	for
Israel	NP	Israel
is	VBZ	be
slowly	RB	slowly
eroding	VVG	erode
this	DT	this
is	VBZ	be
really	RB	really
important	JJ	important
unprecedented	JJ	unprecedented
and	CC	and
what	WP	what
makes	VVZ	make
it	PP	it
really	RB	really
significant	JJ	significant
is	VBZ	be
that	IN/that	that
Schumer	NP	Schumer
has	VHZ	have
been	VBN	be
a	DT	a
longtime	JJ	longtime
Ally	NP	Ally
of	IN	of
Israel	NP	Israel
right	NN	right
in	IN	in
the	DT	the
past	JJ	past
few	JJ	few
months	NNS	month
he's	NNS	he's
even	RB	even
considering	VVG	consider
write	VV	write
a	DT	a
book	NN	book
on	IN	on
anti-Semitism	NN	anti-Semitism
because	IN	because
he's	NNS	he's
concerned	VVN	concern
about	IN	about
the	DT	the
way	NN	way
liberal	JJ	liberal
youth	NN	youth
in	IN	in
America	NP	America
are	VBP	be
viewing	VVG	view
Israel	NP	Israel
so	RB	so
to	TO	to
have	VH	have
him	PP	him
come	VVP	come
and	CC	and
say	VVP	say
this	DT	this
I	PP	I
would	MD	would
say	VV	say
is	VBZ	be
massively	RB	massively
significant	JJ	significant
and	CC	and
does	VVZ	do
it	PP	it
show	VV	show
a	DT	a
rift	NN	rift
in	IN	in
the	DT	the
Democratic	JJ	Democratic
party	NN	party
would	MD	would
you	PP	you
say	VV	say
between	IN	between
those	DT	those
who	WP	who
want	VVP	want
to	TO	to
give	VV	give
Israel	NP	Israel
cart	NN	cart
blanch	VVP	blanch
and	CC	and
the	DT	the
more	JJR	more
progressives	NNS	progressive
well	RB	well
I	PP	I
don't	VVD	don't
think	VV	think
the	DT	the
rift	NN	rift
is	VBZ	be
that	DT	that
uh	UH	uh
clearcut	JJ	clearcut
I	PP	I
think	VVP	think
traditionally	RB	traditionally
with	IN	with
a	DT	a
rift	NN	rift
you'd	NNS	you'd
see	VVP	see
people	NNS	people
saying	VVG	say
no	RB	no
no	DT	no
um	NNS	um
we	PP	we
want	VVP	want
to	TO	to
support	VV	support
Israel	NP	Israel
we	PP	we
oppose	VVP	oppose
what	WP	what
you're	NN	you're
saying	VVG	say
but	CC	but
actually	RB	actually
I	PP	I
think	VVP	think
the	DT	the
rift	NN	rift
is	VBZ	be
more	RBR	more
so	RB	so
that	IN/that	that
there	EX	there
are	VBP	be
people	NNS	people
now	RB	now
in	IN	in
the	DT	the
Democratic	JJ	Democratic
party	NN	party
who	WP	who
really	RB	really
support	VVP	support
more	RBR	more
drastic	JJ	drastic
action	NN	action
against	IN	against
Israel	NP	Israel
such	JJ	such
as	IN	as
the	DT	the
withdrawing	VVG	withdraw
of	IN	of
us	PP	us
Aid	NN	aid
to	TO	to
those	DT	those
who	WP	who
are	VBP	be
slightly	RB	slightly
more	RBR	more
moderate	JJ	moderate
in	IN	in
their	PP$	their
desire	NN	desire
to	TO	to
critic	NN	critic
criticize	VV	criticize
it	PP	it
I	PP	I
think	VVP	think
the	DT	the
fact	NN	fact
that	IN/that	that
Schumer	NP	Schumer
is	VBZ	be
saying	VVG	say
this	DT	this
is	VBZ	be
actually	RB	actually
indicative	JJ	indicative
not	RB	not
necessarily	RB	necessarily
of	IN	of
a	DT	a
split	NN	split
but	CC	but
actually	RB	actually
as	IN	as
a	DT	a
moving	VVG	move
towards	IN	towards
a	DT	a
general	JJ	general
condemnation	NN	condemnation
of	IN	of
Israel's	NP	Israel's
genocide	NN	genocide
in	IN	in
Gaza	NP	Gaza
so	IN	so
I	PP	I
think	VVP	think
there	EX	there
is	VBZ	be
a	DT	a
split	NN	split
but	CC	but
it's	NNS	it's
not	RB	not
completely	RB	completely
bifurcated	VVN	bifurcate
it's	NNS	it's
more	RBR	more
subtle	JJ	subtle
yeah	RB	yeah
and	CC	and
isn't	VVD	isn't
it	PP	it
interesting	JJ	interesting
that	IN/that	that
he	PP	he
actually	RB	actually
said	VVD	say
that	IN/that	that
the	DT	the
US	NP	US
should	MD	should
be	VB	be
using	VVG	use
more	JJR	more
leverage	NN	leverage
using	VVG	use
the	DT	the
leverage	NN	leverage
it	PP	it
has	VHZ	have
with	IN	with
Israel	NP	Israel
do	VVP	do
you	PP	you
think	VVP	think
that	IN/that	that
that	WDT	that
was	VBD	be
hinting	VVG	hint
at	IN	at
conditioning	VVG	condition
the	DT	the
billions	NNS	billion
of	IN	of
dollars	NNS	dollar
they	PP	they
give	VVP	give
to	TO	to
Israel	NP	Israel
absolutely	RB	absolutely
I	PP	I
think	VVP	think
it's	NNS	it's
a	DT	a
euphemism	NN	euphemism
for	IN	for
conditioning	NN	conditioning
and	CC	and
I	PP	I
think	VVP	think
what	WP	what
we're	NN	we're
seeing	VVG	see
now	RB	now
progressively	RB	progressively
from	IN	from
Kamala	NP	Kamala
Us's	NP	Us's
condemnation	NN	condemnation
to	TO	to
now	RB	now
Schumer's	NP	Schumer's
condemnation	NN	condemnation
uh	UH	uh
and	CC	and
especially	RB	especially
his	PP$	his
mention	NN	mention
as	IN	as
you	PP	you
said	VVD	say
of	IN	of
Leverage	NN	leverage
I	PP	I
think	VVP	think
this	DT	this
is	VBZ	be
basically	RB	basically
suggesting	VVG	suggest
that	DT	that
um	JJ	um
Aid	NN	aid
may	MD	may
be	VB	be
conditional	JJ	conditional
and	CC	and
this	DT	this
is	VBZ	be
sort	NN	sort
of	IN	of
basically	RB	basically
the	DT	the
last	JJ	last
warning	NN	warning
Netanyahu	NP	Netanyahu
is	VBZ	be
getting	VVG	get
from	IN	from
the	DT	the
US	NP	US
or	CC	or
at	IN	at
least	JJS	least
one	CD	one
of	IN	of
the	DT	the
last	JJ	last
warnings	NNS	warning
he's	NNS	he's
getting	VVG	get
to	TO	to
sort	VV	sort
of	IN	of
say	VVP	say
we	PP	we
need	VVP	need
something	NN	something
and	CC	and
Biden	NP	Biden
as	IN	as
you	PP	you
mention	VVP	mention
as	RB	as
was	VBD	be
mentioned	VVN	mention
in	IN	in
the	DT	the
report	NN	report
has	VHZ	have
again	RB	again
they	PP	they
announced	VVD	announce
these	DT	these
sanctions	NNS	sanction
on	IN	on
settlements	NNS	settlement
so	IN	so
they're	NN	they're
clearly	RB	clearly
doing	VVG	do
things	NNS	thing
in	IN	in
addition	NN	addition
to	TO	to
this	DT	this
rhetoric	NN	rhetoric
to	TO	to
suggest	VV	suggest
that	DT	that
they're	NN	they're
willing	JJ	willing
to	TO	to
take	VV	take
action	NN	action
whether	IN	whether
whether	IN	whether
we	PP	we
far	RB	far
away	RB	away
from	IN	from
them	PP	them
actually	RB	actually
conditioning	VVG	condition
Aid	NN	aid
I	PP	I
think	VVP	think
we're	NN	we're
quite	RB	quite
far	RB	far
from	IN	from
that	DT	that
point	NN	point
but	CC	but
I	PP	I
think	VVP	think
until	IN	until
there's	RB	there's
actually	RB	actually
a	DT	a
better	RBR	well
uh	UH	uh
delivery	NN	delivery
of	IN	of
Aid	NP	Aid
in	IN	in
Gaza	NP	Gaza
we	PP	we
are	VBP	be
going	VVG	go
to	TO	to
continue	VV	continue
to	TO	to
see	VV	see
the	DT	the
upping	VVG	up
of	IN	of
this	DT	this
rhetoric	NN	rhetoric
and	CC	and
when	WRB	when
we	PP	we
look	VVP	look
at	IN	at
the	DT	the
later	JJR	late
sanctions	NNS	sanction
again	RB	again
the	DT	the
against	IN	against
these	DT	these
um	JJ	um
outposts	NNS	outpost
and	CC	and
settlers	NNS	settler
that	IN/that	that
the	DT	the
Biden	NP	Biden
Administration	NP	Administration
announced	VVD	announce
on	IN	on
Thursday	NP	Thursday
settlements	NNS	settlement
are	VBP	be
illegal	JJ	illegal
under	IN	under
international	JJ	international
law	NN	law
so	RB	so
why	WRB	why
Target	NP	Target
just	RB	just
a	DT	a
few	JJ	few
individuals	NNS	individual
well	VVP	well
I	PP	I
I	PP	I
think	VVP	think
yeah	RB	yeah
this	DT	this
is	VBZ	be
absolutely	RB	absolutely
right	RB	right
I	PP	I
mean	VVP	mean
let's	NNS	let's
let's	NNS	let's
not	RB	not
forget	VVP	forget
that	IN/that	that
the	DT	the
settlements	NNS	settlement
have	VHP	have
always	RB	always
been	VBN	be
illegal	JJ	illegal
under	IN	under
international	JJ	international
law	NN	law
so	RB	so
but	CC	but
if	IN	if
you	PP	you
target	VVP	target
them	PP	them
all	DT	all
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
then	RB	then
really	RB	really
you	PP	you
lose	VVP	lose
that	IN/that	that
leverage	NN	leverage
right	NN	right
so	IN	so
I	PP	I
think	VVP	think
what	WP	what
they're	NN	they're
trying	VVG	try
to	TO	to
do	VV	do
is	VBZ	be
say	VV	say
hey	UH	hey
we're	NN	we're
doing	VVG	do
a	DT	a
few	JJ	few
we're	NN	we're
going	VVG	go
to	TO	to
see	VV	see
if	IN	if
you	PP	you
come	VVP	come
to	TO	to
the	DT	the
table	NN	table
or	CC	or
actually	RB	actually
sort	RB	sort
of	IN	of
comply	VV	comply
with	IN	with
what	WP	what
we're	NN	we're
demanding	VVG	demand
of	IN	of
you	PP	you
netan	JJ	netan
yaho	NN	yaho
first	JJ	first
if	IN	if
not	RB	not
we'll	RB	we'll
take	VV	take
this	DT	this
a	DT	a
few	JJ	few
steps	NNS	step
further	RBR	further
so	IN	so
I	PP	I
think	VVP	think
again	RB	again
if	IN	if
we	PP	we
don't	VVD	don't
see	VV	see
any	DT	any
movement	NN	movement
on	IN	on
Aid	NP	Aid
going	VVG	go
into	IN	into
Gaza	NP	Gaza
what	WP	what
we're	VVP	we're
going	VVG	go
to	TO	to
see	VV	see
is	VBZ	be
maybe	RB	maybe
uh	UH	uh
sanctions	NNS	sanction
on	IN	on
more	JJR	more
supplements	NNS	supplement
so	IN	so
they're	NN	they're
using	VVG	use
it	PP	it
to	TO	to
give	VV	give
nanahu	NN	nanahu
a	DT	a
longer	RBR	longer
essentially	RB	essentially
a	DT	a
bit	NN	bit
of	IN	of
room	NN	room
to	TO	to
actually	RB	actually
come	VV	come
to	TO	to
the	DT	the
table	NN	table
okay	RB	okay
and	CC	and
just	RB	just
lastly	RB	lastly
going	VVG	go
back	RB	back
to	TO	to
the	DT	the
point	NN	point
about	IN	about
conditioning	NN	conditioning
Aid	NN	aid
because	IN	because
this	DT	this
is	VBZ	be
something	NN	something
that's	NN	that's
been	VBN	be
spoken	VVN	speak
about	IN	about
a	DT	a
lot	NN	lot
since	IN	since
the	DT	the
war	NN	war
on	IN	on
Gaza	NP	Gaza
began	VVD	begin
especially	RB	especially
military	JJ	military
aid	NN	aid
you	PP	you
know	VVP	know
American	JJ	American
weapons	NNS	weapon
that	WDT	that
are	VBP	be
being	VBG	be
used	VVN	use
and	CC	and
the	DT	the
killing	NN	killing
of	IN	of
Palestinians	NPS	Palestinians
in	IN	in
Gaza	NP	Gaza
you	PP	you
don't	VVD	don't
think	VV	think
that	IN/that	that
that	WDT	that
will	MD	will
happen	VV	happen
many	JJ	many
people	NNS	people
think	VVP	think
don't	NN	don't
think	VVP	think
that	IN/that	that
that	WDT	that
will	MD	will
happen	VV	happen
but	CC	but
just	RB	just
the	DT	the
fact	NN	fact
that	IN/that	that
bringing	VVG	bring
it	PP	it
you	PP	you
know	VVP	know
to	TO	to
the	DT	the
US	NP	US
House	NP	House
of	IN	of
Representatives	NP	Representatives
or	CC	or
to	TO	to
the	DT	the
Senate	NP	Senate
that	WDT	that
will	MD	will
delay	VV	delay
that	WDT	that
will	MD	will
delay	VV	delay
it	PP	it
wed	VVN	wed
yeah	RB	yeah
I	PP	I
mean	VVP	mean
it's	NNS	it's
it's	NNS	it's
it's	NNS	it's
absolutely	RB	absolutely
kind	RB	kind
of	IN	of
um	NNS	um
putting	VVG	put
this	DT	this
on	IN	on
the	DT	the
table	NN	table
but	CC	but
I	PP	I
think	VVP	think
we	PP	we
still	RB	still
have	VHP	have
to	TO	to
ackn	NN	ackn
at	IN	at
this	DT	this
point	NN	point
that	IN/that	that
the	DT	the
US	NP	US
is	VBZ	be
talking	VVG	talk
about	RB	about
and	CC	and
sending	VVG	send
Aid	NN	aid
to	TO	to
Gaza	NP	Gaza
well	RB	well
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
sending	VVG	send
military	JJ	military
aid	NN	aid
to	TO	to
Israel	NP	Israel
to	TO	to
kill	VV	kill
gazans	NNS	Gazan
right	RB	right
but	CC	but
I	PP	I
do	VVP	do
think	VV	think
this	DT	this
is	VBZ	be
significant	JJ	significant
and	CC	and
I	PP	I
think	VVP	think
Netanyahu	NP	Netanyahu
crucially	RB	crucially
will	MD	will
know	VV	know
that	IN/that	that
the	DT	the
possibility	NN	possibility
of	IN	of
having	VHG	have
us	PP	us
Aid	NN	aid
withdrawn	VVN	withdraw
is	VBZ	be
on	IN	on
the	DT	the
table	NN	table
now	RB	now
right	RB	right
because	IN	because
we	PP	we
are	VBP	be
seeing	VVG	see
a	DT	a
stry	NN	stry
escalation	NN	escalation
so	IN	so
I	PP	I
think	VVP	think
it	PP	it
is	VBZ	be
significant	JJ	significant
and	CC	and
I	PP	I
think	VVP	think
it's	JJ	it's
something	NN	something
that	IN/that	that
we	PP	we
need	VVP	need
to	TO	to
or	CC	or
Israel	NP	Israel
need	VVP	need
to	TO	to
be	VB	be
very	RB	very
concerned	VVN	concern
about	IN	about
MCO	NP	MCO
and	CC	and
Jones	NP	Jones
thank	VVP	thank
you	PP	you
as	RB	as
always	RB	always
for	IN	for
your	PP$	your
analysis	NN	analysis
we	PP	we
appreciate	VVP	appreciate
it	PP	it
</doc>	JJ	</doc>
