<video_id>veHQ9XaO5qo</video_id>	JJ	<video_id>veHQ9XaO5qo</video_id>
interfere	VVP	interfere
in	IN	in
ours	PP	ours
is	VBZ	be
another	DT	another
way	NN	way
of	IN	of
of	IN	of
looking	VVG	look
at	IN	at
this	DT	this
that	WDT	that
this	DT	this
is	VBZ	be
a	DT	a
man	NN	man
who's	NNS	who's
feeling	VVG	feel
the	DT	the
heat	NN	heat
from	IN	from
some	DT	some
of	IN	of
the	DT	the
domestic	JJ	domestic
pressure	NN	pressure
now	RB	now
as	IN	as
we	PP	we
see	VVP	see
those	DT	those
protests	NNS	protest
in	IN	in
places	NNS	place
like	IN	like
Tel	NP	Tel
Aviv	NP	Aviv
grow	VV	grow
oh	UH	oh
yes	UH	yes
absolutely	RB	absolutely
this	DT	this
Nano	NP	Nano
once	RB	once
again	RB	again
I	PP	I
need	VVP	need
to	TO	to
underline	VV	underline
these	DT	these
things	NNS	thing
because	IN	because
this	DT	this
is	VBZ	be
Netanyahu	NP	Netanyahu
that	DT	that
we've	NN	we've
known	VVN	know
over	IN	over
the	DT	the
years	NNS	year
the	DT	the
past	JJ	past
25	CD	@card@
30	CD	@card@
years	NNS	year
this	DT	this
is	VBZ	be
the	DT	the
obnoxious	JJ	obnoxious
abrasive	JJ	abrasive
confident	JJ	confident
Netanyahu	NP	Netanyahu
that	WDT	that
will	MD	will
not	RB	not
accept	VV	accept
dictates	NNS	dictate
from	IN	from
the	DT	the
street	NN	street
from	IN	from
the	DT	the
opposition	NN	opposition
and	CC	and
the	DT	the
last	JJ	last
the	DT	the
last	JJ	last
question	NN	question
that	IN/that	that
he	PP	he
posted	VVD	post
to	TO	to
the	DT	the
Press	NP	Press
which	WDT	which
prob	NN	prob
I	PP	I
think	VVP	think
it	PP	it
went	VVD	go
you	PP	you
know	VVP	know
when	WRB	when
none	NN	none
of	IN	of
us	PP	us
understood	VVD	understand
what	WP	what
he's	NNS	he's
talking	VVG	talk
about	IN	about
I	PP	I
think	VVP	think
he's	NNS	he's
basically	RB	basically
trying	VVG	try
to	TO	to
build	VV	build
up	RP	up
some	DT	some
conspiracy	NN	conspiracy
theory	NN	theory
that	IN/that	that
there	EX	there
are	VBP	be
invisible	JJ	invisible
hands	NNS	hand
that	WDT	that
are	VBP	be
trying	VVG	try
to	TO	to
destabilize	VV	destabilize
his	PP$	his
government	NN	government
I'm	NN	I'm
not	RB	not
sure	JJ	sure
if	IN	if
he's	NNS	he's
going	VVG	go
to	TO	to
start	VV	start
signaling	VVG	signal
anyone	NN	anyone
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
or	CC	or
elsewhere	RB	elsewhere
but	CC	but
clearly	RB	clearly
there	EX	there
are	VBP	be
now	RB	now
increasing	VVG	increase
voices	NNS	voice
even	RB	even
in	IN	in
the	DT	the
United	NP	United
States	NP	States
that	WDT	that
wants	VVZ	want
him	PP	him
removed	VVD	remove
that	WDT	that
want	VVP	want
to	TO	to
see	VV	see
a	DT	a
new	JJ	new
elections	NNS	election
in	IN	in
Israel	NP	Israel
because	IN	because
for	IN	for
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
especially	RB	especially
in	IN	in
this	DT	this
region	NN	region
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
that	WDT	that
think	VVP	think
the	DT	the
main	JJ	main
obstacle	NN	obstacle
to	TO	to
peace	NN	peace
is	VBZ	be
Netanyahu	NP	Netanyahu
not	RB	not
Hanah	NP	Hanah
it's	NNS	it's
leud	NN	leud
that's	NNS	that's
governing	VVG	govern
in	IN	in
Israel	NP	Israel
not	RB	not
Hamas	VVZ	Hamas
it's	NP	it's
Israel	NP	Israel
not	RB	not
Gaza	NP	Gaza
this	DT	this
is	VBZ	be
the	DT	the
obstacle	NN	obstacle
to	TO	to
peace	VV	peace
all	DT	all
right	JJ	right
thanks	NNS	thanks
so	IN	so
much	JJ	much
Maran	NP	Maran
bishar	NN	bishar
well	RB	well
while	IN	while
prime	JJ	prime
minister	NN	minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
was	VBD	be
speaking	VVG	speak
two	CD	two
separate	JJ	separate
protests	NNS	protest
have	VHP	have
been	VBN	be
taking	VVG	take
place	NN	place
in	IN	in
Tel	NP	Tel
Aviv	NP	Aviv
one	CD	one
group	NN	group
is	VBZ	be
calling	VVG	call
for	IN	for
him	PP	him
to	TO	to
step	VV	step
down	RP	down
the	DT	the
other	JJ	other
is	VBZ	be
demanding	VVG	demand
the	DT	the
release	NN	release
of	IN	of
all	DT	all
captives	NNS	captive
being	VBG	be
held	VVN	hold
in	IN	in
Gaza	NP	Gaza
let's	NNS	let's
go	VVP	go
live	VV	live
now	RB	now
to	TO	to
hamda	NP	hamda
Salud	NP	Salud
she	PP	she
joins	VVZ	join
us	PP	us
from	IN	from
Tel	NP	Tel
Aviv	NP	Aviv
and	CC	and
I	PP	I
understand	VVP	understand
hamda	NN	hamda
as	IN	as
he	PP	he
was	VBD	be
speaking	VVG	speak
there	EX	there
were	VBD	be
some	DT	some
scuffles	NNS	scuffle
going	VVG	go
on	IN	on
tell	VV	tell
us	PP	us
what	WP	what
was	VBD	be
happening	VVG	happen
there	RB	there
as	IN	as
you	PP	you
can	MD	can
see	VV	see
behind	IN	behind
me	PP	me
the	DT	the
anti-government	JJ	anti-government
demonstration	NN	demonstration
in	IN	in
full	JJ	full
force	NN	force
this	DT	this
is	VBZ	be
the	DT	the
first	JJ	first
time	NN	time
since	IN	since
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
war	NN	war
that	IN/that	that
the	DT	the
anti-government	JJ	anti-government
protest	NN	protest
movement	NN	movement
has	VHZ	have
come	VVN	come
out	RP	out
in	IN	in
full	JJ	full
force	NN	force
like	IN	like
this	DT	this
you	PP	you
can	MD	can
see	VV	see
police	NNS	police
mounted	VVN	mount
on	IN	on
Horseback	NN	horseback
here	RB	here
and	CC	and
these	DT	these
trucks	NNS	truck
that	WDT	that
have	VHP	have
been	VBN	be
placed	VVN	place
by	IN	by
Israeli	JJ	Israeli
police	NNS	police
and	CC	and
that's	NNS	that's
in	IN	in
order	NN	order
to	TO	to
prevent	VV	prevent
the	DT	the
demonstrators	NNS	demonstrator
from	IN	from
going	VVG	go
all	PDT	all
the	DT	the
way	NN	way
down	IN	down
this	DT	this
road	NN	road
to	TO	to
our	PP$	our
left	NN	left
here	RB	here
and	CC	and
blocking	VVG	block
the	DT	the
isone	NN	isone
highway	NN	highway
that's	NNS	that's
something	NN	something
that	IN/that	that
the	DT	the
anti-government	JJ	anti-government
protest	NN	protest
movement	NN	movement
was	VBD	be
doing	VVG	do
constantly	RB	constantly
in	IN	in
the	DT	the
year	NN	year
of	IN	of
2023	CD	@card@
leading	VVG	lead
up	RP	up
to	TO	to
the	DT	the
war	NN	war
now	RB	now
simultaneously	RB	simultaneously
just	RB	just
across	IN	across
the	DT	the
street	NN	street
you	PP	you
have	VHP	have
a	DT	a
rally	NN	rally
to	TO	to
bring	VV	bring
back	RB	back
the	DT	the
captives	NNS	captive
at	IN	at
some	DT	some
point	NN	point
this	DT	this
evening	NN	evening
those	DT	those
two	CD	two
demonstrations	NNS	demonstration
will	MD	will
come	VV	come
together	RB	together
into	IN	into
one	CD	one
massive	JJ	massive
protest	NN	protest
against	IN	against
the	DT	the
Israeli	JJ	Israeli
government's	NN	government's
policy	NN	policy
that	WDT	that
has	VHZ	have
seen	VVN	see
not	RB	not
bringing	VVG	bring
back	RB	back
the	DT	the
captives	NNS	captive
the	DT	the
Israeli	JJ	Israeli
Prime	NP	Prime
Minister	NP	Minister
speaking	VVG	speak
tonight	NN	tonight
addressing	VVG	address
the	DT	the
issue	NN	issue
but	CC	but
when	WRB	when
you	PP	you
talk	VVP	talk
to	TO	to
Israelis	NNS	Israeli
Here	RB	here
In	IN	in
This	DT	this
Crowd	NP	Crowd
they'll	NN	they'll
tell	VV	tell
you	PP	you
that	IN/that	that
time	NN	time
has	VHZ	have
simply	RB	simply
run	VVN	run
out	IN	out
134	CD	@card@
days	NNS	day
have	VHP	have
gone	VVN	go
by	IN	by
and	CC	and
the	DT	the
family	NN	family
members	NNS	member
have	VHP	have
not	RB	not
not	RB	not
seen	VVN	see
their	PP$	their
loved	VVN	love
ones	NNS	one
so	RB	so
on	IN	on
top	NN	top
of	IN	of
the	DT	the
that	WDT	that
protest	VVP	protest
you	PP	you
have	VHP	have
anti-government	JJ	anti-government
demonstrations	NNS	demonstration
here	RB	here
in	IN	in
Tel	NP	Tel
Aviv	NP	Aviv
Israelis	NPS	Israelis
showing	VVG	show
up	RP	up
in	IN	in
the	DT	the
thousands	NNS	thousand
Sammy	NP	Sammy
all	DT	all
right	JJ	right
thanks	NNS	thanks
so	IN	so
much	JJ	much
H	NN	H
well	RB	well
manim	NP	manim
Klein	NP	Klein
is	VBZ	be
</doc>	JJ	</doc>
