<video_id>SCdAPf5pqmA</video_id>	NP	<video_id>SCdAPf5pqmA</video_id>
and	CC	and
displaced	VVN	displace
this	DT	this
is	VBZ	be
hind	JJ	hind
alaz	NN	alaz
abasan	NN	abasan
kanun	NN	kanun
make	VVP	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
</doc>	NP	</doc>
