<video_id>f44ase63DAg</video_id>	JJ	<video_id>f44ase63DAg</video_id>
are	VBP	be
one	CD	one
of	IN	of
the	DT	the
injuries	NNS	injury
a	DT	a
child	NN	child
who	WP	who
happened	VVD	happen
to	TO	to
be	VB	be
hit	VVN	hit
by	IN	by
a	DT	a
shrapnell	NP	shrapnell
there's	NP	there's
another	DT	another
one	CD	one
also	RB	also
being	VBG	be
rushed	VVN	rush
inside	IN	inside
the	DT	the
hospital	NN	hospital
and	CC	and
this	DT	this
is	VBZ	be
from	IN	from
the	DT	the
flying	VVG	fly
shrap	NN	shrap
naels	NNS	naels
and	CC	and
de	NP	de
breeze	NN	breeze
as	IN	as
the	DT	the
explosion	NN	explosion
was	VBD	be
quite	RB	quite
intense	JJ	intense
I'm	NP	I'm
I'm	NP	I'm
not	RB	not
sure	RB	sure
if	IN	if
you	PP	you
guys	NNS	guy
could	MD	could
hear	VV	hear
that	IN/that	that
in	IN	in
the	DT	the
studio	NN	studio
but	CC	but
it	PP	it
was	VBD	be
so	RB	so
deafening	VVG	deafen
it	PP	it
was	VBD	be
so	RB	so
loud	JJ	loud
here	RB	here
uh	UH	uh
honey	NN	honey
we	PP	we
can	MD	can
most	RBS	most
definitely	RB	definitely
hear	VV	hear
the	DT	the
continual	JJ	continual
sound	NN	sound
of	IN	of
drones	VVZ	drone
uh	UH	uh
above	RB	above
you	PP	you
Israeli	JJ	Israeli
military	JJ	military
drones	NNS	drone
are	VBP	be
you	PP	you
suggesting	VVG	suggest
it	PP	it
was	VBD	be
one	CD	one
of	IN	of
those	DT	those
drones	NNS	drone
that	WDT	that
carried	VVD	carry
out	RP	out
this	DT	this
specific	JJ	specific
strike	NN	strike
do	VVP	do
we	PP	we
know	VVP	know
what	WP	what
the	DT	the
intended	JJ	intended
target	NN	target
was	VBD	be
[Music]	JJ	[Music]
then	RB	then
well	RB	well
what	WP	what
we	PP	we
know	VVP	know
so	RB	so
far	RB	far
it's	JJ	it's
a	DT	a
house	NN	house
that	WDT	that
has	VHZ	have
been	VBN	be
already	RB	already
bombed	VVN	bomb
but	CC	but
the	DT	the
fact	NN	fact
that	IN/that	that
it's	NNS	it's
not	RB	not
far	RB	far
from	IN	from
the	DT	the
hospital	NN	hospital
this	DT	this
has	VHZ	have
already	RB	already
created	VVN	create
a	DT	a
sense	NN	sense
of	IN	of
intimidation	NN	intimidation
a	DT	a
sense	NN	sense
of	IN	of
fear	NN	fear
and	CC	and
concern	NN	concern
as	IN	as
people	NNS	people
remember	VVP	remember
within	IN	within
the	DT	the
past	JJ	past
few	JJ	few
days	NNS	day
right	RB	right
before	IN	before
the	DT	the
announcement	NN	announcement
of	IN	of
the	DT	the
PA	NN	pa
in	IN	in
the	DT	the
fighting	NN	fighting
in	IN	in
the	DT	the
Central	NP	Central
Area	NP	Area
because	IN	because
of	IN	of
the	DT	the
vaccination	NN	vaccination
campaign	NN	campaign
people	NNS	people
were	VBD	be
literally	RB	literally
told	VVN	tell
by	IN	by
this	DT	this
military	NN	military
as	IN	as
they	PP	they
received	VVD	receive
messages	NNS	message
and	CC	and
received	VVD	receive
they	PP	they
read	VVP	read
the	DT	the
the	DT	the
leaflets	NNS	leaflet
that	WDT	that
were	VBD	be
dropped	VVN	drop
by	IN	by
the	DT	the
Israeli	JJ	Israeli
Army	NN	army
to	TO	to
go	VV	go
back	RB	back
to	TO	to
these	DT	these
blocks	NNS	block
12	CD	@card@
128	CD	@card@
29	CD	@card@
130	CD	@card@
they're	NN	they're
all	DT	all
next	JJ	next
to	TO	to
each	DT	each
other	JJ	other
and	CC	and
they	PP	they
were	VBD	be
told	VVN	tell
they	PP	they
are	VBP	be
safe	RB	safe
literally	RB	literally
the	DT	the
word	NN	word
safe	NN	safe
was	VBD	be
in	IN	in
those	DT	those
text	NN	text
messages	NNS	message
was	VBD	be
in	IN	in
those	DT	those
Def	NP	Def
flets	NNS	flets
and	CC	and
people	NNS	people
were	VBD	be
told	VVN	tell
to	TO	to
get	VV	get
back	RB	back
to	TO	to
these	DT	these
areas	NNS	area
and	CC	and
now	RB	now
the	DT	the
the	DT	the
explosion	NN	explosion
just	RB	just
took	VVD	take
place	NN	place
that	WDT	that
shattered	VVD	shatter
any	DT	any
sense	NN	sense
of	IN	of
safety	NN	safety
that	WDT	that
remained	VVD	remain
to	TO	to
people	NNS	people
also	RB	also
it	PP	it
shattered	VVD	shatter
any	DT	any
sense	NN	sense
of	IN	of
in	IN	in
the	DT	the
narrative	NN	narrative
about	IN	about
the	DT	the
pauses	NNS	pause
in	IN	in
the	DT	the
fighting	NN	fighting
as	IN	as
again	RB	again
this	DT	this
is	VBZ	be
very	RB	very
similar	JJ	similar
to	TO	to
what	WP	what
the	DT	the
Israeli	JJ	Israeli
military	NN	military
has	VHZ	have
been	VBN	be
doing	VVG	do
in	IN	in
the	DT	the
past	JJ	past
10	CD	@card@
months	NNS	month
it's	NNS	it's
all	DT	all
it's	NNS	it's
full	JJ	full
of	IN	of
lies	NNS	lie
it's	NNS	it's
misleading	VVG	mislead
it's	JJ	it's
contradictory	JJ	contradictory
it's	NNS	it's
fake	JJ	fake
people	NNS	people
told	VVD	tell
to	TO	to
go	VV	go
to	TO	to
areas	NNS	area
to	TO	to
avoid	VV	avoid
being	VBG	be
bombed	VVN	bomb
and	CC	and
they	PP	they
get	VVP	get
bombed	VVN	bomb
and	CC	and
they	PP	they
get	VVP	get
killed	VVN	kill
and	CC	and
get	VV	get
bed	NN	bed
in	IN	in
the	DT	the
very	RB	very
particular	JJ	particular
areas	NNS	area
and	CC	and
locations	NNS	location
they	PP	they
were	VBD	be
told	VVN	tell
to	TO	to
go	VV	go
to	TO	to
this	DT	this
is	VBZ	be
we	PP	we
we	PP	we
we	PP	we
keep	VVP	keep
monitoring	VVG	monitor
the	DT	the
development	NN	development
of	IN	of
this	DT	this
story	NN	story
but	CC	but
the	DT	the
fact	NN	fact
is	VBZ	be
happening	VVG	happen
without	IN	without
any	DT	any
prior	JJ	prior
warning	NN	warning
what	WP	what
ever	RB	ever
this	DT	this
Road	NP	Road
next	JJ	next
to	TO	to
the	DT	the
gate	NN	gate
of	IN	of
the	DT	the
hospital	NN	hospital
is	VBZ	be
quite	RB	quite
busy	JJ	busy
at	IN	at
this	DT	this
particular	JJ	particular
time	NN	time
of	IN	of
the	DT	the
day	NN	day
it's	NNS	it's
more	JJR	more
of	IN	of
like	IN	like
a	DT	a
rush	NN	rush
hours	NNS	hour
it's	NNS	it's
a	DT	a
market	NN	market
place	NN	place
here	IN	here
people	NNS	people
tend	VVP	tend
to	TO	to
leave	VV	leave
their	PP$	their
tents	NNS	tent
leave	VVP	leave
to	TO	to
to	TO	to
tend	VV	tend
to	TO	to
leave	VV	leave
the	DT	the
areas	NNS	area
where	WRB	where
they	PP	they
evacuated	VVN	evacuate
we	PP	we
they	PP	they
have	VHP	have
been	VBN	be
evacuated	VVN	evacuate
in	RP	in
and	CC	and
come	VV	come
to	TO	to
this	DT	this
road	NN	road
and	CC	and
particular	JJ	particular
streets	NNS	street
leading	VVG	lead
to	TO	to
the	DT	the
gate	NN	gate
of	IN	of
the	DT	the
hospital	NN	hospital
and	CC	and
buying	NN	buying
and	CC	and
shop	NN	shop
and	CC	and
restock	VV	restock
from	IN	from
whatever	WDT	whatever
is	VBZ	be
available	JJ	available
so	IN	so
it's	NNS	it's
really	RB	really
a	DT	a
busy	JJ	busy
hour	NN	hour
quite	RB	quite
more	RBR	more
of	IN	of
a	DT	a
like	IN	like
a	DT	a
rush	NN	rush
hour	NN	hour
uh	UH	uh
in	IN	in
the	DT	the
area	NN	area
and	CC	and
what	WP	what
we're	NNS	we're
getting	VVG	get
now	RB	now
consistent	JJ	consistent
what	WP	what
I	PP	I
was	VBD	be
saying	VVG	say
the	DT	the
street	NN	street
was	VBD	be
full	JJ	full
of	IN	of
it	PP	it
of	IN	of
hundreds	NNS	hundred
of	IN	of
people	NNS	people
either	CC	either
those	DT	those
who	WP	who
are	VBP	be
coming	VVG	come
back	RB	back
to	TO	to
their	PP$	their
homes	NNS	home
taking	VVG	take
their	PP$	their
bongas	NNS	bongas
and	CC	and
taking	VVG	take
the	DT	the
very	JJ	very
Road	NP	Road
where	WRB	where
the	DT	the
bomb	NN	bomb
where	WRB	where
the	DT	the
explosion	NN	explosion
happens	VVZ	happen
going	VVG	go
back	RB	back
to	TO	to
the	DT	the
eastern	JJ	eastern
part	NN	part
of	IN	of
Dar	NP	Dar
B	NP	B
City	NP	City
or	CC	or
at	IN	at
the	DT	the
vicin	NN	vicin
of	IN	of
the	DT	the
hospital	NN	hospital
when	WRB	when
the	DT	the
explosion	NN	explosion
happens	VVZ	happen
all	DT	all
right	JJ	right
hany	NN	hany
many	JJ	many
thanks	NNS	thanks
for	IN	for
that	DT	that
update	NN	update
we	PP	we
will	MD	will
of	IN	of
course	NN	course
come	VVN	come
back	RB	back
to	TO	to
you	PP	you
um	JJ	um
as	IN	as
when	WRB	when
we	PP	we
get	VVP	get
more	JJR	more
information	NN	information
just	RB	just
to	TO	to
clarify	VV	clarify
hany	NN	hany
and	CC	and
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
team	NN	team
have	VHP	have
been	VBN	be
reporting	VVG	report
on	IN	on
the	DT	the
roll	NN	roll
out	RP	out
of	IN	of
polio	NN	polio
vaccines	NNS	vaccine
uh	UH	uh
one	CD	one
of	IN	of
the	DT	the
centers	NNS	center
there	RB	there
in	IN	in
der	NP	der
Al	NP	Al
Bala	NP	Bala
just	RB	just
to	TO	to
repeat	VV	repeat
what	WP	what
we've	NN	we've
just	RB	just
heard	VVN	hear
from	IN	from
hany	NN	hany
what	WP	what
appears	VVZ	appear
to	TO	to
have	VH	have
been	VBN	be
a	DT	a
strike	VV	strike
uh	UH	uh
possibly	RB	possibly
carried	VVN	carry
out	RP	out
by	IN	by
an	DT	an
Israeli	JJ	Israeli
military	JJ	military
drone	NN	drone
on	IN	on
a	DT	a
Target	NP	Target
close	NN	close
to	TO	to
the	DT	the
gates	NNS	gate
of	IN	of
that	DT	that
hospital	NN	hospital
as	IN	as
I	PP	I
say	VVP	say
on	IN	on
day	NN	day
two	CD	two
of	IN	of
the	DT	the
polio	NN	polio
vaccine	NN	vaccine
roll	NN	roll
out	IN	out
something	NN	something
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
military	NN	military
said	VVD	say
they	PP	they
would	MD	would
provide	VV	provide
a	DT	a
safe	JJ	safe
Corridor	NP	Corridor
to	TO	to
allow	VV	allow
civilians	NNS	civilian
uh	UH	uh
to	TO	to
get	VV	get
to	TO	to
into	IN	into
allow	VV	allow
them	PP	them
to	TO	to
be	VB	be
vaccinated	VVN	vaccinate
make	VV	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jazer	NN	jazer
</doc>	NN	</doc>
