<video_id>angq5AoW4_0</video_id>	JJ	<video_id>angq5AoW4_0</video_id>
which	WDT	which
were	VBD	be
injured	VVN	injure
and	CC	and
sick	JJ	sick
people	NNS	people
were	VBD	be
transported	VVN	transport
out	RP	out
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
what	WP	what
impact	NN	impact
do	VVP	do
you	PP	you
see	VVP	see
the	DT	the
of	IN	of
this	DT	this
Crossing	NN	crossing
having	VHG	have
on	IN	on
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
well	RB	well
it	PP	it
makes	VVZ	make
a	DT	a
a	DT	a
disastrous	JJ	disastrous
catastrophic	JJ	catastrophic
situation	NN	situation
far	RB	far
worse	RBR	worse
um	JJ	um
as	IN	as
you	PP	you
rightly	RB	rightly
indicate	VVP	indicate
I	PP	I
mean	VVP	mean
we	PP	we
hadn't	NNS	hadn't
been	VBN	be
getting	VVG	get
enough	JJ	enough
Aid	NN	aid
into	IN	into
uh	UH	uh
Rafer	NP	Rafer
into	IN	into
Gaza	NP	Gaza
more	RBR	more
generally	RB	generally
o	NN	o
over	IN	over
the	DT	the
last	JJ	last
few	JJ	few
months	NNS	month
uh	UH	uh
I	PP	I
mean	VVP	mean
all	DT	all
assessments	NNS	assessment
have	VHP	have
been	VBN	be
that	IN/that	that
Aid	NP	Aid
has	VHZ	have
fallen	VVN	fall
well	RB	well
short	RB	short
of	IN	of
of	IN	of
what's	NNS	what's
required	VVN	require
and	CC	and
now	RB	now
our	PP$	our
main	JJ	main
Crossing	NN	crossing
Point	NP	Point
has	VHZ	have
been	VBN	be
closed	VVN	close
off	RP	off
uh	UH	uh
meaning	VVG	mean
that	IN/that	that
food	NN	food
Essential	JJ	essential
Medical	NP	Medical
Supplies	NNS	supply
water	NN	water
and	CC	and
sanitation	NN	sanitation
equipment	NN	equipment
are	VBP	be
now	RB	now
far	RB	far
less	RBR	less
accessible	JJ	accessible
to	TO	to
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
but	CC	but
then	RB	then
as	IN	as
you	PP	you
rightly	RB	rightly
say	VVP	say
um	NNS	um
also	RB	also
the	DT	the
evacuation	NN	evacuation
of	IN	of
critically	RB	critically
ill	JJ	ill
patients	NNS	patient
uh	UH	uh
We've	NP	We've
struggled	VVD	struggle
to	TO	to
get	VV	get
medical	JJ	medical
evacuations	NNS	evacuation
out	RB	out
consistently	RB	consistently
from	IN	from
Gaza	NP	Gaza
uh	UH	uh
today	NN	today
we're	NN	we're
expecting	VVG	expect
to	TO	to
evacuate	VV	evacuate
140	CD	@card@
patients	NNS	patient
uh	UH	uh
but	CC	but
now	RB	now
that	DT	that
Lifeline	NN	lifeline
is	VBZ	be
is	VBZ	be
closed	VVN	close
off	IN	off
um	NNS	um
to	TO	to
patients	NNS	patient
and	CC	and
of	IN	of
course	NN	course
it's	NNS	it's
not	RB	not
just	RB	just
the	DT	the
movement	NN	movement
of	IN	of
um	JJ	um
supplies	NNS	supply
and	CC	and
equipment	NN	equipment
in	IN	in
and	CC	and
patients	NNS	patient
out	IN	out
it's	NNS	it's
also	RB	also
the	DT	the
movement	NN	movement
of	IN	of
uh	UH	uh
humanitarian	JJ	humanitarian
Personnel	NNS	Personnel
in	IN	in
that	WDT	that
is	VBZ	be
now	RB	now
been	VBN	be
paused	VVN	pause
yeah	RB	yeah
uh	UH	uh
we	PP	we
we've	VVP	we've
heard	VVN	hear
that	IN/that	that
hospitals	NNS	hospital
in	IN	in
Gaza	NP	Gaza
uh	UH	uh
in	IN	in
particular	JJ	particular
are	VBP	be
in	IN	in
a	DT	a
a	DT	a
really	RB	really
difficult	JJ	difficult
situation	NN	situation
having	VHG	have
to	TO	to
operate	VV	operate
on	IN	on
a	DT	a
on	IN	on
a	DT	a
quota	NN	quota
system	NN	system
for	IN	for
drug	VV	drug
uh	UH	uh
drug	VV	drug
uh	UH	uh
supplies	NNS	supply
and	CC	and
Drug	NN	drug
uh	UH	uh
distribution	NN	distribution
if	IN	if
this	DT	this
medical	JJ	medical
doesn't	NN	doesn't
get	VV	get
in	IN	in
how	WRB	how
long	RB	long
can	MD	can
these	DT	these
Health	NP	Health
Care	NP	Care
Facilities	NPS	Facilities
the	DT	the
remaining	VVG	remain
ones	NNS	one
that	WDT	that
are	VBP	be
functioning	VVG	function
how	WRB	how
long	RB	long
can	MD	can
they	PP	they
go	VV	go
on	RP	on
for	IN	for
well	RB	well
we	PP	we
have	VHP	have
done	VVN	do
some	DT	some
contingency	NN	contingency
planning	NN	planning
and	CC	and
we've	NN	we've
prepositioned	NN	prepositioned
supplies	VVZ	supply
uh	UH	uh
we've	NN	we've
actually	RB	actually
had	VHD	have
to	TO	to
move	VV	move
a	DT	a
lot	NN	lot
of	IN	of
supplies	NNS	supply
from	IN	from
our	PP$	our
warehouses	NNS	warehouse
in	IN	in
Rafer	NP	Rafer
up	RB	up
to	TO	to
uh	UH	uh
the	DT	the
middle	JJ	middle
area	NN	area
um	NN	um
so	IN	so
uh	UH	uh
you	PP	you
know	VVP	know
we	PP	we
can	MD	can
probably	RB	probably
get	VV	get
by	IN	by
for	IN	for
another	DT	another
few	JJ	few
days	NNS	day
or	CC	or
a	DT	a
couple	NN	couple
of	IN	of
weeks	NNS	week
but	CC	but
what	WP	what
you	PP	you
said	VVD	say
I	PP	I
think	VVP	think
is	VBZ	be
is	VBZ	be
vitally	RB	vitally
important	JJ	important
uh	UH	uh
of	IN	of
the	DT	the
36	CD	@card@
hospitals	NNS	hospital
across	IN	across
Gaza	NP	Gaza
only	RB	only
12	CD	@card@
of	IN	of
them	PP	them
are	VBP	be
functioning	VVG	function
and	CC	and
there	EX	there
are	VBP	be
partially	RB	partially
functioning	VVG	function
only	RB	only
three	CD	three
of	IN	of
those	DT	those
hospitals	NNS	hospital
are	VBP	be
in	IN	in
uh	UH	uh
in	IN	in
Rafa	NP	Rafa
serving	VVG	serve
that	DT	that
population	NN	population
of	IN	of
1.4	CD	@card@
1.5	CD	@card@
million	CD	million
people	NNS	people
that	IN/that	that
you	PP	you
mentioned	VVD	mention
so	RB	so
and	CC	and
they're	RB	they're
only	RB	only
partially	RB	partially
functioning	VVG	function
now	RB	now
your	PP$	your
your	PP$	your
correspondent	NN	correspondent
said	VVD	say
NAA	NP	NAA
Hospital	NP	Hospital
which	WDT	which
is	VBZ	be
the	DT	the
largest	JJS	large
of	IN	of
those	DT	those
hospitals	NNS	hospital
has	VHZ	have
stopped	VVN	stop
functioning	VVG	function
we	PP	we
I	PP	I
I	PP	I
had	VHD	have
not	RB	not
heard	VVN	hear
that	IN/that	that
we	PP	we
had	VHD	have
heard	VVN	hear
that	IN/that	that
it	PP	it
was	VBD	be
still	RB	still
continuing	VVG	continue
to	TO	to
function	NN	function
but	CC	but
doctors	NNS	doctor
and	CC	and
patients	NNS	patient
were	VBD	be
starting	VVG	start
to	TO	to
move	VV	move
on	IN	on
um	NNS	um
that	WDT	that
would	MD	would
be	VB	be
absolutely	RB	absolutely
catastrophic	JJ	catastrophic
if	IN	if
that	WDT	that
were	VBD	be
the	DT	the
case	NN	case
it's	NN	it's
it's	NNS	it's
the	DT	the
main	JJ	main
referral	NN	referral
Hospital	NN	hospital
in	IN	in
Rafa	NP	Rafa
right	RB	right
now	RB	now
it's	NNS	it's
usually	RB	usually
only	RB	only
a	DT	a
100	CD	@card@
bed	NN	bed
hospital	NN	hospital
I	PP	I
was	VBD	be
there	RB	there
two	CD	two
months	NNS	month
ago	RB	ago
um	VVD	um
it	PP	it
had	VHD	have
over	RB	over
300	CD	@card@
patients	NNS	patient
at	IN	at
that	DT	that
time	NN	time
more	RBR	more
recently	RB	recently
it's	NNS	it's
had	VHD	have
upwards	RB	upwards
of	IN	of
600	CD	@card@
to	TO	to
700	CD	@card@
patients	NNS	patient
so	RB	so
now	RB	now
because	IN	because
of	IN	of
this	DT	this
incursion	NN	incursion
uh	UH	uh
access	NN	access
to	TO	to
that	DT	that
hospital	NN	hospital
um	NN	um
is	VBZ	be
extremely	RB	extremely
limited	VVN	limit
now	RB	now
for	IN	for
for	IN	for
patients	NNS	patient
for	IN	for
ill	JJ	ill
and	CC	and
injured	VVN	injure
uh	UH	uh
and	CC	and
uh	UH	uh
if	IN	if
it's	NNS	it's
if	IN	if
it's	NN	it's
starting	VVG	start
uh	UH	uh
to	TO	to
um	RB	um
close	VV	close
uh	UH	uh
close	VV	close
services	NNS	service
that	WDT	that
that	RB	that
makes	VVZ	make
things	NNS	thing
absolutely	RB	absolutely
Ely	NP	Ely
disastrous	JJ	disastrous
for	IN	for
the	DT	the
people	NNS	people
of	IN	of
RAF	NN	RAF
a	DT	a
pier	NN	pier
we	PP	we
understand	VVP	understand
is	VBZ	be
being	VBG	be
built	VVN	build
uh	UH	uh
to	TO	to
get	VV	get
humanitarian	JJ	humanitarian
supplies	NNS	supply
into	IN	into
Rafa	NP	Rafa
because	IN	because
as	IN	as
we've	NN	we've
seen	VVN	see
the	DT	the
border	NN	border
crossings	NNS	crossing
the	DT	the
land	NN	land
Crossings	NNS	crossing
uh	UH	uh
are	NN	are
are	VBP	be
closed	VVN	close
off	RP	off
and	CC	and
this	DT	this
pier	NN	pier
it	PP	it
said	VVD	say
will	MD	will
be	VB	be
operational	JJ	operational
in	IN	in
the	DT	the
coming	VVG	come
days	NNS	day
do	VVP	do
you	PP	you
see	VVP	see
that	IN/that	that
having	VHG	have
an	DT	an
an	DT	an
impact	NN	impact
will	MD	will
will	VV	will
that	DT	that
help	NN	help
and	CC	and
who's	NNS	who's
going	VVG	go
to	TO	to
be	VB	be
Distributing	VVG	distribute
the	DT	the
aid	NN	aid
once	IN	once
it	PP	it
comes	VVZ	come
through	IN	through
the	DT	the
pier	NN	pier
how	WRB	how
will	MD	will
it	PP	it
all	RB	all
work	VVP	work
from	IN	from
what	WP	what
you	PP	you
understand	VVP	understand
yeah	RB	yeah
no	DT	no
it's	NNS	it's
they're	NN	they're
very	RB	very
good	JJ	good
questions	NNS	question
I	PP	I
mean	VVP	mean
I	PP	I
think	VVP	think
the	DT	the
general	JJ	general
sense	NN	sense
from	IN	from
the	DT	the
the	DT	the
humanitarian	JJ	humanitarian
agencies	NNS	agency
is	VBZ	be
it	PP	it
will	MD	will
have	VH	have
a	DT	a
very	RB	very
very	RB	very
modest	JJ	modest
impact	VV	impact
uh	UH	uh
we	PP	we
won't	NP	won't
be	VB	be
able	JJ	able
to	TO	to
bring	VV	bring
in	IN	in
supplies	NNS	supply
at	IN	at
scale	NN	scale
um	NN	um
it's	NNS	it's
generally	RB	generally
going	VVG	go
to	TO	to
be	VB	be
used	VVN	use
for	IN	for
for	IN	for
food	NN	food
Aid	NN	aid
primarily	RB	primarily
for	IN	for
for	IN	for
bulky	JJ	bulky
items	VVZ	item
uh	UH	uh
we	PP	we
don't	VVD	don't
see	VV	see
it	PP	it
at	IN	at
this	DT	this
stage	NN	stage
as	IN	as
being	VBG	be
the	DT	the
best	JJS	good
option	NN	option
for	IN	for
bringing	VVG	bring
in	IN	in
medical	JJ	medical
supplies	NNS	supply
the	DT	the
land	NN	land
routs	NNS	rout
are	VBP	be
by	IN	by
far	RB	far
the	DT	the
most	RBS	most
effective	JJ	effective
and	CC	and
efficient	JJ	efficient
ways	NNS	way
of	IN	of
of	IN	of
bringing	VVG	bring
Aid	NN	aid
in	IN	in
and	CC	and
uh	UH	uh
there	EX	there
are	VBP	be
still	RB	still
a	DT	a
lot	NN	lot
of	IN	of
unknowns	NNS	unknown
as	IN	as
you've	NN	you've
indicated	VVD	indicate
there	EX	there
once	RB	once
the	DT	the
supplies	NNS	supply
have	VHP	have
been	VBN	be
brought	VVN	bring
in	IN	in
from	IN	from
the	DT	the
peer	NN	peer
then	RB	then
how	WRB	how
uh	UH	uh
how	WRB	how
are	VBP	be
they're	NNS	they're
going	VVG	go
to	TO	to
be	VB	be
stored	VVN	store
and	CC	and
distributed	VVN	distribute
we	PP	we
still	RB	still
don't	JJ	don't
have	VHP	have
all	PDT	all
those	DT	those
details	NNS	detail
so	IN	so
we	PP	we
continue	VVP	continue
to	TO	to
advocate	VV	advocate
for	IN	for
maintaining	VVG	maintain
uh	UH	uh
adequate	JJ	adequate
access	NN	access
through	IN	through
the	DT	the
land	NN	land
Crossings	NNS	crossing
they're	NN	they're
absolutely	RB	absolutely
vital	JJ	vital
thank	VVP	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
talking	VVG	talk
to	TO	to
us	PP	us
Richard	NP	Richard
Brennan	NP	Brennan
Regional	NP	Regional
Emergency	NP	Emergency
director	NN	director
for	IN	for
the	DT	the
Eastern	NP	Eastern
Mediterranean	NP	Mediterranean
at	IN	at
wh	NN	wh
joining	VVG	join
us	PP	us
there	RB	there
from	IN	from
Cairo	NP	Cairo
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
your	PP$	your
time	NN	time
thank	VV	thank
you	PP	you
very	RB	very
much	RB	much
thank	VV	thank
you	PP	you
make	VV	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jazer	NN	jazer
</doc>	NN	</doc>
