<video_id>SLpq3SNlgiI</video_id>	NN	<video_id>SLpq3SNlgiI</video_id>
happened	VVN	happen
overnight	JJ	overnight
in	IN	in
maazi	NN	maazi
Refugee	NN	refugee
C	NP	C
denly	RB	denly
populated	VVD	populate
area	NN	area
in	IN	in
central	JJ	central
part	NN	part
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
it's	NNS	it's
important	JJ	important
to	TO	to
draw	VV	draw
our	PP$	our
viewers	NNS	viewer
attention	NN	attention
the	DT	the
central	JJ	central
part	NN	part
of	IN	of
Gaza	NP	Gaza
it	PP	it
has	VHZ	have
been	VBN	be
effectively	RB	effectively
separated	VVN	separate
from	IN	from
Gaza	NP	Gaza
and	CC	and
the	DT	the
northern	JJ	northern
part	NN	part
and	CC	and
from	IN	from
the	DT	the
southern	JJ	southern
part	NN	part
and	CC	and
suffers	VVZ	suffer
from	IN	from
extreme	JJ	extreme
shortage	NN	shortage
of	IN	of
Food	NP	Food
Supplies	VVZ	supply
medical	JJ	medical
supplies	NNS	supply
and	CC	and
water	NN	water
supply	NN	supply
of	IN	of
people	NNS	people
are	VBP	be
there	RB	there
are	VBP	be
dying	VVG	die
of	IN	of
starvation	NN	starvation
soon	RB	soon
there	EX	there
was	VBD	be
a	DT	a
warning	NN	warning
by	IN	by
the	DT	the
uh	UH	uh
commissioner	NN	commissioner
Deputy	NP	Deputy
Commissioner	NP	Commissioner
of	IN	of
the	DT	the
of	IN	of
Honor	NP	Honor
was	VBD	be
saying	VVG	say
there	RB	there
people	NNS	people
dying	VVG	die
of	IN	of
starvation	NN	starvation
in	IN	in
that	DT	that
part	NN	part
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
but	CC	but
overnight	RB	overnight
23	CD	@card@
people	NNS	people
died	VVN	die
in	IN	in
an	DT	an
air	NN	air
strike	NN	strike
Relentless	JJ	relentless
air	NN	air
strike	NN	strike
on	IN	on
a	DT	a
residential	JJ	residential
homes	NNS	home
causing	VVG	cause
severe	JJ	severe
destruction	NN	destruction
to	TO	to
the	DT	the
surrounding	VVG	surround
area	NN	area
but	CC	but
lack	NN	lack
of	IN	of
equipment	NN	equipment
M	NP	M
just	RB	just
made	VVD	make
it	PP	it
very	RB	very
difficult	JJ	difficult
for	IN	for
the	DT	the
the	DT	the
the	DT	the
civil	JJ	civil
defense	NN	defense
crew	NN	crew
on	IN	on
the	DT	the
ground	NN	ground
to	TO	to
help	VV	help
people	VV	people
uh	UH	uh
REM	NP	Rem
to	TO	to
help	VV	help
remove	VV	remove
those	DT	those
who	WP	who
survived	VVD	survive
the	DT	the
attacks	NNS	attack
from	IN	from
under	IN	under
the	DT	the
the	DT	the
the	DT	the
rebels	NNS	rebel
23	CD	@card@
people	NNS	people
reported	VVN	report
killed	VVD	kill
the	DT	the
vast	JJ	vast
majority	NN	majority
of	IN	of
them	PP	them
women	NNS	woman
and	CC	and
and	CC	and
it	PP	it
show	VVP	show
children	NNS	child
similar	JJ	similar
situations	NNS	situation
took	VVD	take
place	NN	place
in	IN	in
no	DT	no
refuge	NN	refuge
Camp	NP	Camp
a	DT	a
neighboring	JJ	neighboring
refugee	NN	refugee
camp	NN	camp
to	TO	to
Al	NP	Al
magazi	NNS	magazi
where	WRB	where
more	JJR	more
residential	JJ	residential
homes	NNS	home
being	VBG	be
destroyed	VVN	destroy
more	JJR	more
people	NNS	people
are	VBP	be
getting	VVG	get
displaced	VVN	displace
because	IN	because
the	DT	the
results	NNS	result
of	IN	of
every	DT	every
air	NN	air
strikes	VVZ	strike
not	RB	not
only	JJ	only
death	NN	death
death	NN	death
and	CC	and
destruction	NN	destruction
but	CC	but
also	RB	also
it	PP	it
causes	VVZ	cause
displacement	NN	displacement
to	TO	to
hundreds	NNS	hundred
more	JJR	more
Palestinians	NNS	Palestinian
in	IN	in
any	DT	any
in	IN	in
any	DT	any
targeted	JJ	targeted
neighborhoods	NNS	neighborhood
or	CC	or
residential	JJ	residential
block	NN	block
it	PP	it
becomes	VVZ	become
unlivable	JJ	unlivable
as	IN	as
the	DT	the
vast	JJ	vast
majority	NN	majority
of	IN	of
this	DT	this
neighborhood	NN	neighborhood
gets	VVZ	get
gets	VVZ	get
destroyed	VVN	destroy
and	CC	and
given	VVN	give
infrastructure	NN	infrastructure
or	CC	or
any	DT	any
means	NNS	mean
of	IN	of
life	NN	life
and	CC	and
kanun	NN	kanun
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
while	IN	while
fighting	VVG	fight
extreme	JJ	extreme
Fighting	NN	fighting
going	VVG	go
on	IN	on
and	CC	and
taking	VVG	take
place	NN	place
in	IN	in
Eastern	NP	Eastern
kanun	NP	kanun
and	CC	and
the	DT	the
central	JJ	central
part	NN	part
of	IN	of
kanun	JJ	kanun
more	JJR	more
people	NNS	people
are	VBP	be
getting	VVG	get
killed	VVN	kill
as	IN	as
a	DT	a
results	NNS	result
of	IN	of
artillery	NN	artillery
Shillings	NP	Shillings
and	CC	and
and	CC	and
more	JJR	more
Relentless	JJ	relentless
air	NN	air
strike	NN	strike
from	IN	from
residential	JJ	residential
uh	UH	uh
homes	NNS	home
what	WP	what
seems	VVZ	seem
to	TO	to
be	VB	be
a	DT	a
war	NN	war
on	IN	on
residential	JJ	residential
homes	NNS	home
that	WDT	that
read	VVP	read
just	RB	just
an	DT	an
attempt	NN	attempt
to	TO	to
make	VV	make
everyone	NN	everyone
homeless	NN	homeless
make	VVP	make
everyone	NN	everyone
displ	NN	displ
that's	NN	that's
what	WP	what
seems	VVZ	seem
to	TO	to
be	VB	be
this	DT	this
the	DT	the
the	DT	the
uh	UH	uh
the	DT	the
direct	JJ	direct
results	NNS	result
of	IN	of
of	IN	of
of	IN	of
these	DT	these
attacks	NNS	attack
on	IN	on
on	IN	on
Gaza	NP	Gaza
and	CC	and
across	IN	across
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
uh	UH	uh
a	DT	a
more	JJR	more
of	IN	of
it	PP	it
more	JJR	more
people	NNS	people
are	VBP	be
pouring	VVG	pour
into	IN	into
Rafa	NP	Rafa
city	NN	city
as	IN	as
a	DT	a
result	NN	result
of	IN	of
the	DT	the
the	DT	the
growing	VVG	grow
sense	NN	sense
that	IN/that	that
KH	NP	KH
unun	NP	unun
is	VBZ	be
becoming	VVG	become
a	DT	a
dangerous	JJ	dangerous
and	CC	and
a	DT	a
risky	JJ	risky
area	NN	area
and	CC	and
increasingly	RB	increasingly
becoming	VVG	become
an	DT	an
extreme	JJ	extreme
war	NN	war
zone	NN	zone
okay	JJ	okay
hanim	NN	hanim
Mahmud	NP	Mahmud
bringing	VVG	bring
us	PP	us
the	DT	the
latest	JJ	latest
uh	UH	uh
from	IN	from
Rafa	NP	Rafa
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
thanks	NNS	thanks
very	RB	very
much	JJ	much
hany	NN	hany
</doc>	NN	</doc>
