<video_id>doA6r8QIQqQ</video_id>	JJ	<video_id>doA6r8QIQqQ</video_id>
Hamid	NP	Hamid
you're	NN	you're
in	IN	in
rala	NN	rala
you're	NN	you're
reporting	VVG	report
from	IN	from
the	DT	the
church	NN	church
service	NN	service
that	WDT	that
was	VBD	be
being	VBG	be
held	VVN	hold
for	IN	for
the	DT	the
victims	NNS	victim
of	IN	of
the	DT	the
Israeli	JJ	Israeli
attack	NN	attack
on	IN	on
the	DT	the
uh	UH	uh
Hospital	NN	hospital
in	IN	in
Gaza	NP	Gaza
</doc>	NP	</doc>
