barari	VVG	barari
to	TO	to
the	DT	the
United	NP	United
Nation	NP	Nation
as	IN	as
a	DT	a
full	JJ	full
member	NN	member
not	RB	not
as	IN	as
an	DT	an
observer	NN	observer
well	RB	well
we	PP	we
'	POS	'
ll	NNS	ll
see	VVP	see
where	WRB	where
those	DT	those
conversations	NNS	conversation
go	VVP	go
I	PP	I
do	VVP	do
also	RB	also
want	VV	want
to	TO	to
ask	VV	ask
you	PP	you
about	IN	about
Rafa	NP	Rafa
obviously	RB	obviously
the	DT	the
US	NP	US
has	VHZ	have
been	VBN	be
pretty	RB	pretty
vocal	JJ	vocal
about	IN	about
what	WP	what
they	PP	they
view	VVP	view
would	MD	would
be	VB	be
a	DT	a
mistake	NN	mistake
in	IN	in
Rafa	NP	Rafa
in	IN	in
recent	JJ	recent
weeks	NNS	week
they	PP	they
now	RB	now
having	VHG	have
these	DT	these
conversations	NNS	conversation
with	IN	with
the	DT	the
Israelis	NNS	Israeli
how	WRB	how
much	JJ	much
influence	NN	influence
and	CC	and
leverage	NN	leverage
does	VVZ	do
Washington	NP	Washington
have	VHP	have
right	RB	right
now	RB	now
on	IN	on
what	WP	what
Israel	NP	Israel
decides	VVZ	decide
in	IN	in
the	DT	the
South	NP	South
well	RB	well
prior	RB	prior
to	TO	to
the	DT	the
Iranian	JJ	Iranian
attack	NN	attack
on	IN	on
Israel	NP	Israel
the	DT	the
Americans	NPS	Americans
seem	VVP	seem
to	TO	to
me	PP	me
having	VHG	have
more	JJR	more
probably	RB	probably
the	DT	the
leverage	NN	leverage
to	TO	to
influence	NN	influence
na	TO	na
uh	UH	uh
but	CC	but
now	RB	now
with	IN	with
with	IN	with
with	IN	with
the	DT	the
attack	NN	attack
I	PP	I
think	VVP	think
this	DT	this
has	VHZ	have
eased	VVN	ease
and	CC	and
nowo	NN	nowo
feel	VVP	feel
that	IN/that	that
you	PP	you
know	VVP	know
his	PP$	his
country	NN	country
was	VBD	be
the	DT	the
victim	NN	victim
uh	UH	uh
and	CC	and
now	RB	now
he	PP	he
has	VHZ	have
the	DT	the
right	NN	right
to	TO	to
continue	VV	continue
whatever	WDT	whatever
he	PP	he
wanted	VVD	want
to	TO	to
do	VV	do
uh	UH	uh
his	PP$	his
argument	NN	argument
to	TO	to
the	DT	the
Americans	NPS	Americans
and	CC	and
to	TO	to
everyone	NN	everyone
else	RB	else
that	IN/that	that
the	DT	the
total	JJ	total
Victory	NP	Victory
will	MD	will
not	RB	not
be	VB	be
achieved	VVN	achieve
without	IN	without
moving	VVG	move
into	IN	into
Rafa	NP	Rafa
the	DT	the
problem	NN	problem
here	RB	here
is	VBZ	be
that	IN/that	that
what	WP	what
are	VBP	be
you	PP	you
going	VVG	go
to	TO	to
do	VV	do
with	IN	with
the	DT	the
humanitarian	JJ	humanitarian
dimension	NN	dimension
of	IN	of
the	DT	the
conflict	NN	conflict
how	WRB	how
many	JJ	many
people	NNS	people
you	PP	you
going	VVG	go
to	TO	to
kill	VV	kill
uh	UH	uh
how	WRB	how
many	JJ	many
civilians	NNS	civilian
going	VVG	go
to	TO	to
be	VB	be
displaced	VVN	displace
and	CC	and
all	PDT	all
these	DT	these
questions	NNS	question
are	VBP	be
actually	RB	actually
uh	UH	uh
being	VBG	be
debated	VVN	debate
with	IN	with
with	IN	with
the	DT	the
American	JJ	American
but	CC	but
it	PP	it
seems	VVZ	seem
to	TO	to
me	PP	me
that	IN/that	that
the	DT	the
Americans	NPS	Americans
have	VHP	have
been	VBN	be
moving	VVG	move
slowly	RB	slowly
but	CC	but
surely	RB	surely
toward	IN	toward
ano	NP	Ano
'	POS	'
s	JJ	s
decision	NN	decision
to	TO	to
move	VV	move
into	IN	into
Rafa	NP	Rafa
well	RB	well
if	IN	if
Netanyahu	NP	Netanyahu
is	VBZ	be
now	RB	now
feeling	VVG	feel
emboldened	VVN	embolden
he	PP	he
he	PP	he
'	POS	'
s	NN	S
still	RB	still
saying	VVG	say
to	TO	to
the	DT	the
us	PP	us
that	IN/that	that
they	PP	they
will	MD	will
try	VV	try
to	TO	to
protect	VV	protect
civilians	NNS	civilian
we	PP	we
'	POS	'
re	NN	re
hearing	NN	hearing
from	IN	from
our	PP$	our
correspondent	NN	correspondent
about	IN	about
vague	JJ	vague
plans	NNS	plan
for	IN	for
evacuations	NNS	evacuation
we	PP	we
still	RB	still
don	VVP	don
'	POS	'
t	NN	t
know	VV	know
where	WRB	where
people	NNS	people
would	MD	would
even	RB	even
be	VB	be
Evac	NP	Evac
too	RB	too
we	PP	we
'	POS	'
re	NN	re
talking	VVG	talk
about	IN	about
1	CD	@card@
.	SENT	.
5	CD	@card@
million	CD	million
people	NNS	people
is	VBZ	be
is	VBZ	be
something	NN	something
of	IN	of
that	DT	that
scale	NN	scale
even	RB	even
possible	RB	possible
given	VVN	give
what	WP	what
'	POS	'
s	NN	S
already	RB	already
happened	VVD	happen
in	IN	in
Gaza	NP	Gaza
I	NP	I
I	NP	I
don	NN	don
'	POS	'
t	NN	t
see	VVP	see
this	DT	this
as	RB	as
happening	VVG	happen
in	IN	in
in	IN	in
a	DT	a
safe	JJ	safe
way	NN	way
uh	UH	uh
I	PP	I
think	VVP	think
what	WP	what
the	DT	the
Israel	NP	Israel
is	VBZ	be
trying	VVG	try
to	TO	to
do	VV	do
is	VBZ	be
to	TO	to
give	VV	give
the	DT	the
impression	NN	impression
uh	UH	uh
that	IN/that	that
they	PP	they
they	PP	they
'	''	'
re	IN	re
they	PP	they
care	VVP	care
about	IN	about
the	DT	the
civilian	JJ	civilian
but	CC	but
they	PP	they
don	VVP	don
'	''	'
t	NN	t
you	PP	you
know	VVP	know
you	PP	you
know	VVP	know
given	VVN	give
the	DT	the
the	DT	the
toll	NN	toll
and	CC	and
more	JJR	more
than	IN	than
34	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
were	VBD	be
killed	VVN	kill
and	CC	and
maybe	RB	maybe
880	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
were	VBD	be
injured	VVN	injure
80	CD	@card@
%	NN	%
of	IN	of
the	DT	the
houses	NNS	house
were	VBD	be
demolished	VVN	demolish
so	IN	so
they	PP	they
really	RB	really
not	RB	not
qualified	VVN	qualify
morally	RB	morally
to	TO	to
talk	VV	talk
about	IN	about
this	DT	this
in	IN	in
indeed	RB	indeed
what	WP	what
they	PP	they
interested	JJ	interested
is	VBZ	be
just	RB	just
you	PP	you
know	VVP	know
it	PP	it
'	''	'
s	VVG	s
a	DT	a
smoke	NN	smoke
screen	NN	screen
behind	IN	behind
this	DT	this
it	PP	it
conceals	VVZ	conceal
what	WP	what
the	DT	the
Israelis	NPS	Israelis
are	VBP	be
trying	VVG	try
to	TO	to
do	VV	do
is	VBZ	be
to	TO	to
dismantle	VV	dismantle
Hamas	NNS	Hamas
and	CC	and
to	TO	to
achieve	VV	achieve
a	DT	a
votal	JJ	votal
um	JJ	um
total	JJ	total
victory	NN	victory
at	IN	at
any	DT	any
cost	NN	cost
well	RB	well
so	RB	so
let	VV	let
me	PP	me
ask	VV	ask
you	PP	you
then	RB	then
about	IN	about
the	DT	the
US	NP	US
perspective	NN	perspective
on	IN	on
this	DT	this
because	IN	because
they	PP	they
'	POS	'
re	NN	re
saying	VVG	say
they	PP	they
share	VVP	share
this	DT	this
objective	NN	objective
of	IN	of
defeating	VVG	defeat
Hamas	NP	Hamas
and	CC	and
Rafa	NP	Rafa
but	CC	but
they	PP	they
do	VVP	do
believe	VV	believe
it	PP	it
'	POS	'
s	NN	S
possible	JJ	possible
to	TO	to
do	VV	do
that	IN/that	that
while	IN	while
protecting	VVG	protect
civilians	NNS	civilian
what	WP	what
are	VBP	be
the	DT	the
Americans	NPS	Americans
proposing	VVG	propose
some	DT	some
kind	NN	kind
of	IN	of
limited	JJ	limited
special	JJ	special
ops	NN	ops
kind	NN	kind
of	IN	of
mission	NN	mission
well	RB	well
I	PP	I
think	VVP	think
all	PDT	all
these	DT	these
statements	NNS	statement
coming	VVG	come
from	IN	from
Biden	NP	Biden
'	POS	'
s	JJ	s
Administration	NN	administration
are	VBP	be
performative	JJ	performative
I	PP	I
mean	VVP	mean
they	PP	they
are	VBP	be
just	RB	just
you	PP	you
know	VVP	know
playing	VVG	play
to	TO	to
the	DT	the
ears	NNS	ear
of	IN	of
the	DT	the
Americans	NPS	Americans
because	IN	because
there	EX	there
are	VBP	be
a	DT	a
lot	NN	lot
of	IN	of
critiques	NNS	critique
in	IN	in
America	NP	America
about	RB	about
how	WRB	how
Biden	NP	Biden
'	POS	'
s	VVZ	s
uh	UH	uh
administration	NN	administration
'	POS	'
s	JJ	s
um	NN	um
Administration	NN	administration
have	VHP	have
has	VHZ	have
has	VHZ	have
U	NP	U
um	NNS	um
supported	VVD	support
Israel	NP	Israel
so	IN	so
we	PP	we
is	VBZ	be
trying	VVG	try
to	TO	to
assure	VV	assure
them	PP	them
that	IN/that	that
America	NP	America
is	VBZ	be
still	RB	still
cares	VVZ	care
about	RB	about
humanitarian	JJ	humanitarian
aspect	NN	aspect
but	CC	but
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
you	PP	you
know	VVP	know
he	PP	he
'	''	'
s	NNS	s
playing	VVG	play
into	IN	into
the	DT	the
hand	NN	hand
of	IN	of
Nano	NP	Nano
Nano	NP	Nano
has	VHZ	have
been	VBN	be
good	JJ	good
at	IN	at
manipulating	VVG	manipulate
the	DT	the
American	JJ	American
Administration	NN	administration
to	TO	to
his	PP$	his
own	JJ	own
and	CC	and
he	PP	he
'	POS	'
s	NNS	s
moving	VVG	move
slowly	RB	slowly
but	CC	but
surely	RB	surely
and	CC	and
the	DT	the
Americans	NPS	Americans
who	WP	who
were	VBD	be
like	IN	like
saying	VVG	say
no	RB	no
to	TO	to
invading	VVG	invade
or	CC	or
now	RB	now
say	VV	say
yes	UH	yes
but	CC	but
you	PP	you
know	VVP	know
and	CC	and
and	CC	and
this	DT	this
is	VBZ	be
you	PP	you
know	VVP	know
when	WRB	when
you	PP	you
give	VVP	give
the	DT	the
Israelis	NPS	Israelis
yes	RB	yes
but	CC	but
it	PP	it
means	VVZ	mean
you	PP	you
know	VV	know
this	DT	this
is	VBZ	be
like	IN	like
a	DT	a
green	JJ	green
light	NN	light
well	RB	well
another	DT	another
critical	JJ	critical
part	NN	part
of	IN	of
the	DT	the
humanitarian	JJ	humanitarian
picture	NN	picture
here	RB	here
is	VBZ	be
obviously	RB	obviously
that	IN/that	that
Rafa	NP	Rafa
is	VBZ	be
the	DT	the
primary	JJ	primary
entry	NN	entry
point	NN	point
for	IN	for
land	NN	land
Crossings	NNS	crossing
of	IN	of
Aid	NN	aid
into	IN	into
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
for	IN	for
the	DT	the
whole	JJ	whole
Gaza	NP	Gaza
Strip	NP	Strip
at	IN	at
the	DT	the
moment	NN	moment
we	PP	we
we	PP	we
'	POS	'
ve	NN	ve
seen	VVN	see
the	DT	the
Israelis	NPS	Israelis
in	IN	in
in	IN	in
recent	JJ	recent
weeks	NNS	week
open	VVP	open
I	PP	I
should	MD	should
put	VV	put
that	IN/that	that
in	IN	in
ambass	NN	ambass
of	IN	of
commer	NP	Commer
open	VVP	open
another	DT	another
Crossing	NN	crossing
in	IN	in
the	DT	the
north	NN	north
where	WRB	where
we	PP	we
'	POS	'
re	NN	re
seeing	VVG	see
very	RB	very
little	JJ	little
Aid	NN	aid
come	VVN	come
through	IN	through
I	NP	I
'	POS	'
ve	RB	ve
been	VBN	be
wondering	VVG	wonder
whether	IN	whether
that	DT	that
'	''	'
s	RB	s
been	VBN	be
preparation	NN	preparation
for	IN	for
some	DT	some
kind	NN	kind
of	IN	of
rougher	JJR	rough
offensive	JJ	offensive
and	CC	and
and	CC	and
what	WP	what
the	DT	the
broader	JJR	broad
impact	NN	impact
on	IN	on
Aid	NP	Aid
a	DT	a
huge	JJ	huge
land	NN	land
offensive	NN	offensive
in	IN	in
the	DT	the
South	NP	South
would	MD	would
would	MD	would
be	VB	be
well	RB	well
I	PP	I
think	VVP	think
this	DT	this
is	VBZ	be
part	NN	part
of	IN	of
the	DT	the
Israeli	JJ	Israeli
propaganda	NN	propaganda
that	IN/that	that
they	PP	they
car	NN	car
that	IN/that	that
they	PP	they
care	VVP	care
about	IN	about
the	DT	the
Palestinians	NPS	Palestinians
because	IN	because
you	PP	you
know	VVP	know
the	DT	the
Americans	NPS	Americans
who	WP	who
were	VBD	be
like	IN	like
criticizing	VVG	criticize
Israel	NP	Israel
for	IN	for
not	RB	not
allowing	VVG	allow
for	IN	for
the	DT	the
aid	NN	aid
to	TO	to
come	VV	come
into	IN	into
into	IN	into
Gaza	NP	Gaza
and	CC	and
now	RB	now
with	IN	with
the	DT	the
American	NP	American
mean	VVP	mean
just	RB	just
um	JJ	um
last	JJ	last
night	NN	night
they	PP	they
were	VBD	be
talking	VVG	talk
about	IN	about
the	DT	the
Improvement	NP	Improvement
in	IN	in
the	DT	the
humanitarian	JJ	humanitarian
aspect	NN	aspect
but	CC	but
you	PP	you
know	VVP	know
the	DT	the
Israelis	NPS	Israelis
they	PP	they
really	RB	really
don	VVP	don
'	POS	'
t	NN	t
care	NN	care
about	IN	about
the	DT	the
Palestinian	NN	Palestinian
they	PP	they
see	VVP	see
them	PP	them
as	RB	as
human	JJ	human
they	PP	they
see	VVP	see
them	PP	them
as	RB	as
subhuman	JJ	subhuman
you	PP	you
know	VVP	know
given	VVN	give
the	DT	the
way	NN	way
they	PP	they
refer	VVP	refer
to	TO	to
them	PP	them
as	IN	as
amalik	NN	amalik
and	CC	and
also	RB	also
the	DT	the
minister	NN	minister
of	IN	of
defense	NN	defense
or	CC	or
talking	VVG	talk
about	IN	about
them	PP	them
as	IN	as
even	JJ	even
animals	NNS	animal
human	JJ	human
animals	NNS	animal
they	PP	they
call	VVP	call
them	PP	them
but	CC	but
you	PP	you
know	VVP	know
they	PP	they
want	VVP	want
to	TO	to
um	VVG	um
uh	UH	uh
they	PP	they
want	VVP	want
the	DT	the
International	NP	International
Community	NP	Community
to	TO	to
um	RB	um
be	VB	be
assured	VVN	assure
that	IN/that	that
Israel	NP	Israel
is	VBZ	be
taking	VVG	take
care	NN	care
of	IN	of
the	DT	the
aid	NN	aid
but	CC	but
you	PP	you
know	VVP	know
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
we	PP	we
know	VVP	know
that	IN/that	that
the	DT	the
Israelis	NPS	Israelis
were	VBD	be
trying	VVG	try
actually	RB	actually
to	TO	to
kick	VV	kick
the	DT	the
Palestinians	NPS	Palestinians
and	CC	and
expel	VV	expel
expel	VV	expel
them	PP	them
so	CC	so
uh	UH	uh
starvation	NN	starvation
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
one	CD	one
of	IN	of
the	DT	the
weapons	NNS	weapon
used	VVN	use
by	IN	by
the	DT	the
Israelis	NPS	Israelis
and	CC	and
effectively	RB	effectively
a	DT	a
ground	NN	ground
defensive	NN	defensive
in	IN	in
Rafa	NP	Rafa
would	MD	would
pretty	RB	pretty
much	RB	much
cut	VV	cut
off	RP	off
the	DT	the
only	JJ	only
path	NN	path
in	IN	in
for	IN	for
Aid	NP	Aid
as	RB	as
would	MD	would
make	VV	make
it	PP	it
really	RB	really
tough	JJ	tough
for	IN	for
the	DT	the
Palestinians	NPS	Palestinians
Hassan	NP	Hassan
barari	NNS	barari
thank	VVP	thank
you	PP	you
for	IN	for
joining	VVG	join
us	PP	us
again	RB	again
on	IN	on
the	DT	the
aler	NN	aler
news	NN	news
now	RB	now
