US	NP	US
the	DT	the
refusal	NN	refusal
the	DT	the
adamant	JJ	adamant
refusal	NN	refusal
and	CC	and
I	PP	I
'	POS	'
ve	RB	ve
been	VBN	be
following	VVG	follow
your	PP$	your
statements	NNS	statement
on	IN	on
this	DT	this
four	CD	four
months	NNS	month
at	IN	at
the	DT	the
end	NN	end
at	IN	at
the	DT	the
bottom	JJ	bottom
line	NN	line
of	IN	of
it	PP	it
people	NNS	people
have	VHP	have
to	TO	to
understand	VV	understand
it	PP	it
starts	VVZ	start
with	IN	with
the	DT	the
refusal	NN	refusal
of	IN	of
Hamas	NP	Hamas
to	TO	to
move	VV	move
forward	RB	forward
we	PP	we
are	VBP	be
simply	RB	simply
still	RB	still
very	RB	very
hopeful	JJ	hopeful
that	IN/that	that
we	PP	we
can	MD	can
move	VV	move
forward	RB	forward
in	IN	in
the	DT	the
negotiations	NNS	negotiation
that	WDT	that
are	VBP	be
held	VVN	hold
by	IN	by
the	DT	the
mediators	NNS	mediator
and	CC	and
I	PP	I
want	VVP	want
to	TO	to
thank	VV	thank
the	DT	the
United	NP	United
States	NPS	States
Egypt	NP	Egypt
and	CC	and
Kata	NP	Kata
for	IN	for
their	PP$	their
efforts	NNS	effort
on	IN	on
this	DT	this
on	IN	on
behalf	NN	behalf
of	IN	of
this	DT	this
noble	JJ	noble
cause	NN	cause
there	EX	there
is	VBZ	be
no	DT	no
greater	JJR	great
humanitarian	JJ	humanitarian
objective	NN	objective
and	CC	and
there	EX	there
'	''	'
s	VVG	s
no	DT	no
greater	JJR	great
humanitarian	JJ	humanitarian
cause	NN	cause
than	IN	than
bringing	VVG	bring
back	RB	back
our	PP$	our
hostages	NNS	hostage
home	NN	home
as	IN	as
they	PP	they
should	MD	should
have	VH	have
returned	VVN	return
long	RB	long
ago	RB	ago
we	PP	we
want	VVP	want
to	TO	to
see	VV	see
them	PP	them
back	RB	back
home	RB	home
as	IN	as
soon	RB	soon
as	RB	as
possible	RB	possible
there	EX	there
'	''	'
s	VVG	s
no	DT	no
greater	JJR	great
prayer	NN	prayer
and	CC	and
there	EX	there
'	''	'
s	VVG	s
no	DT	no
Greater	NP	Greater
Hope	NP	Hope
and	CC	and
no	DT	no
greater	JJR	great
effort	NN	effort
turn	NN	turn
everything	NN	everything
possible	JJ	possible
to	TO	to
bring	VV	bring
them	PP	them
back	RB	back
home	RB	home
and	CC	and
it	PP	it
is	VBZ	be
in	IN	in
fact	NN	fact
the	DT	the
top	JJ	top
agenda	NN	agenda
of	IN	of
world	NN	world
affairs	NNS	affair
these	DT	these
days	NNS	day
as	RB	as
projected	VVN	project
by	IN	by
Security	NP	Security
Council	NP	Council
resolution	NN	resolution
which	WDT	which
you	PP	you
Mr	NP	Mr
secretary	NN	secretary
have	VHP	have
brought	VVN	bring
forward	RB	forward
and	CC	and
passed	VVN	pass
in	IN	in
a	DT	a
historic	JJ	historic
step	NN	step
as	IN	as
well	RB	well
as	RB	as
of	IN	of
course	NN	course
the	DT	the
conclusions	NNS	conclusion
of	IN	of
all	PDT	all
the	DT	the
leadership	NN	leadership
of	IN	of
the	DT	the
world	NN	world
in	IN	in
the	DT	the
G7	JJ	G7
on	IN	on
this	DT	this
issue	NN	issue
so	RB	so
let	VVD	let
'	''	'
s	NNS	s
try	VVP	try
our	PP$	our
best	JJS	good
and	CC	and
all	PDT	all
our	PP$	our
efforts	NNS	effort
to	TO	to
bring	VV	bring
them	PP	them
back	RB	back
home	RB	home
alongside	IN	alongside
with	IN	with
protecting	VVG	protect
Israeli	JJ	Israeli
Security	NN	security
in	IN	in
and	CC	and
finally	RB	finally
Mr	NP	Mr
secretary	NN	secretary
I	PP	I
want	VVP	want
to	TO	to
thank	VV	thank
the	DT	the
president	NN	president
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
of	IN	of
America	NP	America
my	PP$	my
good	JJ	good
friend	NN	friend
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
the	DT	the
administration	NN	administration
the	DT	the
leadership	NN	leadership
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
for	IN	for
supporting	VVG	support
Israel	NP	Israel
in	IN	in
these	DT	these
very	RB	very
dire	JJ	dire
and	CC	and
complicated	JJ	complicated
times	NNS	time
you	PP	you
'	POS	'
ve	NN	ve
amassed	VVD	amass
a	DT	a
very	RB	very
powerful	JJ	powerful
and	CC	and
impressive	JJ	impressive
Coalition	NP	Coalition
of	IN	of
armies	NNS	army
navies	NNS	navy
and	CC	and
powers	NNS	power
that	WDT	that
are	VBP	be
here	RB	here
to	TO	to
protect	VV	protect
the	DT	the
interests	NNS	interest
of	IN	of
the	DT	the
Coalition	NP	Coalition
of	IN	of
Nations	NP	Nations
that	WDT	that
wants	VVZ	want
to	TO	to
move	VV	move
towards	IN	towards
peace	NN	peace
and	CC	and
a	DT	a
better	JJR	good
future	NN	future
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
against	IN	against
the	DT	the
empire	NN	empire
of	IN	of
evil	NN	evil
which	WDT	which
starts	VVZ	start
and	CC	and
emanates	VVZ	emanate
into	IN	into
Iran	NP	Iran
I	PP	I
want	VVP	want
to	TO	to
thank	VV	thank
you	PP	you
personally	RB	personally
and	CC	and
I	PP	I
want	VVP	want
to	TO	to
thank	VV	thank
the	DT	the
president	NN	president
for	IN	for
showing	VVG	show
and	CC	and
projecting	VVG	project
power	NN	power
in	IN	in
this	DT	this
region	NN	region
as	RB	as
should	MD	should
as	RB	as
as	RB	as
the	DT	the
message	NN	message
should	MD	should
be	VB	be
clear	JJ	clear
that	IN/that	that
no	DT	no
one	CD	one
should	MD	should
attack	VV	attack
Israel	NP	Israel
or	CC	or
meddle	VV	meddle
with	IN	with
our	PP$	our
clear	JJ	clear
inherent	JJ	inherent
right	NN	right
of	IN	of
self	JJ	self
-	NN	-
defense	NN	defense
thank	VVP	thank
you	PP	you
very	RB	very
much	JJ	much
Mr	NP	Mr
secretary	NN	secretary
well	RB	well
Mr	NP	Mr
President	NP	President
thank	VVP	thank
you	PP	you
very	RB	very
much	JJ	much
it	PP	it
'	''	'
s	NNS	s
always	RB	always
uh	UH	uh
good	JJ	good
to	TO	to
be	VB	be
with	IN	with
you	PP	you
and	CC	and
uh	UH	uh
good	JJ	good
to	TO	to
be	VB	be
back	RB	back
in	IN	in
Israel	NP	Israel
this	DT	this
is	VBZ	be
my	PP$	my
ninth	JJ	ninth
visit	NN	visit
since	IN	since
October	NP	October
7th	JJ	7th
to	TO	to
Israel	NP	Israel
to	TO	to
the	DT	the
Middle	NP	Middle
East	NP	East
and	CC	and
this	DT	this
is	VBZ	be
a	DT	a
decisive	JJ	decisive
moment	NN	moment
um	NNS	um
probably	RB	probably
the	DT	the
best	JJS	good
maybe	RB	maybe
the	DT	the
last	JJ	last
opportunity	NN	opportunity
to	TO	to
get	VV	get
the	DT	the
hostages	NNS	hostage
home	NN	home
to	TO	to
get	VV	get
a	DT	a
ceasefire	NN	ceasefire
and	CC	and
to	TO	to
put	VV	put
everyone	NN	everyone
on	IN	on
a	DT	a
better	JJR	good
path	NN	path
to	TO	to
enduring	JJ	enduring
peace	NN	peace
and	CC	and
security	NN	security
uh	UH	uh
I	NP	I
'	POS	'
m	NN	m
here	RB	here
as	IN	as
part	NN	part
of	IN	of
an	DT	an
intensive	JJ	intensive
diplomatic	JJ	diplomatic
effort	NN	effort
on	IN	on
President	NP	President
Biden	NP	Biden
'	POS	'
s	NN	S
instructions	NNS	instruction
to	TO	to
try	VV	try
to	TO	to
get	VV	get
this	DT	this
agreement	NN	agreement
to	TO	to
the	DT	the
line	NN	line
and	CC	and
ultimately	RB	ultimately
over	IN	over
the	DT	the
line	VV	line
uh	UH	uh
it	PP	it
is	VBZ	be
time	NN	time
for	IN	for
it	PP	it
to	TO	to
get	VV	get
done	VVN	do
uh	UH	uh
it	PP	it
'	POS	'
s	NN	S
also	RB	also
time	NN	time
to	TO	to
make	VV	make
sure	JJ	sure
that	IN/that	that
no	DT	no
one	CD	one
takes	VVZ	take
any	DT	any
steps	NNS	step
that	WDT	that
could	MD	could
derail	VV	derail
this	DT	this
process	VV	process
uh	UH	uh
and	CC	and
so	IN	so
we	PP	we
'	POS	'
re	NN	re
working	VVG	work
to	TO	to
make	VV	make
sure	JJ	sure
that	IN/that	that
there	EX	there
is	VBZ	be
no	DT	no
escalation	NN	escalation
uh	UH	uh
that	IN/that	that
there	EX	there
are	VBP	be
no	DT	no
provocations	NNS	provocation
uh	UH	uh
that	IN/that	that
there	EX	there
are	VBP	be
no	DT	no
actions	NNS	action
that	IN/that	that
in	IN	in
any	DT	any
way	NN	way
could	MD	could
move	VV	move
us	PP	us
away	RP	away
from	IN	from
getting	VVG	get
this	DT	this
deal	NN	deal
over	IN	over
the	DT	the
line	VV	line
uh	UH	uh
or	CC	or
for	IN	for
that	DT	that
matter	NN	matter
escalating	VVG	escalate
the	DT	the
conflict	VV	conflict
uh	UH	uh
to	TO	to
other	JJ	other
places	NNS	place
and	CC	and
to	TO	to
Greater	JJ	Greater
intensity	NN	intensity
I	PP	I
know	VVP	know
this	DT	this
is	VBZ	be
a	DT	a
fraud	NN	fraud
moment	NN	moment
uh	UH	uh
in	IN	in
Israel	NP	Israel
Isel	NP	Isel
uh	UH	uh
with	IN	with
deep	JJ	deep
concern	NN	concern
about	IN	about
the	DT	the
possibility	NN	possibility
of	IN	of
attacks	NNS	attack
coming	VVG	come
from	IN	from
Iran	NP	Iran
coming	VVG	come
from	IN	from
Hezbollah	NP	Hezbollah
uh	UH	uh
and	CC	and
other	JJ	other
sources	NNS	source
um	NNS	um
and	CC	and
as	IN	as
you	PP	you
heard	VVD	hear
the	DT	the
president	NN	president
say	VVP	say
the	DT	the
United	NP	United
States	NPS	States
has	VHZ	have
taken	VVN	take
decisive	JJ	decisive
action	NN	action
to	TO	to
deploy	VV	deploy
forces	NNS	force
here	RB	here
to	TO	to
deter	VV	deter
any	DT	any
attacks	NNS	attack
and	CC	and
if	IN	if
necessary	JJ	necessary
to	TO	to
defend	VV	defend
against	IN	against
any	DT	any
attacks	NNS	attack
but	CC	but
the	DT	the
focus	NN	focus
of	IN	of
my	PP$	my
visit	NN	visit
is	VBZ	be
intensely	RB	intensely
on	IN	on
getting	VVG	get
the	DT	the
hostages	NNS	hostage
back	RB	back
getting	VVG	get
the	DT	the
ceasefire	NN	ceasefire
done	VVN	do
it	PP	it
is	VBZ	be
time	NN	time
for	IN	for
everyone	NN	everyone
to	TO	to
get	VV	get
to	TO	to
yes	NN	yes
and	CC	and
to	TO	to
not	RB	not
look	VV	look
for	IN	for
any	DT	any
excuses	NNS	excuse
to	TO	to
say	VV	say
no	DT	no
I	PP	I
look	VVP	look
forward	RB	forward
to	TO	to
the	DT	the
day	NN	day
ahead	RB	ahead
seeing	VVG	see
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
defense	NN	defense
minister	NN	minister
other	JJ	other
senior	JJ	senior
officials	NNS	official
but	CC	but
as	RB	as
always	RB	always
a	DT	a
pleasure	NN	pleasure
to	TO	to
start	VV	start
the	DT	the
day	NN	day
with	IN	with
you	PP	you
and	CC	and
let	VV	let
me	PP	me
say	VVP	say
finally	RB	finally
that	IN/that	that
we	PP	we
mourn	VV	mourn
uh	UH	uh
the	DT	the
losses	NNS	loss
that	IN/that	that
the	DT	the
president	NN	president
has	VHZ	have
just	RB	just
shared	VVN	share
over	IN	over
the	DT	the
last	JJ	last
24	CD	@card@
hours	NNS	hour
thank	VVP	thank
you	PP	you
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
