<video_id>SQRf1XTEODE</video_id>	JJ	<video_id>SQRf1XTEODE</video_id>
Israel	NP	Israel
that	WDT	that
have	VHP	have
now	RB	now
been	VBN	be
suspended	VVN	suspend
and	CC	and
particularly	RB	particularly
what's	NNS	what's
most	RBS	most
important	JJ	important
is	VBZ	be
that	IN/that	that
the	DT	the
F35	NP	F35
jet	NN	jet
components	NNS	component
from	IN	from
the	DT	the
UK	NP	UK
uh	UH	uh
which	WDT	which
is	VBZ	be
crucial	JJ	crucial
for	IN	for
Israel	NP	Israel
which	WDT	which
is	VBZ	be
being	VBG	be
used	VVN	use
in	IN	in
the	DT	the
war	NN	war
on	IN	on
Gaza	NP	Gaza
is	VBZ	be
not	RB	not
being	VBG	be
suspended	VVN	suspend
so	RB	so
is	VBZ	be
this	DT	this
move	NN	move
by	IN	by
the	DT	the
UK	NP	UK
anything	NN	anything
more	RBR	more
than	IN	than
symbolic	JJ	symbolic
at	IN	at
this	DT	this
point	NN	point
it	PP	it
is	VBZ	be
a	DT	a
little	JJ	little
bit	NN	bit
more	RBR	more
than	IN	than
symbolic	JJ	symbolic
but	CC	but
not	RB	not
as	IN	as
uh	UH	uh
has	VHZ	have
it	PP	it
doesn't	VVD	doesn't
have	VH	have
practical	JJ	practical
effects	NNS	effect
in	IN	in
the	DT	the
continuation	NN	continuation
of	IN	of
the	DT	the
war	NN	war
but	CC	but
this	DT	this
is	VBZ	be
signal	NN	signal
that	IN/that	that
the	DT	the
UK	NP	UK
is	VBZ	be
really	RB	really
concerned	VVN	concern
about	RB	about
how	WRB	how
the	DT	the
arms	NNS	arm
are	VBP	be
are	VBP	be
used	VVN	use
to	TO	to
violate	VV	violate
the	DT	the
international	JJ	international
law	NN	law
and	CC	and
can	MD	can
give	VV	give
um	JJ	um
ideas	NNS	idea
to	TO	to
other	JJ	other
countries	NNS	country
that	IN/that	that
they	PP	they
are	VBP	be
the	DT	the
main	JJ	main
suppliers	NNS	supplier
of	IN	of
uh	UH	uh
of	IN	of
Israel	NP	Israel
which	WDT	which
is	VBZ	be
United	NP	United
States	NPS	States
and	CC	and
Germany	NP	Germany
of	IN	of
course	NN	course
the	DT	the
amount	NN	amount
of	IN	of
of	IN	of
money	NN	money
$75	NN	$75
million	CD	million
in	IN	in
3	CD	@card@
years	NNS	year
is	VBZ	be
not	RB	not
a	DT	a
significant	JJ	significant
amount	NN	amount
so	IN	so
Israel	NP	Israel
will	MD	will
not	RB	not
be	VB	be
affected	VVN	affect
in	IN	in
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
continuation	NN	continuation
of	IN	of
the	DT	the
war	NN	war
in	IN	in
gasa	NN	gasa
because	IN	because
of	IN	of
because	IN	because
of	IN	of
that	DT	that
but	CC	but
uh	UH	uh
but	CC	but
it's	JJ	it's
targeting	VVG	target
something	NN	something
that	WDT	that
has	VHZ	have
to	TO	to
do	VV	do
with	IN	with
uh	UH	uh
the	DT	the
the	DT	the
the	DT	the
war	NN	war
in	IN	in
gasa	NN	gasa
or	CC	or
how	WRB	how
some	DT	some
aspect	NN	aspect
of	IN	of
the	DT	the
war	NN	war
are	VBP	be
conducted	VVN	conduct
in	IN	in
gasa	NN	gasa
and	CC	and
also	RB	also
in	IN	in
confrontation	NN	confrontation
with	IN	with
do	VV	do
you	PP	you
think	VVP	think
that	IN/that	that
other	JJ	other
countries	NNS	country
are	VBP	be
going	VVG	go
to	TO	to
uh	UH	uh
follow	VV	follow
suit	NN	suit
at	IN	at
this	DT	this
point	NN	point
and	CC	and
look	NN	look
let's	NNS	let's
think	VVP	think
about	IN	about
the	DT	the
US	NP	US
in	IN	in
particular	JJ	particular
because	IN	because
you	PP	you
mentioned	VVD	mention
the	DT	the
US	NP	US
um	NNS	um
why	WRB	why
is	VBZ	be
Biden	NP	Biden
not	RB	not
using	VVG	use
that	DT	that
arms	NNS	arm
leverage	NN	leverage
on	IN	on
Israel	NP	Israel
at	IN	at
this	DT	this
point	NN	point
I	PP	I
mean	VVP	mean
my	PP$	my
guest	NN	guest
a	DT	a
moment	NN	moment
ago	RB	ago
was	VBD	be
saying	VVG	say
that	IN/that	that
the	DT	the
US	NP	US
is	VBZ	be
running	VVG	run
out	RP	out
of	IN	of
patience	NN	patience
with	IN	with
Israel	NP	Israel
but	CC	but
the	DT	the
US	NP	US
does	VVZ	do
have	VH	have
that	DT	that
leverage	NN	leverage
and	CC	and
according	VVG	accord
to	TO	to
an	DT	an
Israeli	JJ	Israeli
official	NN	official
an	DT	an
Air	NP	Air
Force	NP	Force
official	NN	official
who	WP	who
was	VBD	be
speaking	VVG	speak
to	TO	to
the	DT	the
hrat	NN	hrat
newspaper	NN	newspaper
he	PP	he
said	VVD	say
without	IN	without
us	PP	us
Aid	NP	Aid
Israel	NP	Israel
couldn't	NN	couldn't
fight	NN	fight
Gaza	NP	Gaza
Beyond	IN	beyond
a	DT	a
few	JJ	few
months	NNS	month
exactly	RB	exactly
we	PP	we
know	VVP	know
this	DT	this
is	VBZ	be
the	DT	the
very	RB	very
beginning	VVG	begin
of	IN	of
the	DT	the
war	NN	war
every	DT	every
time	NN	time
that	IN/that	that
Biden	NP	Biden
warn	VV	warn
uh	UH	uh
Netanyahu	NP	Netanyahu
we	PP	we
don't	VVD	don't
want	VV	want
30,000	CD	@card@
more	JJR	more
people	NNS	people
kill	VVP	kill
we	PP	we
don't	NN	don't
want	VVP	want
you	PP	you
to	TO	to
enter	VV	enter
into	IN	into
Rafa	NP	Rafa
we	PP	we
know	VVP	know
you	PP	you
etc	FW	etc
etc	FW	etc
and	CC	and
he	PP	he
used	VVD	use
to	TO	to
some	DT	some
extent	NN	extent
this	DT	this
pressure	NN	pressure
that	WDT	that
delayed	VVD	delay
one	CD	one
week	NN	week
uh	UH	uh
the	DT	the
delivery	NN	delivery
of	IN	of
guns	NNS	gun
but	CC	but
nothing	NN	nothing
happened	VVD	happen
so	RB	so
everything	NN	everything
has	VHZ	have
been	VBN	be
a	DT	a
Blu	NP	Blu
from	IN	from
the	DT	the
the	DT	the
Biden	NP	Biden
side	NN	side
and	CC	and
so	RB	so
far	RB	far
I	PP	I
mean	VVP	mean
he	PP	he
was	VBD	be
before	RB	before
worried	VVN	worry
about	IN	about
the	DT	the
campaign	NN	campaign
the	DT	the
political	JJ	political
electoral	JJ	electoral
campaign	NN	campaign
now	RB	now
he's	NNS	he's
not	RB	not
worried	VVD	worry
anymore	RB	anymore
he	PP	he
wants	VVZ	want
to	TO	to
finish	VV	finish
his	PP$	his
term	NN	term
with	IN	with
something	NN	something
that	WDT	that
is	VBZ	be
not	RB	not
a	DT	a
continuation	NN	continuation
of	IN	of
the	DT	the
war	NN	war
but	CC	but
he	PP	he
doesn't	VVD	doesn't
have	VH	have
the	DT	the
elements	NNS	element
to	TO	to
do	VV	do
so	IN	so
he	PP	he
doesn't	VVD	doesn't
have	VH	have
uh	UH	uh
the	DT	the
will	NN	will
to	TO	to
pressure	VV	pressure
Netanyahu	NP	Netanyahu
using	VVG	use
the	DT	the
only	JJ	only
arm	NN	arm
that	IN/that	that
he	PP	he
has	VHZ	have
and	CC	and
this	DT	this
the	DT	the
most	RBS	most
powerful	JJ	powerful
arm	NN	arm
which	WDT	which
is	VBZ	be
uh	UH	uh
stop	VV	stop
the	DT	the
delivery	NN	delivery
of	IN	of
arm	NN	arm
so	RB	so
far	RB	far
if	IN	if
he	PP	he
didn't	VVD	didn't
do	VV	do
it	PP	it
in	IN	in
11	CD	@card@
months	NNS	month
we	PP	we
cannot	MD	can
expect	VV	expect
him	PP	him
to	TO	to
do	VV	do
it	PP	it
before	IN	before
the	DT	the
end	NN	end
of	IN	of
his	PP$	his
term	NN	term
so	IN	so
I	PP	I
don't	VVD	don't
think	VV	think
this	DT	this
will	MD	will
happen	VV	happen
anytime	RB	anytime
soon	RB	soon
our	PP$	our
understanding	NN	understanding
is	VBZ	be
that	IN/that	that
there	EX	there
are	VBP	be
obstacles	NNS	obstacle
remaining	VVG	remain
to	TO	to
any	DT	any
uh	UH	uh
potential	NN	potential
ceasefire	NN	ceasefire
but	CC	but
Biden	NP	Biden
uh	UH	uh
spoke	VVD	speak
on	IN	on
Monday	NP	Monday
and	CC	and
he	PP	he
said	VVD	say
that	IN/that	that
the	DT	the
US	NP	US
is	VBZ	be
very	RB	very
close	JJ	close
to	TO	to
presenting	VVG	present
a	DT	a
final	JJ	final
proposal	NN	proposal
that	WDT	that
would	MD	would
lead	VV	lead
to	TO	to
the	DT	the
release	NN	release
of	IN	of
Israeli	JJ	Israeli
captives	NNS	captive
in	IN	in
Gaza	NP	Gaza
what	WP	what
does	VVZ	do
this	DT	this
final	JJ	final
proposal	NN	proposal
look	NN	look
like	IN	like
to	TO	to
you	PP	you
I	PP	I
mean	VVP	mean
is	VBZ	be
it	PP	it
any	DT	any
different	JJ	different
from	IN	from
the	DT	the
one	CD	one
that	WDT	that
was	VBD	be
endorsed	VVN	endorse
by	IN	by
the	DT	the
US	NP	US
uh	UH	uh
back	RB	back
in	IN	in
May	NP	May
then	RB	then
endorsed	VVD	endorse
by	IN	by
a	DT	a
un	JJ	un
Security	NP	Security
Council	NP	Council
resolution	NN	resolution
on	IN	on
June	NP	June
the	DT	the
10th	JJ	10th
as	IN	as
first	JJ	first
Biden	NP	Biden
cannot	MD	can
get	VV	get
uh	UH	uh
Netanyahu	NP	Netanyahu
to	TO	to
reduce	VV	reduce
this	DT	this
expectation	NN	expectation
about	IN	about
keeping	VVG	keep
forces	NNS	force
in	IN	in
the	DT	the
Philadelphia	NP	Philadelphia
Corridor	NP	Corridor
in	IN	in
and	CC	and
trops	NNS	trops
that	IN/that	that
they	PP	they
are	VBP	be
cutting	VVG	cut
gasa	NN	gasa
in	IN	in
two	CD	two
I	PP	I
don't	VVD	don't
think	VV	think
there	EX	there
will	MD	will
be	VB	be
any	DT	any
breakout	NN	breakout
in	IN	in
in	IN	in
negotiations	NNS	negotiation
so	IN	so
H	NP	H
the	DT	the
fact	NN	fact
that	IN/that	that
he	PP	he
said	VVD	say
that	IN/that	that
Nan	NP	Nan
is	VBZ	be
not	RB	not
doing	VVG	do
enough	RB	enough
or	CC	or
he	PP	he
said	VVD	say
simply	RB	simply
no	DT	no
he's	NNS	he's
not	RB	not
doing	VVG	do
enough	JJ	enough
h	NN	h
means	VVZ	mean
that	IN/that	that
he	PP	he
could	MD	could
pressure	VV	pressure
a	DT	a
little	JJ	little
bit	NN	bit
more	RBR	more
on	IN	on
that	DT	that
sense	NN	sense
but	CC	but
thenan	NP	thenan
made	VVD	make
it	PP	it
very	RB	very
clear	JJ	clear
that	IN/that	that
this	DT	this
is	VBZ	be
not	RB	not
negotiable	JJ	negotiable
at	IN	at
all	DT	all
so	IN	so
what	WP	what
else	RB	else
can	MD	can
be	VB	be
acceptable	JJ	acceptable
for	IN	for
Hamas	NNS	Hamas
if	IN	if
they	PP	they
keep	VVP	keep
saying	VVG	say
that	IN/that	that
the	DT	the
military	JJ	military
presence	NN	presence
will	MD	will
remain	VV	remain
there	RB	there
and	CC	and
will	MD	will
prevent	VV	prevent
or	CC	or
or	CC	or
will	MD	will
scan	VV	scan
everybody	NN	everybody
that	WDT	that
is	VBZ	be
moving	VVG	move
from	IN	from
the	DT	the
south	NN	south
to	TO	to
the	DT	the
north	NN	north
as	RB	as
is	VBZ	be
have	VHP	have
been	VBN	be
discussed	VVN	discuss
in	IN	in
the	DT	the
last	JJ	last
two	CD	two
round	NN	round
of	IN	of
of	IN	of
conversation	NN	conversation
so	IN	so
I	PP	I
don't	VVD	don't
see	VV	see
how	WRB	how
we	PP	we
can	MD	can
see	VV	see
that	DT	that
um	JJ	um
optimism	NN	optimism
of	IN	of
of	IN	of
Biden	NP	Biden
nowadays	RB	nowadays
okay	RB	okay
thank	VV	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
your	PP$	your
analysis	NN	analysis
make	VV	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
alaz	NN	alaz
</doc>	NN	</doc>
