<video_id>y6LD0d8lEb8</video_id>	JJ	<video_id>y6LD0d8lEb8</video_id>
practices	NNS	practice
of	IN	of
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
in	IN	in
Gaza	NP	Gaza
in	IN	in
more	JJR	more
than	IN	than
one	CD	one
paragraphs	NNS	paragraph
they	PP	they
call	VVP	call
for	IN	for
stopping	VVG	stop
this	DT	this
aggression	NN	aggression
protection	NN	protection
of	IN	of
the	DT	the
civilians	NNS	civilian
protection	NN	protection
of	IN	of
the	DT	the
humanitarian	JJ	humanitarian
workers	NNS	worker
protection	NN	protection
of	IN	of
the	DT	the
United	NP	United
Nations	NPS	Nations
employees	NNS	employee
and	CC	and
to	TO	to
stop	VV	stop
violence	NN	violence
and	CC	and
genocide	NN	genocide
uh	UH	uh
committed	VVN	commit
by	IN	by
the	DT	the
some	DT	some
Israeli	JJ	Israeli
officials	NNS	official
and	CC	and
we	PP	we
need	VVP	need
to	TO	to
respect	VV	respect
the	DT	the
humanitarian	JJ	humanitarian
international	JJ	international
law	NN	law
the	DT	the
international	JJ	international
law	NN	law
and	CC	and
all	PDT	all
the	DT	the
elements	NNS	element
mentioned	VVN	mention
in	IN	in
this	DT	this
resolution	NN	resolution
are	VBP	be
quite	RB	quite
important	JJ	important
and	CC	and
we'd	NNS	we'd
like	VVP	like
to	TO	to
thank	VV	thank
Switzerland	NP	Switzerland
and	CC	and
the	DT	the
other	JJ	other
countries	NNS	country
who	WP	who
uh	UH	uh
supported	VVD	support
this	DT	this
resolution	NN	resolution
from	IN	from
inside	NN	inside
and	CC	and
outside	IN	outside
the	DT	the
security	NN	security
Council	NP	Council
uh	UH	uh
voting	NN	voting
was	VBD	be
great	JJ	great
14	CD	@card@
countries	NNS	country
were	VBD	be
for	IN	for
than	IN	than
absente	NN	absente
against	IN	against
the	DT	the
resolution	NN	resolution
the	DT	the
resolution	NN	resolution
is	VBZ	be
another	DT	another
resolution	NN	resolution
that	IN/that	that
Israel	NP	Israel
must	MD	must
be	VB	be
committed	VVN	commit
to	TO	to
to	TO	to
protect	VV	protect
the	DT	the
civilians	NNS	civilian
the	DT	the
international	JJ	international
workers	NNS	worker
and	CC	and
the	DT	the
humanitarian	JJ	humanitarian
staff	NN	staff
and	CC	and
to	TO	to
provide	VV	provide
the	DT	the
necessity	NN	necessity
of	IN	of
life	NN	life
for	IN	for
our	PP$	our
people	NNS	people
in	IN	in
Gaza	NP	Gaza
in	IN	in
sufficient	JJ	sufficient
amount	NN	amount
very	RB	very
quickly	RB	quickly
on	IN	on
top	NN	top
of	IN	of
everything	NN	everything
to	TO	to
stop	VV	stop
uh	UH	uh
fighting	NN	fighting
and	CC	and
to	TO	to
reach	VV	reach
a	DT	a
ceas	NNS	ceas
fire	NN	fire
to	TO	to
protect	VV	protect
the	DT	the
civilians	NNS	civilian
and	CC	and
to	TO	to
save	VV	save
lives	NNS	life
of	IN	of
innocent	JJ	innocent
people	NNS	people
in	IN	in
Gaza	NP	Gaza
this	DT	this
is	VBZ	be
our	PP$	our
first	JJ	first
and	CC	and
top	JJ	top
priority	NN	priority
as	IN	as
an	DT	an
Arab	JJ	Arab
group	NN	group
in	IN	in
the	DT	the
United	NP	United
Nations	NP	Nations
we	PP	we
have	VHP	have
done	VVN	do
that	IN/that	that
through	IN	through
the	DT	the
eight	CD	eight
last	JJ	last
months	NNS	month
the	DT	the
other	JJ	other
important	JJ	important
topic	NN	topic
that	WDT	that
happened	VVD	happen
today	NN	today
the	DT	the
resolutions	NNS	resolution
or	CC	or
the	DT	the
decisions	NNS	decision
orders	NNS	order
of	IN	of
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
we	PP	we
welcome	VVP	welcome
these	DT	these
uh	UH	uh
uh	UH	uh
decisions	NNS	decision
and	CC	and
we	PP	we
welcome	VVP	welcome
the	DT	the
uh	UH	uh
uh	UH	uh
uh	UH	uh
procedures	NNS	procedure
that	IN/that	that
the	DT	the
icg	NN	icg
has	VHZ	have
asked	VVN	ask
Israel	NP	Israel
to	TO	to
abide	VV	abide
by	IN	by
on	IN	on
top	NN	top
of	IN	of
everything	NN	everything
to	TO	to
stop	VV	stop
military	JJ	military
actions	NNS	action
in	IN	in
RAF	NN	RAF
and	CC	and
we	PP	we
said	VVD	say
that	IN/that	that
there	EX	there
are	VBP	be
certain	JJ	certain
uh	UH	uh
procedures	NNS	procedure
by	IN	by
the	DT	the
icg	NN	icg
that	WDT	that
asked	VVD	ask
to	TO	to
stop	VV	stop
every	DT	every
uh	UH	uh
military	JJ	military
uh	UH	uh
aggression	NN	aggression
in	IN	in
Gaza	NP	Gaza
against	IN	against
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
the	DT	the
opening	NN	opening
of	IN	of
Rafa	NP	Rafa
cross	NN	cross
and	CC	and
allowing	VVG	allow
the	DT	the
humanitarian	JJ	humanitarian
Aid	NN	aid
to	TO	to
be	VB	be
provided	VVN	provide
to	TO	to
the	DT	the
people	NNS	people
in	IN	in
needing	VVG	need
Gaza	NP	Gaza
with	IN	with
enough	JJ	enough
amount	NN	amount
and	CC	and
to	TO	to
stop	VV	stop
the	DT	the
transfer	VV	transfer
uh	UH	uh
around	RB	around
880,000	CD	@card@
have	VHP	have
been	VBN	be
forced	VVN	force
to	TO	to
leave	VV	leave
RAF	NN	RAF
and	CC	and
this	DT	this
is	VBZ	be
not	RB	not
acceptable	JJ	acceptable
we	PP	we
welcome	VVP	welcome
these	DT	these
uh	UH	uh
decisions	NNS	decision
we	PP	we
welcome	VVP	welcome
these	DT	these
procedures	NNS	procedure
and	CC	and
uh	UH	uh
we	PP	we
support	VVP	support
the	DT	the
icg	NN	icg
and	CC	and
we	PP	we
insist	VVP	insist
that	IN/that	that
the	DT	the
Israel	NP	Israel
authorities	NNS	authority
must	MD	must
be	VB	be
committed	VVN	commit
must	MD	must
be	VB	be
respected	VVN	respect
by	IN	by
Israel	NP	Israel
and	CC	and
by	IN	by
everyone	NN	everyone
who	WP	who
who	WP	who
are	VBP	be
interested	JJ	interested
in	IN	in
stopping	VVG	stop
the	DT	the
genocide	NN	genocide
in	IN	in
Gaza	NP	Gaza
Strip	NP	Strip
Israel	NP	Israel
has	VHZ	have
nothing	NN	nothing
to	TO	to
do	VV	do
but	CC	but
to	TO	to
commit	VV	commit
itself	PP	itself
to	TO	to
all	PDT	all
these	DT	these
decisions	NNS	decision
on	IN	on
imposed	VVN	impose
by	IN	by
the	DT	the
I	NP	I
International	NP	International
court	NN	court
of	IN	of
justice	NN	justice
and	CC	and
we	PP	we
would	MD	would
like	VV	like
to	TO	to
thank	VV	thank
in	IN	in
this	DT	this
regard	NN	regard
the	DT	the
the	DT	the
country	NN	country
of	IN	of
South	NP	South
Africa	NP	Africa
and	CC	and
every	DT	every
other	JJ	other
country	NN	country
who	WP	who
supported	VVD	support
the	DT	the
request	NN	request
of	IN	of
South	NP	South
Africa	NP	Africa
and	CC	and
we	PP	we
need	VVP	need
more	RBR	more
uh	UH	uh
Decisions	NNS	decision
by	IN	by
the	DT	the
iscg	NN	iscg
to	TO	to
protect	VV	protect
our	PP$	our
our	PP$	our
people	NNS	people
in	IN	in
Gaza	NP	Gaza
from	IN	from
this	DT	this
current	JJ	current
genocide	NN	genocide
we	PP	we
will	MD	will
continue	VV	continue
our	PP$	our
efforts	NNS	effort
here	RB	here
in	IN	in
New	NP	New
York	NP	York
the	DT	the
Arab	JJ	Arab
group	NN	group
will	MD	will
continue	VV	continue
its	PP$	its
efforts	NNS	effort
together	RB	together
with	IN	with
the	DT	the
other	JJ	other
groups	NNS	group
and	CC	and
in	IN	in
the	DT	the
security	NN	security
Council	NN	council
the	DT	the
general	JJ	general
assembly	NN	assembly
in	IN	in
order	NN	order
to	TO	to
see	VV	see
these	DT	these
uh	UH	uh
uh	UH	uh
resolutions	NNS	resolution
and	CC	and
these	DT	these
decisions	NNS	decision
uh	UH	uh
being	VBG	be
Ed	NP	Ed
and	CC	and
implemented	VVD	implement
we	PP	we
are	VBP	be
here	RB	here
as	IN	as
Arab	JJ	Arab
ambassadors	NNS	ambassador
addressing	VVG	address
the	DT	the
media	NNS	medium
we	PP	we
are	VBP	be
grateful	JJ	grateful
to	TO	to
you	PP	you
we	PP	we
speak	VVP	speak
to	TO	to
you	PP	you
all	PDT	all
the	DT	the
time	NN	time
to	TO	to
tell	VV	tell
the	DT	the
truth	NN	truth
to	TO	to
tell	VV	tell
the	DT	the
story	NN	story
that	WDT	that
should	MD	should
be	VB	be
told	VVN	tell
to	TO	to
your	PP$	your
audience	NN	audience
in	IN	in
all	DT	all
corner	NN	corner
of	IN	of
the	DT	the
globe	NN	globe
two	CD	two
things	NNS	thing
of	IN	of
extreme	JJ	extreme
importance	NN	importance
happen	VV	happen
today	NN	today
one	CD	one
in	IN	in
the	DT	the
security	NN	security
Council	NN	council
we	PP	we
are	VBP	be
grateful	JJ	grateful
for	IN	for
Switzerland	NP	Switzerland
and	CC	and
all	PDT	all
those	DT	those
who	WP	who
co-sponsored	VVD	co-sponsor
that	DT	that
draft	NN	draft
resolution	NN	resolution
and	CC	and
those	DT	those
who	WP	who
voted	VVD	vote
in	IN	in
favor	NN	favor
of	IN	of
that	DT	that
resolution	NN	resolution
in	IN	in
which	WDT	which
no	DT	no
single	JJ	single
country	NN	country
voted	VVD	vote
against	IN	against
it	PP	it
that	WDT	that
resolution	NN	resolution
is	VBZ	be
tailored	VVN	tailor
to	TO	to
Gaza	NP	Gaza
without	IN	without
necessarily	RB	necessarily
mentioning	VVG	mention
Gaza	NP	Gaza
by	IN	by
name	NN	name
with	IN	with
regard	NN	regard
to	TO	to
the	DT	the
protections	NNS	protection
of	IN	of
civilians	NNS	civilian
with	IN	with
regard	NN	regard
to	TO	to
the	DT	the
protections	NNS	protection
of	IN	of
international	JJ	international
Personnel	NNS	Personnel
including	VVG	include
un	JJ	un
personnel	NNS	personnel
and	CC	and
specifically	RB	specifically
honor	VV	honor
Personnel	NNS	Personnel
condemning	VVG	condemn
the	DT	the
killing	NN	killing
of	IN	of
hundreds	NNS	hundred
of	IN	of
international	JJ	international
Personnel	NNS	Personnel
in	IN	in
the	DT	the
human	JJ	human
uh	UH	uh
field	VV	field
uh	UH	uh
uho	VVZ	uho
uh	UH	uh
condemning	VVG	condemn
uh	UH	uh
incitement	NN	incitement
by	IN	by
Israeli	JJ	Israeli
officials	NNS	official
and	CC	and
killing	VVG	kill
large	JJ	large
number	NN	number
of	IN	of
our	PP$	our
people	NNS	people
in	IN	in
Ence	NP	Ence
genocide	NN	genocide
against	IN	against
our	PP$	our
people	NNS	people
and	CC	and
uh	UH	uh
calling	VVG	call
for	IN	for
opening	VVG	open
all	DT	all
Crossings	NNS	crossing
uh	UH	uh
providing	VVG	provide
humanitarian	JJ	humanitarian
assistance	NN	assistance
to	TO	to
scale	NN	scale
and	CC	and
accountability	NN	accountability
of	IN	of
those	DT	those
responsible	JJ	responsible
for	IN	for
these	DT	these
crimes	NNS	crime
to	TO	to
face	VV	face
the	DT	the
justice	NN	justice
that	IN/that	that
they	PP	they
uh	UH	uh
should	MD	should
face	VV	face
and	CC	and
we	PP	we
are	VBP	be
uh	UH	uh
uh	UH	uh
satisfied	VVD	satisfy
that	IN/that	that
the	DT	the
security	NN	security
Council	NP	Council
adopted	VVD	adopt
this	DT	this
resolution	NN	resolution
it	PP	it
would	MD	would
be	VB	be
greatly	RB	greatly
helpful	JJ	helpful
in	IN	in
uh	UH	uh
hopefully	RB	hopefully
having	VHG	have
a	DT	a
ceasefire	NN	ceasefire
definitely	RB	definitely
stopping	VVG	stop
this	DT	this
Onslaught	NN	onslaught
and	CC	and
preventing	VVG	prevent
the	DT	the
invasion	NN	invasion
of	IN	of
Rafa	NP	Rafa
the	DT	the
other	JJ	other
uh	UH	uh
uh	UH	uh
subject	VV	subject
that	DT	that
uh	UH	uh
we	PP	we
uh	UH	uh
want	VV	want
to	TO	to
share	VV	share
with	IN	with
you	PP	you
is	VBZ	be
the	DT	the
provisional	JJ	provisional
measures	NNS	measure
adopted	VVN	adopt
by	IN	by
by	IN	by
the	DT	the
uh	UH	uh
icj	NN	icj
we	PP	we
are	VBP	be
grateful	JJ	grateful
for	IN	for
South	NP	South
Africa	NP	Africa
and	CC	and
those	DT	those
who	WP	who
supported	VVD	support
them	PP	them
for	IN	for
going	VVG	go
back	RB	back
to	TO	to
the	DT	the
icj	NN	icj
asking	VVG	ask
them	PP	them
for	IN	for
additional	JJ	additional
provisional	JJ	provisional
measures	NNS	measure
and	CC	and
we	PP	we
welcome	VVP	welcome
these	DT	these
provisional	JJ	provisional
measures	NNS	measure
including	VVG	include
uh	UH	uh
stopping	VVG	stop
you	PP	you
know	VVP	know
the	DT	the
military	JJ	military
operation	NN	operation
in	IN	in
Rafa	NP	Rafa
we	PP	we
believe	VVP	believe
that	IN/that	that
the	DT	the
provisional	JJ	provisional
measures	NNS	measure
of	IN	of
the	DT	the
icj	NN	icj
also	RB	also
previously	RB	previously
asked	VVN	ask
for	IN	for
uh	UH	uh
stopping	VVG	stop
all	DT	all
military	JJ	military
operations	NNS	operation
in	IN	in
the	DT	the
Gaz	NP	Gaz
a	DT	a
strip	NN	strip
and	CC	and
stopping	VVG	stop
these	DT	these
crimes	NNS	crime
and	CC	and
potential	JJ	potential
crimes	NNS	crime
of	IN	of
uh	UH	uh
genocide	NN	genocide
against	IN	against
our	PP$	our
people	NNS	people
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
uh	UH	uh
we	PP	we
also	RB	also
uh	UH	uh
welcome	VV	welcome
uh	UH	uh
the	DT	the
fact	NN	fact
that	IN/that	that
they	PP	they
called	VVD	call
for	IN	for
the	DT	the
opening	NN	opening
of	IN	of
Rafa	NP	Rafa
Crossing	VVG	cross
for	IN	for
providing	VVG	provide
humanitarian	JJ	humanitarian
assistance	NN	assistance
to	TO	to
scale	VV	scale
and	CC	and
to	TO	to
uh	UH	uh
continue	VV	continue
fighting	VVG	fight
against	IN	against
the	DT	the
crime	NN	crime
against	IN	against
humanity	NN	humanity
of	IN	of
mass	JJ	mass
transfer	NN	transfer
including	VVG	include
the	DT	the
pushing	VVG	push
of	IN	of
800	CD	@card@
th000	NN	th000
of	IN	of
Palestinians	NPS	Palestinians
around	IN	around
Rafa	NP	Rafa
to	TO	to
move	VV	move
to	TO	to
other	JJ	other
parts	NNS	part
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
we	PP	we
will	MD	will
make	VV	make
everything	NN	everything
possible	JJ	possible
in	IN	in
our	PP$	our
capacity	NN	capacity
as	IN	as
a	DT	a
group	NN	group
with	IN	with
other	JJ	other
groups	NNS	group
the	DT	the
OIC	JJ	OIC
Nam	NP	Nam
uh	UH	uh
the	DT	the
African	JJ	African
group	NN	group
and	CC	and
others	NNS	other
to	TO	to
uh	UH	uh
see	VV	see
the	DT	the
implementation	NN	implementation
of	IN	of
resolutions	NNS	resolution
of	IN	of
the	DT	the
security	NN	security
Council	NN	council
the	DT	the
general	JJ	general
assembly	NN	assembly
and	CC	and
the	DT	the
icj	NN	icj
that	WDT	that
calls	VVZ	call
among	IN	among
other	JJ	other
things	NNS	thing
for	IN	for
an	DT	an
immediate	JJ	immediate
fire	NN	fire
to	TO	to
take	VV	take
place	NN	place
to	TO	to
save	VV	save
lives	NNS	life
and	CC	and
to	TO	to
allow	VV	allow
our	PP$	our
people	NNS	people
to	TO	to
start	VV	start
attending	VVG	attend
to	TO	to
the	DT	the
wounds	NNS	wound
inflicted	VVN	inflict
upon	IN	upon
them	PP	them
by	IN	by
this	DT	this
aggression	NN	aggression
of	IN	of
Israel	NP	Israel
particularly	RB	particularly
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
we	PP	we
are	VBP	be
grateful	JJ	grateful
to	TO	to
the	DT	the
Arab	JJ	Arab
group	NN	group
for	IN	for
stay	NN	stay
standing	VVG	stand
together	RB	together
strongly	RB	strongly
United	VVN	unite
to	TO	to
uh	UH	uh
to	TO	to
uh	UH	uh
push	VV	push
for	IN	for
all	PDT	all
these	DT	these
things	NNS	thing
we	PP	we
are	VBP	be
grateful	JJ	grateful
to	TO	to
our	PP$	our
representative	NN	representative
in	IN	in
the	DT	the
security	NN	security
Council	NN	council
our	PP$	our
brothers	NNS	brother
from	IN	from
Algeria	NP	Algeria
who	WP	who
are	VBP	be
in	IN	in
the	DT	the
Forefront	NN	forefront
front	NN	front
working	VVG	work
with	IN	with
everyone	NN	everyone
including	VVG	include
in	IN	in
this	DT	this
case	NN	case
with	IN	with
Switzerland	NP	Switzerland
to	TO	to
see	VV	see
the	DT	the
success	NN	success
and	CC	and
the	DT	the
adoption	NN	adoption
of	IN	of
this	DT	this
draft	NN	draft
resolution	NN	resolution
thank	VVP	thank
you	PP	you
for	IN	for
being	VBG	be
with	IN	with
US	NP	US
ambassador	NN	ambassador
a	DT	a
quick	JJ	quick
question	NN	question
um	NNS	um
do	VVP	do
you	PP	you
expect	VVP	expect
action	NN	action
in	IN	in
the	DT	the
security	NN	security
Council	NN	council
will	MD	will
you	PP	you
</doc>	JJ	</doc>
