<video_id>1Az6H5ePqeM</video_id>	JJ	<video_id>1Az6H5ePqeM</video_id>
had	VHD	have
been	VBN	be
widely	RB	widely
targeted	VVN	target
alasi	NN	alasi
area	NN	area
we've	NN	we've
been	VBN	be
hearing	VVG	hear
from	IN	from
eyewitnesses	NNS	eyewitness
that	IN/that	that
the	DT	the
attack	NN	attack
was	VBD	be
incredibly	RB	incredibly
destructive	JJ	destructive
that	IN/that	that
people	NNS	people
are	VBP	be
still	RB	still
under	IN	under
the	DT	the
ground	NN	ground
and	CC	and
now	RB	now
they	PP	they
there	EX	there
is	VBZ	be
a	DT	a
sort	NN	sort
of	IN	of
uh	UH	uh
digging	VVG	dig
a	DT	a
process	NN	process
in	IN	in
order	NN	order
to	TO	to
look	VV	look
for	IN	for
survivors	NNS	survivor
but	CC	but
basically	RB	basically
what	WDT	what
we've	NN	we've
been	VBN	be
hearing	VVG	hear
also	RB	also
from	IN	from
the	DT	the
civil	JJ	civil
defense	NN	defense
Crews	NP	Crews
is	VBZ	be
that	IN/that	that
they	PP	they
are	VBP	be
facing	VVG	face
a	DT	a
clear	JJ	clear
and	CC	and
notable	JJ	notable
difficulty	NN	difficulty
in	IN	in
order	NN	order
to	TO	to
recover	VV	recover
them	PP	them
due	JJ	due
to	TO	to
the	DT	the
lack	NN	lack
of	IN	of
essential	JJ	essential
equipment	NN	equipment
and	CC	and
basically	RB	basically
they	PP	they
are	VBP	be
afraid	JJ	afraid
to	TO	to
be	VB	be
targeted	VVN	target
again	RB	again
especially	RB	especially
that	IN/that	that
Israel	NP	Israel
has	VHZ	have
been	VBN	be
multiply	RB	multiply
targeted	VVN	target
civil	JJ	civil
defense	NN	defense
crews	NNS	crew
in	IN	in
the	DT	the
areas	NNS	area
that	WDT	that
had	VHD	have
witnessed	VVN	witness
different	JJ	different
sorts	NNS	sort
of	IN	of
Israeli	JJ	Israeli
bombardment	NN	bombardment
and	CC	and
also	RB	also
people	NNS	people
there	EX	there
are	VBP	be
experiencing	VVG	experience
a	DT	a
a	DT	a
very	RB	very
disturbing	JJ	disturbing
psychological	JJ	psychological
trauma	NN	trauma
resulted	VVN	result
from	IN	from
the	DT	the
attack	NN	attack
they're	NN	they're
afraid	JJ	afraid
panicked	VVN	panic
and	CC	and
dozens	NNS	dozen
of	IN	of
them	PP	them
have	VHP	have
have	VHP	have
lost	VVN	lose
their	PP$	their
flimsy	JJ	flimsy
tensor	NN	tensor
due	JJ	due
to	TO	to
the	DT	the
attack	NN	attack
and	CC	and
right	RB	right
now	RB	now
they	PP	they
are	VBP	be
absolutely	RB	absolutely
without	IN	without
any	DT	any
proper	JJ	proper
shelter	NN	shelter
as	IN	as
they	PP	they
have	VHP	have
been	VBN	be
told	VVN	tell
by	IN	by
the	DT	the
military	NN	military
that	IN/that	that
this	DT	this
place	NN	place
would	MD	would
be	VB	be
safe	JJ	safe
for	IN	for
them	PP	them
but	CC	but
no	RB	no
longer	RBR	longer
is	VBZ	be
available	JJ	available
to	TO	to
be	VB	be
safe	JJ	safe
due	RB	due
to	TO	to
the	DT	the
wide	JJ	wide
scale	NN	scale
attacks	NNS	attack
that	WDT	that
had	VHD	have
been	VBN	be
launched	VVN	launch
in	IN	in
that	DT	that
area	NN	area
and	CC	and
potentially	RB	potentially
in	IN	in
the	DT	the
future	NN	future
might	MD	might
take	VV	take
place	NN	place
again	RB	again
T	NN	T
many	JJ	many
thanks	NNS	thanks
for	IN	for
the	DT	the
update	NN	update
tck	NN	tck
Abu	NP	Abu
is	VBZ	be
in	RB	in
there	RB	there
in	IN	in
daral	NN	daral
in	IN	in
central	JJ	central
Gaza	NP	Gaza
and	CC	and
well	RB	well
let's	NNS	let's
bring	VVP	bring
in	RB	in
ail	VV	ail
byun	NP	Byun
she's	NNS	she's
a	DT	a
senior	JJ	senior
manager	NN	manager
of	IN	of
advocacy	NN	advocacy
and	CC	and
campaigns	NNS	campaign
for	IN	for
medical	JJ	medical
aid	NN	aid
for	IN	for
Palestinians	NPS	Palestinians
she	PP	she
joins	VVZ	join
us	PP	us
from	IN	from
rala	NN	rala
very	RB	very
warm	JJ	warm
welcome	NN	welcome
to	TO	to
you	PP	you
um	VVG	um
firstly	RB	firstly
your	PP$	your
reaction	NN	reaction
to	TO	to
the	DT	the
uh	UH	uh
devastating	JJ	devastating
attack	NN	attack
on	IN	on
alasi	NNS	alasi
as	IN	as
we	PP	we
were	VBD	be
saying	VVG	say
there	RB	there
at	IN	at
least	JJS	least
90	CD	@card@
people	NNS	people
dead	JJ	dead
many	JJ	many
more	RBR	more
presumed	VVN	presume
missing	VVG	miss
another	DT	another
example	NN	example
of	IN	of
high-powered	JJ	high-powered
weapons	NNS	weapon
being	VBG	be
used	VVN	use
in	IN	in
densely	RB	densely
populated	VVN	populate
areas	NNS	area
what	WP	what
kind	NN	kind
of	IN	of
reaction	NN	reaction
shall	MD	shall
I	PP	I
give	VV	give
when	WRB	when
we	PP	we
wake	VVP	wake
up	RP	up
every	DT	every
morning	NN	morning
on	IN	on
a	DT	a
devastating	JJ	devastating
news	NN	news
of	IN	of
Massacre	NN	massacre
we	PP	we
really	RB	really
don't	VVD	don't
know	VV	know
how	WRB	how
to	TO	to
react	VV	react
anymore	RB	anymore
how	WRB	how
to	TO	to
feel	VV	feel
how	WRB	how
to	TO	to
be	VB	be
humans	NNS	human
we	PP	we
keep	VV	keep
uh	UH	uh
every	DT	every
morning	NN	morning
I	PP	I
wake	VVP	wake
up	RP	up
really	RB	really
really	RB	really
worried	VVN	worry
about	IN	about
my	PP$	my
colleagues	NNS	colleague
I	PP	I
just	RB	just
want	VVP	want
to	TO	to
reach	VV	reach
them	PP	them
by	IN	by
phone	NN	phone
to	TO	to
see	VV	see
that	DT	that
they're	NN	they're
alive	RB	alive
and	CC	and
then	RB	then
I'm	NP	I'm
worried	VVD	worry
again	RB	again
about	IN	about
the	DT	the
story	NN	story
that	IN/that	that
they	PP	they
will	MD	will
be	VB	be
sharing	VVG	share
but	CC	but
the	DT	the
footage	NN	footage
that	IN/that	that
you	PP	you
will	MD	will
be	VB	be
seeing	VVG	see
from	IN	from
Gaza	NP	Gaza
are	VBP	be
really	RB	really
we	PP	we
are	VBP	be
running	VVG	run
out	RP	out
of	IN	of
wordss	NP	wordss
I	PP	I
don't	VVD	don't
have	VH	have
any	DT	any
verbal	JJ	verbal
reaction	NN	reaction
to	TO	to
say	VV	say
a	DT	a
few	JJ	few
days	NNS	day
ago	RB	ago
the	DT	the
UN	NP	UN
Secretary	NP	Secretary
General	NP	General
described	VVD	describe
the	DT	the
plight	NN	plight
of	IN	of
Palestinians	NPS	Palestinians
in	IN	in
Gaza	NP	Gaza
is	VBZ	be
living	VVG	live
as	RB	as
if	IN	if
they're	NN	they're
in	IN	in
a	DT	a
a	DT	a
game	NN	game
of	IN	of
cruel	JJ	cruel
uh	UH	uh
pinball	NN	pinball
being	VBG	be
forced	VVN	force
from	IN	from
one	CD	one
location	NN	location
to	TO	to
another	DT	another
we've	NN	we've
been	VBN	be
saying	VVG	say
for	IN	for
many	JJ	many
months	NNS	month
now	RB	now
that	IN/that	that
Noah	NP	Noah
is	VBZ	be
safe	JJ	safe
as	IN	as
an	DT	an
NGO	NN	Ngo
with	IN	with
a	DT	a
team	NN	team
working	VVG	work
and	CC	and
living	VVG	live
there	RB	there
what	WP	what
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
about	IN	about
the	DT	the
latest	JJS	late
forced	VVN	force
evacuation	NN	evacuation
orders	NNS	order
in	IN	in
Gaza	NP	Gaza
so	RB	so
when	WRB	when
the	DT	the
evacuation	NN	evacuation
start	NN	start
started	VVN	start
so	IN	so
it's	NNS	it's
a	DT	a
long	JJ	long
nine	CD	nine
months	NNS	month
of	IN	of
evacuation	NN	evacuation
games	NNS	game
isn't	VVD	isn't
it	PP	it
so	RB	so
first	JJ	first
of	IN	of
all	DT	all
what	WP	what
our	PP$	our
themes	NNS	theme
have	VHP	have
been	VBN	be
describing	VVG	describe
in	IN	in
the	DT	the
past	JJ	past
weeks	NNS	week
is	VBZ	be
as	RB	as
if	IN	if
it's	NNS	it's
as	IN	as
intense	JJ	intense
as	IN	as
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
war	NN	war
tens	NNS	ten
of	IN	of
thousands	NNS	thousand
of	IN	of
people	NNS	people
are	VBP	be
running	VVG	run
to	TO	to
Nowhere	RB	nowhere
safe	JJ	safe
they	PP	they
are	VBP	be
lacking	VVG	lack
basic	JJ	basic
amenities	NNS	amenity
they	PP	they
don't	VVD	don't
know	VV	know
where	WRB	where
to	TO	to
go	VV	go
there's	RB	there's
no	DT	no
shelter	NN	shelter
there's	RB	there's
no	DT	no
food	NN	food
people	NNS	people
are	VBP	be
just	RB	just
in	IN	in
the	DT	the
street	NN	street
also	RB	also
when	WRB	when
we	PP	we
hear	VVP	hear
about	IN	about
an	DT	an
evacuation	NN	evacuation
order	NN	order
we	PP	we
know	VVP	know
hospitals	NNS	hospital
are	VBP	be
also	RB	also
being	VBG	be
evacuated	VVN	evacuate
so	IN	so
our	PP$	our
colleagues	NNS	colleague
are	VBP	be
also	RB	also
Des	NP	Des
describing	VVG	describe
images	NNS	image
of	IN	of
people	NNS	people
hold	VVP	hold
holding	VVG	hold
their	PP$	their
loved	VVN	love
ones	NNS	one
who	WP	who
are	VBP	be
injured	VVN	injure
behind	IN	behind
their	PP$	their
back	RB	back
and	CC	and
just	RB	just
walking	VVG	walk
to	TO	to
a	DT	a
no	RB	no
safe	JJ	safe
place	NN	place
to	TO	to
know	VV	know
where	WRB	where
to	TO	to
go	VV	go
to	TO	to
they	PP	they
know	VVP	know
wherever	WRB	wherever
they	PP	they
go	VVP	go
like	IN	like
we	PP	we
witnessed	VVD	witness
yesterday	NN	yesterday
they	PP	they
will	MD	will
be	VB	be
targeted	VVN	target
so	IN	so
people	NNS	people
are	VBP	be
literally	RB	literally
just	RB	just
running	VVG	run
in	IN	in
panic	NN	panic
hungry	JJ	hungry
injured	VVN	injure
deeply	RB	deeply
traumatized	VVN	traumatize
and	CC	and
I	PP	I
don't	VVD	don't
think	VV	think
we	PP	we
have	VHP	have
witnessed	VVN	witness
this	DT	this
in	IN	in
recent	JJ	recent
history	NN	history
where	WRB	where
every	DT	every
week	NN	week
people	NNS	people
are	VBP	be
like	IN	like
mass	JJ	mass
number	NN	number
of	IN	of
civilians	NNS	civilian
are	VBP	be
just	RB	just
asked	VVN	ask
to	TO	to
run	VV	run
from	IN	from
a	DT	a
place	NN	place
to	TO	to
another	DT	another
and	CC	and
then	RB	then
targeting	VVG	target
them	PP	them
again	RB	again
I	PP	I
was	VBD	be
sing	NN	sing
um	NNS	um
another	DT	another
media	NN	media
Outlet	NN	outlet
like	IN	like
it's	NNS	it's
not	RB	not
like	IN	like
Ukraine	NP	Ukraine
where	WRB	where
there's	RB	there's
a	DT	a
bus	NN	bus
come	VVP	come
comes	VVZ	come
in	IN	in
takes	VVZ	take
in	IN	in
civilians	NNS	civilian
to	TO	to
a	DT	a
safe	JJ	safe
place	NN	place
they	PP	they
just	RB	just
receive	VVP	receive
leaflets	NNS	leaflet
or	CC	or
messages	NNS	message
to	TO	to
run	VV	run
where	WRB	where
to	TO	to
run	VV	run
they	PP	they
don't	NN	don't
know	VVP	know
what	WP	what
would	MD	would
happen	VV	happen
to	TO	to
them	PP	them
they	PP	they
don't	VVD	don't
know	VV	know
people	NNS	people
can't	VVD	can't
even	RB	even
run	VV	run
they're	JJ	they're
hungry	JJ	hungry
it's	NNS	it's
summertime	NN	summertime
and	CC	and
what	WP	what
about	IN	about
the	DT	the
well	UH	well
I	PP	I
suppose	VVP	suppose
it's	NNS	it's
a	DT	a
deepening	VVG	deepen
medical	JJ	medical
crisis	NN	crisis
that	WDT	that
appears	VVZ	appear
to	TO	to
be	VB	be
getting	VVG	get
worse	JJR	bad
to	TO	to
worse	JJR	bad
on	IN	on
a	DT	a
daily	JJ	daily
basis	NN	basis
has	VHZ	have
your	PP$	your
organization	NN	organization
been	VBN	be
able	JJ	able
to	TO	to
provide	VV	provide
any	DT	any
health	NN	health
care	VV	care
uh	UH	uh
in	IN	in
the	DT	the
areas	NNS	area
most	RBS	most
recently	RB	recently
affected	VVN	affect
let	VVP	let
me	PP	me
start	VVP	start
with	IN	with
the	DT	the
healthcare	NN	healthcare
situation	NN	situation
and	CC	and
then	RB	then
what	WP	what
we	PP	we
have	VHP	have
been	VBN	be
trying	VVG	try
to	TO	to
do	VV	do
so	IN	so
we	PP	we
all	RB	all
know	VVP	know
that	IN/that	that
a	DT	a
famine	NN	famine
is	VBZ	be
setting	VVG	set
in	IN	in
across	IN	across
Gaza	NP	Gaza
and	CC	and
the	DT	the
whole	JJ	whole
population	NN	population
is	VBZ	be
facing	VVG	face
the	DT	the
POS	NNS	po
of	IN	of
risk	NN	risk
of	IN	of
genocide	NN	genocide
in	IN	in
addition	NN	addition
Israel	NP	Israel
has	VHZ	have
been	VBN	be
systematically	RB	systematically
dismounting	VVG	dismount
the	DT	the
Healthcare	NP	Healthcare
System	NP	System
more	JJR	more
than	IN	than
460	CD	@card@
attacks	NNS	attack
more	JJR	more
than	IN	than
105	CD	@card@
more	JJR	more
than	IN	than
500	CD	@card@
health	NN	health
workers	NNS	worker
have	VHP	have
been	VBN	be
killed	VVN	kill
every	DT	every
hospital	NN	hospital
has	VHZ	have
been	VBN	be
targeted	VVN	target
you	PP	you
know	VVP	know
Palestinian	JJ	Palestinian
doctors	NNS	doctor
are	VBP	be
either	RB	either
displaced	VVN	displace
detained	VVD	detain
loved	VVN	love
ones	NNS	one
or	CC	or
extremely	RB	extremely
overstretched	JJ	overstretched
with	IN	with
work	NN	work
and	CC	and
many	JJ	many
of	IN	of
them	PP	them
have	VHP	have
been	VBN	be
subjected	VVN	subject
to	TO	to
torture	VV	torture
during	IN	during
detention	NN	detention
as	IN	as
hundreds	NNS	hundred
have	VHP	have
been	VBN	be
detained	VVN	detain
and	CC	and
the	DT	the
number	NN	number
of	IN	of
Health	NP	Health
work	NN	work
workers	NNS	worker
killed	VVN	kill
is	VBZ	be
more	JJR	more
than	IN	than
all	DT	all
health	NN	health
workers	NNS	worker
killed	VVN	kill
in	IN	in
conflicts	NNS	conflict
in	IN	in
2021	CD	@card@
and	CC	and
2022	CD	@card@
in	IN	in
addition	NN	addition
to	TO	to
that	WDT	that
the	DT	the
Israeli	JJ	Israeli
total	JJ	total
Siege	NN	siege
means	VVZ	mean
that	IN/that	that
we	PP	we
cannot	MD	can
get	VV	get
in	IN	in
the	DT	the
right	NN	right
and	CC	and
adequate	JJ	adequate
amount	NN	amount
of	IN	of
uh	UH	uh
medical	JJ	medical
supplies	NNS	supply
a	DT	a
lot	NN	lot
of	IN	of
medical	JJ	medical
equipments	NNS	equipment
have	VHP	have
been	VBN	be
denied	VVN	deny
access	NN	access
so	IN	so
we're	NN	we're
talking	VVG	talk
about	RB	about
not	RB	not
only	RB	only
dismantled	VVN	dismantle
collapsed	JJ	collapsed
healthare	NN	healthare
system	NN	system
but	CC	but
doctors	NNS	doctor
are	VBP	be
really	RB	really
working	VVG	work
over	IN	over
the	DT	the
hours	NNS	hour
with	IN	with
nothing	NN	nothing
literally	RB	literally
with	IN	with
the	DT	the
very	RB	very
basic	JJ	basic
we	PP	we
have	VHP	have
we're	NN	we're
talking	VVG	talk
about	RB	about
in	IN	in
injuries	NNS	injury
of	IN	of
sharpen	VV	sharpen
L	NN	L
which	WDT	which
is	VBZ	be
the	DT	the
most	RBS	most
severe	JJ	severe
type	NN	type
of	IN	of
injuries	NNS	injury
what	WP	what
we're	VVP	we're
trying	VVG	try
to	TO	to
do	VV	do
as	IN	as
Medical	NP	Medical
Aid	NP	Aid
fans	NNS	fan
we're	NN	we're
trying	VVG	try
to	TO	to
get	VV	get
medical	JJ	medical
missions	NNS	mission
inside	IN	inside
Gaza	NP	Gaza
Medical	NP	Medical
Teams	NNS	team
we're	NN	we're
trying	VVG	try
to	TO	to
get	VV	get
medical	JJ	medical
equipment	NN	equipment
very	RB	very
rarely	RB	rarely
they	PP	they
are	VBP	be
accepted	VVN	accept
we're	NN	we're
trying	VVG	try
to	TO	to
get	VV	get
medications	NNS	medication
as	IN	as
well	NN	well
but	CC	but
whatever	WDT	whatever
we're	NN	we're
trying	VVG	try
to	TO	to
get	VV	get
in	IN	in
is	VBZ	be
nearly	RB	nearly
dropping	VVG	drop
the	DT	the
ocean	NN	ocean
you're	NN	you're
speaking	VVG	speak
to	TO	to
us	PP	us
from	IN	from
rala	NN	rala
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
a	DT	a
day	NN	day
of	IN	of
national	JJ	national
strikes	NNS	strike
has	VHZ	have
been	VBN	be
declared	VVN	declare
there	RB	there
it	PP	it
seems	VVZ	seem
largely	RB	largely
symbolic	JJ	symbolic
a	DT	a
show	NN	show
of	IN	of
real	JJ	real
outrage	NN	outrage
at	IN	at
this	DT	this
latest	JJS	late
attack	NN	attack
by	IN	by
Israel	NP	Israel
I	PP	I
just	RB	just
wonder	VVP	wonder
what	WP	what
the	DT	the
underlying	VVG	underlie
message	NN	message
U	NN	U
people	NNS	people
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
and	CC	and
indeed	RB	indeed
in	IN	in
other	JJ	other
countries	NNS	country
in	IN	in
the	DT	the
region	NN	region
that	WDT	that
are	VBP	be
also	RB	also
protesting	VVG	protest
the	DT	the
latest	JJS	late
strike	NN	strike
by	IN	by
Israel	NP	Israel
are	VBP	be
trying	VVG	try
to	TO	to
send	VV	send
the	DT	the
Israeli	JJ	Israeli
government	NN	government
as	IN	as
Palestinians	NPS	Palestinians
we	PP	we
have	VHP	have
never	RB	never
f	SYM	f
as	RB	as
helpless	JJ	helpless
as	IN	as
we	PP	we
have	VHP	have
been	VBN	be
feeling	VVG	feel
since	IN	since
the	DT	the
start	NN	start
of	IN	of
the	DT	the
Gaza	NP	Gaza
War	NP	War
you	PP	you
know	VVP	know
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
we	PP	we
have	VHP	have
more	JJR	more
than	IN	than
553	CD	@card@
Palestinians	NNS	Palestinian
killed	VVN	kill
since	IN	since
October	NP	October
including	VVG	include
131	CD	@card@
children	NNS	child
Israel	NP	Israel
has	VHZ	have
been	VBN	be
raing	VVG	raing
every	DT	every
single	JJ	single
town	NN	town
and	CC	and
city	NN	city
across	IN	across
the	DT	the
West	NP	West
Bank	NP	Bank
since	IN	since
years	NNS	year
but	CC	but
now	RB	now
what	WDT	what
we're	NN	we're
feeling	NN	feeling
with	IN	with
the	DT	the
message	NN	message
we're	NN	we're
trying	VVG	try
to	TO	to
do	VV	do
is	VBZ	be
we	PP	we
don't	VVD	don't
know	VV	know
how	WRB	how
to	TO	to
show	VV	show
solidarity	NN	solidarity
to	TO	to
our	PP$	our
own	JJ	own
people	NNS	people
in	IN	in
Gaza	NP	Gaza
we	PP	we
don't	VVD	don't
know	VV	know
what	WP	what
to	TO	to
do	VV	do
a	DT	a
strike	NN	strike
to	TO	to
go	VV	go
to	TO	to
I	PP	I
don't	VVD	don't
know	VV	know
a	DT	a
protest	NN	protest
we	PP	we
are	VBP	be
really	RB	really
feeling	VVG	feel
angry	JJ	angry
frustrated	VVN	frustrate
helpless	JJ	helpless
in	IN	in
addition	NN	addition
we	PP	we
are	VBP	be
also	RB	also
under	IN	under
attack	NN	attack
so	IN	so
the	DT	the
message	NN	message
is	VBZ	be
trying	VVG	try
to	TO	to
send	VV	send
our	PP$	our
people	NNS	people
in	IN	in
Gaza	NP	Gaza
that	IN/that	that
we	PP	we
don't	VVD	don't
know	VV	know
if	IN	if
we	PP	we
don't	VVD	don't
go	VV	go
to	TO	to
work	VV	work
maybe	RB	maybe
we	PP	we
show	VVP	show
them	PP	them
how	WRB	how
how	WRB	how
in	IN	in
pain	NN	pain
we	PP	we
are	VBP	be
if	IN	if
we	PP	we
don't	VVD	don't
go	VV	go
to	TO	to
our	PP$	our
shops	NNS	shop
if	IN	if
we	PP	we
don't	VVD	don't
open	JJ	open
it's	NNS	it's
like	IN	like
sending	VVG	send
a	DT	a
helpless	JJ	helpless
message	NN	message
that	IN/that	that
we're	NNS	we're
there	RB	there
that	IN/that	that
we	PP	we
suffer	VVP	suffer
as	RB	as
well	RB	well
all	DT	all
right	JJ	right
Asel	NP	Asel
byun	NP	Byun
for	IN	for
medical	JJ	medical
aid	NN	aid
for	IN	for
Palestinians	NPS	Palestinians
thank	VVP	thank
you	PP	you
for	IN	for
joining	VVG	join
us	PP	us
on	IN	on
Aluma	NP	Aluma
thank	VVP	thank
you	PP	you
make	VVP	make
sure	RB	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
aler	NN	aler
</doc>	NN	</doc>
