<video_id>xALUlEYQBHA</video_id>	JJ	<video_id>xALUlEYQBHA</video_id>
uh	UH	uh
the	DT	the
whole	JJ	whole
operation	NN	operation
was	VBD	be
within	IN	within
the	DT	the
Rules	NNS	rule
of	IN	of
Engagement	NN	engagement
which	WDT	which
have	VHP	have
been	VBN	be
in	IN	in
place	NN	place
since	IN	since
2006	CD	@card@
uh	UH	uh
today	NN	today
it's	NNS	it's
different	JJ	different
the	DT	the
attack	NN	attack
now	RB	now
on	IN	on
the	DT	the
international	JJ	international
border	NN	border
Israel	NP	Israel
responding	VVG	respond
and	CC	and
you	PP	you
can	MD	can
still	RB	still
hear	VV	hear
hear	VV	hear
the	DT	the
shelling	VVG	shell
um	NN	um
so	IN	so
it	PP	it
is	VBZ	be
is	VBZ	be
a	DT	a
very	RB	very
very	RB	very
tense	JJ	tense
situation	NN	situation
hasbalah	NN	hasbalah
denying	VVG	deny
responsibility	NN	responsibility
but	CC	but
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
day	NN	day
this	DT	this
whole	JJ	whole
region	NN	region
is	VBZ	be
hezbollah's	NN	hezbollah's
strong	JJ	strong
hold	NN	hold
um	NNS	um
the	DT	the
Lebanese	JJ	Lebanese
Army	NN	army
is	VBZ	be
here	RB	here
you	PP	you
have	VHP	have
uh	UH	uh
troops	NNS	troop
belonging	VVG	belong
to	TO	to
a	DT	a
number	NN	number
of	IN	of
countries	NNS	country
operating	VVG	operate
under	IN	under
the	DT	the
United	NP	United
Nations	NPS	Nations
peacekeeping	VVG	peacekeepe
Force	NP	Force
but	CC	but
it	PP	it
is	VBZ	be
Hezbollah	NP	Hezbollah
who	WP	who
knows	VVZ	know
um	NNS	um
who	WP	who
is	VBZ	be
at	IN	at
the	DT	the
border	NN	border
who	WP	who
reaches	VVZ	reach
the	DT	the
border	NN	border
and	CC	and
so	RB	so
these	DT	these
are	VBP	be
yet	RB	yet
more	JJR	more
messages	NNS	message
more	JJR	more
pressure	NN	pressure
on	IN	on
the	DT	the
Israeli	JJ	Israeli
Army	NN	army
telling	VVG	tell
them	PP	them
that	IN/that	that
if	IN	if
you	PP	you
continue	VVP	continue
your	PP$	your
campaign	NN	campaign
against	IN	against
Gaza	NP	Gaza
then	RB	then
expect	VVP	expect
to	TO	to
face	VV	face
pressure	NN	pressure
from	IN	from
other	JJ	other
fronts	NNS	front
Anda	NP	Anda
what	WP	what
what's	NNS	what's
the	DT	the
feeling	NN	feeling
within	IN	within
Lebanon	NP	Lebanon
at	IN	at
the	DT	the
prospect	NN	prospect
of	IN	of
being	VBG	be
drawn	VVN	draw
into	IN	into
another	DT	another
conflict	NN	conflict
yes	NN	yes
people	NNS	people
are	VBP	be
worried	JJ	worried
people	NNS	people
are	VBP	be
worried	VVN	worry
that	IN/that	that
this	DT	this
country	NN	country
will	MD	will
be	VB	be
dragged	VVN	drag
into	IN	into
war	NN	war
this	DT	this
is	VBZ	be
a	DT	a
very	RB	very
deeply	RB	deeply
polarized	VVN	polarize
Society	NP	Society
yes	NN	yes
most	JJS	most
people	NNS	people
here	RB	here
will	MD	will
say	VV	say
that	IN/that	that
we	PP	we
support	VVP	support
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
we	PP	we
support	VVP	support
we	PP	we
support	VV	support
their	PP$	their
right	NN	right
to	TO	to
self-determination	NN	self-determination
to	TO	to
have	VH	have
their	PP$	their
own	JJ	own
state	NN	state
but	CC	but
we	PP	we
cannot	MD	can
be	VB	be
dragged	VVN	drag
into	IN	into
this	DT	this
conflict	NN	conflict
because	IN	because
Lebanon	NP	Lebanon
is	VBZ	be
facing	VVG	face
multiple	JJ	multiple
crises	NNS	crisis
uh	UH	uh
this	DT	this
is	VBZ	be
what	WP	what
you	PP	you
know	VVP	know
some	DT	some
people	NNS	people
say	VVP	say
it	PP	it
really	RB	really
depends	VVZ	depend
who	WP	who
you	PP	you
talk	VVP	talk
to	TO	to
um	NN	um
those	DT	those
who	WP	who
support	VVP	support
Hezbollah	NP	Hezbollah
mainly	RB	mainly
uh	UH	uh
the	DT	the
Muslim	NP	Muslim
Shia	NP	Shia
Community	NP	Community
they	PP	they
believe	VVP	believe
that	IN/that	that
Hezbollah	NP	Hezbollah
is	VBZ	be
defending	VVG	defend
Lebanon	NP	Lebanon
it	PP	it
is	VBZ	be
defending	VVG	defend
their	PP$	their
Community	NN	community
but	CC	but
others	NNS	other
are	VBP	be
saying	VVG	say
that	IN/that	that
Hezbollah	NP	Hezbollah
is	VBZ	be
implementing	VVG	implement
Iran's	NP	Iran's
agenda	NN	agenda
and	CC	and
that	IN/that	that
Hezbollah	NP	Hezbollah
is	VBZ	be
not	RB	not
working	VVG	work
in	IN	in
the	DT	the
interests	NNS	interest
of	IN	of
Lebanon	NP	Lebanon
that	IN/that	that
the	DT	the
decision	NN	decision
to	TO	to
go	VV	go
to	TO	to
war	NN	war
should	MD	should
be	VB	be
taken	VVN	take
by	IN	by
the	DT	the
Lebanese	JJ	Lebanese
State	NN	state
the	DT	the
country's	NNS	country's
economy	NN	economy
has	VHZ	have
all	RB	all
but	CC	but
collapsed	VVD	collapse
there's	RB	there's
a	DT	a
political	JJ	political
crisis	NN	crisis
there's	NNS	there's
no	DT	no
president	NN	president
there's	RB	there's
no	DT	no
functioning	VVG	function
government	NN	government
then	RB	then
the	DT	the
state	NN	state
is	VBZ	be
nearly	RB	nearly
bankrupt	JJ	bankrupt
so	IN	so
people	NNS	people
are	VBP	be
worried	VVN	worry
yes	RB	yes
Hezbollah	NP	Hezbollah
has	VHZ	have
grown	VVN	grow
in	IN	in
strength	NN	strength
it	PP	it
has	VHZ	have
sophisticated	JJ	sophisticated
Arsenal	NN	arsenal
it	PP	it
has	VHZ	have
Precision	NN	precision
guided	VVD	guide
missiles	NNS	missile
that	WDT	that
can	MD	can
hit	VV	hit
Israeli	JJ	Israeli
cities	NNS	city
but	CC	but
Israel	NP	Israel
too	RB	too
has	VHZ	have
an	DT	an
advanced	JJ	advanced
Army	NN	army
it	PP	it
has	VHZ	have
air	NN	air
superiority	NN	superiority
and	CC	and
it	PP	it
can	MD	can
destroy	VV	destroy
neighborhoods	NNS	neighborhood
so	IN	so
people	NNS	people
are	VBP	be
worried	JJ	worried
people	NNS	people
are	VBP	be
worried	VVN	worry
that	IN/that	that
the	DT	the
Gaza	NP	Gaza
Israel	NP	Israel
war	NN	war
will	MD	will
lead	VV	lead
to	TO	to
wider	JJR	wide
confrontation	NN	confrontation
in	IN	in
the	DT	the
region	NN	region
and	CC	and
it's	NNS	it's
not	RB	not
just	RB	just
a	DT	a
just	RB	just
look	VVP	look
behind	IN	behind
me	PP	me
that's	JJ	that's
Israel	NP	Israel
that's	NNS	that's
a	DT	a
northern	JJ	northern
Israeli	JJ	Israeli
settlement	NN	settlement
look	VV	look
how	WRB	how
easy	JJ	easy
it	PP	it
is	VBZ	be
to	TO	to
launch	VV	launch
an	DT	an
attack	NN	attack
and	CC	and
it's	NNS	it's
not	RB	not
just	RB	just
that	IN/that	that
Israel	NP	Israel
has	VHZ	have
enemies	NNS	enemy
Hezbollah	NP	Hezbollah
Iran	NP	Iran
they	PP	they
have	VHP	have
positions	NNS	position
along	IN	along
its	PP$	its
border	NN	border
with	IN	with
Syria	NP	Syria
so	RB	so
really	RB	really
Israel	NP	Israel
facing	VVG	face
a	DT	a
lot	NN	lot
of	IN	of
pressure	NN	pressure
from	IN	from
different	JJ	different
fronts	NNS	front
groups	NNS	group
Allied	NP	Allied
to	TO	to
Iran	NP	Iran
at	IN	at
the	DT	the
moment	NN	moment
flexing	VVG	flex
their	PP$	their
muscles	NNS	muscle
putting	VVG	put
pressure	NN	pressure
on	IN	on
the	DT	the
Israeli	JJ	Israeli
government	NN	government
aena	NP	aena
Hoda	NP	Hoda
thanks	NNS	thanks
very	RB	very
much	RB	much
it's	JJ	it's
very	JJ	very
it's	NNS	it's
great	JJ	great
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
see	VV	see
so	RB	so
visually	RB	visually
that	DT	that
border	NN	border
amid	IN	amid
all	PDT	all
the	DT	the
skirmishes	NNS	skirmish
that	WDT	that
are	VBP	be
happening	VVG	happen
there	RB	there
across	IN	across
it	PP	it
thanks	VVZ	thank
for	IN	for
bringing	VVG	bring
us	PP	us
the	DT	the
latest	JJS	late
there	RB	there
from	IN	from
this	DT	this
the	DT	the
Lebanon	NP	Lebanon
Israel	NP	Israel
or	CC	or
border	NN	border
</doc>	NN	</doc>
