while	IN	while
in	IN	in
Gaza	NP	Gaza
but	CC	but
right	RB	right
now	RB	now
it	PP	it
seems	VVZ	seem
things	NNS	thing
are	VBP	be
be	VB	be
having	VHG	have
their	PP$	their
own	JJ	own
separate	JJ	separate
path	NN	path
whereas	IN	whereas
is	VBZ	be
Israel	NP	Israel
is	VBZ	be
pushing	VVG	push
to	TO	to
have	VH	have
Hezbollah	NP	Hezbollah
behind	IN	behind
the	DT	the
Lani	NP	Lani
river	NN	river
which	WDT	which
is	VBZ	be
like	IN	like
20	CD	@card@
kilom	NN	kilom
from	IN	from
the	DT	the
borders	NNS	border
in	IN	in
some	DT	some
areas	NNS	area
so	IN	so
this	DT	this
is	VBZ	be
right	RB	right
now	RB	now
where	WRB	where
this	DT	this
fight	NN	fight
is	VBZ	be
uh	UH	uh
concentrated	VVN	concentrate
on	IN	on
several	JJ	several
areas	NNS	area
uh	UH	uh
from	IN	from
the	DT	the
Western	JJ	Western
sector	NN	sector
where	WRB	where
we	PP	we
are	VBP	be
to	TO	to
the	DT	the
central	JJ	central
sector	NN	sector
to	TO	to
the	DT	the
Eastern	JJ	eastern
sector	NN	sector
there	EX	there
have	VHP	have
been	VBN	be
several	JJ	several
attacks	NNS	attack
over	IN	over
the	DT	the
past	JJ	past
days	NNS	day
yesterday	NN	yesterday
for	IN	for
example	NN	example
hasah	VVG	hasah
uh	UH	uh
claimed	VVD	claim
responsibility	NN	responsibility
for	IN	for
around	RB	around
four	CD	four
attacks	NNS	attack
Israel	NP	Israel
said	VVD	say
that	IN/that	that
it	PP	it
also	RB	also
conducted	VVD	conduct
several	JJ	several
air	NN	air
strikes	NNS	strike
on	IN	on
hisbah	NN	hisbah
infrastructure	NN	infrastructure
Israel	NP	Israel
is	VBZ	be
using	VVG	use
this	DT	this
opportunity	NN	opportunity
also	RB	also
to	TO	to
hit	VV	hit
the	DT	the
uh	UH	uh
the	DT	the
many	JJ	many
Targets	NNS	target
on	IN	on
its	PP$	its
on	IN	on
its	PP$	its
Bank	NN	bank
in	IN	in
its	PP$	its
Bank	NN	bank
the	DT	the
target	NN	target
banks	NNS	bank
for	IN	for
hisbah	NN	hisbah
infrastructure	NN	infrastructure
in	IN	in
the	DT	the
past	NN	past
that	WDT	that
was	VBD	be
developed	VVN	develop
over	IN	over
the	DT	the
years	NNS	year
since	IN	since
2006	CD	@card@
War	NN	war
till	IN	till
today	NN	today
Israel	NP	Israel
is	VBZ	be
using	VVG	use
this	DT	this
opportunity	NN	opportunity
to	TO	to
hit	VV	hit
this	DT	this
infrastructure	NN	infrastructure
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
hisbah	NN	hisbah
is	VBZ	be
using	VVG	use
this	DT	this
uh	UH	uh
opportunity	NN	opportunity
to	TO	to
hit	VV	hit
the	DT	the
Israeli	JJ	Israeli
uh	UH	uh
intelligence	NN	intelligence
gathering	VVG	gather
apparatus	NN	apparatus
On	IN	on
the	DT	the
Border	NP	Border
whether	IN	whether
it	PP	it
'	''	'
s	VVG	s
uh	UH	uh
communication	NN	communication
apparatuses	NNS	apparatus
whether	IN	whether
it	PP	it
'	POS	'
s	NN	S
cameras	NNS	camera
and	CC	and
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
hitting	VVG	hit
direct	JJ	direct
is	VBZ	be
ready	JJ	ready
infantry	NN	infantry
and	CC	and
we	PP	we
'	POS	'
ve	RB	ve
been	VBN	be
seen	VVN	see
SE	FW	se
we	PP	we
'	POS	'
ve	RB	ve
been	VBN	be
seeing	VVG	see
several	JJ	several
casualties	NNS	casualty
over	IN	over
the	DT	the
past	JJ	past
days	NNS	day
Ali	NP	Ali
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
indeed	RB	indeed
Ali	NP	Ali
hasham	NP	Hasham
talking	VVG	talk
to	TO	to
us	PP	us
from	IN	from
the	DT	the
border	NN	border
of	IN	of
Lebanon	NP	Lebanon
