<video_id>718zqGPpRYw</video_id>	NP	<video_id>718zqGPpRYw</video_id>
the	DT	the
International	NP	International
Medical	NP	Medical
corpse	NN	corpse
hospital	NN	hospital
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
field	NN	field
points	NNS	point
that	WDT	that
were	VBD	be
receiving	VVG	receive
children	NNS	child
for	IN	for
the	DT	the
Poo	NP	Poo
uh	UH	uh
vaccination	NN	vaccination
campaign	NN	campaign
at	IN	at
least	JJS	least
according	VVG	accord
to	TO	to
the	DT	the
health	NN	health
Ministry	NP	Ministry
there	RB	there
were	VBD	be
at	IN	at
least	JJS	least
187,000	CD	@card@
Palestinians	NNS	Palestinian
that	WDT	that
got	VVD	get
vaccinated	VVN	vaccinate
however	RB	however
now	RB	now
today	NN	today
was	VBD	be
the	DT	the
first	JJ	first
day	NN	day
of	IN	of
the	DT	the
PO	NN	po
vaccination	NN	vaccination
campaign	NN	campaign
in	IN	in
kenun	NN	kenun
according	VVG	accord
to	TO	to
UNICEF	NP	UNICEF
they	PP	they
are	VBP	be
willing	JJ	willing
to	TO	to
uh	UH	uh
vaccinate	VV	vaccinate
at	IN	at
least	JJS	least
400,000	CD	@card@
uh	UH	uh
children	NNS	child
where	WRB	where
there	EX	there
are	VBP	be
at	IN	at
least	JJS	least
3,000	CD	@card@
employees	NNS	employee
working	VVG	work
on	IN	on
this	DT	this
uh	UH	uh
vaccination	NN	vaccination
campaign	NN	campaign
however	RB	however
according	VVG	accord
to	TO	to
the	DT	the
health	NN	health
Ministry	NP	Ministry
uh	UH	uh
they're	NN	they're
saying	VVG	say
that	DT	that
uh	UH	uh
people	NNS	people
who	WP	who
are	VBP	be
in	IN	in
the	DT	the
Eastern	JJ	eastern
parts	NNS	part
of	IN	of
are	VBP	be
unable	JJ	unable
to	TO	to
get	VV	get
the	DT	the
vaccination	NN	vaccination
because	IN	because
it's	NNS	it's
a	DT	a
very	RB	very
dangerous	JJ	dangerous
area	NN	area
and	CC	and
um	NN	um
un	VVG	un
uh	UH	uh
employees	NNS	employee
and	CC	and
the	DT	the
Ministry	NP	Ministry
of	IN	of
Health	NP	Health
impunes	NNS	impunes
are	VBP	be
not	RB	not
getting	VVG	get
the	DT	the
access	NN	access
to	TO	to
give	VV	give
uh	UH	uh
the	DT	the
people	NNS	people
there	RB	there
the	DT	the
vaccination	NN	vaccination
and	CC	and
also	RB	also
they're	JJ	they're
not	RB	not
having	VHG	have
the	DT	the
safe	JJ	safe
access	NN	access
to	TO	to
reach	VV	reach
those	DT	those
points	NNS	point
and	CC	and
the	DT	the
Ministry	NP	Ministry
of	IN	of
Health	NP	Health
is	VBZ	be
appealing	VVG	appeal
uh	UH	uh
the	DT	the
International	NP	International
Community	NP	Community
to	TO	to
give	VV	give
access	NN	access
to	TO	to
these	DT	these
Palestinians	NPS	Palestinians
to	TO	to
reach	VV	reach
uh	UH	uh
the	DT	the
polio	NN	polio
vaccination	NN	vaccination
campaign	NN	campaign
however	RB	however
so	RB	so
far	RB	far
according	VVG	accord
to	TO	to
UNICEF	NP	UNICEF
they	PP	they
say	VVP	say
that	IN/that	that
the	DT	the
PO	NN	po
vaccination	NN	vaccination
campaign	NN	campaign
so	RB	so
far	RB	far
is	VBZ	be
successful	JJ	successful
but	CC	but
here	RB	here
this	DT	this
is	VBZ	be
the	DT	the
reality	NN	reality
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
children	NNS	child
that	DT	that
they're	NN	they're
still	RB	still
affected	VVN	affect
by	IN	by
the	DT	the
collapse	NN	collapse
of	IN	of
the	DT	the
humanitarian	JJ	humanitarian
situation	NN	situation
and	CC	and
the	DT	the
health	NN	health
situation	NN	situation
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
sewage	NN	sewage
is	VBZ	be
everywhere	RB	everywhere
garbage	NN	garbage
is	VBZ	be
piled	VVN	pile
everywhere	RB	everywhere
Palestinian	JJ	Palestinian
parents	NNS	parent
are	VBP	be
yes	RB	yes
telling	VVG	tell
us	PP	us
the	DT	the
polio	NN	polio
vaccination	NN	vaccination
campaign	NN	campaign
is	VBZ	be
very	RB	very
important	JJ	important
but	CC	but
what's	NNS	what's
more	RBR	more
important	JJ	important
is	VBZ	be
a	DT	a
ceasefire	NN	ceasefire
and	CC	and
is	VBZ	be
protecting	VVG	protect
their	PP$	their
children	NNS	child
from	IN	from
the	DT	the
air	NN	air
strikes	NNS	strike
and	CC	and
the	DT	the
Israeli	JJ	Israeli
lethal	JJ	lethal
Force	NP	Force
hind	NN	hind
Al	NP	Al
jaaz	NP	jaaz
AA	NN	aa
Palestine	NP	Palestine
make	VVP	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
alzer	NP	alzer
</doc>	NP	</doc>
