<video_id>ew0mTiDYBJc</video_id>	JJ	<video_id>ew0mTiDYBJc</video_id>
families	NNS	family
of	IN	of
our	PP$	our
hostages	NNS	hostage
as	RB	as
well	RB	well
as	IN	as
those	DT	those
on	IN	on
both	DT	both
sides	NNS	side
of	IN	of
this	DT	this
terrible	JJ	terrible
conflict	NN	conflict
including	VVG	include
the	DT	the
civilian	JJ	civilian
population	NN	population
it	PP	it
is	VBZ	be
time	NN	time
for	IN	for
the	DT	the
war	NN	war
to	TO	to
end	VV	end
and	CC	and
this	DT	this
deal	NN	deal
according	VVG	accord
to	TO	to
this	DT	this
statement	NN	statement
is	VBZ	be
the	DT	the
necessary	JJ	necessary
starting	VVG	start
point	NN	point
what's	NNS	what's
the	DT	the
thinking	NN	thinking
behind	IN	behind
all	DT	all
of	IN	of
these	DT	these
countries	NNS	country
coming	VVG	come
together	RB	together
in	IN	in
this	DT	this
way	NN	way
to	TO	to
issue	VV	issue
this	DT	this
statement	NN	statement
Alan	NP	Alan
what	WP	what
are	VBP	be
they	PP	they
hoping	VVG	hope
to	TO	to
achieve	VV	achieve
well	RB	well
this	DT	this
is	VBZ	be
clearly	RB	clearly
part	NN	part
of	IN	of
the	DT	the
White	NP	White
House's	NP	House's
pressure	NN	pressure
game	NN	game
Joe	NP	Joe
Biden	NP	Biden
announced	VVD	announce
this	DT	this
statement	NN	statement
there	EX	there
was	VBD	be
some	DT	some
speculation	NN	speculation
that	IN/that	that
he	PP	he
did	VVD	do
this	DT	this
without	IN	without
fully	RB	fully
getting	VVG	get
the	DT	the
Israelis	NPS	Israelis
signed	VVD	sign
on	IN	on
to	TO	to
this	DT	this
and	CC	and
certainly	RB	certainly
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
has	VHZ	have
made	VVN	make
some	DT	some
interesting	JJ	interesting
comments	NNS	comment
which	WDT	which
suggest	VVP	suggest
that	IN/that	that
this	DT	this
may	MD	may
have	VH	have
been	VBN	be
a	DT	a
a	DT	a
bit	NN	bit
of	IN	of
a	DT	a
surprise	NN	surprise
to	TO	to
him	PP	him
and	CC	and
certainly	RB	certainly
he's	NN	he's
aware	JJ	aware
that	IN/that	that
far-right	JJ	far-right
members	NNS	member
of	IN	of
his	PP$	his
coalition	NN	coalition
government	NN	government
have	VHP	have
threatened	VVN	threaten
to	TO	to
collapse	VV	collapse
it	PP	it
if	IN	if
in	IN	in
any	DT	any
way	NN	way
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
signs	VVZ	sign
up	RP	up
to	TO	to
this	DT	this
so	RB	so
that's	JJ	that's
why	WRB	why
there's	RB	there's
that	DT	that
important	JJ	important
comment	NN	comment
about	IN	about
how	WRB	how
Israeli	JJ	Israeli
leaders	NNS	leader
need	VVP	need
to	TO	to
make	VV	make
compromises	NNS	compromise
as	IN	as
well	RB	well
but	CC	but
the	DT	the
White	NP	White
House	NP	House
is	VBZ	be
putting	VVG	put
pressure	NN	pressure
on	IN	on
Hamas	NNS	Hamas
as	RB	as
far	RB	far
as	IN	as
they're	NN	they're
concerned	VVD	concern
they	PP	they
already	RB	already
have	VHP	have
Israel	NP	Israel
signed	VVD	sign
up	RP	up
in	IN	in
all	DT	all
but	CC	but
the	DT	the
letters	NNS	letter
on	IN	on
the	DT	the
dotted	JJ	dotted
line	NN	line
and	CC	and
they	PP	they
really	RB	really
want	VVP	want
to	TO	to
put	VV	put
pressure	NN	pressure
on	IN	on
Hamas	NP	Hamas
this	DT	this
isn't	NN	isn't
terribly	RB	terribly
new	JJ	new
because	IN	because
you'll	NN	you'll
remember	VVP	remember
that	IN/that	that
about	IN	about
a	DT	a
month	NN	month
ago	RB	ago
there	EX	there
was	VBD	be
a	DT	a
peace	NN	peace
deal	NN	deal
that	WDT	that
was	VBD	be
floating	VVG	float
and	CC	and
Hamas	NP	Hamas
accepted	VVD	accept
that	IN/that	that
we	PP	we
were	VBD	be
told	VVN	tell
that	IN/that	that
all	PDT	all
the	DT	the
pressure	NN	pressure
was	VBD	be
on	IN	on
Hamas	NN	Hamas
to	TO	to
accept	VV	accept
it	PP	it
by	IN	by
the	DT	the
White	NP	White
House	NP	House
and	CC	and
Hamas	NP	Hamas
said	VVD	say
yep	VVG	yep
we	PP	we
sign	VV	sign
up	RP	up
to	TO	to
this	DT	this
and	CC	and
of	IN	of
course	NN	course
it	PP	it
was	VBD	be
Israel	NP	Israel
that	DT	that
hadn't	NN	hadn't
signed	VVD	sign
on	IN	on
so	RB	so
you	PP	you
can	MD	can
see	VV	see
it's	NNS	it's
almost	RB	almost
like	IN	like
trying	VVG	try
to	TO	to
force	VV	force
two	CD	two
bits	NNS	bit
together	RB	together
like	IN	like
two	CD	two
magnets	NNS	magnet
but	CC	but
they	PP	they
can't	VVD	can't
quite	RB	quite
get	VV	get
them	PP	them
joined	VVN	join
and	CC	and
so	RB	so
this	DT	this
is	VBZ	be
part	NN	part
of	IN	of
the	DT	the
White	NP	White
House	NP	House
pressure	NN	pressure
campaign	NN	campaign
to	TO	to
get	VV	get
both	DT	both
sides	NNS	side
to	TO	to
sign	VV	sign
on	IN	on
to	TO	to
a	DT	a
ceasefire	NN	ceasefire
and	CC	and
then	RB	then
look	VV	look
to	TO	to
a	DT	a
longer	JJR	long
term	NN	term
peace	NN	peace
deal	NN	deal
all	RB	all
right	RB	right
thank	VV	thank
you	PP	you
very	RB	very
much	RB	much
with	IN	with
the	DT	the
latest	JJS	late
from	IN	from
Washington	NP	Washington
on	IN	on
this	DT	this
story	NN	story
Alan	NP	Alan
Fischer	NP	Fischer
well	RB	well
let's	NNS	let's
get	VVP	get
the	DT	the
Israeli	JJ	Israeli
response	NN	response
then	RB	then
because	IN	because
the	DT	the
government	NN	government
there	RB	there
has	VHZ	have
banned	VVN	ban
alaz	NN	alaz
from	IN	from
reporting	VVG	report
inside	IN	inside
the	DT	the
country	NN	country
Imran	NP	Imran
Khan	NP	Khan
joins	VVZ	join
us	PP	us
from	IN	from
the	DT	the
Jordanian	JJ	Jordanian
Capital	NP	Capital
Aman	NP	Aman
have	VHP	have
we	PP	we
heard	VVN	hear
anything	NN	anything
from	IN	from
the	DT	the
Israelis	NPS	Israelis
uh	UH	uh
we	PP	we
haven't	VVD	haven't
heard	VVN	hear
anything	NN	anything
from	IN	from
the	DT	the
Israelis	NPS	Israelis
we're	VVP	we're
unlikely	JJ	unlikely
to	TO	to
hear	VV	hear
anything	NN	anything
from	IN	from
the	DT	the
Israelis	NPS	Israelis
anytime	RB	anytime
soon	RB	soon
there's	RB	there's
a	DT	a
lot	NN	lot
of	IN	of
very	RB	very
strong	JJ	strong
language	NN	language
as	IN	as
my	PP$	my
colleague	NN	colleague
Alan	NP	Alan
Fisher	NP	Fisher
was	VBD	be
just	RB	just
pointing	VVG	point
out	RP	out
there	RB	there
particularly	RB	particularly
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
the	DT	the
two-state	NN	two-state
solution	NN	solution
remember	VVP	remember
prime	JJ	prime
minister	NN	minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
has	VHZ	have
publicly	RB	publicly
said	VVN	say
time	NN	time
and	CC	and
time	NN	time
again	RB	again
over	IN	over
his	PP$	his
entire	JJ	entire
career	NN	career
that	IN/that	that
he's	NNS	he's
very	RB	very
proud	JJ	proud
that	IN/that	that
he	PP	he
hasn't	VVD	hasn't
had	VHN	have
uh	UH	uh
he	PP	he
hasn't	VVD	hasn't
developed	VVN	develop
uh	UH	uh
negotiations	NNS	negotiation
for	IN	for
a	DT	a
Palestinian	JJ	Palestinian
state	NN	state
in	IN	in
fact	NN	fact
his	PP$	his
exact	JJ	exact
quote	NN	quote
is	VBZ	be
I'm	NP	I'm
very	RB	very
proud	RB	proud
there	RB	there
hasn't	NNS	hasn't
been	VBN	be
a	DT	a
Palestinian	JJ	Palestinian
State	NN	state
on	IN	on
my	PP$	my
watch	NN	watch
so	IN	so
they're	NN	they're
likely	RB	likely
the	DT	the
Israelis	NPS	Israelis
will	MD	will
be	VB	be
likely	RB	likely
looking	VVG	look
at	IN	at
this	DT	this
language	NN	language
and	CC	and
understanding	VVG	understand
this	DT	this
yes	NN	yes
it's	NNS	it's
coming	VVG	come
from	IN	from
a	DT	a
pressure	NN	pressure
campaign	NN	campaign
by	IN	by
the	DT	the
us	PP	us
but	CC	but
how	WRB	how
much	RB	much
can	MD	can
they	PP	they
withstand	VV	withstand
that	IN/that	that
pressure	NN	pressure
that's	NNS	that's
probably	RB	probably
uh	UH	uh
the	DT	the
question	NN	question
they're	NN	they're
asking	VVG	ask
themselves	PP	themselves
but	CC	but
there	EX	there
is	VBZ	be
reaction	NN	reaction
from	IN	from
others	NNS	other
not	RB	not
directly	RB	directly
to	TO	to
the	DT	the
statement	NN	statement
but	CC	but
about	RB	about
the	DT	the
ceasefire	NN	ceasefire
talks	NNS	talk
we've	NNS	we've
been	VBN	be
hearing	VVG	hear
from	IN	from
Egyptian	JJ	Egyptian
security	NN	security
sources	NNS	source
talking	VVG	talk
to	TO	to
the	DT	the
Reuters	NP	Reuters
news	NN	news
agency	NN	agency
they	PP	they
say	VVP	say
the	DT	the
talks	NNS	talk
are	VBP	be
ongoing	JJ	ongoing
but	CC	but
neither	DT	neither
side	NN	side
is	VBZ	be
getting	VVG	get
anywhere	RB	anywhere
close	JJ	close
to	TO	to
an	DT	an
agreement	NN	agreement
they	PP	they
also	RB	also
say	VVP	say
that	IN/that	that
uh	UH	uh
the	DT	the
Qatari	JJ	Qatari
and	CC	and
Egyptian	JJ	Egyptian
mediators	NNS	mediator
have	VHP	have
met	VVN	meet
separately	RB	separately
with	IN	with
Hamas	NP	Hamas
and	CC	and
with	IN	with
us	PP	us
officials	NNS	official
but	CC	but
they	PP	they
can't	VVD	can't
seem	VV	seem
to	TO	to
get	VV	get
any	DT	any
agreement	NN	agreement
uh	UH	uh
there's	RB	there's
also	RB	also
a	DT	a
statement	NN	statement
from	IN	from
a	DT	a
senior	JJ	senior
Hamas	NN	Hamas
leader	NN	leader
Samy	NP	Samy
Abu	NP	Abu
zorri	JJ	zorri
uh	UH	uh
who	WP	who
says	VVZ	say
whilst	IN	whilst
they	PP	they
welcome	VV	welcome
uh	UH	uh
Biden's	NP	Biden's
ideas	NNS	idea
the	DT	the
US	NP	US
draft	NN	draft
resolution	NN	resolution
at	IN	at
the	DT	the
UN	NP	UN
Security	NP	Security
Council	NP	Council
was	VBD	be
dependent	JJ	dependent
on	IN	on
an	DT	an
Israeli	JJ	Israeli
ceasefire	NN	ceasefire
proposal	NN	proposal
that	IN/that	that
Hamas	NP	Hamas
had	VHD	have
already	RB	already
seen	VVN	see
and	CC	and
rejected	VVN	reject
the	DT	the
US	NP	US
document	NN	document
has	VHZ	have
no	DT	no
mention	NN	mention
of	IN	of
ending	VVG	end
the	DT	the
aggression	NN	aggression
he	PP	he
said	VVD	say
uh	UH	uh
the	DT	the
Israeli	JJ	Israeli
documents	NNS	document
speak	VVP	speak
of	IN	of
an	DT	an
open-ended	JJ	open-ended
negotiation	NN	negotiation
with	IN	with
no	DT	no
deadline	NN	deadline
during	IN	during
which	WDT	which
the	DT	the
occupation	NN	occupation
regains	VVZ	regain
its	PP$	its
hostages	NNS	hostage
and	CC	and
resumes	VVZ	resume
its	PP$	its
War	NP	War
we've	NN	we've
told	VVD	tell
the	DT	the
mediators	NNS	mediator
that	IN/that	that
this	DT	this
paper	NN	paper
wasn't	NN	wasn't
acceptable	JJ	acceptable
to	TO	to
us	PP	us
so	IN	so
significant	JJ	significant
significant	JJ	significant
gaps	NNS	gap
uh	UH	uh
in	IN	in
both	DT	both
sides	NNS	side
Hamas	NN	Hamas
rejecting	VVG	reject
this	DT	this
outright	JJ	outright
but	CC	but
now	RB	now
saying	VVG	say
they	PP	they
are	VBP	be
wanting	VVG	want
to	TO	to
look	VV	look
at	IN	at
it	PP	it
but	CC	but
they	PP	they
want	VVP	want
deadlines	NNS	deadline
they	PP	they
want	VVP	want
clearcut	JJ	clearcut
deadlines	NNS	deadline
and	CC	and
so	RB	so
far	RB	far
this	DT	this
proposal	NN	proposal
that's	NNS	that's
being	VBG	be
discussed	VVN	discuss
it's	NNS	it's
being	VBG	be
pushed	VVN	push
by	IN	by
the	DT	the
US	NP	US
doesn't	NP	doesn't
have	VH	have
thank	VV	thank
you	PP	you
very	RB	very
much	JJ	much
Imran	NP	Imran
Khan	NP	Khan
reporting	VVG	report
to	TO	to
us	PP	us
there	RB	there
from	IN	from
Jordan	NP	Jordan
uh	UH	uh
the	DT	the
capital	NN	capital
of	IN	of
Jordan	NP	Jordan
Aman	NP	Aman
and	CC	and
just	RB	just
to	TO	to
reminder	NN	reminder
that's	NNS	that's
because	IN	because
Benjamin	NP	Benjamin
netanyahu's	NNS	netanyahu's
cabinet	NN	cabinet
has	VHZ	have
banned	VVN	ban
Al	NP	Al
jazer	NN	jazer
from	IN	from
reporting	VVG	report
inside	IN	inside
Israel	NP	Israel
make	VVP	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
aler	NN	aler
</doc>	NN	</doc>
