let	NN	let
Biden	NP	Biden
and	CC	and
B	NP	B
netan	NP	netan
is	VBZ	be
not	RB	not
going	VVG	go
to	TO	to
change	VV	change
course	NN	course
simply	RB	simply
because	IN	because
he	PP	he
knows	VVZ	know
that	IN/that	that
you	PP	you
know	VVP	know
he	PP	he
in	IN	in
this	DT	this
case	NN	case
he	PP	he
would	MD	would
be	VB	be
responding	VVG	respond
positively	RB	positively
to	TO	to
the	DT	the
demand	NN	demand
of	IN	of
the	DT	the
public	NN	public
that	IN/that	that
okay	RB	okay
you	PP	you
know	VVP	know
I	PP	I
got	VVD	get
your	PP$	your
boys	NNS	boy
back	RB	back
so	RB	so
what	WP	what
else	RB	else
you	PP	you
want	VVP	want
me	PP	me
let	VV	let
me	PP	me
finish	VV	finish
the	DT	the
job	NN	job
Hassan	NP	Hassan
barari	VVG	barari
uh	UH	uh
thank	VV	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
your	PP$	your
thoughts	NNS	thought
thank	VVP	thank
you	PP	you
for	IN	for
joining	VVG	join
us	PP	us
today	RB	today
thank	VVP	thank
you	PP	you
make	VVP	make
sure	RB	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jazer	NP	jazer
