arak	NN	arak
is	VBZ	be
not	RB	not
functioning	VVG	function
anymore	RB	anymore
others	NNS	other
are	VBP	be
running	VVG	run
low	JJ	low
on	IN	on
fuel	NN	fuel
and	CC	and
medicines	NNS	medicine
we	PP	we
are	VBP	be
not	RB	not
only	RB	only
talking	VVG	talk
about	IN	about
injured	JJ	injured
people	NNS	people
who	WP	who
need	VVP	need
immediate	JJ	immediate
trauma	NN	trauma
care	NN	care
we	PP	we
speak	VVP	speak
about	IN	about
50	CD	@card@
,	,	,
000	CD	@card@
pregnant	JJ	pregnant
women	NNS	woman
9	CD	@card@
,	,	,
000	CD	@card@
uh	UH	uh
cancer	NN	cancer
patients	NNS	patient
1	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
uh	UH	uh
getting	VVG	get
dialysis	NN	dialysis
treatment	NN	treatment
uh	UH	uh
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
of	IN	of
people	NNS	people
with	IN	with
chronic	JJ	chronic
diseases	NNS	disease
all	PDT	all
the	DT	the
people	NNS	people
rely	VVP	rely
on	IN	on
a	DT	a
health	NN	health
system	NN	system
and	CC	and
this	DT	this
system	NN	system
right	NN	right
now	RB	now
is	VBZ	be
under	IN	under
huge	JJ	huge
stress	NN	stress
and	CC	and
and	CC	and
and	CC	and
will	MD	will
stop	VV	stop
providing	VVG	provide
Services	NPS	Services
if	IN	if
there	EX	there
is	VBZ	be
no	DT	no
solution	NN	solution
to	TO	to
assist	VV	assist
health	NN	health
workers	NNS	worker
Ina	NP	Ina
if	IN	if
I	PP	I
could	MD	could
jump	VV	jump
out	RP	out
jump	NN	jump
in	IN	in
that	DT	that
that	WDT	that
we	PP	we
'	POS	'
ve	NNS	ve
seen	VVN	see
some	RB	some
of	IN	of
the	DT	the
hospitals	NNS	hospital
which	WDT	which
do	VVP	do
remain	VV	remain
functioning	NN	functioning
in	IN	in
Gaza	NP	Gaza
like	IN	like
a	DT	a
shifer	NN	shifer
and	CC	and
the	DT	the
Indonesian	JJ	Indonesian
hospital	NN	hospital
announc	NN	announc
that	IN/that	that
the	DT	the
countdown	NN	countdown
has	VHZ	have
begun	VVN	begin
before	IN	before
they	PP	they
'	POS	'
ll	NNS	ll
have	VHP	have
to	TO	to
shut	VV	shut
down	RP	down
their	PP$	their
operations	NNS	operation
because	IN	because
of	IN	of
a	DT	a
lack	NN	lack
of	IN	of
fuel	NN	fuel
do	VVP	do
you	PP	you
have	VHP	have
any	DT	any
reason	NN	reason
to	TO	to
believe	VV	believe
that	DT	that
fuel	NN	fuel
will	MD	will
be	VB	be
coming	VVG	come
in	IN	in
soon	RB	soon
to	TO	to
Gaza	NP	Gaza
well	RB	well
what	WP	what
we	PP	we
can	MD	can
do	VV	do
as	IN	as
a	DT	a
humanitarian	NN	humanitarian
is	VBZ	be
really	RB	really
try	VV	try
to	TO	to
stress	VV	stress
that	IN/that	that
this	DT	this
is	VBZ	be
a	DT	a
moment	NN	moment
of	IN	of
life	NN	life
and	CC	and
that	IN/that	that
for	IN	for
thousands	NNS	thousand
of	IN	of
patients	NNS	patient
and	CC	and
people	NNS	people
in	IN	in
Gaza	NP	Gaza
unless	IN	unless
hospitals	NNS	hospital
continue	VVP	continue
working	VVG	work
it	PP	it
is	VBZ	be
indeed	RB	indeed
question	NN	question
of	IN	of
of	IN	of
time	NN	time
when	WRB	when
each	DT	each
hospital	NN	hospital
will	MD	will
have	VH	have
to	TO	to
they	PP	they
already	RB	already
started	VVD	start
to	TO	to
gradually	RB	gradually
shut	VV	shut
services	NNS	service
and	CC	and
we	PP	we
heard	VVD	hear
about	IN	about
a	DT	a
Turkish	JJ	Turkish
hospital	NN	hospital
that	WDT	that
is	VBZ	be
shutting	VVG	shut
services	NNS	service
and	CC	and
that	IN/that	that
'	POS	'
s	NN	S
the	DT	the
only	JJ	only
uh	UH	uh
hospital	NN	hospital
for	IN	for
cancer	NN	cancer
patients	NNS	patient
and	CC	and
cancer	NN	cancer
cancer	NN	cancer
patients	NNS	patient
are	VBP	be
already	RB	already
very	RB	very
fragile	JJ	fragile
and	CC	and
if	IN	if
they	PP	they
don	VVP	don
'	''	'
t	NN	t
get	VV	get
uh	UH	uh
the	DT	the
treatment	NN	treatment
they	PP	they
need	VVP	need
it	PP	it
is	VBZ	be
really	RB	really
a	DT	a
that	DT	that
sentence	NN	sentence
for	IN	for
them	PP	them
so	IN	so
we	PP	we
really	RB	really
appeal	VV	appeal
to	TO	to
everyone	NN	everyone
who	WP	who
have	VHP	have
the	DT	the
possibility	NN	possibility
to	TO	to
make	VV	make
the	DT	the
decision	NN	decision
to	TO	to
to	TO	to
have	VH	have
access	NN	access
safe	JJ	safe
access	NN	access
for	IN	for
medical	JJ	medical
supplies	NNS	supply
but	CC	but
also	RB	also
for	IN	for
fuel	VV	fuel
uh	UH	uh
to	TO	to
Gaza	NP	Gaza
what	WDT	what
we	PP	we
have	VHP	have
brought	VVN	bring
so	RB	so
far	RB	far
is	VBZ	be
nowhere	RB	nowhere
enough	JJ	enough
uh	UH	uh
for	IN	for
for	IN	for
what	WP	what
is	VBZ	be
actually	RB	actually
right	RB	right
needed	VVN	need
right	RB	right
now	RB	now
toic	JJ	toic
we	PP	we
did	VVD	do
see	VV	see
a	DT	a
limited	JJ	limited
number	NN	number
of	IN	of
some	DT	some
wounded	JJ	wounded
Palestinians	NPS	Palestinians
and	CC	and
some	DT	some
foreign	JJ	foreign
Nationals	NNS	national
and	CC	and
dual	JJ	dual
Nationals	NNS	national
leave	VVP	leave
Gaza	NP	Gaza
today	NN	today
is	VBZ	be
it	PP	it
your	PP$	your
understanding	NN	understanding
that	IN/that	that
this	DT	this
is	VBZ	be
the	DT	the
beginning	NN	beginning
of	IN	of
a	DT	a
process	NN	process
that	IN/that	that
there	EX	there
will	MD	will
be	VB	be
further	JJR	further
movement	NN	movement
of	IN	of
of	IN	of
people	NNS	people
in	IN	in
the	DT	the
coming	VVG	come
days	NNS	day
well	RB	well
indeed	RB	indeed
it	PP	it
is	VBZ	be
a	DT	a
it	PP	it
is	VBZ	be
a	DT	a
a	DT	a
good	JJ	good
uh	UH	uh
think	VV	think
that	IN/that	that
some	DT	some
patients	NNS	patient
manag	NN	manag
to	TO	to
get	VV	get
to	TO	to
Egypt	NP	Egypt
we	PP	we
have	VHP	have
been	VBN	be
working	VVG	work
with	IN	with
the	DT	the
Egyptian	NP	Egyptian
Ministry	NP	Ministry
of	IN	of
Health	NP	Health
in	IN	in
preparing	VVG	prepare
them	PP	them
for	IN	for
uh	UH	uh
for	IN	for
receiving	VVG	receive
triing	NN	triing
and	CC	and
and	CC	and
uh	UH	uh
uh	UH	uh
providing	VVG	provide
Medical	JJ	medical
Care	NN	Care
to	TO	to
uh	UH	uh
to	TO	to
those	DT	those
who	WP	who
uh	UH	uh
who	WP	who
are	VBP	be
coming	VVG	come
today	NN	today
out	NN	out
of	IN	of
uh	UH	uh
out	RP	out
of	IN	of
out	RB	out
of	IN	of
Gaza	NP	Gaza
we	PP	we
had	VHD	have
a	DT	a
team	NN	team
in	IN	in
a	DT	a
hospital	NN	hospital
making	VVG	make
sure	JJ	sure
that	IN/that	that
ambulances	NNS	ambulance
have	VHP	have
all	DT	all
life	NN	life
support	NN	support
equipment	NN	equipment
that	IN/that	that
doctors	NNS	doctor
and	CC	and
paramedics	NNS	paramedic
are	VBP	be
being	VBG	be
trained	VVN	train
in	IN	in
resusitation	NN	resusitation
and	CC	and
basic	JJ	basic
basic	JJ	basic
health	NN	health
services	NNS	service
for	IN	for
those	DT	those
with	IN	with
a	DT	a
with	IN	with
a	DT	a
severe	JJ	severe
trauma	NN	trauma
injuries	NNS	injury
but	CC	but
this	DT	this
is	VBZ	be
again	RB	again
we	PP	we
are	VBP	be
talking	VVG	talk
just	RB	just
about	IN	about
handful	NN	handful
of	IN	of
of	IN	of
patients	NNS	patient
the	DT	the
the	DT	the
needs	NNS	need
in	IN	in
Gaza	NP	Gaza
are	VBP	be
huge	JJ	huge
there	EX	there
are	VBP	be
thousands	NNS	thousand
of	IN	of
injured	JJ	injured
people	NNS	people
in	IN	in
in	IN	in
Gaza	NP	Gaza
right	RB	right
now	RB	now
they	PP	they
cannot	MD	can
all	RB	all
be	VB	be
evacuated	VVN	evacuate
and	CC	and
some	DT	some
of	IN	of
them	PP	them
cannot	MD	can
leave	VV	leave
the	DT	the
hospitals	NNS	hospital
even	RB	even
those	DT	those
in	IN	in
alifa	NN	alifa
hospital	NN	hospital
in	IN	in
the	DT	the
north	NN	north
they	PP	they
cannot	MD	can
be	VB	be
evacuated	VVN	evacuate
we	PP	we
need	VVP	need
to	TO	to
help	VV	help
hospitals	NNS	hospital
to	TO	to
do	VV	do
their	PP$	their
job	NN	job
inside	IN	inside
Gaza	NP	Gaza
I	NP	I
I	NP	I
'	POS	'
m	NN	m
curious	JJ	curious
T	NN	T
have	VHP	have
you	PP	you
put	VVD	put
that	IN/that	that
to	TO	to
the	DT	the
Israeli	JJ	Israeli
authorities	NNS	authority
and	CC	and
if	IN	if
so	RB	so
what	WP	what
response	NN	response
does	VVZ	do
the	DT	the
World	NP	World
Health	NP	Health
Organization	NP	Organization
get	VVP	get
well	RB	well
there	EX	there
is	VBZ	be
a	DT	a
in	IN	in
the	DT	the
UN	NP	UN
system	NN	system
uh	UH	uh
there	EX	there
is	VBZ	be
a	DT	a
mechanism	NN	mechanism
to	TO	to
to	TO	to
to	TO	to
try	VV	try
to	TO	to
ensure	VV	ensure
that	IN/that	that
because	IN	because
it	PP	it
'	POS	'
s	NN	S
not	RB	not
only	RB	only
about	IN	about
who	WP	who
it	PP	it
is	VBZ	be
about	RB	about
other	JJ	other
un	NN	un
agencies	NNS	agency
as	IN	as
well	RB	well
so	RB	so
so	RB	so
so	RB	so
there	EX	there
are	VBP	be
discussions	NNS	discussion
on	IN	on
how	WRB	how
to	TO	to
get	VV	get
things	NNS	thing
in	IN	in
and	CC	and
not	RB	not
only	RB	only
just	RB	just
AC	NP	AC
cross	NN	cross
the	DT	the
crossing	VVG	cross
uh	UH	uh
point	NN	point
in	IN	in
Rafa	NP	Rafa
but	CC	but
within	IN	within
Gaza	NP	Gaza
we	PP	we
need	VVP	need
those	DT	those
supplies	NNS	supply
to	TO	to
be	VB	be
safely	RB	safely
distributed	VVN	distribute
how	WRB	how
can	MD	can
we	PP	we
get	VV	get
our	PP$	our
things	NNS	thing
in	IN	in
a	DT	a
safe	JJ	safe
way	NN	way
to	TO	to
hospitals	NNS	hospital
in	IN	in
a	DT	a
Nor	CC	nor
today	NN	today
so	IN	so
we	PP	we
need	VVP	need
those	DT	those
those	DT	those
guarantees	VVZ	guarantee
uh	UH	uh
and	CC	and
not	RB	not
only	RB	only
for	IN	for
medical	JJ	medical
supplies	NNS	supply
it	PP	it
goes	VVZ	go
for	IN	for
for	IN	for
other	JJ	other
things	NNS	thing
it	PP	it
goes	VVZ	go
for	IN	for
for	IN	for
for	IN	for
for	IN	for
food	NN	food
uh	UH	uh
for	IN	for
uh	UH	uh
uh	UH	uh
for	IN	for
fuel	NN	fuel
for	IN	for
clean	JJ	clean
water	NN	water
so	IN	so
this	DT	this
has	VHZ	have
to	TO	to
be	VB	be
decided	VVN	decide
on	IN	on
on	IN	on
a	DT	a
political	JJ	political
level	NN	level
we	PP	we
as	IN	as
who	WP	who
we	PP	we
are	VBP	be
really	RB	really
ready	JJ	ready
we	PP	we
have	VHP	have
our	PP$	our
uh	UH	uh
Medical	NP	Medical
Teams	NNS	team
ready	JJ	ready
to	TO	to
go	VV	go
in	IN	in
we	PP	we
have	VHP	have
our	PP$	our
staff	NN	staff
inside	IN	inside
Gaza	NP	Gaza
who	WP	who
who	WP	who
are	VBP	be
doing	VVG	do
their	PP$	their
best	JJS	good
uh	UH	uh
while	NN	while
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
risking	VVG	risk
their	PP$	their
lives	VVZ	live
uh	UH	uh
to	RB	to
to	TO	to
provide	VV	provide
support	NN	support
to	TO	to
to	TO	to
their	PP$	their
colleagues	NNS	colleague
in	IN	in
the	DT	the
Ministry	NP	Ministry
of	IN	of
Health	NP	Health
and	CC	and
and	NP	and
workers	NNS	worker
in	IN	in
a	DT	a
hospitals	NNS	hospital
but	CC	but
we	PP	we
need	VVP	need
we	PP	we
really	RB	really
there	EX	there
has	VHZ	have
to	TO	to
be	VB	be
some	DT	some
sort	NN	sort
of	IN	of
political	JJ	political
level	NN	level
but	CC	but
if	IN	if
you	PP	you
really	RB	really
push	VV	push
the	DT	the
argument	NN	argument
what	WP	what
we	PP	we
need	VVP	need
is	VBZ	be
a	DT	a
end	NN	end
of	IN	of
hostilities	NNS	hostility
because	IN	because
even	RB	even
if	IN	if
we	PP	we
bring	VVP	bring
supplies	NNS	supply
in	IN	in
as	RB	as
long	RB	long
as	IN	as
there	EX	there
is	VBZ	be
a	DT	a
such	JJ	such
a	DT	a
Relentless	JJ	relentless
bombardment	NN	bombardment
of	IN	of
gas	NN	gas
there	EX	there
will	MD	will
be	VB	be
necessarily	RB	necessarily
more	JJR	more
casualties	NNS	casualty
there	EX	there
will	MD	will
be	VB	be
more	RBR	more
dead	JJ	dead
people	NNS	people
there	EX	there
will	MD	will
be	VB	be
more	JJR	more
injuries	NNS	injury
so	IN	so
this	DT	this
really	RB	really
has	VHZ	have
to	TO	to
stop	VV	stop
all	DT	all
right	NN	right
thank	VVP	thank
you	PP	you
very	RB	very
much	JJ	much
t	NN	t
