<video_id>5RoHPL4yNVg</video_id>	JJ	<video_id>5RoHPL4yNVg</video_id>
military	JJ	military
campaign	NN	campaign
they're	NN	they're
calling	VVG	call
on	IN	on
the	DT	the
Iraqi	JJ	Iraqi
government	NN	government
to	TO	to
send	VV	send
more	JJR	more
aids	NNS	aid
for	IN	for
Gaza	NP	Gaza
and	CC	and
they're	JJ	they're
calling	VVG	call
on	IN	on
the	DT	the
International	NP	International
Community	NP	Community
to	TO	to
intervene	VV	intervene
to	TO	to
put	VV	put
an	DT	an
end	NN	end
to	TO	to
what	WP	what
they	PP	they
consider	VVP	consider
a	DT	a
genocide	NN	genocide
against	IN	against
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
many	JJ	many
people	NNS	people
here	RB	here
condemn	VV	condemn
the	DT	the
International	NP	International
Community	NP	Community
for	IN	for
what	WP	what
they	PP	they
consider	VVP	consider
double	RB	double
standard	JJ	standard
policy	NN	policy
in	IN	in
regard	NN	regard
to	TO	to
dealing	VVG	deal
with	IN	with
the	DT	the
Palestinian	JJ	Palestinian
case	NN	case
mahm	NN	mahm
ABD	NP	ABD
Al	NP	Al
jaaz	NP	jaaz
that	IN/that	that
</doc>	JJ	</doc>
