<video_id>bgrHYzPCYKQ</video_id>	JJ	<video_id>bgrHYzPCYKQ</video_id>
the	DT	the
US	NP	US
is	VBZ	be
sadly	RB	sadly
has	VHZ	have
chosen	VVN	choose
to	TO	to
be	VB	be
partner	NN	partner
to	TO	to
Israel	NP	Israel
in	IN	in
this	DT	this
war	NN	war
absolutely	RB	absolutely
the	DT	the
criticism	NN	criticism
is	VBZ	be
that	IN/that	that
it's	NNS	it's
acting	VVG	act
like	IN	like
Israel's	NP	Israel's
lawyer	NN	lawyer
instead	RB	instead
of	IN	of
an	DT	an
honest	JJ	honest
broker	NN	broker
in	IN	in
in	IN	in
these	DT	these
negotiations	NNS	negotiation
which	WDT	which
are	VBP	be
set	VVN	set
to	TO	to
continue	VV	continue
and	CC	and
we're	NN	we're
hearing	NN	hearing
that	IN/that	that
even	RB	even
the	DT	the
CIA	NP	CIA
director	NN	director
is	VBZ	be
going	VVG	go
to	TO	to
come	VV	come
back	RB	back
to	TO	to
the	DT	the
region	NN	region
if	IN	if
you're	NN	you're
saying	VVG	say
that	IN/that	that
the	DT	the
us	PP	us
doesn't	VVD	doesn't
care	NN	care
about	IN	about
how	WRB	how
it	PP	it
looks	VVZ	look
on	IN	on
the	DT	the
world	NN	world
stage	NN	stage
at	IN	at
the	DT	the
moment	NN	moment
so	RB	so
why	WRB	why
keep	VV	keep
up	RP	up
these	DT	these
negotiations	NNS	negotiation
which	WDT	which
aren't	VVD	aren't
going	VVG	go
anywhere	RB	anywhere
so	IN	so
I	PP	I
I	PP	I
think	VVP	think
that's	NNS	that's
a	DT	a
very	RB	very
good	JJ	good
question	NN	question
I	PP	I
mean	VVP	mean
yes	RB	yes
why	WRB	why
I	PP	I
mean	VVP	mean
um	JJ	um
let's	NNS	let's
look	VVP	look
at	IN	at
this	DT	this
last	JJ	last
visit	NN	visit
of	IN	of
blinking	VVG	blink
to	TO	to
the	DT	the
region	NN	region
I	PP	I
mean	VVP	mean
just	RB	just
a	DT	a
week	NN	week
before	IN	before
it	PP	it
the	DT	the
US	NP	US
has	VHZ	have
agreed	VVN	agree
or	CC	or
supplied	VVN	supply
Israel	NP	Israel
with	IN	with
a	DT	a
major	JJ	major
also	RB	also
uh	UH	uh
uh	UH	uh
major	JJ	major
weapons	NNS	weapon
to	TO	to
enable	VV	enable
it	PP	it
continue	VV	continue
its	PP$	its
War	NN	war
so	RB	so
in	IN	in
one	CD	one
hand	NN	hand
they	PP	they
continue	VVP	continue
delivering	VVG	deliver
weapons	NNS	weapon
to	TO	to
Israel	NP	Israel
and	CC	and
then	RB	then
they	PP	they
pretend	VVP	pretend
that	IN/that	that
there	EX	there
are	VBP	be
some	DT	some
diplomatic	JJ	diplomatic
efforts	NNS	effort
to	TO	to
get	VV	get
to	TO	to
to	TO	to
a	DT	a
solution	NN	solution
I	PP	I
think	VVP	think
the	DT	the
US	NP	US
Administration	NP	Administration
now	RB	now
the	DT	the
Biden	NP	Biden
administration	NN	administration
at	IN	at
this	DT	this
stage	NN	stage
I	PP	I
think	VVP	think
more	RBR	more
or	CC	or
less	RBR	less
it	PP	it
has	VHZ	have
what	WP	what
is	VBZ	be
doing	VVG	do
is	VBZ	be
just	RB	just
the	DT	the
act	NN	act
of	IN	of
pretending	VVG	pretend
that	IN/that	that
they	PP	they
are	VBP	be
engaged	VVN	engage
in	IN	in
some	DT	some
sort	NN	sort
of	IN	of
diplomacy	NN	diplomacy
to	TO	to
have	VH	have
a	DT	a
ready	JJ	ready
answer	NN	answer
for	IN	for
all	PDT	all
these	DT	these
angry	JJ	angry
and	CC	and
committed	JJ	committed
voters	NNS	voter
in	IN	in
the	DT	the
US	NP	US
who	WP	who
keep	VVP	keep
asking	VVG	ask
why	WRB	why
can't	JJ	can't
we	PP	we
stop	VVP	stop
the	DT	the
war	NN	war
and	CC	and
the	DT	the
answer	NN	answer
is	VBZ	be
we're	RB	we're
trying	VVG	try
but	CC	but
in	IN	in
fact	NN	fact
the	DT	the
reality	NN	reality
they're	NN	they're
not	RB	not
they're	JJ	they're
just	RB	just
siding	NN	siding
by	IN	by
Israel	NP	Israel
I	PP	I
think	VVP	think
the	DT	the
behavior	NN	behavior
of	IN	of
the	DT	the
US	NP	US
Administration	NN	administration
is	VBZ	be
uh	UH	uh
from	IN	from
my	PP$	my
own	JJ	own
view	NN	view
is	VBZ	be
so	RB	so
far	RB	far
is	VBZ	be
that	IN/that	that
they're	NN	they're
committed	VVN	commit
to	TO	to
help	VV	help
nanyo	NN	nanyo
to	TO	to
achieve	VV	achieve
the	DT	the
victory	NN	victory
he's	NNS	he's
looking	VVG	look
for	IN	for
and	CC	and
so	RB	so
far	RB	far
he	PP	he
has	VHZ	have
not	RB	not
but	CC	but
that	IN/that	that
Victory	NP	Victory
is	VBZ	be
not	RB	not
possible	JJ	possible
is	VBZ	be
it	PP	it
and	CC	and
I	PP	I
mean	VVP	mean
officials	NNS	official
from	IN	from
across	IN	across
the	DT	the
board	NN	board
including	VVG	include
American	JJ	American
officials	NNS	official
have	VHP	have
said	VVN	say
it's	NNS	it's
not	RB	not
possible	JJ	possible
to	TO	to
defeat	VV	defeat
Hamas	NNS	Hamas
they	PP	they
have	VHP	have
been	VBN	be
saying	VVG	say
this	DT	this
from	IN	from
the	DT	the
on	IN	on
onset	NN	onset
of	IN	of
this	DT	this
word	NN	word
but	CC	but
now	RB	now
we	PP	we
we	PP	we
have	VHP	have
reached	VVN	reach
to	TO	to
we're	NN	we're
getting	VVG	get
into	IN	into
the	DT	the
11th	JJ	11th
month	NN	month
uh	UH	uh
I	PP	I
mean	VVP	mean
I	PP	I
mean	VVP	mean
soon	RB	soon
of	IN	of
this	DT	this
War	NP	War
and	CC	and
what	WP	what
the	DT	the
Americans	NPS	Americans
have	VHP	have
been	VBN	be
saying	VVG	say
actually	RB	actually
their	PP$	their
actions	NNS	action
are	VBP	be
totally	RB	totally
in	IN	in
the	DT	the
opposite	JJ	opposite
direction	NN	direction
they're	NN	they're
doing	VVG	do
the	DT	the
opposite	JJ	opposite
Gaza	NP	Gaza
as	IN	as
it	PP	it
stand	VVP	stand
today	NN	today
it's	NNS	it's
a	DT	a
tragedy	NN	tragedy
it's	NNS	it's
a	DT	a
it's	NN	it's
a	DT	a
living	VVG	live
tragedy	NN	tragedy
this	DT	this
unicid	NN	unicid
the	DT	the
war	NN	war
has	VHZ	have
totally	RB	totally
changed	VVN	change
the	DT	the
face	NN	face
of	IN	of
Gaza	NP	Gaza
forever	RB	forever
uh	UH	uh
Hamas	NN	Hamas
also	RB	also
is	VBZ	be
not	RB	not
in	IN	in
a	DT	a
good	JJ	good
position	NN	position
because	IN	because
Hamas	NP	Hamas
is	VBZ	be
under	IN	under
huge	JJ	huge
pressure	NN	pressure
because	IN	because
it	PP	it
is	VBZ	be
a	DT	a
resistance	NN	resistance
movement	NN	movement
and	CC	and
and	CC	and
a	DT	a
governing	VVG	govern
party	NN	party
as	RB	as
well	RB	well
so	IN	so
none	NN	none
of	IN	of
the	DT	the
declared	VVN	declare
goals	NNS	goal
that	IN/that	that
Hamas	NP	Hamas
has	VHZ	have
also	RB	also
declared	VVN	declare
on	IN	on
the	DT	the
onet	NN	onet
of	IN	of
this	DT	this
War	NP	War
has	VHZ	have
been	VBN	be
achieved	VVN	achieve
and	CC	and
now	RB	now
they're	NN	they're
faced	VVN	face
with	IN	with
this	DT	this
the	DT	the
Hungary	NP	Hungary
the	DT	the
massacring	VVG	massacre
these	DT	these
these	DT	these
all	DT	all
civilians	NNS	civilian
that	WDT	that
are	VBP	be
suffering	VVG	suffer
so	IN	so
they	PP	they
see	VVP	see
Hamas	NP	Hamas
and	CC	and
Israel	NP	Israel
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
they	PP	they
see	VVP	see
Hamas	NNS	Hamas
as	IN	as
their	PP$	their
government	NN	government
government	NN	government
that	WDT	that
is	VBZ	be
unable	JJ	unable
to	TO	to
stop	VV	stop
this	DT	this
war	NN	war
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
Israel	NP	Israel
is	VBZ	be
left	VVN	leave
alone	RB	alone
to	TO	to
do	VV	do
whatever	WDT	whatever
it	PP	it
wants	VVZ	want
in	IN	in
Gaza	NP	Gaza
so	RB	so
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
this	DT	this
I	PP	I
think	VVP	think
the	DT	the
Israelis	NPS	Israelis
and	CC	and
Americans	NPS	Americans
are	VBP	be
betting	VVG	bet
that	DT	that
they're	NN	they're
almost	RB	almost
there	RB	there
they	PP	they
want	VVP	want
to	TO	to
see	VV	see
an	DT	an
end	NN	end
of	IN	of
Hamas	JJ	Hamas
they're	NN	they're
they	PP	they
have	VHP	have
assassinated	VVN	assassinate
their	PP$	their
top	JJ	top
leaders	NNS	leader
now	RB	now
it's	JJ	it's
about	IN	about
hearing	NN	hearing
Hamas	NNS	Hamas
accepting	VVG	accept
to	TO	to
say	VV	say
yes	UH	yes
we're	NN	we're
defeated	VVD	defeat
but	RB	but
ham	VV	ham
not	RB	not
going	VVG	go
to	TO	to
do	VV	do
this	DT	this
because	IN	because
it's	JJ	it's
it's	NNS	it's
it's	NNS	it's
a	DT	a
it's	NNS	it's
suicidal	JJ	suicidal
for	IN	for
Hamas	NP	Hamas
but	CC	but
the	DT	the
thing	NN	thing
is	VBZ	be
who's	NNS	who's
going	VVG	go
to	TO	to
stop	VV	stop
this	DT	this
war	NN	war
again	RB	again
the	DT	the
Americans	NPS	Americans
they	PP	they
have	VHP	have
the	DT	the
leverage	NN	leverage
they	PP	they
have	VHP	have
not	RB	not
been	VBN	be
using	VVG	use
it	PP	it
and	CC	and
they're	NNS	they're
still	RB	still
coordinating	VVG	coordinate
and	CC	and
helping	VVG	help
the	DT	the
Israelis	NPS	Israelis
to	TO	to
to	IN	to
to	TO	to
to	TO	to
find	VV	find
this	DT	this
Victory	NP	Victory
to	TO	to
appease	VV	appease
n	NN	n
Mr	NN	Mr
kmu	NN	kmu
we've	NN	we've
run	VVN	run
out	RP	out
of	IN	of
time	NN	time
but	CC	but
thank	VV	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
your	PP$	your
analysis	NN	analysis
we	PP	we
really	RB	really
appreciate	VVP	appreciate
it	PP	it
thank	VVP	thank
you	PP	you
</doc>	JJ	</doc>
