Your	PP$	your
remind	VV	remind
you	PP	you
of	IN	of
?	SENT	?
Remind	VV	remind
me	PP	me
of	IN	of
his	PP$	his
suffering	NN	suffering
.	SENT	.
In	IN	in
the	DT	the
suffering	NN	suffering
I	PP	I
lived	VVD	live
through	RP	through
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
not	RB	not
.	SENT	.
In	IN	in
any	DT	any
case	NN	case
,	,	,
in	IN	in
any	DT	any
case	NN	case
,	,	,
the	DT	the
necessities	NNS	necessity
of	IN	of
life	NN	life
are	VBP	be
available	JJ	available
to	TO	to
us	PP	us
.	SENT	.
Rafah	NP	Rafah
now	RB	now
has	VHZ	have
nothing	NN	nothing
.	SENT	.
He	PP	he
does	VVZ	do
not	RB	not
eat	VV	eat
or	CC	or
drink	VV	drink
,	,	,
nor	CC	nor
does	VVZ	do
he	PP	he
eat	VV	eat
meat	NN	meat
or	CC	or
chicken	NN	chicken
.	SENT	.
In	IN	in
the	DT	the
past	NN	past
,	,	,
a	DT	a
man	NN	man
was	VBD	be
advised	VVN	advise
,	,	,
meaning	VVG	mean
he	PP	he
is	VBZ	be
in	IN	in
good	JJ	good
health	NN	health
now	RB	now
.	SENT	.
Praise	NN	praise
be	VB	be
to	TO	to
God	NP	God
.	SENT	.
I	PP	I
say	VVP	say
to	TO	to
you	PP	you
,	,	,
Lord	NP	Lord
of	IN	of
the	DT	the
Worlds	NP	Worlds
,	,	,
that	IN/that	that
the	DT	the
Jews	NPS	Jews
saved	VVD	save
us	PP	us
from	IN	from
the	DT	the
spraying	VVG	spray
,	,	,
the	DT	the
bombing	NN	bombing
,	,	,
and	CC	and
the	DT	the
openings	NNS	opening
.	SENT	.
Praise	NN	praise
be	VB	be
to	TO	to
God	NP	God
,	,	,
even	RB	even
in	IN	in
work	NN	work
,	,	,
meaning	VVG	mean
work	NN	work
.	SENT	.
There	EX	there
is	VBZ	be
no	DT	no
meaning	NN	meaning
,	,	,
what	WP	what
do	VVP	do
two	CD	two
people	NNS	people
have	VHP	have
to	TO	to
do	VV	do
with	IN	with
anything	NN	anything
other	JJ	other
than	IN	than
God	NP	God
,	,	,
but	CC	but
you	PP	you
are	VBP	be
in	IN	in
the	DT	the
tent	NN	tent
at	IN	at
night	NN	night
.	SENT	.
How	WRB	how
is	VBZ	be
the	DT	the
pain	NN	pain
falling	VVG	fall
?	SENT	?
Falling	VVG	fall
in	IN	in
the	DT	the
night	NN	night
.	SENT	.
It	PP	it
means	VVZ	mean
goodness	NN	goodness
.	SENT	.
There	EX	there
is	VBZ	be
no	RB	no
falling	VVG	fall
asleep	RB	asleep
.	SENT	.
Three	CD	three
prohibited	VVN	prohibit
things	NNS	thing
are	VBP	be
put	VVN	put
on	IN	on
it	PP	it
.	SENT	.
And	CC	and
ice	NN	ice
is	VBZ	be
its	PP$	its
birth	NN	birth
.	SENT	.
It	PP	it
means	VVZ	mean
falling	VVG	fall
in	IN	in
the	DT	the
sense	NN	sense
of	IN	of
falling	VVG	fall
.	SENT	.
Even	RB	even
the	DT	the
unlawful	JJ	unlawful
things	NNS	thing
from	IN	from
here	RB	here
and	CC	and
there	RB	there
.	SENT	.
I	PP	I
bring	VVP	bring
a	DT	a
blanket	NN	blanket
and	CC	and
bring	VV	bring
a	DT	a
cover	NN	cover
.	SENT	.
I	PP	I
mean	VVP	mean
,	,	,
I	PP	I
use	VVP	use
it	PP	it
to	TO	to
cover	VV	cover
it	PP	it
.	SENT	.
What	WP	what
do	VVP	do
you	PP	you
say	VVP	say
to	TO	to
them	PP	them
?	SENT	?
You	PP	you
say	VVP	say
they	PP	they
are	VBP	be
right	JJ	right
.	SENT	.
They	PP	they
brought	VVD	bring
us	PP	us
food	NN	food
.	SENT	.
They	PP	they
brought	VVD	bring
us	PP	us
something	NN	something
and	CC	and
a	DT	a
reconciliation	NN	reconciliation
.	SENT	.
And	CC	and
God	NP	God
willing	JJ	willing
,	,	,
Lord	NP	Lord
,	,	,
we	PP	we
pray	VVP	pray
to	TO	to
God	NP	God
.	SENT	.
This	DT	this
will	MD	will
be	VB	be
reconciled	VVN	reconcile
and	CC	and
a	DT	a
reconciliation	NN	reconciliation
will	MD	will
be	VB	be
made	VVN	make
.	SENT	.
I	PP	I
mean	VVP	mean
,	,	,
there	EX	there
will	MD	will
be	VB	be
coordination	NN	coordination
.	SENT	.
Or	CC	or
we	PP	we
will	MD	will
see	VV	see
our	PP$	our
turn	NN	turn
.	SENT	.
The	DT	the
person	NN	person
returns	NNS	return
to	TO	to
his	PP$	his
work	NN	work
and	CC	and
returns	NNS	return
to	TO	to
his	PP$	his
normal	JJ	normal
work	NN	work
and	CC	and
returns	NNS	return
home	RB	home
very	RB	very
happy	JJ	happy
,	,	,
but	CC	but
then	RB	then
nothing	NN	nothing
happens	VVZ	happen
and	CC	and
everyone	NN	everyone
is	VBZ	be
even	RB	even
sad	JJ	sad
.	SENT	.
No	DT	no
food	NN	food
,	,	,
no	DT	no
clothes	NNS	clothes
,	,	,
no	RB	no
bathing	VVG	bath
