<video_id>6fMd5JpL_Hs</video_id>	JJ	<video_id>6fMd5JpL_Hs</video_id>
release	VV	release
all	DT	all
captives	NNS	captive
ER	UH	er
in	IN	in
Israeli	JJ	Israeli
prisoners	NNS	prisoner
and	CC	and
the	DT	the
captives	NNS	captive
who	WP	who
are	VBP	be
with	IN	with
the	DT	the
resistance	NN	resistance
movement	NN	movement
in	IN	in
Gaza	NP	Gaza
Strip	NP	Strip
so	IN	so
we	PP	we
are	VBP	be
looking	VVG	look
uh	UH	uh
to	TO	to
release	VV	release
all	DT	all
captives	NNS	captive
from	IN	from
both	DT	both
sides	NNS	side
but	CC	but
of	IN	of
course	NN	course
it	PP	it
needs	VVZ	need
a	DT	a
negotiation	NN	negotiation
uh	UH	uh
to	TO	to
reach	VV	reach
uh	UH	uh
to	TO	to
this	DT	this
point	NN	point
so	RB	so
so	RB	so
this	DT	this
is	VBZ	be
a	DT	a
further	JJR	further
demand	NN	demand
then	RB	then
because	IN	because
you	PP	you
told	VVD	tell
me	PP	me
three	CD	three
points	NNS	point
three	CD	three
demands	NNS	demand
this	DT	this
is	VBZ	be
a	DT	a
further	RBR	further
one	PP	one
but	CC	but
my	PP$	my
question	NN	question
is	VBZ	be
is	VBZ	be
more	JJR	more
around	RB	around
would	MD	would
Hamas	RB	Hamas
be	VB	be
willing	JJ	willing
to	TO	to
accept	VV	accept
something	NN	something
in	IN	in
phases	NNS	phase
if	IN	if
everything	NN	everything
that	IN/that	that
Hamas	NP	Hamas
is	VBZ	be
asking	VVG	ask
for	IN	for
is	VBZ	be
not	RB	not
proposed	VVN	propose
and	CC	and
is	VBZ	be
is	VBZ	be
not	RB	not
available	JJ	available
and	CC	and
is	VBZ	be
not	RB	not
on	IN	on
the	DT	the
table	NN	table
at	IN	at
this	DT	this
stage	NN	stage
would	MD	would
Hamas	RB	Hamas
be	VB	be
willing	JJ	willing
to	TO	to
accept	VV	accept
something	NN	something
in	IN	in
stages	NNS	stage
so	IN	so
that	DT	that
perhaps	RB	perhaps
um	JJ	um
those	DT	those
goals	NNS	goal
can	MD	can
be	VB	be
achieved	VVN	achieve
at	IN	at
a	DT	a
later	JJR	late
stage	NN	stage
we	PP	we
are	VBP	be
we	PP	we
are	VBP	be
ready	JJ	ready
uh	UH	uh
to	TO	to
stop	VV	stop
the	DT	the
fighting	NN	fighting
we	PP	we
are	VBP	be
ready	JJ	ready
ER	UH	er
to	TO	to
release	VV	release
uh	UH	uh
the	DT	the
prisoners	NNS	prisoner
I	PP	I
mean	VVP	mean
the	DT	the
Israeli	JJ	Israeli
prisoners	NNS	prisoner
who	WP	who
who	WP	who
who	WP	who
are	VBP	be
with	IN	with
resistance	NN	resistance
movement	NN	movement
but	CC	but
we	PP	we
need	VVP	need
of	IN	of
course	NN	course
negotiations	NNS	negotiation
to	TO	to
implement	VV	implement
this	DT	this
point	NN	point
the	DT	the
negotiation	NN	negotiation
to	TO	to
implement	VV	implement
this	DT	this
point	NN	point
this	DT	this
is	VBZ	be
very	RB	very
important	JJ	important
point	NN	point
for	IN	for
both	DT	both
sides	NNS	side
so	IN	so
this	DT	this
is	VBZ	be
what	WP	what
we	PP	we
are	VBP	be
looking	VVG	look
for	IN	for
it	PP	it
and	CC	and
this	DT	this
is	VBZ	be
what	WP	what
Israelis	NNS	Israeli
want	VVP	want
from	IN	from
us	PP	us
they	PP	they
want	VVP	want
their	PP$	their
ER	UH	er
capitals	NNS	capital
and	CC	and
we	PP	we
are	VBP	be
ready	JJ	ready
to	TO	to
release	VV	release
all	DT	all
of	IN	of
them	PP	them
I	PP	I
just	RB	just
want	VVP	want
to	TO	to
make	VV	make
sure	JJ	sure
that	IN/that	that
I	PP	I
understand	VVP	understand
that	IN/that	that
clearly	RB	clearly
are	VBP	be
you	PP	you
are	VBP	be
you	PP	you
are	VBP	be
you	PP	you
or	CC	or
are	VBP	be
you	PP	you
not	RB	not
saying	VVG	say
that	IN/that	that
Hamas	NP	Hamas
could	MD	could
agree	VV	agree
under	IN	under
certain	JJ	certain
conditions	NNS	condition
for	IN	for
a	DT	a
pause	NN	pause
in	IN	in
the	DT	the
fighting	NN	fighting
rather	RB	rather
than	IN	than
a	DT	a
permanent	JJ	permanent
end	NN	end
to	TO	to
the	DT	the
fighting	NN	fighting
given	VVN	give
the	DT	the
right	JJ	right
uh	UH	uh
circumstances	NNS	circumstance
and	CC	and
the	DT	the
right	JJ	right
offer	NN	offer
on	IN	on
the	DT	the
table	NN	table
you	PP	you
know	VVP	know
we	PP	we
are	VBP	be
looking	VVG	look
for	IN	for
a	DT	a
permanent	JJ	permanent
uh	UH	uh
ceasefire	NN	ceasefire
but	CC	but
we	PP	we
can	MD	can
do	VV	do
it	PP	it
in	IN	in
the	DT	the
second	JJ	second
stage	NN	stage
in	IN	in
the	DT	the
third	JJ	third
stage	NN	stage
the	DT	the
very	RB	very
important	JJ	important
point	NN	point
for	IN	for
us	PP	us
to	TO	to
reach	VV	reach
to	TO	to
this	DT	this
permanent	JJ	permanent
uh	UH	uh
ceasefire	NN	ceasefire
otherwise	RB	otherwise
it	PP	it
means	VVZ	mean
the	DT	the
battle	NN	battle
and	CC	and
the	DT	the
war	NN	war
between	IN	between
us	PP	us
and	CC	and
the	DT	the
Israeli	JJ	Israeli
troops	NNS	troop
will	MD	will
continue	VV	continue
we	PP	we
want	VV	want
ceas	NNS	ceas
fa	NN	fa
permanent	JJ	permanent
ceas	NNS	ceas
fair	JJ	fair
and	CC	and
it	PP	it
is	VBZ	be
useful	JJ	useful
for	IN	for
both	DT	both
sides	NNS	side
for	IN	for
Israelis	NPS	Israelis
and	CC	and
for	IN	for
the	DT	the
people	NNS	people
of	IN	of
Palestine	NP	Palestine
okay	JJ	okay
but	CC	but
it	PP	it
but	CC	but
that	DT	that
could	MD	could
be	VB	be
achieved	VVN	achieve
in	IN	in
stages	NNS	stage
which	WDT	which
I	PP	I
think	VVP	think
is	VBZ	be
an	DT	an
important	JJ	important
part	NN	part
of	IN	of
this	DT	this
conversation	NN	conversation
and	CC	and
just	RB	just
and	CC	and
and	CC	and
just	RB	just
Before	IN	before
I	PP	I
Let	VV	let
You	PP	you
Go	VV	go
sir	NN	sir
the	DT	the
Qatari	JJ	Qatari
prime	JJ	prime
minister	NN	minister
has	VHZ	have
described	VVN	describe
the	DT	the
negotiations	NNS	negotiation
as	IN	as
having	VHG	have
made	VVN	make
quote	NN	quote
good	JJ	good
progress	NN	progress
would	MD	would
you	PP	you
agree	VV	agree
with	IN	with
that	DT	that
assessment	NN	assessment
we	PP	we
yes	UH	yes
yes	UH	yes
we	PP	we
are	VBP	be
ready	JJ	ready
to	TO	to
achieve	VV	achieve
this	DT	this
by	IN	by
stages	NNS	stage
okay	JJ	okay
all	RB	all
right	RB	right
thank	VV	thank
you	PP	you
very	RB	very
much	JJ	much
Muhammad	NP	Muhammad
nazal	NN	nazal
a	DT	a
member	NN	member
of	IN	of
hamas's	NNS	hamas's
political	JJ	political
Bureau	NP	Bureau
it's	NNS	it's
good	JJ	good
to	TO	to
have	VH	have
you	PP	you
on	IN	on
the	DT	the
program	NN	program
thank	VVP	thank
you	PP	you
thank	VVP	thank
you	PP	you
</doc>	JJ	</doc>
