well	RB	well
ask	VV	ask
the	DT	the
people	NNS	people
of	IN	of
the	DT	the
eastern	JJ	eastern
part	NN	part
of	IN	of
kanun	NN	kanun
to	TO	to
move	VV	move
to	TO	to
Rafa	NP	Rafa
this	DT	this
is	VBZ	be
an	DT	an
indication	NN	indication
that	IN/that	that
the	DT	the
occupation	NN	occupation
forces	NNS	force
are	VBP	be
trying	VVG	try
to	TO	to
take	VV	take
the	DT	the
displacement	NN	displacement
further	RBR	further
to	TO	to
be	VB	be
a	DT	a
sort	NN	sort
of	IN	of
immigration	NN	immigration
towards	IN	towards
the	DT	the
Rafa	NP	Rafa
Crossing	VVG	cross
we	PP	we
are	VBP	be
now	RB	now
in	RB	in
in	IN	in
in	IN	in
we	PP	we
are	VBP	be
now	RB	now
confident	JJ	confident
that	IN/that	that
these	DT	these
are	VBP	be
the	DT	the
goals	NNS	goal
ofis	NN	ofis
that	RB	that
'	POS	'
s	NN	S
why	WRB	why
we	PP	we
urge	VVP	urge
National	NP	National
Community	NP	Community
to	TO	to
move	VV	move
quickly	RB	quickly
to	TO	to
stop	VV	stop
the	DT	the
aggression	NN	aggression
and	CC	and
we	PP	we
urge	VVP	urge
proor	JJ	proor
general	NN	general
of	IN	of
the	DT	the
IC	NP	IC
to	TO	to
adopt	VV	adopt
certain	JJ	certain
procedures	NNS	procedure
and	CC	and
by	IN	by
the	DT	the
way	NN	way
he	PP	he
is	VBZ	be
now	RB	now
in	IN	in
ramala	NN	ramala
and	CC	and
we	PP	we
have	VHP	have
told	VVN	tell
him	PP	him
that	IN/that	that
we	PP	we
will	MD	will
never	RB	never
meet	VV	meet
him	PP	him
in	IN	in
protest	NN	protest
of	IN	of
his	PP$	his
actions	NNS	action
since	IN	since
the	DT	the
year	NN	year
2021	CD	@card@
he	PP	he
has	VHZ	have
been	VBN	be
appointed	VVN	appoint
as	IN	as
the	DT	the
postal	JJ	postal
general	NN	general
of	IN	of
the	DT	the
IC	NP	IC
and	CC	and
since	IN	since
that	DT	that
time	NN	time
he	PP	he
has	VHZ	have
ignored	VVN	ignore
the	DT	the
Palestinian	JJ	Palestinian
files	NNS	file
we	PP	we
refuseed	VVD	refuseed
to	TO	to
meet	VV	meet
him	PP	him
today	NN	today
in	IN	in
rala	NN	rala
in	IN	in
a	DT	a
protest	NN	protest
and	CC	and
to	TO	to
show	VV	show
that	IN/that	that
we	PP	we
don	VV	don
'	''	'
t	NN	t
accept	VV	accept
his	PP$	his
acceptance	NN	acceptance
of	IN	of
the	DT	the
Israelis	NPS	Israelis
dictations	NNS	dictation
and	CC	and
uh	UH	uh
we	PP	we
know	VVP	know
that	IN/that	that
he	PP	he
also	RB	also
said	VVD	say
some	DT	some
statement	NN	statement
that	WDT	that
are	VBP	be
not	RB	not
very	RB	very
vital	JJ	vital
we	PP	we
have	VHP	have
refused	VVN	refuse
to	TO	to
meet	VV	meet
him	PP	him
because	IN	because
he	PP	he
did	VVD	do
not	RB	not
well	RB	well
you	PP	you
'	POS	'
ve	RB	ve
been	VBN	be
listening	VVG	listen
there	RB	there
to	TO	to
a	DT	a
press	NN	press
conference	NN	conference
from	IN	from
the	DT	the
Independent	JJ	Independent
commission	NN	commission
for	IN	for
human	JJ	human
rights	NNS	right
now	RB	now
that	RB	that
'	''	'
s	VVG	s
the	DT	the
national	JJ	national
human	JJ	human
rights	NNS	right
organization	NN	organization
for	IN	for
Palestine	NP	Palestine
they	PP	they
were	VBD	be
just	RB	just
speaking	VVG	speak
there	RB	there
outside	IN	outside
the	DT	the
NASA	NP	NASA
hospital	NN	hospital
and	CC	and
Khan	NP	Khan
yunice	NP	yunice
that	WDT	that
'	POS	'
s	NN	S
in	IN	in
the	DT	the
southern	JJ	southern
part	NN	part
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
they	PP	they
say	VVP	say
they	PP	they
'	''	'
re	IN	re
appealing	VVG	appeal
to	TO	to
the	DT	the
American	JJ	American
public	NN	public
to	TO	to
stop	VV	stop
their	PP$	their
presid	JJ	presid
president	NN	president
from	IN	from
being	VBG	be
a	DT	a
part	NN	part
of	IN	of
what	WP	what
they	PP	they
say	VVP	say
is	VBZ	be
an	DT	an
ongoing	JJ	ongoing
genocide	NN	genocide
in	IN	in
Gaza	NP	Gaza
the	DT	the
commission	NN	commission
says	VVZ	say
that	IN/that	that
they	PP	they
'	POS	'
ve	RB	ve
been	VBN	be
documenting	VVG	document
abuses	NNS	abuse
throughout	IN	throughout
this	DT	this
conflict	NN	conflict
and	CC	and
that	IN/that	that
they	PP	they
'	''	'
re	IN	re
asking	VVG	ask
the	DT	the
international	JJ	international
criminal	JJ	criminal
court	NN	court
to	TO	to
live	VV	live
up	RP	up
to	TO	to
its	PP$	its
obligations	NNS	obligation
