<video_id>wo0a2CsPhjg</video_id>	JJ	<video_id>wo0a2CsPhjg</video_id>
of	IN	of
celebrating	VVG	celebrate
our	PP$	our
own	JJ	own
accomplishments	NNS	accomplishment
of	IN	of
celebrating	VVG	celebrate
our	PP$	our
own	JJ	own
graduation	NN	graduation
as	RB	as
far	RB	far
as	IN	as
I'm	NP	I'm
concerned	VVD	concern
I	PP	I
graduated	VVD	graduate
when	WRB	when
I	PP	I
was	VBD	be
arrested	VVN	arrest
by	IN	by
this	DT	this
University	NP	University
for	IN	for
protesting	VVG	protest
genocide	NN	genocide
solidarity	NN	solidarity
means	VVZ	mean
we	PP	we
must	MD	must
keep	VV	keep
doing	VVG	do
what	WP	what
we're	NN	we're
doing	VVG	do
here	RB	here
today	NN	today
this	DT	this
University	NP	University
is	VBZ	be
trying	VVG	try
to	TO	to
silence	VV	silence
Us	PP	us
by	IN	by
barring	VVG	bar
us	PP	us
from	IN	from
our	PP$	our
own	JJ	own
graduation	NN	graduation
by	IN	by
barrowing	VVG	barrowing
us	PP	us
from	IN	from
campus	NN	campus
but	CC	but
we're	NN	we're
not	RB	not
going	VVG	go
to	TO	to
have	VH	have
it	PP	it
we	PP	we
have	VHP	have
built	VVN	build
our	PP$	our
own	JJ	own
community	NN	community
we	PP	we
built	VVD	build
our	PP$	our
own	JJ	own
institutions	NNS	institution
we	PP	we
built	VVD	build
our	PP$	our
own	JJ	own
graduation	NN	graduation
we're	NN	we're
not	RB	not
going	VVG	go
to	TO	to
let	VV	let
them	PP	them
silence	VV	silence
Us	PP	us
in	IN	in
fact	NN	fact
the	DT	the
more	RBR	more
they	PP	they
try	VVP	try
the	DT	the
louder	JJR	loud
we're	NN	we're
going	VVG	go
to	TO	to
be	VB	be
I'm	NP	I'm
lucky	JJ	lucky
enough	RB	enough
to	TO	to
have	VH	have
the	DT	the
support	NN	support
of	IN	of
my	PP$	my
parents	NNS	parent
in	IN	in
this	DT	this
they	PP	they
came	VVD	come
down	RB	down
to	TO	to
see	VV	see
me	PP	me
but	CC	but
my	PP$	my
mother	NN	mother
is	VBZ	be
worried	VVN	worry
sick	JJ	sick
about	IN	about
my	PP$	my
safety	NN	safety
about	IN	about
my	PP$	my
diploma	NN	diploma
she	PP	she
went	VVD	go
back	RB	back
to	TO	to
work	VV	work
to	TO	to
put	VV	put
me	PP	me
through	IN	through
school	NN	school
and	CC	and
to	TO	to
see	VV	see
it	PP	it
threatened	VVN	threaten
by	IN	by
the	DT	the
university	NN	university
for	IN	for
standing	VVG	stand
up	RP	up
against	IN	against
Injustice	NN	injustice
is	VBZ	be
uh	UH	uh
is	VBZ	be
very	RB	very
hard	JJ	hard
on	IN	on
her	PP	her
make	VVP	make
sure	RB	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jazer	NN	jazer
</doc>	NN	</doc>
