interrupt	VV	interrupt
body	NN	body
count	NN	count
or	CC	or
is	VBZ	be
there	RB	there
a	DT	a
specific	JJ	specific
again	RB	again
I	NP	I
'	POS	'
m	NN	m
I	NP	I
'	POS	'
m	NN	m
in	IN	in
terms	NNS	term
of	IN	of
concrete	NN	concrete
steps	VVZ	step
uh	UH	uh
what	WP	what
we	PP	we
are	VBP	be
uh	UH	uh
looking	VVG	look
to	TO	to
see	VV	see
and	CC	and
hope	VV	hope
to	TO	to
see	VV	see
here	RB	here
uh	UH	uh
in	IN	in
coming	VVG	come
hours	NNS	hour
and	CC	and
days	NNS	day
is	VBZ	be
uh	UH	uh
a	DT	a
dramatic	JJ	dramatic
increase	NN	increase
in	IN	in
the	DT	the
humanitarian	JJ	humanitarian
assistance	NN	assistance
getting	VVG	get
in	IN	in
additional	JJ	additional
Crossings	NNS	crossing
opened	VVD	open
up	RP	up
uh	UH	uh
and	CC	and
a	DT	a
u	NN	u
a	DT	a
reduction	NN	reduction
in	IN	in
the	DT	the
violence	NN	violence
against	IN	against
civilians	NNS	civilian
and	CC	and
certainly	RB	certainly
Aid	NN	aid
workers	NNS	worker
we	PP	we
want	VVP	want
to	TO	to
uh	UH	uh
we	PP	we
want	VVP	want
to	TO	to
see	VV	see
that	DT	that
uh	UH	uh
that	IN/that	that
even	RB	even
as	IN	as
the	DT	the
Israelis	NPS	Israelis
work	VVP	work
through	IN	through
their	PP$	their
investigation	NN	investigation
that	WDT	that
are	VBP	be
willing	JJ	willing
and	CC	and
able	JJ	able
to	TO	to
take	VV	take
practical	JJ	practical
immediate	JJ	immediate
steps	NNS	step
to	TO	to
protect	VV	protect
Aid	NN	aid
workers	NNS	worker
on	IN	on
the	DT	the
ground	NN	ground
and	CC	and
to	TO	to
demonstrate	VV	demonstrate
uh	UH	uh
that	WDT	that
they	PP	they
that	IN/that	that
they	PP	they
have	VHP	have
that	DT	that
civilian	JJ	civilian
harm	NN	harm
mitigation	NN	mitigation
in	IN	in
place	NN	place
so	RB	so
again	RB	again
those	DT	those
are	VBP	be
broad	JJ	broad
brushes	NNS	brush
I	PP	I
'	POS	'
ll	NNS	ll
let	VVP	let
the	DT	the
Israelis	NPS	Israelis
speak	VVP	speak
to	TO	to
what	WP	what
they	PP	they
will	MD	will
or	CC	or
won	NN	won
'	POS	'
t	NN	t
do	VVP	do
here	RB	here
but	CC	but
again	RB	again
in	IN	in
coming	VVG	come
hours	NNS	hour
and	CC	and
days	NNS	day
we	PP	we
will	MD	will
be	VB	be
looking	VVG	look
for	IN	for
concrete	JJ	concrete
tangible	JJ	tangible
steps	NNS	step
that	IN/that	that
they	PP	they
'	''	'
re	IN	re
taking	VVG	take
thanks	NNS	thanks
John	NP	John
just	RB	just
to	TO	to
go	VV	go
back	RB	back
to	TO	to
that	DT	that
point	NN	point
in	IN	in
your	PP$	your
readout	NN	readout
when	WRB	when
you	PP	you
say	VVP	say
the	DT	the
president	NN	president
made	VVD	make
clear	JJ	clear
that	IN/that	that
the	DT	the
US	NP	US
that	IN/that	that
US	NP	US
policy	NN	policy
with	IN	with
respect	NN	respect
to	TO	to
Gaza	NP	Gaza
will	MD	will
be	VB	be
determined	VVN	determine
by	IN	by
our	PP$	our
assessment	NN	assessment
of	IN	of
Israel	NP	Israel
'	POS	'
s	JJ	s
immediate	JJ	immediate
action	NN	action
could	MD	could
you	PP	you
decode	VV	decode
that	IN/that	that
for	IN	for
us	PP	us
what	WP	what
exactly	RB	exactly
is	VBZ	be
the	DT	the
warning	NN	warning
that	RB	that
'	POS	'
s	NNS	s
being	VBG	be
issued	VVN	issue
here	IN	here
I	PP	I
I	PP	I
think	VVP	think
it	PP	it
'	''	'
s	NNS	s
very	RB	very
clear	JJ	clear
in	IN	in
the	DT	the
language	NN	language
itself	PP	itself
Nancy	NP	Nancy
um	JJ	um
we	PP	we
'	''	'
re	IN	re
going	VVG	go
to	TO	to
the	DT	the
we	PP	we
'	POS	'
re	NN	re
looking	VVG	look
for	IN	for
concrete	JJ	concrete
steps	NNS	step
to	TO	to
alleviate	VV	alleviate
humanitarian	JJ	humanitarian
suffering	NN	suffering
in	IN	in
Gaza	NP	Gaza
again	RB	again
I	PP	I
won	VVD	win
'	''	'
t	NN	t
get	VV	get
ahead	RB	ahead
of	IN	of
what	WP	what
the	DT	the
Israelis	NPS	Israelis
will	MD	will
or	CC	or
won	NN	won
'	POS	'
t	NN	t
say	VV	say
or	CC	or
announce	VV	announce
we	PP	we
'	POS	'
re	NN	re
looking	VVG	look
for	IN	for
concrete	JJ	concrete
steps	NNS	step
to	TO	to
be	VB	be
announced	VVN	announce
here	RB	here
soon	RB	soon
um	JJ	um
and	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
just	RB	just
about	IN	about
the	DT	the
announcement	NN	announcement
of	IN	of
concrete	JJ	concrete
steps	NNS	step
and	CC	and
changes	NNS	change
in	IN	in
their	PP$	their
policies	NNS	policy
but	CC	but
it	PP	it
'	POS	'
s	NNS	s
the	DT	the
execution	NN	execution
of	IN	of
those	DT	those
announcements	NNS	announcement
and	CC	and
those	DT	those
decisions	NNS	decision
and	CC	and
implementing	VVG	implement
them	PP	them
uh	UH	uh
and	CC	and
so	IN	so
we	PP	we
we	PP	we
obviously	RB	obviously
will	MD	will
will	VV	will
'	''	'
ll	NNS	ll
watch	VVP	watch
closely	RB	closely
and	CC	and
monitor	VV	monitor
uh	UH	uh
how	WRB	how
how	WRB	how
they	PP	they
do	VVP	do
on	IN	on
the	DT	the
commitments	NNS	commitment
that	WDT	that
they	PP	they
make	VVP	make
and	CC	and
as	RB	as
um	JJ	um
as	IN	as
I	PP	I
said	VVD	say
earlier	RBR	earlier
if	IN	if
there	RB	there
'	''	'
s	VVG	s
no	DT	no
changes	NNS	change
to	TO	to
their	PP$	their
policy	NN	policy
and	CC	and
their	PP$	their
approaches	NNS	approach
then	RB	then
there	RB	there
'	''	'
s	NNS	s
going	VVG	go
to	TO	to
have	VH	have
to	TO	to
be	VB	be
changes	NNS	change
to	TO	to
ours	PP	ours
I	PP	I
think	VVP	think
I	PP	I
think	VVP	think
what	WP	what
the	DT	the
world	NN	world
wants	VVZ	want
to	TO	to
understand	VV	understand
is	VBZ	be
is	VBZ	be
the	DT	the
White	NP	White
House	NP	House
warning	VVG	warn
that	IN/that	that
it	PP	it
may	MD	may
remove	VV	remove
military	JJ	military
aid	NN	aid
what	WP	what
exactly	RB	exactly
is	VBZ	be
the	DT	the
threat	NN	threat
here	RB	here
I	PP	I
think	VVP	think
I	PP	I
'	''	'
ve	VVG	ve
I	PP	I
'	POS	'
ve	NN	ve
U	NP	U
stated	VVD	state
it	PP	it
pretty	RB	pretty
clearly	RB	clearly
uh	UH	uh
and	CC	and
I	PP	I
'	POS	'
m	NN	m
not	RB	not
going	VVG	go
to	TO	to
I	PP	I
'	POS	'
m	NN	m
not	RB	not
going	VVG	go
to	TO	to
as	IN	as
I	PP	I
said	VVD	say
earlier	RBR	earlier
I	NP	I
'	POS	'
m	NN	m
not	RB	not
going	VVG	go
to	TO	to
preview	VV	preview
steps	NNS	step
I	PP	I
'	POS	'
m	NN	m
not	RB	not
going	VVG	go
to	TO	to
preview	VV	preview
decisions	NNS	decision
that	DT	that
haven	NN	haven
'	POS	'
t	NN	t
been	VBN	be
made	VVN	make
yet	RB	yet
but	CC	but
um	RB	um
there	EX	there
are	VBP	be
things	NNS	thing
that	WDT	that
need	VVP	need
to	TO	to
be	VB	be
done	VVN	do
there	EX	there
are	VBP	be
too	RB	too
many	JJ	many
civilians	NNS	civilian
being	VBG	be
killed	VVN	kill
the	DT	the
risk	NN	risk
to	TO	to
Aid	NP	Aid
workers	NNS	worker
is	VBZ	be
unacceptable	JJ	unacceptable
uh	UH	uh
now	RB	now
we	PP	we
have	VHP	have
certain	JJ	certain
Aid	NN	aid
organizations	NNS	organization
that	WDT	that
are	VBP	be
reconsidering	VVG	reconsider
whether	IN	whether
they	PP	they
'	POS	'
re	NN	re
even	RB	even
going	VVG	go
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
continue	VV	continue
operations	NNS	operation
in	IN	in
Gaza	NP	Gaza
while	IN	while
famine	NN	famine
looms	NNS	loom
so	RB	so
there	EX	there
has	VHZ	have
to	TO	to
be	VB	be
tangible	JJ	tangible
steps	NNS	step
let	VVD	let
'	''	'
s	NNS	s
see	VVP	see
what	WP	what
they	PP	they
announce	VVP	announce
let	VV	let
'	''	'
s	NNS	s
see	VVP	see
what	WP	what
they	PP	they
direct	RB	direct
let	VVP	let
'	POS	'
s	NNS	s
see	VVP	see
what	WP	what
they	PP	they
do	VV	do
uh	UH	uh
but	CC	but
I	PP	I
'	POS	'
m	NN	m
not	RB	not
going	VVG	go
to	TO	to
get	VV	get
ahead	RB	ahead
of	IN	of
that	DT	that
okayy	JJ	okayy
I	NP	I
'	POS	'
m	NN	m
going	VVG	go
to	TO	to
try	VV	try
this	DT	this
one	CD	one
more	JJR	more
time	NN	time
because	IN	because
the	DT	the
president	NN	president
I	PP	I
reckon	VVP	reckon
you	PP	you
would	MD	would
that	RB	that
'	''	'
s	NNS	s
what	WP	what
we	PP	we
do	VVP	do
the	DT	the
president	NN	president
seems	VVZ	seem
to	TO	to
have	VH	have
said	VVD	say
to	TO	to
to	TO	to
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
today	NN	today
you	PP	you
know	VVP	know
make	VV	make
these	DT	these
concrete	JJ	concrete
changes	NNS	change
or	CC	or
else	RB	else
it	PP	it
'	POS	'
s	NN	S
the	DT	the
or	CC	or
else	RB	else
that	IN/that	that
I	PP	I
want	VVP	want
to	TO	to
make	VV	make
clear	JJ	clear
here	RB	here
is	VBZ	be
the	DT	the
president	NN	president
threatening	VVG	threaten
to	TO	to
withhold	VV	withhold
Aid	NP	Aid
to	TO	to
Israel	NP	Israel
if	IN	if
they	PP	they
do	VVP	do
not	RB	not
make	VV	make
these	DT	these
changes	NNS	change
the	DT	the
president	NN	president
made	VVD	make
it	PP	it
clear	JJ	clear
that	IN/that	that
our	PP$	our
policies	NNS	policy
with	IN	with
respect	NN	respect
to	TO	to
Gaza	NP	Gaza
uh	UH	uh
will	MD	will
be	VB	be
dependent	JJ	dependent
upon	IN	upon
our	PP$	our
assessment	NN	assessment
of	IN	of
how	WRB	how
well	RB	well
the	DT	the
Israelis	NPS	Israelis
uh	UH	uh
make	VV	make
changes	NNS	change
and	CC	and
Implement	NN	implement
changes	VVZ	change
uh	UH	uh
to	RB	to
to	TO	to
make	VV	make
the	DT	the
situation	NN	situation
in	IN	in
Gaza	NP	Gaza
better	RBR	well
for	IN	for
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
and	CC	and
how	WRB	how
much	JJ	much
time	NN	time
are	VBP	be
you	PP	you
giving	VVG	give
them	PP	them
to	TO	to
make	VV	make
these	DT	these
changes	NNS	change
to	TO	to
implement	VV	implement
these	DT	these
concrete	NN	concrete
we	PP	we
we	PP	we
would	MD	would
hope	VV	hope
to	TO	to
see	VV	see
some	DT	some
announcements	NNS	announcement
of	IN	of
changes	NNS	change
here	RB	here
in	IN	in
coming	VVG	come
hours	NNS	hour
and	CC	and
days	NNS	day
and	CC	and
I	PP	I
'	POS	'
ll	NNS	ll
leave	VVP	leave
it	PP	it
at	IN	at
that	DT	that
that	WDT	that
'	POS	'
s	JJ	s
short	JJ	short
hours	NNS	hour
and	CC	and
days	NNS	day
I	PP	I
done	VVN	do
why	WRB	why
today	NN	today
why	WRB	why
today	NN	today
what	WP	what
why	WRB	why
today	NN	today
for	IN	for
the	DT	the
phone	NN	phone
call	NN	call
why	WRB	why
why	RB	why
why	WRB	why
this	DT	this
apparent	JJ	apparent
shift	NN	shift
in	IN	in
policy	NN	policy
today	NN	today
I	PP	I
think	VVP	think
look	VV	look
uh	UH	uh
president	NN	president
all	RB	all
of	IN	of
us	PP	us
but	CC	but
particularly	RB	particularly
the	DT	the
president	NN	president
was	VBD	be
certainly	RB	certainly
shaken	VVN	shake
by	IN	by
uh	UH	uh
the	DT	the
attack	NN	attack
on	IN	on
the	DT	the
wck	JJ	wck
U	NP	U
Convoy	NN	convoy
and	CC	and
the	DT	the
Egg	NP	Egg
workers	NNS	worker
as	IN	as
I	PP	I
said	VVD	say
earlier	JJR	early
um	NNS	um
it	PP	it
wasn	NP	wasn
'	POS	'
t	NN	t
the	DT	the
only	JJ	only
event	NN	event
there	EX	there
had	VHD	have
been	VBN	be
others	NNS	other
like	IN	like
that	DT	that
humanitarian	JJ	humanitarian
Aid	NP	Aid
uh	UH	uh
convoys	NNS	convoy
coming	VVG	come
under	IN	under
Fire	NP	Fire
and	CC	and
losing	VVG	lose
people	NNS	people
uh	UH	uh
and	CC	and
um	NNS	um
and	CC	and
the	DT	the
president	NN	president
felt	VVD	feel
strongly	RB	strongly
that	IN/that	that
it	PP	it
was	VBD	be
time	NN	time
to	TO	to
to	TO	to
talk	VV	talk
to	TO	to
prime	JJ	prime
minister	NN	minister
Netanyahu	NP	Netanyahu
about	IN	about
his	PP$	his
concerns	NNS	concern
would	MD	would
you	PP	you
characterize	VV	characterize
this	DT	this
call	NN	call
as	IN	as
an	DT	an
ultimatum	NN	ultimatum
I	PP	I
would	MD	would
characterize	VV	characterize
this	DT	this
call	NN	call
as	IN	as
very	RB	very
direct	JJ	direct
very	JJ	very
business	NN	business
-	NN	-
like	IN	like
uh	UH	uh
very	RB	very
professional	JJ	professional
on	IN	on
both	DT	both
sides	NNS	side
um	NN	um
and	CC	and
the	DT	the
president	NN	president
laid	VVD	lay
out	RP	out
his	PP$	his
significant	JJ	significant
concerns	NNS	concern
about	IN	about
the	DT	the
direction	NN	direction
and	CC	and
where	WRB	where
things	NNS	thing
are	VBP	be
going	VVG	go
um	NNS	um
and	CC	and
quite	RB	quite
frankly	RB	frankly
laid	VVN	lay
out	RP	out
as	IN	as
is	VBZ	be
clear	JJ	clear
in	IN	in
the	DT	the
readout	NN	readout
um	VVG	um
uh	UH	uh
that	WDT	that
uh	UH	uh
that	DT	that
uh	UH	uh
we	PP	we
are	VBP	be
willing	JJ	willing
to	TO	to
reconsider	VV	reconsider
our	PP$	our
own	JJ	own
policy	NN	policy
approaches	NNS	approach
here	RB	here
um	RB	um
dependent	JJ	dependent
upon	IN	upon
what	WP	what
the	DT	the
Israelis	NPS	Israelis
do	VVP	do
or	CC	or
don	VVP	don
'	POS	'
t	NN	t
do	VVP	do
can	MD	can
you	PP	you
just	RB	just
tell	VV	tell
us	PP	us
who	WP	who
all	DT	all
was	VBD	be
on	IN	on
the	DT	the
call	NN	call
well	RB	well
it	PP	it
was	VBD	be
it	PP	it
was	VBD	be
a	DT	a
bilateral	JJ	bilateral
call	NN	call
between	IN	between
the	DT	the
two	CD	two
leaders	NNS	leader
uh	UH	uh
prime	JJ	prime
minister	NN	minister
n	NN	n
Yahoo	NN	yahoo
and	CC	and
the	DT	the
president	NN	president
they	PP	they
were	VBD	be
the	DT	the
only	JJ	only
two	CD	two
speakers	NNS	speaker
on	IN	on
the	DT	the
on	IN	on
the	DT	the
call	JJ	call
vice	JJ	vice
president	NN	president
Harris	NP	Harris
also	RB	also
dialed	VVD	dial
in	IN	in
vice	JJ	vice
president	NN	president
Harris	NP	Harris
did	VVD	do
uh	UH	uh
did	VVD	do
dial	NN	dial
in	IN	in
yes	UH	yes
Secretary	NP	Secretary
of	IN	of
State	NP	State
dialed	VVD	dial
in	IN	in
Jake	NP	Jake
San	NP	San
yes	NN	yes
I	PP	I
don	VVP	don
'	''	'
t	NN	t
know	VVP	know
who	WP	who
was	VBD	be
uh	UH	uh
also	RB	also
listening	VVG	listen
in	IN	in
on	IN	on
the	DT	the
Israeli	JJ	Israeli
side	NN	side
but	CC	but
the	DT	the
but	CC	but
the	DT	the
discussion	NN	discussion
was	VBD	be
between	IN	between
the	DT	the
two	CD	two
leaders	NNS	leader
MJ	NP	MJ
so	IN	so
um	JJ	um
Admiral	NP	Admiral
you	PP	you
'	POS	'
re	NN	re
not	RB	not
specifying	VVG	specify
what	WP	what
concrete	JJ	concrete
steps	NNS	step
Israel	NP	Israel
must	MD	must
take	VV	take
exactly	RB	exactly
I	CD	@card@
I	CD	@card@
I	PP	I
gave	VVD	give
you	PP	you
some	DT	some
uh	UH	uh
a	DT	a
broad	JJ	broad
sense	NN	sense
of	IN	of
it	PP	it
we	PP	we
want	VVP	want
to	TO	to
see	VV	see
more	JJR	more
Crossings	NNS	crossing
opened	VVD	open
up	RB	up
we	PP	we
want	VVP	want
to	TO	to
see	VV	see
more	JJR	more
trucks	NNS	truck
getting	VVG	get
in	IN	in
particularly	RB	particularly
from	IN	from
Jordan	NP	Jordan
um	NNS	um
we	PP	we
want	VVP	want
to	TO	to
see	VV	see
tangible	JJ	tangible
steps	NNS	step
at	IN	at
the	DT	the
mitigation	NN	mitigation
of	IN	of
Civilian	JJ	civilian
harm	VV	harm
uh	UH	uh
particularly	RB	particularly
to	TO	to
Human	NP	Human
Arian	NP	Arian
Aid	NP	Aid
workers	NNS	worker
but	CC	but
obviously	RB	obviously
all	DT	all
civilians	NNS	civilian
but	CC	but
we	PP	we
want	VVP	want
to	TO	to
see	VV	see
that	IN/that	that
they	PP	they
have	VHP	have
uh	UH	uh
that	IN/that	that
they	PP	they
have	VHP	have
moved	VVN	move
forward	RB	forward
on	IN	on
proper	JJ	proper
steps	NNS	step
to	TO	to
deconflict	VV	deconflict
with	IN	with
Aid	NN	aid
workers	NNS	worker
as	IN	as
they	PP	they
move	VVP	move
around	RP	around
that	IN/that	that
the	DT	the
information	NN	information
flow	NN	flow
U	NP	U
is	VBZ	be
viable	JJ	viable
that	WDT	that
'	POS	'
s	JJ	s
language	NN	language
we	PP	we
'	POS	'
ve	NN	ve
heard	VVD	hear
for	IN	for
weeks	NNS	week
now	RB	now
you	PP	you
'	POS	'
re	NN	re
not	RB	not
talking	NN	talking
about	IN	about
uh	UH	uh
sort	NN	sort
of	IN	of
telling	VVG	tell
us	PP	us
how	WRB	how
exactly	RB	exactly
you	PP	you
will	MD	will
measure	VV	measure
those	DT	those
measurable	JJ	measurable
steps	NNS	step
right	RB	right
what	WP	what
I	PP	I
said	VVD	say
was	VBD	be
we	PP	we
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
we	PP	we
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
examine	VV	examine
our	PP$	our
policy	NN	policy
approaches	NNS	approach
based	VVN	base
on	IN	on
the	DT	the
our	PP$	our
assessment	NN	assessment
of	IN	of
the	DT	the
way	NN	way
the	DT	the
Israeli	JJ	Israeli
side	VV	side
uh	UH	uh
modifies	VVZ	modify
their	PP$	their
behavior	NN	behavior
uh	UH	uh
modifies	VVZ	modify
their	PP$	their
policy	NN	policy
and	CC	and
decision	NN	decision
-	NN	-
making	NN	making
processes	VVZ	process
uh	UH	uh
and	CC	and
so	RB	so
first	JJ	first
of	IN	of
all	DT	all
let	NN	let
'	POS	'
s	NNS	s
see	VVP	see
what	WP	what
they	PP	they
say	VVP	say
they	PP	they
'	''	'
re	IN	re
going	VVG	go
to	TO	to
do	VV	do
and	CC	and
then	RB	then
let	VV	let
'	''	'
s	NNS	s
watch	VVP	watch
and	CC	and
see	VVP	see
how	WRB	how
they	PP	they
execute	VVP	execute
to	TO	to
what	WP	what
they	PP	they
say	VVP	say
I	PP	I
don	VV	don
'	''	'
t	NN	t
want	VVP	want
to	TO	to
get	VV	get
ahead	RB	ahead
of	IN	of
them	PP	them
and	CC	and
what	WP	what
they	PP	they
on	IN	on
what	WP	what
they	PP	they
what	WP	what
they	PP	they
plan	VVP	plan
to	TO	to
say	VV	say
about	IN	about
the	DT	the
changes	VVZ	change
they	PP	they
'	''	'
re	IN	re
going	VVG	go
to	TO	to
make	VV	make
but	CC	but
we	PP	we
we	PP	we
'	POS	'
ll	NNS	ll
base	VVP	base
our	PP$	our
policy	NN	policy
decisions	NNS	decision
based	VVN	base
on	IN	on
an	DT	an
assessment	NN	assessment
of	IN	of
how	WRB	how
they	PP	they
execute	VVP	execute
to	TO	to
their	PP$	their
policy	NN	policy
decisions	NNS	decision
and	CC	and
you	PP	you
'	POS	'
re	NN	re
not	RB	not
talking	VVG	talk
about	IN	about
what	WP	what
potential	JJ	potential
US	NP	US
policy	NN	policy
changes	NNS	change
are	VBP	be
on	IN	on
the	DT	the
table	NN	table
can	MD	can
you	PP	you
say	VV	say
whether	IN	whether
the	DT	the
president	NN	president
shared	VVD	share
that	IN/that	that
with	IN	with
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
on	IN	on
this	DT	this
phone	NN	phone
call	VVP	call
the	DT	the
president	NN	president
made	VVD	make
clear	JJ	clear
that	IN/that	that
uh	UH	uh
that	IN/that	that
absent	JJ	absent
changes	NNS	change
um	JJ	um
in	IN	in
the	DT	the
protection	NN	protection
of	IN	of
civilians	NNS	civilian
on	IN	on
the	DT	the
ground	JJ	ground
absent	JJ	absent
changes	NNS	change
to	TO	to
the	DT	the
volume	NN	volume
of	IN	of
humanitarian	JJ	humanitarian
assistance	NN	assistance
getting	VVG	get
in	IN	in
absent	JJ	absent
um	NNS	um
absent	VVP	absent
any	DT	any
movement	NN	movement
on	IN	on
uh	UH	uh
a	DT	a
a	DT	a
ceasefire	NN	ceasefire
that	WDT	that
will	MD	will
allow	VV	allow
uh	UH	uh
hostages	NNS	hostage
to	TO	to
get	VV	get
out	RP	out
and	CC	and
more	JJR	more
Aid	NN	aid
to	TO	to
get	VV	get
in	IN	in
absent	JJ	absent
you	PP	you
know	VVP	know
a	DT	a
calming	VVG	calm
down	RP	down
um	NNS	um
that	IN/that	that
he	PP	he
will	MD	will
have	VH	have
to	TO	to
reconsider	VV	reconsider
his	PP$	his
own	JJ	own
policy	NN	policy
choices	NNS	choice
with	IN	with
respect	NN	respect
to	TO	to
to	TO	to
Gaza	NP	Gaza
and	CC	and
one	CD	one
of	IN	of
the	DT	the
seven	CD	seven
Aid	NP	Aid
workers	NNS	worker
was	VBD	be
obviously	RB	obviously
a	DT	a
dual	JJ	dual
American	JJ	American
citizen	NN	citizen
did	VVD	do
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
offer	VVP	offer
the	DT	the
president	NN	president
an	DT	an
apology	NN	apology
I	PP	I
I	PP	I
uh	UH	uh
I	NP	I
'	POS	'
ll	NNS	ll
let	VVP	let
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
speak	VVP	speak
to	TO	to
his	PP$	his
side	NN	side
of	IN	of
the	DT	the
conversation	NN	conversation
uh	UH	uh
the	DT	the
the	DT	the
I	PP	I
would	MD	would
note	VV	note
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
Defense	NP	Defense
Forces	NP	Forces
um	VVD	um
their	PP$	their
southern	JJ	southern
command	NN	command
Commander	NP	Commander
