<video_id>QnZNltbLJrs</video_id>	JJ	<video_id>QnZNltbLJrs</video_id>
I'm	NP	I'm
I	PP	I
like	VVP	like
inside	IN	inside
me	PP	me
I	PP	I
literally	RB	literally
know	VVP	know
it's	NNS	it's
either	CC	either
I	PP	I
I	PP	I
might	MD	might
not	RB	not
make	VV	make
it	PP	it
I	PP	I
might	MD	might
not	RB	not
see	VV	see
them	PP	them
again	RB	again
what	WP	what
can	MD	can
you	PP	you
report	VV	report
at	IN	at
this	DT	this
stage	NN	stage
all	DT	all
right	JJ	right
yumna	NN	yumna
please	VVP	please
take	VV	take
cover	VV	cover
no	DT	no
it's	JJ	it's
okay	JJ	okay
um	NNS	um
this	DT	this
is	VBZ	be
a	DT	a
mile	NN	mile
attack	NN	attack
on	IN	on
on	IN	on
Palestine	NP	Palestine
[Music]	NN	[Music]
neighborhood	NN	neighborhood
one	CD	one
of	IN	of
the	DT	the
mostly	RB	mostly
populated	VVN	populate
on	IN	on
Wednesday	NP	Wednesday
we	PP	we
woke	VVD	wake
up	RP	up
uh	UH	uh
in	IN	in
the	DT	the
morning	NN	morning
it	PP	it
was	VBD	be
a	DT	a
very	RB	very
very	RB	very
violent	JJ	violent
night	NN	night
of	IN	of
bombardment	NN	bombardment
there	EX	there
was	VBD	be
no	DT	no
water	VV	water
uh	UH	uh
there	EX	there
was	VBD	be
no	DT	no
electricity	NN	electricity
and	CC	and
there	EX	there
were	VBD	be
no	DT	no
uh	UH	uh
telephone	NN	telephone
signals	VVZ	signal
we	PP	we
had	VHD	have
no	DT	no
Wi-Fi	NP	Wi-Fi
internet	NN	Internet
we	PP	we
were	VBD	be
completely	RB	completely
shut	VVN	shut
off	IN	off
I	PP	I
have	VHP	have
solar	JJ	solar
energy	NN	energy
in	IN	in
my	PP$	my
home	NN	home
so	IN	so
we	PP	we
could	MD	could
get	VV	get
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
charging	VVG	charge
our	PP$	our
phones	NNS	phone
and	CC	and
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
electricity	NN	electricity
for	IN	for
uh	UH	uh
lights	NNS	light
and	CC	and
and	CC	and
so	RB	so
on	IN	on
the	DT	the
bombardment	NN	bombardment
was	VBD	be
very	RB	very
heavy	JJ	heavy
so	IN	so
we	PP	we
weren't	NN	weren't
really	RB	really
able	JJ	able
to	TO	to
leave	VV	leave
the	DT	the
building	NN	building
or	CC	or
go	VV	go
anywhere	RB	anywhere
to	TO	to
try	VV	try
to	TO	to
get	VV	get
water	NN	water
into	IN	into
the	DT	the
building	NN	building
we	PP	we
spend	VVP	spend
like	IN	like
hours	NNS	hour
like	VVP	like
that	IN/that	that
all	PDT	all
the	DT	the
families	NNS	family
in	IN	in
the	DT	the
building	NN	building
we	PP	we
suddenly	RB	suddenly
felt	VVD	feel
like	IN	like
we're	NN	we're
in	IN	in
a	DT	a
deserted	VVN	desert
place	NN	place
no	DT	no
one	CD	one
is	VBZ	be
able	JJ	able
to	TO	to
reach	VV	reach
us	PP	us
we're	JJ	we're
not	RB	not
able	JJ	able
to	TO	to
reach	VV	reach
anyone	NN	anyone
everything	NN	everything
is	VBZ	be
happening	VVG	happen
so	RB	so
quickly	RB	quickly
and	CC	and
it's	NNS	it's
really	RB	really
really	RB	really
difficult	JJ	difficult
for	IN	for
any	DT	any
human	NN	human
being	VBG	be
to	TO	to
take	VV	take
all	DT	all
we	PP	we
think	VVP	think
about	RB	about
is	VBZ	be
how	WRB	how
to	TO	to
make	VV	make
these	DT	these
kids	VVZ	kid
uh	UH	uh
feel	VV	feel
safe	RB	safe
literally	RB	literally
our	PP$	our
buildings	NNS	building
are	VBP	be
like	IN	like
shaking	VVG	shake
with	IN	with
every	DT	every
bombardment	NN	bombardment
but	CC	but
we	PP	we
just	RB	just
tell	VVP	tell
them	PP	them
don't	JJ	don't
worry	NN	worry
it's	NNS	it's
far	RB	far
away	RB	away
we're	NN	we're
staying	VVG	stay
together	RB	together
if	IN	if
we	PP	we
die	VVP	die
we	PP	we
die	VV	die
to	TO	to
together	RB	together
the	DT	the
capacities	NNS	capacity
of	IN	of
the	DT	the
hospital	NN	hospital
zingas	NNS	zingas
are	VBP	be
completely	RB	completely
filled	VVN	fill
up	RP	up
with	IN	with
patience	NN	patience
the	DT	the
morgs	NNS	morgs
are	VBP	be
completely	RB	completely
filled	VVN	fill
up	RP	up
with	IN	with
bodies	NNS	body
look	VVP	look
behind	IN	behind
you	PP	you
along	IN	along
those	DT	those
streets	NNS	street
and	CC	and
alleys	NNS	alley
hundreds	NNS	hundred
are	VBP	be
killed	VVN	kill
and	CC	and
buried	VVN	bury
under	IN	under
the	DT	the
debris	NN	debris
we	PP	we
have	VHP	have
been	VBN	be
abandoned	VVN	abandon
by	IN	by
the	DT	the
Arabs	NPS	Arabs
the	DT	the
whole	JJ	whole
world	NN	world
is	VBZ	be
watching	VVG	watch
in	IN	in
silence	NN	silence
in	IN	in
in	IN	in
the	DT	the
midst	NN	midst
of	IN	of
all	PDT	all
these	DT	these
crisis	NN	crisis
that	IN/that	that
people	NNS	people
are	VBP	be
going	VVG	go
through	IN	through
we're	NN	we're
hearing	NN	hearing
news	NN	news
about	IN	about
a	DT	a
land	NN	land
invasion	NN	invasion
a	DT	a
land	NN	land
Invasion	NN	invasion
means	VVZ	mean
a	DT	a
mass	JJ	mass
destruction	NN	destruction
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
over	IN	over
or	CC	or
on	IN	on
top	NN	top
of	IN	of
all	PDT	all
the	DT	the
destruction	NN	destruction
that	IN/that	that
we've	NN	we've
already	RB	already
witnessed	VVN	witness
and	CC	and
we're	NN	we're
still	RB	still
ongoing	JJ	ongoing
people	NNS	people
in	IN	in
Gaza	NP	Gaza
we	PP	we
feel	VVP	feel
like	IN	like
we're	NN	we're
just	RB	just
in	IN	in
a	DT	a
cage	NN	cage
we're	NN	we're
trying	VVG	try
to	TO	to
escape	VV	escape
from	IN	from
corner	NN	corner
to	TO	to
another	DT	another
corner	NN	corner
and	CC	and
that's	NNS	that's
it	PP	it
we're	VVP	we're
just	RB	just
in	IN	in
that	DT	that
same	JJ	same
cage	NN	cage
trapped	VVD	trap
we	PP	we
have	VHP	have
nowhere	RB	nowhere
to	TO	to
run	VV	run
am	VBP	be
</doc>	JJ	</doc>
