<video_id>VOf7rtWRz6g</video_id>	JJ	<video_id>VOf7rtWRz6g</video_id>
taking	VVG	take
at	IN	at
this	DT	this
time	NN	time
but	CC	but
it	PP	it
is	VBZ	be
a	DT	a
very	RB	very
interesting	JJ	interesting
picture	NN	picture
um	NNS	um
if	IN	if
you	PP	you
look	VVP	look
at	IN	at
the	DT	the
security	NN	security
Council	NP	Council
table	NN	table
today	NN	today
it's	NNS	it's
13	CD	@card@
countries	NNS	country
in	IN	in
favor	NN	favor
of	IN	of
an	DT	an
immediate	JJ	immediate
Ceasar	NP	Ceasar
and	CC	and
I	PP	I
think	VVP	think
that	IN/that	that
also	RB	also
reflects	VVZ	reflect
the	DT	the
vast	JJ	vast
majority	NN	majority
of	IN	of
the	DT	the
membership	NN	membership
of	IN	of
The	DT	the
Wider	NP	Wider
membership	NN	membership
of	IN	of
the	DT	the
United	NP	United
Nations	NPS	Nations
of	IN	of
the	DT	the
193	CD	@card@
countries	NNS	country
and	CC	and
on	IN	on
the	DT	the
other	JJ	other
side	NN	side
just	RB	just
the	DT	the
US	NP	US
vetoing	VVG	veto
and	CC	and
stopping	VVG	stop
this	DT	this
resolution	NN	resolution
becoming	VVG	become
binding	JJ	binding
international	JJ	international
law	NN	law
and	CC	and
the	DT	the
UK	NP	UK
uh	UH	uh
not	RB	not
quite	RB	quite
with	IN	with
the	DT	the
us	PP	us
but	CC	but
sort	VV	sort
of	IN	of
with	IN	with
the	DT	the
US	NP	US
they	PP	they
abstained	VVD	abstain
on	IN	on
the	DT	the
resolution	NN	resolution
and	CC	and
of	IN	of
course	NN	course
James	NP	James
it	PP	it
was	VBD	be
a	DT	a
disappointing	JJ	disappointing
session	NN	session
certainly	RB	certainly
for	IN	for
the	DT	the
Algerian	JJ	Algerian
sponsored	VVN	sponsor
resolution	NN	resolution
the	DT	the
Arab	JJ	Arab
delegation	NN	delegation
did	VVD	do
speak	VV	speak
after	IN	after
that	DT	that
meeting	NN	meeting
a	DT	a
short	JJ	short
time	NN	time
afterwards	RB	afterwards
what	WP	what
did	VVD	do
they	PP	they
have	VHP	have
to	TO	to
say	VV	say
well	RB	well
they	PP	they
expressed	VVD	express
their	PP$	their
their	PP$	their
their	PP$	their
dissatisfaction	NN	dissatisfaction
with	IN	with
the	DT	the
US	NP	US
position	NN	position
and	CC	and
the	DT	the
fact	NN	fact
that	IN/that	that
there	EX	there
is	VBZ	be
no	DT	no
Ceasar	NP	Ceasar
they	PP	they
said	VVD	say
after	IN	after
so	RB	so
many	JJ	many
deaths	NNS	death
and	CC	and
so	RB	so
much	JJ	much
time	NN	time
that	IN/that	that
there	EX	there
needed	VVN	need
to	TO	to
be	VB	be
a	DT	a
ceasefire	NN	ceasefire
in	IN	in
place	NN	place
in	IN	in
in	IN	in
fact	NN	fact
the	DT	the
Palestinian	JJ	Palestinian
Ambassador	NP	Ambassador
Riyad	NP	Riyad
Mansour	NP	Mansour
when	WRB	when
he	PP	he
spoke	VVD	speak
in	IN	in
the	DT	the
security	NN	security
Council	NN	council
just	RB	just
before	IN	before
he	PP	he
spoke	VVD	speak
to	TO	to
us	PP	us
outside	IN	outside
he	PP	he
said	VVD	say
that	IN/that	that
the	DT	the
last	JJ	last
security	NN	security
council	NN	council
meeting	NN	meeting
on	IN	on
this	DT	this
subject	NN	subject
had	VHD	have
been	VBN	be
on	IN	on
the	DT	the
31st	JJ	31st
of	IN	of
January	NP	January
so	RB	so
just	RB	just
at	IN	at
the	DT	the
end	NN	end
of	IN	of
last	JJ	last
month	NN	month
20	CD	@card@
days	NNS	day
ago	RB	ago
and	CC	and
he	PP	he
said	VVD	say
in	IN	in
that	DT	that
20	CD	@card@
days	NNS	day
he	PP	he
said	VVD	say
more	JJR	more
than	IN	than
4,000	CD	@card@
more	JJR	more
Palestinians	NPS	Palestinians
had	VHD	have
died	VVN	die
he	PP	he
said	VVD	say
that	WDT	that
means	VVZ	mean
the	DT	the
rate	NN	rate
of	IN	of
killing	NN	killing
is	VBZ	be
20	CD	@card@
is	VBZ	be
200	CD	@card@
Palestinians	NNS	Palestinian
a	DT	a
day	NN	day
it	PP	it
means	VVZ	mean
by	IN	by
his	PP$	his
calculation	NN	calculation
during	IN	during
that	DT	that
2our	JJ	2our
security	NN	security
council	NN	council
meeting	NN	meeting
that	IN/that	that
25	CD	@card@
Palestinians	NPS	Palestinians
were	VBD	be
killed	VVN	kill
just	RB	just
during	IN	during
that	DT	that
meeting	NN	meeting
and	CC	and
that	IN/that	that
shows	NNS	show
what	WP	what
all	RB	all
of	IN	of
this	DT	this
delay	NN	delay
means	VVZ	mean
I	PP	I
I'll	NP	I'll
tell	VV	tell
you	PP	you
that	IN/that	that
although	IN	although
they	PP	they
were	VBD	be
saying	VVG	say
publicly	RB	publicly
they	PP	they
were	VBD	be
deeply	RB	deeply
unhappy	JJ	unhappy
with	IN	with
the	DT	the
US	NP	US
I	PP	I
did	VVD	do
speak	VV	speak
to	TO	to
one	CD	one
Arab	JJ	Arab
Diplomat	NN	diplomat
who	WP	who
said	VVD	say
he	PP	he
could	MD	could
see	VV	see
some	DT	some
change	NN	change
in	IN	in
the	DT	the
US	NP	US
position	NN	position
the	DT	the
fact	NN	fact
that	IN/that	that
they're	NNS	they're
actually	RB	actually
using	VVG	use
the	DT	the
word	NN	word
ceasefire	NN	ceasefire
albe	VVP	albe
it	PP	it
a	DT	a
temporary	JJ	temporary
ceas	NNS	ceas
far	RB	far
when	WRB	when
practicable	JJ	practicable
the	DT	the
fact	NN	fact
that's	NNS	that's
in	IN	in
the	DT	the
new	JJ	new
US	NP	US
draft	NN	draft
is	VBZ	be
interesting	JJ	interesting
and	CC	and
some	DT	some
of	IN	of
the	DT	the
language	NN	language
on	IN	on
Rafa	NP	Rafa
this	DT	this
Diplomat	NN	diplomat
said	VVD	say
showed	VVD	show
that	IN/that	that
perhaps	RB	perhaps
the	DT	the
US	NP	US
position	NN	position
is	VBZ	be
changing	VVG	change
this	DT	this
particular	JJ	particular
Diplomat	NN	diplomat
said	VVD	say
to	TO	to
me	PP	me
a	DT	a
part	NN	part
of	IN	of
it	PP	it
in	IN	in
his	PP$	his
view	NN	view
is	VBZ	be
the	DT	the
US's	NP	US's
own	JJ	own
calculations	NNS	calculation
in	IN	in
terms	NNS	term
of	IN	of
their	PP$	their
own	JJ	own
domestic	JJ	domestic
politics	NNS	politics
with	IN	with
a	DT	a
US	NP	US
election	NN	election
coming	VVG	come
up	RP	up
at	IN	at
the	DT	the
end	NN	end
of	IN	of
this	DT	this
year	NN	year
James	NP	James
B	NP	B
our	PP$	our
diplomatic	JJ	diplomatic
editor	NN	editor
there	RB	there
with	IN	with
an	DT	an
update	NN	update
from	IN	from
us	PP	us
from	IN	from
the	DT	the
UN	NP	UN
thank	VVP	thank
you	PP	you
now	RB	now
the	DT	the
world	NN	world
food	NN	food
program	NN	program
says	VVZ	say
it's	NNS	it's
once	RB	once
again	RB	again
pausing	VVG	pause
deliveries	NNS	delivery
of	IN	of
food	NN	food
Aid	NN	aid
to	TO	to
Northern	NP	Northern
Gaza	NP	Gaza
until	IN	until
safer	JJR	safe
conditions	NNS	condition
are	VBP	be
created	VVN	create
the	DT	the
agency	NN	agency
says	VVZ	say
its	PP$	its
Convoy	NN	convoy
of	IN	of
trucks	NNS	truck
were	VBD	be
met	VVN	meet
with	IN	with
gunfire	NN	gunfire
and	CC	and
looting	NN	looting
with	IN	with
its	PP$	its
drivers	NNS	driver
navigating	VVG	navigate
complete	JJ	complete
chaos	NN	chaos
and	CC	and
violence	NN	violence
due	JJ	due
to	TO	to
a	DT	a
collapse	NN	collapse
of	IN	of
civil	JJ	civil
order	NN	order
the	DT	the
wfp	NN	wfp
previously	RB	previously
suspended	VVD	suspend
deliveries	NNS	delivery
for	IN	for
3	CD	@card@
weeks	NNS	week
after	IN	after
a	DT	a
truck	NN	truck
came	VVD	come
under	IN	under
Fire	NP	Fire
by	IN	by
the	DT	the
Israeli	JJ	Israeli
military	NN	military
a	DT	a
deliveries	NNS	delivery
to	TO	to
the	DT	the
north	NN	north
have	VHP	have
been	VBN	be
scarce	JJ	scarce
with	IN	with
residents	NNS	resident
there	RB	there
enduring	VVG	endure
acute	JJ	acute
malnourishment	NN	malnourishment
T	NN	T
Abu	NP	Abu
is	VBZ	be
uh	UH	uh
standing	NN	standing
by	IN	by
for	IN	for
us	PP	us
uh	UH	uh
in	IN	in
Rafa	NP	Rafa
uh	UH	uh
disappointing	JJ	disappointing
news	NN	news
at	IN	at
the	DT	the
security	NN	security
Council	NN	council
and	CC	and
now	RB	now
disappointing	JJ	disappointing
news	NN	news
for	IN	for
from	IN	from
Aid	NP	Aid
agencies	NNS	agency
it's	NNS	it's
certainly	RB	certainly
worrying	VVG	worry
for	IN	for
those	DT	those
that	WDT	that
are	VBP	be
depending	VVG	depend
on	IN	on
any	DT	any
sort	NN	sort
of	IN	of
help	NN	help
coming	VVG	come
into	IN	into
the	DT	the
strip	NN	strip
well	RB	well
we	PP	we
have	VHP	have
been	VBN	be
reporting	VVG	report
about	IN	about
this	DT	this
again	RB	again
and	CC	and
again	RB	again
in	IN	in
fact	NN	fact
so	IN	so
H	NP	H
the	DT	the
food	NN	food
crisis	NN	crisis
the	DT	the
acute	JJ	acute
food	NN	food
insecurity	NN	insecurity
that	IN/that	that
Palestinians	NNS	Palestinian
are	VBP	be
suffering	VVG	suffer
from	IN	from
the	DT	the
Norther	JJR	north
part	NN	part
of	IN	of
gaza's	NN	gaza's
strip	NN	strip
and	CC	and
right	RB	right
now	RB	now
with	IN	with
the	DT	the
suspension	NN	suspension
of	IN	of
the	DT	the
world	NN	world
food	NN	food
program	NN	program
about	IN	about
its	PP$	its
cities	NNS	city
in	IN	in
Aid	NN	aid
deliveries	NNS	delivery
to	TO	to
the	DT	the
nor	CC	nor
part	NN	part
the	DT	the
situation	NN	situation
is	VBZ	be
moving	VVG	move
from	IN	from
being	VBG	be
terrible	JJ	terrible
to	TO	to
be	VB	be
catastrophic	JJ	catastrophic
as	IN	as
people	NNS	people
there	RB	there
are	VBP	be
suffering	VVG	suffer
from	IN	from
one	CD	one
of	IN	of
the	DT	the
worst	JJS	bad
man-made	JJ	man-made
starvation	NN	starvation
being	VBG	be
ever	RB	ever
made	VVN	make
as	IN	as
a	DT	a
part	NN	part
of	IN	of
the	DT	the
Israeli	JJ	Israeli
ongoing	JJ	ongoing
genocidal	JJ	genocidal
military	JJ	military
campaign	NN	campaign
on	IN	on
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
as	IN	as
we	PP	we
have	VHP	have
been	VBN	be
uh	UH	uh
seeing	VVG	see
that	IN/that	that
the	DT	the
uh	UH	uh
the	DT	the
wfb	NN	wfb
had	VHD	have
suspended	VVN	suspend
its	PP$	its
deliveries	NNS	delivery
to	TO	to
AIDS	NP	AIDS
to	TO	to
the	DT	the
Norther	JJR	north
part	NN	part
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
specifically	RB	specifically
that	RB	that
came	VVD	come
after	IN	after
it	PP	it
had	VHD	have
recently	RB	recently
renewed	VVN	renew
it	PP	it
activities	NNS	activity
and	CC	and
a	DT	a
deliveries	NNS	delivery
to	TO	to
the	DT	the
North	NP	North
after	IN	after
3	CD	@card@
weeks	NNS	week
of	IN	of
suspension	NN	suspension
where	WRB	where
people	NNS	people
in	IN	in
the	DT	the
north	NN	north
are	VBP	be
completely	RB	completely
and	CC	and
desperately	RB	desperately
need	VVP	need
such	JJ	such
much	JJ	much
needed	JJ	needed
humanitarian	NN	humanitarian
supplies	VVZ	supply
the	DT	the
the	DT	the
record	NN	record
of	IN	of
famine	NN	famine
there	EX	there
is	VBZ	be
unprecedented	JJ	unprecedented
and	CC	and
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
children	NNS	child
elderly	JJ	elderly
people	NNS	people
and	CC	and
women	NNS	woman
there	RB	there
are	VBP	be
facing	VVG	face
a	DT	a
clear	JJ	clear
malnutrition	NN	malnutrition
because	IN	because
of	IN	of
the	DT	the
uh	UH	uh
full	JJ	full
absence	NN	absence
of	IN	of
food	NN	food
items	NNS	item
there	RB	there
and	CC	and
with	IN	with
the	DT	the
ongoing	JJ	ongoing
Israeli	JJ	Israeli
restrictions	NNS	restriction
on	IN	on
Aid	NN	aid
delivery	NN	delivery
and	CC	and
with	IN	with
the	DT	the
ongoing	JJ	ongoing
bombardment	NN	bombardment
that	WDT	that
is	VBZ	be
the	DT	the
main	JJ	main
cause	NN	cause
why	WRB	why
the	DT	the
wfb	NN	wfb
had	VHD	have
suspend	VV	suspend
its	PP$	its
deliveries	NNS	delivery
for	IN	for
the	DT	the
aid	NN	aid
supplies	VVZ	supply
to	TO	to
the	DT	the
north	NN	north
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
situation	NN	situation
will	MD	will
completely	RB	completely
change	VV	change
rabidly	RB	rabidly
where	WRB	where
people	NNS	people
will	MD	will
die	VV	die
because	IN	because
of	IN	of
hanger	NN	hanger
and	CC	and
TK	NP	TK
again	RB	again
day	NN	day
or	CC	or
night	NN	night
the	DT	the
strikes	NNS	strike
continue	VV	continue
where	WRB	where
should	MD	should
we	PP	we
be	VB	be
focusing	VVG	focus
our	PP$	our
attention	NN	attention
right	RB	right
now	RB	now
yes	RB	yes
as	IN	as
we	PP	we
have	VHP	have
been	VBN	be
hearing	VVG	hear
more	JJR	more
loud	JJ	loud
explosions	NNS	explosion
in	IN	in
KH	NP	KH
unas	NNS	unas
and	CC	and
we	PP	we
have	VHP	have
been	VBN	be
seeing	VVG	see
a	DT	a
clear	JJ	clear
surge	NN	surge
of	IN	of
military	JJ	military
attacks	NNS	attack
also	RB	also
in	IN	in
the	DT	the
Central	JJ	central
areas	NNS	area
again	RB	again
of	IN	of
the	DT	the
territory	NN	territory
where	WRB	where
Dar	NP	Dar
bah	NP	Bah
had	VHD	have
been	VBN	be
attacked	VVN	attack
in	IN	in
the	DT	the
past	JJ	past
hour	NN	hour
a	DT	a
residential	JJ	residential
building	NN	building
belongs	VVZ	belong
to	TO	to
K	NP	K
family	NN	family
had	VHD	have
been	VBN	be
destroyed	VVN	destroy
where	WRB	where
a	DT	a
number	NN	number
of	IN	of
Palestinians	NNS	Palestinian
that	WDT	that
have	VHP	have
reported	VVN	report
injured	JJ	injured
and	CC	and
the	DT	the
rescue	NN	rescue
operations	NNS	operation
as	RB	as
well	RB	well
in	IN	in
the	DT	the
area	NN	area
of	IN	of
the	DT	the
targeting	VVG	target
continues	VVZ	continue
Amed	JJ	Amed
the	DT	the
very	JJ	very
uh	UH	uh
growing	VVG	grow
difficulty	NN	difficulty
for	IN	for
people	NNS	people
there	RB	there
to	TO	to
be	VB	be
evacuated	VVN	evacuate
and	CC	and
the	DT	the
injuries	NNS	injury
have	VHP	have
been	VBN	be
transported	VVN	transport
to	TO	to
alaka	NN	alaka
hospital	NN	hospital
for	IN	for
medical	JJ	medical
uh	UH	uh
treatment	NN	treatment
but	CC	but
we	PP	we
have	VHP	have
been	VBN	be
hearing	VVG	hear
also	RB	also
and	CC	and
we	PP	we
have	VHP	have
been	VBN	be
hearing	VVG	hear
from	IN	from
residents	NNS	resident
in	IN	in
the	DT	the
north	NN	north
that	IN/that	that
they	PP	they
have	VHP	have
have	VHP	have
been	VBN	be
more	RBR	more
growing	JJ	growing
bombardments	NNS	bombardment
in	IN	in
jabalia	NN	jabalia
refugee	NN	refugee
camp	NN	camp
alongside	IN	alongside
with	IN	with
Rafa	NP	Rafa
District	NP	District
in	IN	in
the	DT	the
far	RB	far
south	JJ	south
of	IN	of
Gaza	NP	Gaza
STP	NP	STP
where	WRB	where
civil	JJ	civil
car	NN	car
had	VHD	have
been	VBN	be
targeted	VVN	target
two	CD	two
Palestinians	NNS	Palestinian
at	IN	at
least	JJS	least
being	VBG	be
wed	VVN	wed
Amed	JJ	Amed
ongoing	JJ	ongoing
artillery	NN	artillery
bombardment	NN	bombardment
for	IN	for
the	DT	the
eastern	JJ	eastern
part	NN	part
of	IN	of
Rafa	NP	Rafa
in	IN	in
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
adjacent	JJ	adjacent
areas	NNS	area
that	IN/that	that
separate	JJ	separate
hunas	NNS	hunas
from	IN	from
Strip	NP	Strip
with	IN	with
the	DT	the
overall	JJ	overall
bombardment	NN	bombardment
today	NN	today
the	DT	the
death	NN	death
had	VHD	have
ding	NN	ding
alongside	IN	alongside
with	IN	with
casualties	NNS	casualty
among	IN	among
civilians	NNS	civilian
to	TO	to
more	JJR	more
than	IN	than
140	CD	@card@
Palestinians	NNS	Palestinian
being	VBG	be
injured	VVN	injure
within	IN	within
the	DT	the
past	JJ	past
24	CD	@card@
hours	NNS	hour
ter	NN	ter
Zoom	NN	zoom
force	NN	force
in	IN	in
Rafa	NP	Rafa
thank	VVP	thank
you	PP	you
</doc>	JJ	</doc>
