<video_id>iTUwXIRQ5Uc</video_id>	NP	<video_id>iTUwXIRQ5Uc</video_id>
densely	RB	densely
populated	JJ	populated
areas	NNS	area
full	JJ	full
of	IN	of
Palestinians	NPS	Palestinians
who've	NN	who've
been	VBN	be
displaced	VVN	displace
from	IN	from
the	DT	the
northern	JJ	northern
part	NN	part
and	CC	and
Gaza	NP	Gaza
City	NP	City
more	JJR	more
attacks	NNS	attack
on	IN	on
residential	JJ	residential
homes	NNS	home
but	CC	but
the	DT	the
latest	JJS	late
of	IN	of
what	WP	what
seems	VVZ	seem
to	TO	to
be	VB	be
for	IN	for
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
here	RB	here
is	VBZ	be
an	DT	an
attack	NN	attack
on	IN	on
civil	JJ	civil
order	NN	order
is	VBZ	be
the	DT	the
systematic	JJ	systematic
intentional	JJ	intentional
targeting	VVG	target
of	IN	of
police	NN	police
departments	NNS	department
and	CC	and
police	NN	police
personnels	NNS	personnel
here	RB	here
so	RB	so
far	RB	far
we're	NN	we're
looking	VVG	look
at	IN	at
three	CD	three
separate	JJ	separate
attacks	NNS	attack
on	IN	on
police	NN	police
personnels	NNS	personnel
including	VVG	include
the	DT	the
director	NN	director
of	IN	of
the	DT	the
investigative	JJ	investigative
departments	NNS	department
here	RB	here
in	IN	in
addition	NN	addition
to	TO	to
the	DT	the
director	NN	director
of	IN	of
the	DT	the
police	NN	police
department	NN	department
at	IN	at
later	JJR	late
hours	NNS	hour
uh	UH	uh
yesterday	NN	yesterday
in	IN	in
the	DT	the
morning	NN	morning
three	CD	three
people	NNS	people
were	VBD	be
killed	VVN	kill
in	IN	in
a	DT	a
car	NN	car
the	DT	the
western	JJ	western
part	NN	part
of	IN	of
rafah	NP	rafah
City	NP	City
that's	NNS	that's
the	DT	the
director	NN	director
of	IN	of
the	DT	the
investigative	JJ	investigative
Department	NP	Department
along	IN	along
with	IN	with
his	PP$	his
two	CD	two
of	IN	of
his	PP$	his
assistants	NNS	assistant
at	IN	at
at	IN	at
earlier	RBR	earlier
later	RBR	later
hours	NNS	hour
at	IN	at
about	RB	about
late	JJ	late
afternoon	NN	afternoon
hours	NNS	hour
another	DT	another
three	CD	three
uh	UH	uh
police	NN	police
Personnel	NNS	Personnel
were	VBD	be
inside	IN	inside
their	PP$	their
car	NN	car
in	IN	in
one	CD	one
of	IN	of
the	DT	the
uh	UH	uh
in	IN	in
the	DT	the
central	JJ	central
area	NN	area
of	IN	of
rafah	NN	rafah
city	NN	city
were	VBD	be
targeted	VVN	target
and	CC	and
killed	VVN	kill
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
reacting	VVG	react
this	DT	this
this	DT	this
is	VBZ	be
the	DT	the
beginning	NN	beginning
of	IN	of
this	DT	this
uh	UH	uh
operations	NNS	operation
in	IN	in
Rafa	NP	Rafa
City	NP	City
and	CC	and
they	PP	they
look	VVP	look
at	IN	at
it	PP	it
as	IN	as
a	DT	a
way	NN	way
the	DT	the
Israeli	JJ	Israeli
military	NN	military
is	VBZ	be
following	VVG	follow
just	RB	just
to	TO	to
cause	VV	cause
some	DT	some
sort	NN	sort
of	IN	of
civil	JJ	civil
disorder	NN	disorder
civil	JJ	civil
collapse	NN	collapse
in	IN	in
the	DT	the
city	NN	city
it's	NNS	it's
important	JJ	important
to	TO	to
point	VV	point
out	RP	out
this	DT	this
the	DT	the
police	NN	police
department	NN	department
here	RB	here
ra	JJ	ra
C	NP	C
have	VHP	have
been	VBN	be
working	VVG	work
uh	UH	uh
very	RB	very
hard	JJ	hard
to	TO	to
secure	VV	secure
the	DT	the
delivery	NN	delivery
of	IN	of
of	IN	of
trucks	NNS	truck
humanitarian	JJ	humanitarian
trucks	NNS	truck
been	VBN	be
trying	VVG	try
to	TO	to
uh	UH	uh
cause	VV	cause
some	DT	some
sort	NN	sort
of	IN	of
stability	NN	stability
inside	IN	inside
Healthcare	NP	Healthcare
facilities	NNS	facility
and	CC	and
in	IN	in
front	NN	front
of	IN	of
food	NN	food
distribution	NN	distribution
points	NNS	point
and	CC	and
such	PDT	such
an	DT	an
attack	NN	attack
is	VBZ	be
only	RB	only
an	DT	an
indication	NN	indication
that	IN/that	that
we	PP	we
aree	NNS	aree
of	IN	of
some	DT	some
sort	NN	sort
of	IN	of
of	IN	of
civil	JJ	civil
collapse	NN	collapse
within	IN	within
the	DT	the
coming	VVG	come
days	NNS	day
if	IN	if
it	PP	it
continues	VVZ	continue
uh	UH	uh
to	TO	to
happen	VV	happen
in	IN	in
earlier	JJR	early
hours	NNS	hour
today	NN	today
ongoing	JJ	ongoing
artillery	NN	artillery
Shilling	NP	Shilling
of	IN	of
the	DT	the
eastern	JJ	eastern
part	NN	part
of	IN	of
the	DT	the
city	NN	city
and	CC	and
it's	NNS	it's
just	RB	just
important	JJ	important
to	TO	to
point	VV	point
out	RP	out
that	DT	that
ra	NN	ra
hasn't	NN	hasn't
been	VBN	be
largely	RB	largely
safe	JJ	safe
for	IN	for
Palestinians	NPS	Palestinians
not	RB	not
for	IN	for
the	DT	the
local	JJ	local
residents	NNS	resident
who	WP	who
live	VVP	live
in	IN	in
ra	NN	ra
but	CC	but
also	RB	also
for	IN	for
half	NN	half
of	IN	of
the	DT	the
population	NN	population
of	IN	of
the	DT	the
G	NP	G
who	WP	who
became	VVD	become
displaced	VVN	displace
and	CC	and
forced	VVN	force
as	IN	as
ordered	VVN	order
by	IN	by
the	DT	the
Israeli	JJ	Israeli
military	NN	military
to	TO	to
come	VV	come
to	TO	to
RAF	NN	RAF
City	NN	city
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
who	WP	who
got	VVD	get
to	TO	to
the	DT	the
city	NN	city
and	CC	and
the	DT	the
initial	JJ	initial
weeks	NNS	week
of	IN	of
the	DT	the
war	NN	war
were	VBD	be
killed	VVN	kill
within	IN	within
just	RB	just
a	DT	a
short	JJ	short
period	NN	period
of	IN	of
time	NN	time
of	IN	of
their	PP$	their
arrivals	NNS	arrival
or	CC	or
or	CC	or
Sheltering	VVG	shelter
inside	IN	inside
the	DT	the
residential	JJ	residential
homes	NNS	home
or	CC	or
in	IN	in
the	DT	the
evacuation	NN	evacuation
zones	NNS	zone
at	IN	at
the	DT	the
western	JJ	western
part	NN	part
of	IN	of
the	DT	the
C	NP	C
um	NN	um
hany	NN	hany
let's	NNS	let's
just	RB	just
move	VVP	move
to	TO	to
the	DT	the
uh	UH	uh
the	DT	the
backdrop	NN	backdrop
to	TO	to
all	DT	all
of	IN	of
this	DT	this
which	WDT	which
is	VBZ	be
the	DT	the
announcement	NN	announcement
that	WDT	that
uh	UH	uh
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
has	VHZ	have
instructed	VVN	instruct
the	DT	the
military	NN	military
to	TO	to
put	VV	put
together	RB	together
a	DT	a
plan	NN	plan
for	IN	for
an	DT	an
offensive	NN	offensive
on	IN	on
Rafa	NP	Rafa
and	CC	and
also	RB	also
to	TO	to
put	VV	put
together	RB	together
a	DT	a
plan	NN	plan
to	TO	to
evacuate	VV	evacuate
Rafa	NP	Rafa
how	WRB	how
are	VBP	be
people	NNS	people
reacting	VVG	react
to	TO	to
that	DT	that
very	RB	very
frustrated	VVN	frustrate
and	CC	and
in	IN	in
fact	NN	fact
there	RB	there
isn't	VVD	isn't
a	DT	a
lot	NN	lot
of	IN	of
trust	NN	trust
going	VVG	go
on	IN	on
here	RB	here
because	IN	because
they	PP	they
have	VHP	have
this	DT	this
terrible	JJ	terrible
experience	NN	experience
with	IN	with
Israeli	JJ	Israeli
evacuation	NN	evacuation
orders	NNS	order
since	IN	since
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
war	NN	war
people	NNS	people
who	WP	who
were	VBD	be
told	VVN	tell
to	TO	to
evacuate	VV	evacuate
the	DT	the
northern	JJ	northern
part	NN	part
and	CC	and
Gaza	NP	Gaza
City	NP	City
were	VBD	be
giving	VVG	give
these	DT	these
sharp	JJ	sharp
orders	NNS	order
to	TO	to
the	DT	the
central	JJ	central
area	NN	area
to	TO	to
Han	NP	Han
unisan	NN	unisan
here	RB	here
in	IN	in
Rafa	NP	Rafa
City	NP	City
because	IN	because
they	PP	they
were	VBD	be
specifically	RB	specifically
told	VVN	tell
in	IN	in
order	NN	order
to	TO	to
avoid	VV	avoid
being	VBG	be
bombed	VVN	bomb
they	PP	they
had	VHD	have
to	TO	to
go	VV	go
to	TO	to
certain	JJ	certain
designated	VVN	designate
zones	NNS	zone
by	IN	by
the	DT	the
military	JJ	military
but	CC	but
within	IN	within
a	DT	a
short	JJ	short
period	NN	period
of	IN	of
time	NN	time
of	IN	of
their	PP$	their
arrival	NN	arrival
they	PP	they
were	VBD	be
bombed	VVN	bomb
and	CC	and
they	PP	they
were	VBD	be
killed	VVN	kill
so	IN	so
it	PP	it
just	RB	just
for	IN	for
the	DT	the
most	JJS	most
part	NN	part
these	DT	these
evacuation	NN	evacuation
orders	NNS	order
have	VHP	have
been	VBN	be
very	RB	very
confusing	JJ	confusing
contradictory	NN	contradictory
and	CC	and
misleading	VVG	mislead
and	CC	and
there	RB	there
isn't	JJ	isn't
much	RB	much
to	TO	to
trust	VV	trust
going	VVG	go
on	IN	on
with	IN	with
the	DT	the
Israeli	JJ	Israeli
narrative	NN	narrative
so	IN	so
far	JJ	far
it's	NNS	it's
all	RB	all
based	VVN	base
on	IN	on
allegations	NNS	allegation
that	IN/that	that
not	RB	not
that	DT	that
not	RB	not
supported	VVN	support
by	IN	by
substantial	JJ	substantial
evidence	NN	evidence
whatsoever	RB	whatsoever
almost	RB	almost
everything	NN	everything
the	DT	the
military	NN	military
has	VHZ	have
said	VVN	say
what	WP	what
we	PP	we
see	VVP	see
on	IN	on
the	DT	the
ground	NN	ground
is	VBZ	be
quite	RB	quite
the	DT	the
contrary	NN	contrary
and	CC	and
that's	NNS	that's
why	WRB	why
people	NNS	people
here	RB	here
are	VBP	be
not	RB	not
only	RB	only
frustrated	VVN	frustrate
but	CC	but
also	RB	also
do	VVP	do
not	RB	not
have	VH	have
any	DT	any
other	JJ	other
opt	VVP	opt
options	NNS	option
at	IN	at
all	PDT	all
the	DT	the
the	DT	the
options	NNS	option
available	JJ	available
are	VBP	be
either	RB	either
equivalent	JJ	equivalent
to	TO	to
none	NN	none
or	CC	or
very	RB	very
very	RB	very
limited	JJ	limited
we're	NN	we're
talking	VVG	talk
about	IN	about
a	DT	a
southern	JJ	southern
part	NN	part
of	IN	of
the	DT	the
border	NN	border
of	IN	of
the	DT	the
city	NN	city
it's	NN	it's
the	DT	the
Egyptian	JJ	Egyptian
Gaza	NP	Gaza
border	NN	border
which	WDT	which
people	NNS	people
hoping	VVG	hope
are	VBP	be
not	RB	not
going	VVG	go
to	TO	to
be	VB	be
forced	VVN	force
to	TO	to
cross	VV	cross
to	TO	to
the	DT	the
Egyptian	JJ	Egyptian
side	NN	side
because	IN	because
this	DT	this
will	MD	will
only	RB	only
feed	VV	feed
into	IN	into
a	DT	a
permanent	JJ	permanent
displacement	NN	displacement
there	EX	there
is	VBZ	be
no	DT	no
way	NN	way
whatsoever	RB	whatsoever
they	PP	they
will	MD	will
be	VB	be
able	JJ	able
to	TO	to
get	VV	get
back	RB	back
and	CC	and
to	TO	to
going	VVG	go
back	RB	back
to	TO	to
the	DT	the
northern	JJ	northern
part	NN	part
through	IN	through
this	DT	this
Corridor	NP	Corridor
passage	NN	passage
not	RB	not
only	RB	only
they	PP	they
are	VBP	be
not	RB	not
safe	JJ	safe
and	CC	and
it	PP	it
hasn't	VVD	hasn't
been	VBN	be
guaranteed	VVN	guarantee
that	IN/that	that
they're	NN	they're
going	VVG	go
to	TO	to
be	VB	be
safe	JJ	safe
but	CC	but
they	PP	they
also	RB	also
talking	VVG	talk
about	IN	about
going	VVG	go
back	RB	back
to	TO	to
a	DT	a
wasteland	NN	wasteland
entire	JJ	entire
northern	JJ	northern
part	NN	part
and	CC	and
Central	JJ	central
area	NN	area
that	WDT	that
have	VHP	have
been	VBN	be
turned	VVN	turn
into	IN	into
a	DT	a
pile	NN	pile
of	IN	of
ruins	NNS	ruin
and	CC	and
a	DT	a
largely	RB	largely
A	DT	a
Wasteland	NN	wasteland
with	IN	with
no	DT	no
services	NNS	service
with	IN	with
no	DT	no
Civic	NP	Civic
institutions	NNS	institution
whatsoever	RB	whatsoever
to	TO	to
the	DT	the
point	NN	point
it	PP	it
is	VBZ	be
it	PP	it
is	VBZ	be
becoming	VVG	become
uninhabitable	JJ	uninhabitable
by	IN	by
creating	VVG	create
difficult	JJ	difficult
conditions	NNS	condition
on	IN	on
the	DT	the
ground	NN	ground
to	TO	to
make	VV	make
it	PP	it
unlivable	JJ	unlivable
h	NN	h
thank	VV	thank
you	PP	you
very	RB	very
much	RB	much
indeed	RB	indeed
Han	NP	Han
Mahmud	NP	Mahmud
talking	VVG	talk
to	TO	to
us	PP	us
from	IN	from
Rafa	NP	Rafa
in	IN	in
Sou	NN	sou
gin	NN	gin
</doc>	NN	</doc>
