<video_id>hWKMzgi8uB4</video_id>	JJ	<video_id>hWKMzgi8uB4</video_id>
request	NN	request
to	TO	to
join	VV	join
this	DT	this
uh	UH	uh
uh	UH	uh
join	VV	join
this	DT	this
file	NN	file
as	IN	as
a	DT	a
party	NN	party
and	CC	and
according	VVG	accord
to	TO	to
the	DT	the
delegation	NN	delegation
uh	UH	uh
that	WDT	that
is	VBZ	be
in	IN	in
the	DT	the
he	PP	he
right	RB	right
now	RB	now
uh	UH	uh
the	DT	the
Turkish	JJ	Turkish
delegation	NN	delegation
says	VVZ	say
that	IN/that	that
they	PP	they
have	VHP	have
a	DT	a
strong	JJ	strong
file	NN	file
when	WRB	when
you	PP	you
have	VHP	have
more	JJR	more
parties	NNS	party
participating	VVG	participate
in	IN	in
this	DT	this
uh	UH	uh
in	IN	in
these	DT	these
kinds	NNS	kind
of	IN	of
cases	NNS	case
the	DT	the
case	NN	case
gets	VVZ	get
stronger	JJR	strong
against	IN	against
uh	UH	uh
the	DT	the
offender	NN	offender
this	DT	this
is	VBZ	be
what	WP	what
is	VBZ	be
expected	VVN	expect
but	CC	but
of	IN	of
course	NN	course
I	PP	I
have	VHP	have
to	TO	to
remind	VV	remind
that	IN/that	that
the	DT	the
official	JJ	official
request	NN	request
made	VVN	make
by	IN	by
the	DT	the
other	JJ	other
six	CD	six
countries	NNS	country
that	IN/that	that
I	PP	I
mentioned	VVD	mention
and	CC	and
uh	UH	uh
the	DT	the
the	DT	the
the	DT	the
official	JJ	official
request	NN	request
by	IN	by
turkey	NN	turkey
needs	VVZ	need
to	TO	to
be	VB	be
approved	VVN	approve
by	IN	by
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
which	WDT	which
we	PP	we
don't	VVD	don't
have	VH	have
uh	UH	uh
any	DT	any
approv	NN	approv
yet	RB	yet
the	DT	the
the	DT	the
the	DT	the
legal	JJ	legal
process	NN	process
is	VBZ	be
underway	JJ	underway
H	NN	H
but	CC	but
the	DT	the
experts	NNS	expert
say	VVP	say
that	IN/that	that
the	DT	the
results	NNS	result
the	DT	the
interpretation	NN	interpretation
of	IN	of
the	DT	the
icj	NN	icj
on	IN	on
this	DT	this
case	VV	case
uh	UH	uh
that	WDT	that
uh	UH	uh
accuses	VVZ	accuse
Israel	NP	Israel
of	IN	of
genocide	NN	genocide
will	MD	will
be	VB	be
binding	VVG	bind
for	IN	for
parties	NNS	party
and	CC	and
it	PP	it
will	MD	will
be	VB	be
very	RB	very
important	JJ	important
uh	UH	uh
for	IN	for
International	NP	International
Community	NN	community
because	IN	because
uh	UH	uh
the	DT	the
reason	NN	reason
why	WRB	why
people	NNS	people
have	VHP	have
been	VBN	be
reacting	VVG	react
why	WRB	why
Turkish	JJ	Turkish
authorities	NNS	authority
have	VHP	have
been	VBN	be
reacting	VVG	react
uh	UH	uh
so	CC	so
uh	UH	uh
highly	RB	highly
against	IN	against
uh	UH	uh
what's	NNS	what's
going	VVG	go
on	IN	on
in	IN	in
Gaza	NP	Gaza
was	VBD	be
The	DT	the
Silence	NN	silence
of	IN	of
the	DT	the
International	NP	International
Community	NP	Community
despite	IN	despite
all	PDT	all
these	DT	these
protests	NNS	protest
held	VVN	hold
in	IN	in
the	DT	the
Western	JJ	Western
countries	NNS	country
in	IN	in
the	DT	the
United	NP	United
States	NP	States
we	PP	we
don't	VVD	don't
see	VV	see
anything	NN	anything
despite	IN	despite
the	DT	the
UN	NP	UN
Security	NP	Security
Council	NP	Council
decisions	NNS	decision
to	TO	to
stop	VV	stop
Israel	NP	Israel
okay	JJ	okay
s	NN	S
kogu	NN	kogu
joining	VVG	join
us	PP	us
there	RB	there
from	IN	from
istan	JJ	istan
many	JJ	many
thanks	NNS	thanks
inam	RB	inam
make	VVP	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jazer	NN	jazer
</doc>	NN	</doc>
