<video_id>trnecvWwBqs</video_id>	JJ	<video_id>trnecvWwBqs</video_id>
we	PP	we
need	VVP	need
to	TO	to
truly	RB	truly
focus	VV	focus
in	IN	in
on	IN	on
what	WP	what
would	MD	would
be	VB	be
the	DT	the
state	NN	state
of	IN	of
democracy	NN	democracy
of	IN	of
moving	VVG	move
forward	RB	forward
for	IN	for
nacp	NN	nacp
we	PP	we
really	RB	really
are	VBP	be
concerned	VVN	concern
with	IN	with
the	DT	the
quality	NN	quality
of	IN	of
this	DT	this
democracy	NN	democracy
to	TO	to
ensure	VV	ensure
that	IN/that	that
we	PP	we
are	VBP	be
leading	VVG	lead
democracy	NN	democracy
and	CC	and
wherever	WRB	wherever
possible	JJ	possible
we	PP	we
can	MD	can
advocate	VV	advocate
for	IN	for
a	DT	a
peaceful	JJ	peaceful
agreements	NNS	agreement
when	WRB	when
conflicts	NNS	conflict
are	VBP	be
having	VHG	have
a	DT	a
domestic	JJ	domestic
impact	NN	impact
yes	RB	yes
because	IN	because
we	PP	we
have	VHP	have
a	DT	a
situation	NN	situation
here	RB	here
where	WRB	where
you	PP	you
have	VHP	have
the	DT	the
US	NP	US
Administration	NP	Administration
calling	VVG	call
for	IN	for
the	DT	the
ceasefire	NN	ceasefire
on	IN	on
one	CD	one
hand	NN	hand
on	IN	on
and	CC	and
on	IN	on
the	DT	the
other	JJ	other
of	IN	of
course	NN	course
is	VBZ	be
sending	VVG	send
in	IN	in
arms	NNS	arm
that	WDT	that
perpetuate	VVP	perpetuate
the	DT	the
conflict	NN	conflict
well	RB	well
our	PP$	our
concern	NN	concern
is	VBZ	be
in	IN	in
this	DT	this
moment	NN	moment
we	PP	we
have	VHP	have
so	RB	so
many	JJ	many
civilians	NNS	civilian
who've	NNS	who've
been	VBN	be
impacted	VVN	impact
and	CC	and
we	PP	we
want	VVP	want
to	TO	to
see	VV	see
the	DT	the
the	DT	the
death	NN	death
of	IN	of
young	JJ	young
children	NNS	child
uh	UH	uh
no	RB	no
longer	RBR	longer
be	VB	be
the	DT	the
case	NN	case
the	DT	the
hostages	NNS	hostage
must	MD	must
be	VB	be
released	VVN	release
we	PP	we
have	VHP	have
to	TO	to
get	VV	get
the	DT	the
parties	NNS	party
to	TO	to
the	DT	the
table	NN	table
to	TO	to
begin	VV	begin
to	TO	to
talk	VV	talk
about	IN	about
a	DT	a
way	NN	way
forward	JJ	forward
that's	NNS	that's
peaceful	JJ	peaceful
so	RB	so
that	IN/that	that
we	PP	we
can	MD	can
heal	VV	heal
from	IN	from
this	DT	this
moment	NN	moment
it	PP	it
is	VBZ	be
unfortunate	JJ	unfortunate
uh	UH	uh
what	WP	what
we	PP	we
have	VHP	have
seen	VVN	see
uh	UH	uh
none	NN	none
of	IN	of
this	DT	this
should	MD	should
have	VH	have
taken	VVN	take
place	NN	place
but	CC	but
now	RB	now
we	PP	we
can	MD	can
have	VH	have
a	DT	a
solution	NN	solution
and	CC	and
that	IN/that	that
solution	NN	solution
is	VBZ	be
forcing	VVG	force
the	DT	the
parties	NNS	party
to	TO	to
the	DT	the
table	NN	table
to	TO	to
come	VV	come
up	RP	up
with	IN	with
a	DT	a
peaceful	JJ	peaceful
solution	NN	solution
how	WRB	how
much	RB	much
harder	RBR	harder
do	VVP	do
you	PP	you
think	VVP	think
Joe	NP	Joe
Biden	NP	Biden
has	VHZ	have
made	VVN	make
it	PP	it
for	IN	for
himself	PP	himself
to	TO	to
be	VB	be
reelected	VVN	reelect
over	IN	over
this	DT	this
issue	NN	issue
well	RB	well
I'm	NN	I'm
not	RB	not
going	VVG	go
to	TO	to
go	VV	go
into	IN	into
his	PP$	his
electability	NN	electability
I	PP	I
am	VBP	be
going	VVG	go
to	TO	to
talk	VV	talk
about	IN	about
the	DT	the
African-American	NP	African-American
communities	NNS	community
and	CC	and
the	DT	the
concerns	NNS	concern
that's	NNS	that's
been	VBN	be
expressed	VVN	express
and	CC	and
those	DT	those
concerns	NNS	concern
are	VBP	be
how	WRB	how
do	VVP	do
we	PP	we
get	VV	get
to	TO	to
a	DT	a
place	NN	place
where	WRB	where
uh	UH	uh
we	PP	we
can	MD	can
see	VV	see
peace	NN	peace
in	IN	in
this	DT	this
conflict	NN	conflict
and	CC	and
our	PP$	our
voters	NNS	voter
here	RB	here
could	MD	could
begin	VV	begin
to	TO	to
focus	VV	focus
on	IN	on
what's	NNS	what's
important	JJ	important
the	DT	the
worst	JJS	bad
thing	NN	thing
that	WDT	that
can	MD	can
happen	VV	happen
in	IN	in
the	DT	the
November	NP	November
election	NN	election
is	VBZ	be
we	PP	we
have	VHP	have
someone	NN	someone
with	IN	with
white	JJ	white
supremacist	NN	supremacist
sympathies	NNS	sympathy
and	CC	and
if	IN	if
that	WDT	that
happens	VVZ	happen
in	IN	in
that	DT	that
white	JJ	white
house	NN	house
the	DT	the
African-American	NP	African-American
Community	NP	Community
will	MD	will
be	VB	be
under	IN	under
attack	NN	attack
the	DT	the
Jewish	JJ	Jewish
Community	NN	community
will	MD	will
be	VB	be
under	IN	under
attack	VV	attack
uh	UH	uh
the	DT	the
Islamic	JJ	Islamic
community	NN	community
be	VB	be
under	IN	under
attack	VV	attack
uh	UH	uh
we	PP	we
have	VHP	have
a	DT	a
United	NP	United
reason	NN	reason
to	TO	to
ensure	VV	ensure
that	IN/that	that
we	PP	we
stay	VVP	stay
focused	VVN	focus
on	IN	on
November	NP	November
so	IN	so
we	PP	we
can	MD	can
protect	VV	protect
against	IN	against
a	DT	a
level	NN	level
of	IN	of
un	NN	un
lawlessness	NN	lawlessness
here	RB	here
in	IN	in
the	DT	the
United	NP	United
States	NP	States
that	IN/that	that
we	PP	we
can't	VVD	can't
avoid	VV	avoid
if	IN	if
we	PP	we
focus	VVP	focus
on	IN	on
what's	NNS	what's
important	JJ	important
how	WRB	how
much	JJ	much
support	NN	support
do	VVP	do
you	PP	you
think	VVP	think
there	EX	there
is	VBZ	be
generally	RB	generally
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
for	IN	for
your	PP$	your
position	NN	position
well	RB	well
I	PP	I
can't	VVD	can't
speak	VV	speak
to	TO	to
the	DT	the
United	NP	United
States	NP	States
I	PP	I
can	MD	can
say	VV	say
in	IN	in
the	DT	the
African-American	NP	African-American
Community	NP	Community
there	RB	there
was	VBD	be
Prof	NP	Prof
profound	JJ	profound
concern	NN	concern
about	IN	about
what	WP	what
is	VBZ	be
being	VBG	be
uh	UH	uh
witnessed	VVN	witness
on	IN	on
social	JJ	social
media	NNS	medium
and	CC	and
all	DT	all
of	IN	of
the	DT	the
images	VVZ	image
uh	UH	uh
for	IN	for
many	JJ	many
African-Americans	NP	African-Americans
we	PP	we
absolutely	RB	absolutely
deplored	VVD	deplore
what	WP	what
happened	VVD	happen
on	IN	on
October	NP	October
7th	JJ	7th
that	IN/that	that
should	MD	should
have	VH	have
not	RB	not
have	VH	have
happened	VVN	happen
that	DT	that
was	VBD	be
a	DT	a
killing	NN	killing
of	IN	of
innocent	JJ	innocent
Israeli	JJ	Israeli
lives	NNS	life
and	CC	and
at	IN	at
the	DT	the
exact	JJ	exact
same	JJ	same
time	NN	time
those	DT	those
same	JJ	same
African-Americans	NP	African-Americans
are	VBP	be
really	RB	really
upset	VVN	upset
about	IN	about
what	WP	what
they're	NN	they're
seeing	VVG	see
to	TO	to
Children	NNS	child
uh	UH	uh
in	IN	in
Gaza	NP	Gaza
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
day	NN	day
uh	UH	uh
this	DT	this
nation	NN	nation
need	VVP	need
to	TO	to
lead	VV	lead
a	DT	a
process	NN	process
of	IN	of
bringing	VVG	bring
people	NNS	people
together	RB	together
to	TO	to
ensure	VV	ensure
a	DT	a
peaceful	JJ	peaceful
resolutions	NNS	resolution
so	IN	so
we	PP	we
can	MD	can
get	VV	get
about	IN	about
the	DT	the
business	NN	business
of	IN	of
focusing	VVG	focus
on	IN	on
what's	NNS	what's
important	JJ	important
here	RB	here
domestically	RB	domestically
the	DT	the
war	NN	war
has	VHZ	have
been	VBN	be
going	VVG	go
on	IN	on
for	IN	for
what	WP	what
eight	CD	eight
months	NNS	month
now	RB	now
what	WP	what
is	VBZ	be
it	PP	it
that	RB	that
has	VHZ	have
pushed	VVN	push
you	PP	you
to	TO	to
this	DT	this
moment	NN	moment
at	IN	at
this	DT	this
point	NN	point
what	WP	what
escalation	NN	escalation
of	IN	of
the	DT	the
harm	NN	harm
and	CC	and
the	DT	the
civilian	JJ	civilian
casualties	NNS	casualty
the	DT	the
ongoing	JJ	ongoing
views	NNS	view
of	IN	of
of	IN	of
civilians	NNS	civilian
being	VBG	be
harmed	VVN	harm
uh	UH	uh
the	DT	the
religious	JJ	religious
community	NN	community
and	CC	and
the	DT	the
black	JJ	black
community	NN	community
they	PP	they
are	VBP	be
they	PP	they
are	VBP	be
standing	VVG	stand
up	RP	up
very	RB	very
strong	JJ	strong
that's	NNS	that's
our	PP$	our
base	NN	base
to	TO	to
say	VV	say
wait	VV	wait
a	DT	a
minute	NN	minute
we	PP	we
can	MD	can
do	VV	do
this	DT	this
differently	RB	differently
we	PP	we
are	VBP	be
the	DT	the
glow	VV	glow
uh	UH	uh
leading	VVG	lead
nation	NN	nation
and	CC	and
we	PP	we
should	MD	should
uh	UH	uh
do	VV	do
this	DT	this
differently	RB	differently
we	PP	we
commend	VVP	commend
President	NP	President
Biden	NP	Biden
for	IN	for
calling	VVG	call
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
now	RB	now
we	PP	we
have	VHP	have
to	TO	to
put	VV	put
some	DT	some
muscle	NN	muscle
behind	IN	behind
that	WDT	that
to	TO	to
ensure	VV	ensure
the	DT	the
parties	NNS	party
get	VVP	get
to	TO	to
the	DT	the
table	NN	table
and	CC	and
we	PP	we
can	MD	can
come	VV	come
up	RP	up
with	IN	with
an	DT	an
agreement	NN	agreement
Derek	NP	Derek
Johnson	NP	Johnson
good	JJ	good
to	TO	to
have	VH	have
you	PP	you
with	IN	with
us	PP	us
here	RB	here
in	IN	in
aleser	NP	Aleser
I	PP	I
appreciate	VVP	appreciate
that	RB	that
thank	VV	thank
you	PP	you
very	RB	very
much	RB	much
thank	VV	thank
you	PP	you
make	VV	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
alaz	NN	alaz
</doc>	NN	</doc>
