<video_id>0-EzBGnuFgs</video_id>	JJ	<video_id>0-EzBGnuFgs</video_id>
just	RB	just
add	VVP	add
to	TO	to
the	DT	the
stresses	VVZ	stress
uh	UH	uh
of	IN	of
of	IN	of
of	IN	of
the	DT	the
of	IN	of
the	DT	the
job	NN	job
and	CC	and
the	DT	the
situation	NN	situation
on	IN	on
the	DT	the
ground	NN	ground
doctor	NN	doctor
just	RB	just
for	IN	for
clarity	NN	clarity
there	EX	there
you	PP	you
said	VVD	say
tens	NNS	ten
of	IN	of
thousands	NNS	thousand
of	IN	of
hostages	NNS	hostage
you	PP	you
mean	VVP	mean
people	NNS	people
who	WP	who
were	VBD	be
trapped	VVN	trap
in	IN	in
the	DT	the
hospital	NN	hospital
I	PP	I
mean	VVP	mean
I	PP	I
mean	VVP	mean
I	PP	I
mean	VVP	mean
refugees	NNS	refugee
refugees	NNS	refugee
uh	UH	uh
tens	NNS	ten
of	IN	of
thousands	NNS	thousand
of	IN	of
refugees	NNS	refugee
uh	UH	uh
flying	VVG	fly
all	DT	all
over	IN	over
the	DT	the
place	NN	place
you	PP	you
admit	VVP	admit
a	DT	a
patient	JJ	patient
uh	UH	uh
onto	IN	onto
a	DT	a
a	DT	a
bed	NN	bed
and	CC	and
the	DT	the
whole	JJ	whole
family	NN	family
is	VBZ	be
there	EX	there
uh	UH	uh
and	CC	and
when	WRB	when
the	DT	the
patient	NN	patient
is	VBZ	be
well	RB	well
enough	JJ	enough
to	TO	to
go	VV	go
home	RB	home
the	DT	the
family	NN	family
just	RB	just
stays	VVZ	stay
there	RB	there
because	IN	because
it's	NNS	it's
not	RB	not
safe	JJ	safe
to	TO	to
leave	VV	leave
the	DT	the
hospital	NN	hospital
premises	VVZ	premise
uh	UH	uh
it's	NNS	it's
it's	JJ	it's
uh	UH	uh
you're	NN	you're
you're	NN	you're
we	PP	we
were	VBD	be
operating	VVG	operate
around	IN	around
40	CD	@card@
to	TO	to
50	CD	@card@
cases	NNS	case
a	DT	a
day	NN	day
a	DT	a
lot	NN	lot
of	IN	of
patients	NNS	patient
unfortunately	RB	unfortunately
lose	VVP	lose
lose	VV	lose
their	PP$	their
their	PP$	their
limbs	NNS	limb
and	CC	and
these	DT	these
patients	NNS	patient
don't	VVD	don't
just	RB	just
lose	VV	lose
their	PP$	their
limbs	NNS	limb
they	PP	they
they	PP	they
are	VBP	be
sent	VVN	send
out	RP	out
to	TO	to
a	DT	a
very	RB	very
infected	JJ	infected
environment	NN	environment
a	DT	a
lot	NN	lot
of	IN	of
patients	NNS	patient
almost	RB	almost
all	DT	all
cases	NNS	case
do	VVP	do
get	VV	get
wound	NN	wound
infections	NNS	infection
and	CC	and
and	CC	and
plus	CC	plus
uh	UH	uh
dropping	VVG	drop
off	RP	off
their	PP$	their
their	PP$	their
limbs	NNS	limb
and	CC	and
need	NN	need
reamputations	NNS	reamputations
at	IN	at
higher	JJR	high
levels	NNS	level
um	NNS	um
I	PP	I
recall	VVP	recall
I'll	NP	I'll
just	RB	just
give	VV	give
some	DT	some
samples	NNS	sample
but	CC	but
obviously	RB	obviously
uh	UH	uh
these	DT	these
these	NNS	these
are	VBP	be
not	RB	not
just	RB	just
names	VVZ	name
these	DT	these
are	VBP	be
these	DT	these
these	NNS	these
are	VBP	be
not	RB	not
just	RB	just
numbers	VVZ	number
the	DT	the
the	DT	the
human	JJ	human
beings	NNS	being
young	JJ	young
uh	UH	uh
girl	NN	girl
20	CD	@card@
uh	UH	uh
21	CD	@card@
years	NNS	year
of	IN	of
age	VV	age
uh	UH	uh
had	VHD	have
a	DT	a
right	JJ	right
amputation	NN	amputation
above	IN	above
the	DT	the
knee	NN	knee
and	CC	and
then	RB	then
unfortunately	RB	unfortunately
on	IN	on
on	IN	on
further	JJR	further
treatment	NN	treatment
the	DT	the
in	RB	in
seeped	VVN	seep
through	RP	through
and	CC	and
we	PP	we
had	VHD	have
to	TO	to
completely	RB	completely
dis	NNS	dis
articulate	VV	articulate
her	PP$	her
hip	JJ	hip
joint	JJ	joint
and	CC	and
there's	RB	there's
only	RB	only
so	RB	so
high	JJ	high
you	PP	you
can	MD	can
go	VV	go
and	CC	and
with	IN	with
every	DT	every
time	NN	time
you	PP	you
go	VVP	go
up	RB	up
high	JJ	high
the	DT	the
chances	NNS	chance
of	IN	of
her	PP$	her
survival	NN	survival
goes	VVZ	go
down	RP	down
uh	UH	uh
and	CC	and
if	IN	if
she	PP	she
does	VVZ	do
survive	VV	survive
the	DT	the
the	DT	the
disability	NN	disability
becomes	VVZ	become
more	RBR	more
severe	JJ	severe
uh	UH	uh
meaning	VVG	mean
that	IN/that	that
if	IN	if
you've	NN	you've
got	VVD	get
a	DT	a
below	IN	below
knee	NN	knee
amputation	NN	amputation
that's	NNS	that's
something	NN	something
that	IN/that	that
you	PP	you
may	MD	may
be	VB	be
able	JJ	able
to	TO	to
walk	VV	walk
with	IN	with
with	IN	with
with	IN	with
a	DT	a
prosthesis	NN	prosthesis
but	CC	but
when	WRB	when
you	PP	you
go	VVP	go
up	RP	up
to	TO	to
the	DT	the
hip	JJ	hip
you're	NN	you're
really	RB	really
really	RB	really
in	IN	in
a	DT	a
difficult	JJ	difficult
situation	NN	situation
of	IN	of
course	NN	course
let	VVD	let
alone	RB	alone
the	DT	the
patients	NNS	patient
that	WDT	that
have	VHP	have
other	JJ	other
problems	NNS	problem
from	IN	from
before	RB	before
so	CC	so
uh	UH	uh
I	PP	I
I	NP	I
I	PP	I
was	VBD	be
uh	UH	uh
treating	VVG	treat
a	DT	a
lady	NN	lady
who	WP	who
had	VHD	have
uh	UH	uh
two	CD	two
amputations	NNS	amputation
both	CC	both
leg	NN	leg
legs	NNS	leg
and	CC	and
because	IN	because
of	IN	of
her	PP$	her
underlying	VVG	underlie
leukemia	NN	leukemia
she's	NNS	she's
not	RB	not
healing	VVG	heal
at	IN	at
all	DT	all
there's	NN	there's
no	DT	no
signs	NNS	sign
of	IN	of
of	IN	of
her	PP$	her
body	NN	body
a	DT	a
able	JJ	able
to	TO	to
close	VV	close
up	RP	up
those	DT	those
wounds	NNS	wound
H	NN	H
and	CC	and
and	CC	and
these	DT	these
These	DT	these
are	VBP	be
these	DT	these
are	VBP	be
young	JJ	young
patients	NNS	patient
these	DT	these
are	VBP	be
patients	NNS	patient
in	IN	in
the	DT	the
20s	NNS	20s
and	CC	and
17s	JJ	17s
kids	NNS	kid
H	NN	H
and	CC	and
even	RB	even
when	WRB	when
they	PP	they
stay	VVP	stay
in	IN	in
the	DT	the
hospital	NN	hospital
they're	NN	they're
still	RB	still
not	RB	not
safe	JJ	safe
Yeah	RB	yeah
you	PP	you
mentioned	VVD	mention
you	PP	you
mentioned	VVD	mention
a	DT	a
lot	NN	lot
of	IN	of
a	DT	a
lot	NN	lot
of	IN	of
kids	NNS	kid
and	CC	and
young	JJ	young
people	NNS	people
we	PP	we
know	VVP	know
that	IN/that	that
more	JJR	more
than	IN	than
70%	CD	@card@
of	IN	of
those	DT	those
who've	NN	who've
been	VBN	be
killed	VVN	kill
in	IN	in
Gaza	NP	Gaza
have	VHP	have
been	VBN	be
women	NNS	woman
and	CC	and
children	NNS	child
was	VBD	be
that	DT	that
demographic	JJ	demographic
reflected	VVN	reflect
in	IN	in
in	IN	in
the	DT	the
kinds	NNS	kind
of	IN	of
patients	NNS	patient
you	PP	you
were	VBD	be
seeing	VVG	see
yes	UH	yes
definitely	RB	definitely
yes	RB	yes
I	PP	I
have	VHP	have
not	RB	not
seen	VVN	see
a	DT	a
single	JJ	single
militant	JJ	militant
or	CC	or
Army	NP	Army
Force	NP	Force
come	VV	come
to	TO	to
the	DT	the
hospital	NN	hospital
all	DT	all
my	PP$	my
patients	NNS	patient
and	CC	and
all	PDT	all
my	PP$	my
col	NN	col
Le	NP	Le
patients	NNS	patient
are	VBP	be
civilians	NNS	civilian
mainly	RB	mainly
children	NNS	child
women	NNS	woman
and	CC	and
men	NNS	man
that	WDT	that
have	VHP	have
are	VBP	be
civilians	NNS	civilian
they	PP	they
are	VBP	be
very	RB	very
tired	JJ	tired
they're	NN	they're
very	RB	very
exhausted	VVN	exhaust
they're	NN	they're
very	JJ	very
uh	UH	uh
everyone	NN	everyone
has	VHZ	have
lost	VVN	lose
a	DT	a
family	NN	family
member	NN	member
the	DT	the
one	CD	one
of	IN	of
the	DT	the
surgical	JJ	surgical
assistants	NNS	assistant
I	PP	I
was	VBD	be
surprised	VVN	surprise
and	CC	and
shocked	VVN	shock
to	TO	to
hear	VV	hear
that	IN/that	that
she	PP	she
just	RB	just
lost	VVD	lose
her	PP	her
father	VV	father
uh	UH	uh
another	DT	another
uh	UH	uh
anesthetic	JJ	anesthetic
uh	UH	uh
assistant	JJ	assistant
uh	UH	uh
when	WRB	when
he	PP	he
was	VBD	be
asked	VVN	ask
how	WRB	how
how's	JJ	how's
your	PP$	your
family	NN	family
he	PP	he
just	RB	just
collapsed	VVD	collapse
he	PP	he
collapsed	VVD	collapse
because	IN	because
almost	RB	almost
all	PDT	all
his	PP$	his
family	NN	family
died	VVD	die
his	PP$	his
mom	NN	mom
his	PP$	his
his	PP$	his
dad	NN	dad
his	PP$	his
kids	NNS	kid
they're	NN	they're
all	DT	all
dead	JJ	dead
Doctor	NP	Doctor
you	PP	you
you	PP	you
mentioned	VVD	mention
I	PP	I
mean	VVP	mean
these	DT	these
these	DT	these
medical	JJ	medical
professionals	NNS	professional
are	VBP	be
still	RB	still
going	VVG	go
to	TO	to
work	VV	work
despite	IN	despite
the	DT	the
trauma	NN	trauma
that	IN/that	that
they're	NN	they're
they're	NN	they're
living	VVG	live
through	IN	through
you	PP	you
spoke	VVD	speak
a	DT	a
lot	NN	lot
about	IN	about
amputations	NNS	amputation
there	EX	there
were	VBD	be
those	DT	those
the	DT	the
the	DT	the
primary	JJ	primary
injuries	NNS	injury
you	PP	you
were	VBD	be
treating	VVG	treat
what	WP	what
other	JJ	other
kinds	NNS	kind
of	IN	of
wounds	NNS	wound
were	VBD	be
you	PP	you
seeing	VVG	see
okay	RB	okay
so	RB	so
so	IN	so
the	DT	the
more	JJR	more
common	JJ	common
forms	NNS	form
of	IN	of
wounds	NNS	wound
are	VBP	be
uh	UH	uh
from	IN	from
what	WP	what
is	VBZ	be
called	VVN	call
known	VVN	know
as	IN	as
the	DT	the
quad	NN	quad
copter	NN	copter
these	DT	these
are	VBP	be
bullets	NNS	bullet
and	CC	and
they're	NN	they're
not	RB	not
just	RB	just
set	VVN	set
machine	NN	machine
guns	NNS	gun
that	WDT	that
go	VVP	go
across	RP	across
uh	UH	uh
shedding	VVG	shed
bullets	NNS	bullet
no	RB	no
they	PP	they
have	VHP	have
uh	UH	uh
Hightech	NP	hightech
visualization	NN	visualization
and	CC	and
they	PP	they
can	MD	can
even	RB	even
talk	VV	talk
to	TO	to
the	DT	the
uh	UH	uh
to	TO	to
the	DT	the
uh	UH	uh
to	TO	to
the	DT	the
uh	UH	uh
civilians	NNS	civilian
around	IN	around
them	PP	them
uh	UH	uh
and	CC	and
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
most	RBS	most
shocking	JJ	shocking
things	NNS	thing
is	VBZ	be
that	IN/that	that
they	PP	they
come	VVP	come
from	IN	from
head	NN	head
to	TO	to
toe	VV	toe
so	RB	so
for	IN	for
example	NN	example
gazel	NNS	gazel
was	VBD	be
was	VBD	be
a	DT	a
young	JJ	young
10-year-old	JJ	10-year-old
girl	NN	girl
she	PP	she
came	VVD	come
to	TO	to
me	PP	me
the	DT	the
casuality	NN	casuality
and	CC	and
she	PP	she
was	VBD	be
talking	VVG	talk
absolutely	RB	absolutely
fine	RB	fine
saying	VVG	say
I	PP	I
can't	VVD	can't
move	VV	move
any	DT	any
of	IN	of
my	PP$	my
hands	NNS	hand
or	CC	or
legs	NNS	leg
because	IN	because
the	DT	the
bullet	NN	bullet
passed	VVN	pass
through	IN	through
the	DT	the
spine	NN	spine
wow	NN	wow
at	IN	at
level	NN	level
C6	NP	C6
the	DT	the
neck	NN	neck
vertebra	NN	vertebra
column	NN	column
the	DT	the
sixth	JJ	sixth
vertebra	NN	vertebra
so	IN	so
it	PP	it
just	RB	just
cut	VV	cut
off	RP	off
all	PDT	all
the	DT	the
signals	NNS	signal
to	TO	to
the	DT	the
arms	NNS	arm
and	CC	and
legs	NNS	leg
and	CC	and
and	CC	and
it's	JJ	it's
that's	NNS	that's
it	PP	it
she's	NNS	she's
quadri	NNS	quadri
pleased	VVN	please
for	IN	for
Life	NP	Life
what	WDT	what
what's	NNS	what's
her	PP	her
fault	VVP	fault
this	DT	this
is	VBZ	be
a	DT	a
10-year-old	JJ	10-year-old
girl	NN	girl
doctor	NN	doctor
what's	NNS	what's
her	PP	her
fault	VVP	fault
you	PP	you
were	VBD	be
talking	VVG	talk
there	RB	there
about	RB	about
how	WRB	how
the	DT	the
tens	NNS	ten
of	IN	of
thousands	NNS	thousand
of	IN	of
people	NNS	people
who	WP	who
are	VBP	be
who	WP	who
are	VBP	be
also	RB	also
still	RB	still
in	IN	in
the	DT	the
hospital	NN	hospital
aren't	NN	aren't
safe	RB	safe
did	VVD	do
did	VVD	do
you	PP	you
at	IN	at
any	DT	any
point	NN	point
fear	NN	fear
for	IN	for
your	PP$	your
safety	NN	safety
we	PP	we
obviously	RB	obviously
know	VVP	know
that	IN/that	that
that	DT	that
hospitals	NNS	hospital
and	CC	and
medical	JJ	medical
facilities	NNS	facility
have	VHP	have
become	VVN	become
Targets	NNS	target
in	IN	in
this	DT	this
war	VV	war
oh	UH	oh
definitely	RB	definitely
yes	RB	yes
so	RB	so
at	IN	at
any	DT	any
any	RB	any
second	JJ	second
you	PP	you
are	VBP	be
being	VBG	be
surveillanced	VVN	surveillanced
by	IN	by
drones	NNS	drone
that	WDT	that
have	VHP	have
face	NN	face
recognition	NN	recognition
uh	UH	uh
after	IN	after
the	DT	the
I	PP	I
mean	VVP	mean
when	WRB	when
I	PP	I
arrived	VVD	arrive
there	EX	there
were	VBD	be
already	RB	already
very	RB	very
heavily	RB	heavily
bombarding	VVG	bombard
uh	UH	uh
narur	NN	narur
Hospital	NN	hospital
which	WDT	which
is	VBZ	be
just	RB	just
15	CD	@card@
minute	NN	minute
Walks	NP	Walks
from	IN	from
uh	UH	uh
from	IN	from
from	IN	from
uh	UH	uh
from	IN	from
the	DT	the
European	JJ	European
hospital	NN	hospital
and	CC	and
and	CC	and
uh	UH	uh
and	CC	and
uh	UH	uh
one	CD	one
of	IN	of
the	DT	the
bombs	NNS	bomb
which	WDT	which
was	VBD	be
uh	UH	uh
by	IN	by
F16	JJ	F16
uh	UH	uh
shed	VV	shed
a	DT	a
a	DT	a
shrapnel	NN	shrapnel
that	WDT	that
hit	VVD	hit
the	DT	the
skull	NN	skull
of	IN	of
a	DT	a
10-year-old	JJ	10-year-old
at	IN	at
the	DT	the
doorways	NNS	doorway
of	IN	of
the	DT	the
European	JJ	European
Hospital	NN	hospital
what	WP	what
happened	VVD	happen
to	TO	to
that	DT	that
kid	NN	kid
he	PP	he
basically	RB	basically
lost	VVD	lose
a	DT	a
part	NN	part
of	IN	of
his	PP$	his
skull	NN	skull
and	CC	and
his	PP$	his
underlying	VVG	underlie
brain	NN	brain
swoll	NN	swoll
and	CC	and
he	PP	he
lost	VVD	lose
Consciousness	NN	consciousness
and	CC	and
for	IN	for
two	CD	two
days	NNS	day
before	IN	before
I	PP	I
left	VVD	leave
he	PP	he
never	RB	never
regained	VVD	regain
it	PP	it
and	CC	and
I've	NP	I've
sent	VVD	send
you	PP	you
the	DT	the
pictures	NNS	picture
you	PP	you
might	MD	might
be	VB	be
able	JJ	able
to	TO	to
to	TO	to
show	VV	show
it	PP	it
he's	NNS	he's
been	VBN	be
on	IN	on
on	IN	on
on	IN	on
the	DT	the
ventilator	NN	ventilator
mechanical	JJ	mechanical
ventilator	NN	ventilator
and	CC	and
itu	NN	itu
since	IN	since
and	CC	and
he's	NNS	he's
unlikely	JJ	unlikely
to	TO	to
ever	RB	ever
come	VV	come
back	RB	back
and	CC	and
this	DT	this
is	VBZ	be
someone	NN	someone
that	WDT	that
thought	VVD	think
he	PP	he
was	VBD	be
safe	JJ	safe
No	DT	no
One	CD	one
Is	NP	I
Safe	NP	Safe
doctor	NN	doctor
you	PP	you
say	VVP	say
that	IN/that	that
you	PP	you
were	VBD	be
traumatized	VVN	traumatize
by	IN	by
what	WP	what
you've	NN	you've
seen	VVN	see
there	RB	there
over	IN	over
the	DT	the
last	JJ	last
two	CD	two
weeks	NNS	week
having	VHG	have
seen	VVN	see
what	WP	what
you've	VVP	you've
seen	VVN	see
let	VVP	let
me	PP	me
ask	VV	ask
you	PP	you
what	WP	what
is	VBZ	be
your	PP$	your
message	NN	message
right	RB	right
now	RB	now
for	IN	for
the	DT	the
International	NP	International
Community	NP	Community
for	IN	for
people	NNS	people
who	WP	who
haven't	VVD	haven't
been	VBN	be
on	IN	on
the	DT	the
ground	NN	ground
there	RB	there
in	IN	in
Gaza	NP	Gaza
I	PP	I
think	VVP	think
I	PP	I
I	PP	I
think	VV	think
uh	UH	uh
the	DT	the
world	NN	world
uh	UH	uh
now	RB	now
has	VHZ	have
woken	VVN	wake
up	RP	up
as	IN	as
as	RB	as
as	RB	as
as	IN	as
a	DT	a
public	NN	public
that	IN/that	that
the	DT	the
politicians	NNS	politician
uh	UH	uh
uh	UH	uh
of	IN	of
the	DT	the
superpower	NN	superpower
so-called	JJ	so-called
superpower	NN	superpower
uh	UH	uh
countries	NNS	country
have	VHP	have
no	UH	no
uh	UH	uh
Hearts	NNS	heart
they	PP	they
have	VHP	have
no	DT	no
feelings	NNS	feeling
this	DT	this
is	VBZ	be
5	CD	@card@
months	NNS	month
now	RB	now
and	CC	and
you've	VVP	you've
just	RB	just
been	VBN	be
talking	VVG	talk
about	RB	about
further	RBR	further
attacking	VVG	attack
the	DT	the
most	RBS	most
heav	VVG	heav
uh	UH	uh
populated	JJ	populated
area	NN	area
in	IN	in
RAF	NN	RAF
just	RB	just
to	TO	to
get	VV	get
some	DT	some
hostages	NNS	hostage
while	IN	while
they	PP	they
could	MD	could
have	VH	have
easily	RB	easily
let	VV	let
the	DT	the
hostages	NNS	hostage
from	IN	from
uh	UH	uh
the	DT	the
IDF	NP	IDF
come	VV	come
out	RP	out
and	CC	and
in	IN	in
exchange	NN	exchange
for	IN	for
the	DT	the
safe	JJ	safe
uh	UH	uh
Israeli	JJ	Israeli
host	NN	host
just	RB	just
to	TO	to
go	VV	go
back	RB	back
why	WRB	why
do	VVP	do
you	PP	you
have	VHP	have
to	TO	to
kill	VV	kill
everyone	NN	everyone
there's	NNS	there's
no	RB	no
point	VVP	point
I	PP	I
I	PP	I
fail	VVP	fail
to	TO	to
see	VV	see
any	DT	any
sense	NN	sense
for	IN	for
these	DT	these
politicians	NNS	politician
you	PP	you
can	MD	can
easily	RB	easily
take	VV	take
your	PP$	your
hostages	NNS	hostage
back	RB	back
and	CC	and
just	RB	just
give	VV	give
uh	UH	uh
the	DT	the
the	DT	the
Palestinians	NPS	Palestinians
their	PP$	their
hostages	NNS	hostage
why	WRB	why
do	VVP	do
you	PP	you
have	VHP	have
to	TO	to
destroy	VV	destroy
all	PDT	all
these	DT	these
people	NNS	people
and	CC	and
you're	NNS	you're
talking	VVG	talk
about	IN	about
30,000	CD	@card@
mortalities	NNS	mortality
and	CC	and
a	DT	a
lot	NN	lot
more	RBR	more
uh	UH	uh
disabled	JJ	disabled
and	CC	and
a	DT	a
lot	NN	lot
more	RBR	more
under	IN	under
the	DT	the
rubble	NN	rubble
yeah	RB	yeah
under	IN	under
the	DT	the
rubble	NN	rubble
Dr	NP	Dr
Ahmed	NP	Ahmed
there	RB	there
a	DT	a
thank	VVP	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
sharing	VVG	share
your	PP$	your
experiences	NNS	experience
with	IN	with
us	PP	us
here	RB	here
on	IN	on
Al	NP	Al
jaaz	NP	jaaz
doctor	NN	doctor
and	CC	and
we	PP	we
wish	VVP	wish
you	PP	you
all	PDT	all
the	DT	the
best	JJS	good
with	IN	with
your	PP$	your
work	NN	work
in	IN	in
future	NN	future
thank	VVP	thank
you	PP	you
</doc>	JJ	</doc>
