what	WP	what
against	IN	against
a	DT	a
radical	JJ	radical
flame	NN	flame
of	IN	of
hate	NN	hate
and	CC	and
racism	NN	racism
this	DT	this
is	VBZ	be
a	DT	a
typic	JJ	typic
fight	NN	fight
in	IN	in
history	NN	history
the	DT	the
protests	NNS	protest
and	CC	and
tent	NN	tent
encampments	NNS	encampment
have	VHP	have
spread	VVN	spread
from	IN	from
coast	NN	coast
to	TO	to
coast	NN	coast
from	IN	from
New	NP	New
York	NP	York
to	TO	to
Suburban	NP	Suburban
Chicago	NP	Chicago
'	POS	'
s	NN	S
Northwestern	NP	Northwestern
University	NP	University
to	TO	to
Harvard	NP	Harvard
in	IN	in
Cambridge	NP	Cambridge
Massachusetts	NP	Massachusetts
do	VVP	do
we	PP	we
do	VVP	do
to	TO	to
the	DT	the
University	NP	University
of	IN	of
New	NP	New
Mexico	NP	Mexico
and	CC	and
dozens	NNS	dozen
of	IN	of
campuses	NNS	campus
in	IN	in
between	IN	between
students	NNS	student
at	IN	at
Columbia	NP	Columbia
University	NP	University
have	VHP	have
started	VVN	start
a	DT	a
national	JJ	national
conversation	NN	conversation
whatever	WDT	whatever
happens	VVZ	happen
here	RB	here
or	CC	or
at	IN	at
other	JJ	other
campuses	NNS	campus
those	DT	those
protests	NNS	protest
can	MD	can
get	VV	get
shut	VV	shut
down	RP	down
in	IN	in
one	CD	one
place	NN	place
but	CC	but
that	IN/that	that
conversation	NN	conversation
has	VHZ	have
spread	VVN	spread
to	TO	to
campuses	NNS	campus
across	IN	across
the	DT	the
US	NP	US
and	CC	and
they	PP	they
say	VVP	say
there	EX	there
'	''	'
s	NNS	s
no	RB	no
stopping	VVG	stop
that	IN/that	that
another	DT	another
as	IN	as
the	DT	the
clock	NN	clock
ticks	VVZ	tick
down	RP	down
to	TO	to
the	DT	the
final	JJ	final
weeks	NNS	week
of	IN	of
classes	NNS	class
universities	NNS	university
across	IN	across
the	DT	the
US	NP	US
are	VBP	be
deciding	VVG	decide
whether	IN	whether
to	TO	to
hold	VV	hold
graduation	NN	graduation
ceremonies	NNS	ceremony
punctuated	VVN	punctuate
by	IN	by
encamped	VVN	encamp
protesters	NNS	protester
calls	NNS	call
for	IN	for
Justice	NP	Justice
John	NP	John
hendin	NN	hendin
Al	NP	Al
jazer	NP	jazer
New	NP	New
York	NP	York
make	VVP	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jazer	NP	jazer
