<video_id>sL5H6Q--4gY</video_id>	JJ	<video_id>sL5H6Q--4gY</video_id>
it	PP	it
still	RB	still
did	VVD	do
not	RB	not
stop	VV	stop
we're	NN	we're
seeing	VVG	see
aspersion	NN	aspersion
the	DT	the
attacks	NNS	attack
and	CC	and
it	PP	it
seems	VVZ	seem
to	TO	to
be	VB	be
the	DT	the
beginning	NN	beginning
of	IN	of
a	DT	a
massive	JJ	massive
operations	NNS	operation
in	IN	in
Al	NP	Al
refugee	NN	refugee
camp	NN	camp
as	IN	as
the	DT	the
Israeli	JJ	Israeli
military	NN	military
just	RB	just
announced	VVD	announce
it's	NNS	it's
beginning	VVG	begin
to	TO	to
Target	NP	Target
infrastructures	NNS	infrastructure
and	CC	and
Facilities	NPS	Facilities
uh	UH	uh
in	IN	in
the	DT	the
AL	NP	al
and	CC	and
Ali	NP	Ali
refugee	NN	refugee
camp	NN	camp
so	RB	so
right	RB	right
now	RB	now
I'm	NN	I'm
at	IN	at
the	DT	the
door	NN	door
of	IN	of
the	DT	the
morg	NN	morg
this	DT	this
is	VBZ	be
the	DT	the
morg	NN	morg
of	IN	of
alaka	NN	alaka
hospital	NN	hospital
where	WRB	where
newly	RB	newly
brought	VVN	bring
bodies	NNS	body
to	TO	to
the	DT	the
hospital	NN	hospital
have	VHP	have
been	VBN	be
stacked	VVN	stack
here	RB	here
and	CC	and
as	RB	as
you	PP	you
can	MD	can
see	VV	see
they're	NN	they're
literally	RB	literally
on	IN	on
the	DT	the
floor	NN	floor
of	IN	of
the	DT	the
hospital	NN	hospital
that's	NNS	that's
a	DT	a
body	NN	body
of	IN	of
a	DT	a
of	IN	of
a	DT	a
child	NN	child
and	CC	and
these	DT	these
are	VBP	be
other	JJ	other
bodies	NNS	body
that	WDT	that
were	VBD	be
just	RB	just
brought	VVN	bring
a	DT	a
few	JJ	few
minutes	NNS	minute
ago	RB	ago
uh	UH	uh
who	WP	who
could	MD	could
have	VH	have
believed	VVN	believe
that	IN/that	that
these	DT	these
people	NNS	people
were	VBD	be
inside	IN	inside
their	PP$	their
homes	VVZ	home
uh	UH	uh
half	RB	half
an	DT	an
hour	NN	hour
ago	RB	ago
what	WP	what
we	PP	we
see	VVP	see
here	RB	here
is	VBZ	be
a	DT	a
whole	JJ	whole
family	NN	family
of	IN	of
mothers	NNS	mother
fathers	NNS	father
siblings	NNS	sibling
all	RB	all
here	RB	here
at	IN	at
the	DT	the
floor	NN	floor
of	IN	of
this	DT	this
Mor	NP	Mor
and	CC	and
uh	UH	uh
we	PP	we
don't	VVD	don't
know	VV	know
what's	NNS	what's
going	VVG	go
to	TO	to
happen	VV	happen
next	JJ	next
the	DT	the
bombing	NN	bombing
is	VBZ	be
still	RB	still
going	VVG	go
on	IN	on
there	RB	there
more	JJR	more
bodies	NNS	body
are	VBP	be
coming	VVG	come
to	TO	to
the	DT	the
hospital	NN	hospital
as	IN	as
we	PP	we
were	VBD	be
told	VVN	tell
of	IN	of
by	IN	by
one	CD	one
paramedics	NNS	paramedic
and	CC	and
civil	JJ	civil
defensive	JJ	defensive
crew	NN	crew
more	JJR	more
ambulance	NN	ambulance
V	CD	@card@
Vehicles	NNS	vehicle
been	VBN	be
dispatched	VVN	dispatch
outside	IN	outside
the	DT	the
hospital	NN	hospital
to	TO	to
the	DT	the
targeted	JJ	targeted
site	NN	site
paramedics	NNS	paramedic
told	VVD	tell
us	PP	us
there	RB	there
more	JJR	more
families	NNS	family
are	VBP	be
trapped	VVN	trap
inside	IN	inside
the	DT	the
bombed	VVN	bomb
homes	NNS	home
and	CC	and
in	IN	in
the	DT	the
neighborhoods	NNS	neighborhood
unable	JJ	unable
to	TO	to
leave	VV	leave
because	IN	because
of	IN	of
the	DT	the
intensity	NN	intensity
of	IN	of
the	DT	the
bombing	NN	bombing
campaigns	VVZ	campaign
this	DT	this
is	VBZ	be
very	RB	very
tragic	JJ	tragic
very	RB	very
sad	JJ	sad
and	CC	and
again	RB	again
who	WP	who
would	MD	would
have	VH	have
fought	VVN	fight
this	DT	this
family	NN	family
half	NN	half
an	DT	an
hour	NN	hour
ago	RB	ago
together	RB	together
right	RB	right
now	RB	now
at	IN	at
the	DT	the
floor	NN	floor
of	IN	of
this	DT	this
Mor	NP	Mor
and	CC	and
a	DT	a
spokesman	NN	spokesman
for	IN	for
alaxa	NP	alaxa
Hospital	NP	Hospital
says	VVZ	say
people	NNS	people
are	VBP	be
dying	VVG	die
as	IN	as
they	PP	they
wait	VVP	wait
for	IN	for
life-saving	JJ	life-saving
operations	NNS	operation
and	CC	and
he	PP	he
says	VVZ	say
patients	NNS	patient
have	VHP	have
being	VBG	be
treated	VVN	treat
on	IN	on
the	DT	the
floor	NN	floor
the	DT	the
hospital's	NNS	hospital's
already	RB	already
struggling	VVG	struggle
to	TO	to
deal	VV	deal
with	IN	with
three	CD	three
times	NNS	time
as	IN	as
many	JJ	many
patients	NNS	patient
as	IN	as
it's	NNS	it's
designed	VVN	design
for	IN	for
[Applause]	NN	[Applause]
we	PP	we
demand	VVP	demand
the	DT	the
Rafa	NP	Rafa
and	CC	and
K	NP	K
Abu	NP	Abu
salum	NN	salum
Crossings	NNS	crossing
be	VB	be
reopened	VVN	reopen
to	TO	to
transfer	VV	transfer
the	DT	the
injured	JJ	injured
and	CC	and
the	DT	the
sick	JJ	sick
abroad	RB	abroad
to	TO	to
ease	VV	ease
this	DT	this
Health	NP	Health
crisis	NN	crisis
medical	JJ	medical
supplies	NNS	supply
field	NN	field
hospitals	NNS	hospital
Fuel	NN	fuel
and	CC	and
staff	NN	staff
must	MD	must
be	VB	be
allowed	VVN	allow
in	IN	in
to	TO	to
operate	VV	operate
the	DT	the
hospitals	NNS	hospital
and	CC	and
Health	NP	Health
Care	NP	Care
Centers	VVZ	center
this	DT	this
is	VBZ	be
an	DT	an
urgent	JJ	urgent
appeal	NN	appeal
to	TO	to
International	NP	International
health	NN	health
organizations	NNS	organization
across	IN	across
the	DT	the
world	NN	world
to	TO	to
save	VV	save
gaza's	JJ	gaza's
health	NN	health
system	NN	system
and	CC	and
to	TO	to
stop	VV	stop
this	DT	this
genocidal	JJ	genocidal
War	NN	war
before	IN	before
it's	NNS	it's
too	RB	too
late	RB	late
make	VVP	make
sure	RB	sure
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jaaz	NP	jaaz
</doc>	NN	</doc>
