Mas	NP	Mas
on	IN	on
the	DT	the
University	NP	University
'	POS	'
s	NNS	s
response	NN	response
uh	UH	uh
she	PP	she
was	VBD	be
going	VVG	go
to	TO	to
be	VB	be
talking	VVG	talk
about	IN	about
the	DT	the
University	NP	University
'	POS	'
s	JJ	s
response	NN	response
to	TO	to
anti	JJ	anti
-	NN	-
Semitism	NN	Semitism
now	RB	now
those	DT	those
Congressional	JJ	congressional
hearings	NNS	hearing
as	IN	as
we	PP	we
'	POS	'
ve	NN	ve
heard	VVD	hear
in	IN	in
the	DT	the
past	JJ	past
or	CC	or
seen	VVN	see
in	IN	in
the	DT	the
past	NN	past
can	MD	can
be	VB	be
very	RB	very
tense	JJ	tense
they	PP	they
can	MD	can
be	VB	be
very	RB	very
um	JJ	um
um	NNS	um
they	PP	they
can	MD	can
the	DT	the
certainly	RB	certainly
the	DT	the
educationalist	NN	educationalist
can	MD	can
be	VB	be
held	VVN	hold
to	TO	to
account	VV	account
account	NN	account
significantly	RB	significantly
do	VVP	do
you	PP	you
think	VVP	think
that	IN/that	that
that	WDT	that
has	VHZ	have
in	IN	in
some	DT	some
way	NN	way
influenced	VVD	influence
the	DT	the
decision	NN	decision
by	IN	by
the	DT	the
the	DT	the
The	DT	the
Faculty	NN	faculty
to	TO	to
bring	VV	bring
in	IN	in
the	DT	the
police	NN	police
so	RB	so
to	TO	to
to	TO	to
be	VB	be
clear	JJ	clear
there	RB	there
it	PP	it
was	VBD	be
not	RB	not
the	DT	the
faculty	NN	faculty
that	WDT	that
brought	VVD	bring
in	IN	in
the	DT	the
police	NN	police
it	PP	it
was	VBD	be
the	DT	the
University	NP	University
president	NN	president
The	DT	the
Faculty	NN	faculty
did	VVD	do
not	RB	not
support	VV	support
this	DT	this
move	NN	move
student	NN	student
Senate	NP	Senate
Columbia	NP	Columbia
Senate	NP	Senate
did	VVD	do
not	RB	not
support	VV	support
this	DT	this
move	NN	move
and	CC	and
it	PP	it
was	VBD	be
a	DT	a
unilateral	JJ	unilateral
decision	NN	decision
made	VVN	make
by	IN	by
the	DT	the
president	NN	president
against	IN	against
the	DT	the
wishes	NNS	wish
of	IN	of
many	JJ	many
faculty	NN	faculty
to	TO	to
bring	VV	bring
in	IN	in
the	DT	the
police	NN	police
here	RB	here
um	VVZ	um
it	PP	it
is	VBZ	be
true	JJ	true
that	IN/that	that
the	DT	the
camp	NN	camp
came	VVD	come
up	RP	up
on	IN	on
the	DT	the
day	NN	day
that	IN/that	that
the	DT	the
president	NN	president
was	VBD	be
testifying	VVG	testify
in	IN	in
Congress	NP	Congress
um	NNS	um
I	PP	I
should	MD	should
note	VV	note
that	IN/that	that
this	DT	this
follows	VVZ	follow
months	NNS	month
and	CC	and
months	NNS	month
of	IN	of
actions	NNS	action
from	IN	from
students	NNS	student
um	JJ	um
to	TO	to
push	VV	push
the	DT	the
college	NN	college
the	DT	the
university	NN	university
on	IN	on
this	DT	this
issue	NN	issue
so	IN	so
it	PP	it
'	POS	'
s	NN	S
not	RB	not
something	NN	something
that	IN/that	that
spread	NN	spread
started	VVD	start
last	JJ	last
week	NN	week
this	DT	this
is	VBZ	be
student	NN	student
organizing	VVG	organize
that	DT	that
'	''	'
s	NNS	s
have	VHP	have
been	VBN	be
happening	VVG	happen
for	IN	for
many	JJ	many
months	NNS	month
now	RB	now
and	CC	and
has	VHZ	have
now	RB	now
culminated	VVN	culminate
in	IN	in
an	DT	an
encampment	NN	encampment
that	IN/that	that
the	DT	the
students	NNS	student
are	VBP	be
holding	VVG	hold
um	NNS	um
I	PP	I
think	VVP	think
students	NNS	student
were	VBD	be
disappointed	VVN	disappoint
that	IN/that	that
the	DT	the
president	NN	president
in	IN	in
her	PP$	her
remarks	NNS	remark
to	TO	to
Congress	NP	Congress
uh	UH	uh
did	VVD	do
not	RB	not
push	VV	push
back	RB	back
against	IN	against
accusations	NNS	accusation
of	IN	of
anti	JJ	anti
-	NN	-
Semitism	NN	Semitism
from	IN	from
students	NNS	student
uh	UH	uh
did	VVD	do
not	RB	not
really	RB	really
try	VVP	try
to	TO	to
uh	UH	uh
you	PP	you
know	VVP	know
create	VV	create
a	DT	a
distinction	NN	distinction
between	IN	between
hate	NN	hate
speech	NN	speech
and	CC	and
promotion	NN	promotion
of	IN	of
Human	NP	Human
Rights	NPS	Rights
and	CC	and
so	RB	so
there	EX	there
'	''	'
s	VVG	s
a	DT	a
lot	NN	lot
of	IN	of
anger	NN	anger
I	PP	I
think	VVP	think
right	RB	right
now	RB	now
on	IN	on
campus	NN	campus
for	IN	for
the	DT	the
actions	NNS	action
of	IN	of
the	DT	the
presid	NN	presid
forgive	VV	forgive
me	PP	me
for	IN	for
interrupting	VVG	interrupt
you	PP	you
but	CC	but
I	PP	I
mean	VVP	mean
thanks	NNS	thanks
for	IN	for
the	DT	the
clarification	NN	clarification
that	IN/that	that
this	DT	this
was	VBD	be
a	DT	a
unilateral	JJ	unilateral
decision	NN	decision
made	VVN	make
by	IN	by
the	DT	the
president	NN	president
it	PP	it
used	VVD	use
to	TO	to
be	VB	be
that	IN/that	that
universities	NNS	university
and	CC	and
schools	NNS	school
and	CC	and
colleges	NNS	college
were	VBD	be
supposed	VVN	suppose
to	TO	to
be	VB	be
hot	JJ	hot
beds	NNS	bed
of	IN	of
protest	NN	protest
that	WDT	that
was	VBD	be
part	NN	part
of	IN	of
the	DT	the
educational	JJ	educational
process	NN	process
it	PP	it
was	VBD	be
part	NN	part
of	IN	of
a	DT	a
student	NN	student
life	NN	life
How	WRB	how
concerned	JJ	concerned
are	VBP	be
you	PP	you
do	VVP	do
you	PP	you
think	VVP	think
given	VVN	give
what	WP	what
you	PP	you
'	''	'
ve	VVG	ve
uh	UH	uh
gone	VVN	go
through	RB	through
and	CC	and
what	WP	what
the	DT	the
students	NNS	student
are	VBP	be
going	VVG	go
through	RP	through
that	IN/that	that
this	DT	this
will	MD	will
have	VH	have
an	DT	an
impact	NN	impact
on	IN	on
uh	UH	uh
the	DT	the
the	DT	the
confidence	NN	confidence
that	IN/that	that
students	NNS	student
might	MD	might
have	VH	have
to	TO	to
hold	VV	hold
protests	NNS	protest
like	IN	like
this	DT	this
I	PP	I
think	VVP	think
it	PP	it
'	''	'
s	NNS	s
very	RB	very
dangerous	JJ	dangerous
uh	UH	uh
infringement	NN	infringement
on	IN	on
what	WP	what
is	VBZ	be
really	RB	really
a	DT	a
proud	JJ	proud
culture	NN	culture
of	IN	of
protest	NN	protest
and	CC	and
proud	JJ	proud
history	NN	history
of	IN	of
protests	NNS	protest
here	RB	here
at	IN	at
Columbia	NP	Columbia
and	CC	and
in	IN	in
many	JJ	many
universities	NNS	university
around	IN	around
the	DT	the
country	NN	country
and	CC	and
as	IN	as
we	PP	we
seen	VVN	see
now	RB	now
it	PP	it
'	POS	'
s	NN	S
not	RB	not
just	RB	just
Colombia	NP	Colombia
but	CC	but
there	EX	there
'	''	'
s	NN	S
protest	NN	protest
and	CC	and
C	NP	C
is	VBZ	be
popping	VVG	pop
up	RP	up
in	IN	in
universities	NNS	university
around	IN	around
the	DT	the
country	NN	country
um	VVG	um
it	PP	it
'	POS	'
s	NN	S
anytime	RB	anytime
police	NNS	police
are	VBP	be
brought	VVN	bring
into	IN	into
Crackdown	NN	crackdown
on	IN	on
students	NNS	student
like	IN	like
this	DT	this
it	PP	it
of	IN	of
course	NN	course
chills	NNS	chill
Free	NP	Free
Speech	NN	speech
uh	UH	uh
to	TO	to
the	DT	the
students	NNS	student
credit	VVP	credit
they	PP	they
don	VV	don
'	''	'
t	NN	t
seem	VVP	seem
to	TO	to
be	VB	be
backing	VVG	back
down	RP	down
and	CC	and
and	CC	and
are	VBP	be
back	RB	back
out	RB	out
on	IN	on
the	DT	the
lawn	NN	lawn
really	RB	really
within	IN	within
the	DT	the
same	JJ	same
day	NN	day
that	IN/that	that
the	DT	the
the	DT	the
original	JJ	original
CET	NN	CET
was	VBD	be
shut	VVN	shut
down	RP	down
Bas	NP	Bas
Kaja	NP	Kaja
we	PP	we
appreciate	VVP	appreciate
your	PP$	your
time	NN	time
so	RB	so
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
indeed	RB	indeed
make	VV	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
alaz	NP	alaz
