Israeli	JJ	Israeli
the	DT	the
ground	NN	ground
and	CC	and
the	DT	the
Israelis	NPS	Israelis
are	VBP	be
also	RB	also
saying	VVG	say
the	DT	the
reason	NN	reason
why	WRB	why
they	PP	they
'	POS	'
re	NN	re
restricting	VVG	restrict
them	PP	them
is	VBZ	be
in	IN	in
order	NN	order
to	TO	to
prevent	VV	prevent
confrontation	NN	confrontation
they	PP	they
say	VVP	say
this	DT	this
is	VBZ	be
causing	VVG	cause
exactly	RB	exactly
that	IN/that	that
so	RB	so
you	PP	you
can	MD	can
see	VV	see
there	RB	there
'	''	'
s	NN	S
police	NN	police
um	NNS	um
blocking	VVG	block
areas	NNS	area
the	DT	the
young	JJ	young
people	NNS	people
have	VHP	have
now	RB	now
gone	VVN	go
down	RP	down
the	DT	the
hill	NN	hill
um	NN	um
and	CC	and
we	PP	we
'	POS	'
ve	NN	ve
just	RB	just
seen	VVN	see
various	JJ	various
lineups	NNS	lineup
of	IN	of
police	NNS	police
coming	VVG	come
up	RP	up
and	CC	and
down	RP	down
the	DT	the
hill	NN	hill
so	IN	so
we	PP	we
will	MD	will
keep	VV	keep
you	PP	you
updated	VVN	update
as	IN	as
to	TO	to
what	WP	what
'	POS	'
s	NN	S
happening	VVG	happen
all	DT	all
right	JJ	right
Laura	NP	Laura
we	PP	we
will	MD	will
cross	VV	cross
back	RB	back
to	TO	to
you	PP	you
a	DT	a
little	RB	little
later	RBR	later
on	IN	on
for	IN	for
the	DT	the
time	NN	time
being	VBG	be
thank	VV	thank
you	PP	you
for	IN	for
that	DT	that
update	NN	update
from	IN	from
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
