<video_id>IJ0tBbsCINE</video_id>	JJ	<video_id>IJ0tBbsCINE</video_id>
South	NP	South
we	PP	we
feel	VVP	feel
and	CC	and
we	PP	we
we	PP	we
see	VVP	see
on	IN	on
the	DT	the
ground	JJ	ground
mixed	JJ	mixed
feelings	NNS	feeling
we	PP	we
see	VVP	see
fear	NN	fear
hope	NN	hope
resilience	NN	resilience
anger	NN	anger
anxiety	NN	anxiety
depression	NN	depression
people	VV	people
uh	UH	uh
think	VV	think
uh	UH	uh
they	PP	they
are	VBP	be
using	VVG	use
the	DT	the
last	JJ	last
hours	NNS	hour
of	IN	of
this	DT	this
extended	JJ	extended
Seas	NNS	sea
temporary	JJ	temporary
ceasefire	NN	ceasefire
where	WRB	where
they're	NN	they're
trying	VVG	try
to	TO	to
buy	VV	buy
as	RB	as
much	RB	much
as	IN	as
they	PP	they
can	MD	can
despite	IN	despite
the	DT	the
the	DT	the
fact	NN	fact
that	IN/that	that
they	PP	they
are	VBP	be
striving	VVG	strive
to	TO	to
find	VV	find
anything	NN	anything
in	IN	in
the	DT	the
markets	NNS	market
they	PP	they
say	VVP	say
and	CC	and
they	PP	they
say	VVP	say
that	IN/that	that
there	EX	there
is	VBZ	be
nothing	NN	nothing
available	JJ	available
no	DT	no
winter	NN	winter
clothes	NNS	clothes
no	DT	no
food	NN	food
they're	NN	they're
trying	VVG	try
to	TO	to
reach	VV	reach
some	DT	some
Aid	NN	aid
that	WDT	that
is	VBZ	be
been	VBN	be
entering	VVG	enter
the	DT	the
Gaza	NP	Gaza
SHP	NP	SHP
but	CC	but
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
day	NN	day
they	PP	they
feel	VVP	feel
that	IN/that	that
this	DT	this
um	NN	um
after	IN	after
talking	VVG	talk
to	TO	to
a	DT	a
couple	NN	couple
of	IN	of
people	NNS	people
they	PP	they
said	VVD	say
that	IN/that	that
this	DT	this
um	JJ	um
uh	UH	uh
temporary	JJ	temporary
ceasefire	NN	ceasefire
is	VBZ	be
meaningless	JJ	meaningless
as	RB	as
long	RB	long
as	IN	as
they	PP	they
were	VBD	be
not	RB	not
uh	UH	uh
um	NNS	um
able	JJ	able
to	TO	to
go	VV	go
back	RB	back
to	TO	to
their	PP$	their
houses	NNS	house
to	TO	to
make	VV	make
sure	JJ	sure
that	IN/that	that
their	PP$	their
family	NN	family
stuck	VVN	stick
in	IN	in
the	DT	the
northern	JJ	northern
area	NN	area
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
is	VBZ	be
safe	JJ	safe
we	PP	we
are	VBP	be
still	RB	still
uh	UH	uh
disconnected	VVN	disconnect
from	IN	from
the	DT	the
northern	JJ	northern
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
it's	NNS	it's
very	RB	very
hard	RB	hard
for	IN	for
us	PP	us
to	TO	to
reach	VV	reach
people	NNS	people
in	IN	in
there	RB	there
and	CC	and
it's	NNS	it's
not	RB	not
only	RB	only
us	PP	us
as	RB	as
uh	UH	uh
uh	UH	uh
reporters	NNS	reporter
it's	NNS	it's
also	RB	also
about	IN	about
civilians	NNS	civilian
that	WDT	that
are	VBP	be
striving	VVG	strive
to	TO	to
get	VV	get
any	DT	any
news	NN	news
from	IN	from
their	PP$	their
their	PP$	their
beloved	JJ	beloved
ones	NNS	one
uh	UH	uh
in	IN	in
the	DT	the
northern	JJ	northern
area	NN	area
of	IN	of
the	DT	the
Gazo	NP	Gazo
strip	NN	strip
yes	RB	yes
incredibly	RB	incredibly
difficult	JJ	difficult
situation	NN	situation
there	RB	there
so	IN	so
what's	NNS	what's
the	DT	the
agid	NN	agid
you	PP	you
mentioned	VVD	mention
what's	NNS	what's
happening	VVG	happen
to	TO	to
that	DT	that
Aid	NP	Aid
who's	NNS	who's
managing	VVG	manage
its	PP$	its
distri	NNS	distri
indeed	RB	indeed
how	WRB	how
is	VBZ	be
it	PP	it
being	VBG	be
distributed	VVN	distribute
okay	RB	okay
so	IN	so
every	DT	every
single	JJ	single
day	NN	day
since	IN	since
the	DT	the
beginning	NN	beginning
of	IN	of
this	DT	this
temporary	JJ	temporary
ceasefire	NN	ceasefire
uh	UH	uh
200	CD	@card@
trucks	NNS	truck
of	IN	of
Aid	NP	Aid
inured	VVD	inure
We're	NP	We're
talking	VVG	talk
about	IN	about
a	DT	a
total	NN	total
of	IN	of
950	CD	@card@
approximately	RB	approximately
950	CD	@card@
Aid	NN	aid
uh	UH	uh
uh	UH	uh
uh	UH	uh
trucks	NNS	truck
that	WDT	that
entered	VVD	enter
including	VVG	include
food	NN	food
medicine	NN	medicine
food	NN	food
uh	UH	uh
fuel	VV	fuel
uh	UH	uh
cooking	NN	cooking
gas	VV	gas
uh	UH	uh
who's	NNS	who's
Distributing	VVG	distribute
these	DT	these
uh	UH	uh
uh	UH	uh
uh	UH	uh
Aid	NN	aid
is	VBZ	be
uh	UH	uh
International	JJ	international
uh	UH	uh
Nos	NNS	no
and	CC	and
international	JJ	international
Agencies	NNS	agency
with	IN	with
local	JJ	local
Partners	NNS	partner
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
we	PP	we
noticed	VVD	notice
that	DT	that
wfp	NN	wfp
the	DT	the
world	NN	world
food	NN	food
program	NN	program
was	VBD	be
able	JJ	able
to	TO	to
enter	VV	enter
uh	UH	uh
the	DT	the
northern	JJ	northern
area	NN	area
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
we're	NN	we're
also	RB	also
talking	VVG	talk
about	IN	about
icrc	NN	icrc
and	CC	and
pcrf	VVZ	pcrf
uh	UH	uh
all	RB	all
of	IN	of
these	DT	these
International	NP	International
organizations	NNS	organization
have	VHP	have
been	VBN	be
uh	UH	uh
facilitating	VVG	facilitate
in	IN	in
the	DT	the
Norine	NP	Norine
area	NN	area
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
since	IN	since
uh	UH	uh
since	IN	since
the	DT	the
first	JJ	first
day	NN	day
of	IN	of
the	DT	the
season	NN	season
temporary	JJ	temporary
ceasefire	NN	ceasefire
so	IN	so
Aid	NP	Aid
is	VBZ	be
coming	VVG	come
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
but	CC	but
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
day	NN	day
it	PP	it
is	VBZ	be
not	RB	not
enough	RB	enough
the	DT	the
demand	NN	demand
of	IN	of
food	NN	food
water	NN	water
medicine	NN	medicine
uh	UH	uh
fuel	VV	fuel
cooking	JJ	cooking
gas	NN	gas
is	VBZ	be
huge	JJ	huge
is	VBZ	be
massive	JJ	massive
people	NNS	people
are	VBP	be
striving	VVG	strive
to	TO	to
find	VV	find
any	DT	any
of	IN	of
these	DT	these
basic	NN	basic
needs	VVZ	need
uh	UH	uh
to	TO	to
continue	VV	continue
uh	UH	uh
uh	UH	uh
coping	VVG	cope
with	IN	with
this	DT	this
life	NN	life
the	DT	the
humanitarian	JJ	humanitarian
situation	NN	situation
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
is	VBZ	be
catastrophic	JJ	catastrophic
and	CC	and
we	PP	we
are	VBP	be
seeing	VVG	see
this	DT	this
on	IN	on
the	DT	the
ground	NN	ground
every	DT	every
single	JJ	single
day	NN	day
despite	IN	despite
that	WDT	that
there	EX	there
is	VBZ	be
a	DT	a
temporary	JJ	temporary
ceasefire	NN	ceasefire
but	CC	but
people	NNS	people
still	RB	still
don't	JJ	don't
have	VHP	have
access	NN	access
to	TO	to
clean	VV	clean
water	NN	water
to	TO	to
hygiene	NN	hygiene
uh	UH	uh
to	TO	to
electricity	NN	electricity
to	TO	to
bathrooms	NNS	bathroom
people	NNS	people
in	IN	in
this	DT	this
Hospital	NN	hospital
in	IN	in
alnaser	NN	alnaser
complex	JJ	complex
wait	NN	wait
for	IN	for
hours	NNS	hour
in	IN	in
lines	NNS	line
to	TO	to
enter	VV	enter
the	DT	the
bathroom	NN	bathroom
and	CC	and
use	VV	use
the	DT	the
bathroom	NN	bathroom
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
day	NN	day
there	EX	there
is	VBZ	be
also	RB	also
no	DT	no
water	NN	water
for	IN	for
washing	VVG	wash
themselves	PP	themselves
so	RB	so
all	RB	all
of	IN	of
these	DT	these
uh	UH	uh
hygiene	NN	hygiene
problems	NNS	problem
uh	UH	uh
the	DT	the
health	NN	health
situation	NN	situation
is	VBZ	be
deteriorating	VVG	deteriorate
and	CC	and
we're	NN	we're
also	RB	also
talking	VVG	talk
about	IN	about
thousands	NNS	thousand
of	IN	of
people	NNS	people
displaced	VVN	displace
in	IN	in
this	DT	this
hospital	NN	hospital
and	CC	and
other	JJ	other
un	JJ	un
facilities	NNS	facility
with	IN	with
with	IN	with
like	IN	like
they	PP	they
don't	VVD	don't
have	VH	have
they	PP	they
don't	VVD	don't
even	RB	even
have	VH	have
the	DT	the
minimum	JJ	minimum
basic	JJ	basic
requirements	NNS	requirement
to	TO	to
continue	VV	continue
and	CC	and
survive	VV	survive
uh	UH	uh
this	DT	this
Israeli	NP	Israeli
War	NP	War
indeed	RB	indeed
sanitation	NN	sanitation
situation	NN	situation
getting	VVG	get
worse	JJR	bad
by	IN	by
the	DT	the
day	NN	day
we'll	NN	we'll
leave	VVP	leave
it	PP	it
there	RB	there
hind	JJ	hind
thanks	NNS	thanks
for	IN	for
that	DT	that
update	NN	update
hind	NN	hind
kdari	NNS	kdari
there	RB	there
in	IN	in
the	DT	the
south	NN	south
of	IN	of
Gaza	NP	Gaza
</doc>	NP	</doc>
