well	RB	well
you	PP	you
'	''	'
re	IN	re
you	PP	you
'	POS	'
re	NN	re
facing	VVG	face
right	RB	right
now	RB	now
do	VVP	do
you	PP	you
have	VHP	have
water	NN	water
for	IN	for
example	NN	example
how	WRB	how
are	VBP	be
you	PP	you
able	JJ	able
to	TO	to
survive	VV	survive
uh	UH	uh
at	IN	at
the	DT	the
moment	NN	moment
yeah	RB	yeah
we	PP	we
have	VH	have
we	PP	we
don	VV	don
'	''	'
t	NN	t
have	VHP	have
a	DT	a
a	DT	a
filtered	VVN	filter
water	NN	water
before	IN	before
one	CD	one
day	NN	day
of	IN	of
of	IN	of
the	DT	the
SI	NP	SI
till	IN	till
now	RB	now
now	RB	now
6	CD	@card@
days	NNS	day
without	IN	without
health	NN	health
health	NN	health
water	NN	water
we	PP	we
are	VBP	be
now	RB	now
drinking	VVG	drink
the	DT	the
normal	JJ	normal
water	NN	water
and	CC	and
if	IN	if
there	EX	there
is	VBZ	be
no	DT	no
electricity	NN	electricity
we	PP	we
will	MD	will
not	RB	not
have	VH	have
a	DT	a
water	NN	water
because	IN	because
we	PP	we
have	VHP	have
a	DT	a
water	NN	water
from	IN	from
the	DT	the
land	NN	land
directly	RB	directly
so	RB	so
we	PP	we
have	VHP	have
a	DT	a
shortage	NN	shortage
also	RB	also
of	IN	of
fuel	NN	fuel
because	IN	because
wh	NN	wh
is	VBZ	be
the	DT	the
last	JJ	last
the	DT	the
last	JJ	last
time	NN	time
that	IN/that	that
sending	VVG	send
fuel	NN	fuel
we	PP	we
received	VVD	receive
from	IN	from
wh	NN	wh
in	IN	in
22nd	JJ	22nd
of	IN	of
April	NP	April
and	CC	and
now	RB	now
we	PP	we
are	VBP	be
23rd	JJ	23rd
of	IN	of
May	NP	May
so	RB	so
more	JJR	more
than	IN	than
one	CD	one
month	NN	month
we	PP	we
don	VVP	don
'	''	'
t	NN	t
receive	VV	receive
uh	UH	uh
Fuel	NN	fuel
and	CC	and
and	CC	and
the	DT	the
fuel	NN	fuel
that	IN/that	that
wh	NP	wh
is	VBZ	be
is	VBZ	be
sending	VVG	send
to	TO	to
us	PP	us
is	VBZ	be
early	JJ	early
for	IN	for
two	CD	two
weeks	NNS	week
to	TO	to
running	VVG	run
the	DT	the
hospital	NN	hospital
but	CC	but
nowadays	RB	nowadays
we	PP	we
are	VBP	be
working	VVG	work
on	IN	on
the	DT	the
small	JJ	small
generator	NN	generator
to	TO	to
operating	VVG	operate
the	DT	the
small	JJ	small
generator	NN	generator
only	RB	only
to	TO	to
recharge	VV	recharge
the	DT	the
battery	NN	battery
and	CC	and
uh	UH	uh
to	TO	to
lighting	VVG	light
the	DT	the
the	DT	the
hospital	NN	hospital
and	CC	and
running	VVG	run
some	DT	some
of	IN	of
the	DT	the
small	JJ	small
devices	NNS	device
that	IN/that	that
our	PP$	our
team	NN	team
has	VHZ	have
to	RB	to
to	TO	to
use	VV	use
now	RB	now
and	CC	and
we	PP	we
are	VBP	be
running	VVG	run
this	DT	this
small	JJ	small
generator	NN	generator
only	RB	only
for	IN	for
a	DT	a
few	JJ	few
hours	NNS	hour
because	IN	because
we	PP	we
don	VVP	don
'	''	'
t	NN	t
have	VHP	have
this	DT	this
fuel	NN	fuel
our	PP$	our
Central	JJ	central
store	NN	store
is	VBZ	be
um	JJ	um
uh	UH	uh
far	RB	far
away	RB	away
of	IN	of
the	DT	the
building	NN	building
that	IN/that	that
we	PP	we
are	VBP	be
under	IN	under
the	DT	the
SE	FW	se
unit	NN	unit
right	NN	right
it	PP	it
'	POS	'
s	NN	S
30	CD	@card@
30	CD	@card@
m	NN	m
and	CC	and
we	PP	we
can	MD	can
'	''	'
t	NN	t
bring	VV	bring
any	DT	any
of	IN	of
the	DT	the
medication	NN	medication
and	CC	and
medical	JJ	medical
supplies	NNS	supply
from	IN	from
Central	JJ	central
store	NN	store
and	CC	and
we	PP	we
have	VHP	have
a	DT	a
shortage	NN	shortage
of	IN	of
medication	NN	medication
and	CC	and
medical	JJ	medical
supplies	NNS	supply
very	RB	very
very	RB	very
difficult	JJ	difficult
conditions	NNS	condition
you	PP	you
'	POS	'
re	NN	re
facing	VVG	face
there	RB	there
as	IN	as
this	DT	this
uh	UH	uh
uh	UH	uh
Siege	NN	siege
continues	VVZ	continue
uh	UH	uh
you	PP	you
are	VBP	be
not	RB	not
able	JJ	able
to	TO	to
leave	VV	leave
this	DT	this
hospital	NN	hospital
I	PP	I
understand	VV	understand
uh	UH	uh
and	CC	and
and	CC	and
some	DT	some
of	IN	of
the	DT	the
doctors	NNS	doctor
are	VBP	be
refusing	VVG	refuse
to	TO	to
leave	VV	leave
unless	IN	unless
they	PP	they
'	POS	'
re	NN	re
provided	VVD	provide
with	IN	with
ambulances	NNS	ambulance
and	CC	and
a	DT	a
safe	JJ	safe
Passage	NP	Passage
can	NN	can
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
are	VBP	be
you	PP	you
aware	JJ	aware
of	IN	of
who	WP	who
is	VBZ	be
coordinating	VVG	coordinate
that	DT	that
are	VBP	be
you	PP	you
talking	VVG	talk
to	TO	to
anyone	NN	anyone
about	IN	about
the	DT	the
possibility	NN	possibility
of	IN	of
leaving	VVG	leave
hospital	NN	hospital
uh	UH	uh
actually	RB	actually
we	PP	we
we	PP	we
don	VVP	don
'	''	'
t	NN	t
want	VVP	want
to	TO	to
leave	VV	leave
our	PP$	our
Hospital	NP	Hospital
our	PP$	our
patient	NN	patient
needed	VVD	need
our	PP$	our
services	NNS	service
no	DT	no
hospital	NN	hospital
now	RB	now
in	IN	in
the	DT	the
northern	JJ	northern
Gaza	NP	Gaza
STP	NP	STP
is	VBZ	be
is	VBZ	be
work	VV	work
all	DT	all
of	IN	of
the	DT	the
hospital	NN	hospital
is	VBZ	be
out	RP	out
of	IN	of
service	NN	service
now	RB	now
so	RB	so
this	DT	this
patient	NN	patient
in	IN	in
in	IN	in
a	DT	a
hard	JJ	hard
situation	NN	situation
and	CC	and
they	PP	they
really	RB	really
serious	JJ	serious
services	NNS	service
from	IN	from
us	PP	us
so	IN	so
we	PP	we
we	PP	we
don	VVP	don
'	''	'
t	NN	t
want	VVP	want
to	TO	to
evacuate	VV	evacuate
our	PP$	our
hospital	NN	hospital
we	PP	we
are	VBP	be
providing	VVG	provide
health	NN	health
services	NNS	service
and	CC	and
we	PP	we
are	VBP	be
human	JJ	human
so	IN	so
our	PP$	our
humanity	NN	humanity
is	VBZ	be
will	MD	will
not	RB	not
allow	VV	allow
to	TO	to
us	PP	us
to	RB	to
to	TO	to
leave	VV	leave
our	PP$	our
patient	JJ	patient
uh	UH	uh
in	IN	in
front	NN	front
of	IN	of
us	PP	us
but	CC	but
are	VBP	be
you	PP	you
not	RB	not
afraid	JJ	afraid
Mr	NP	Mr
Salwa	NP	Salwa
for	IN	for
your	PP$	your
safety	NN	safety
and	CC	and
for	IN	for
the	DT	the
safety	NN	safety
of	IN	of
your	PP$	your
patients	NNS	patient
if	IN	if
you	PP	you
stay	VVP	stay
there	RB	there
what	WP	what
J	NN	J
are	VBP	be
you	PP	you
not	RB	not
afraid	JJ	afraid
for	IN	for
your	PP$	your
safety	NN	safety
and	CC	and
the	DT	the
safety	NN	safety
of	IN	of
your	PP$	your
patients	NNS	patient
if	IN	if
you	PP	you
remain	VVP	remain
inside	IN	inside
the	DT	the
hospital	NN	hospital
as	IN	as
we	PP	we
could	MD	could
hear	VV	hear
when	WRB	when
you	PP	you
were	VBD	be
talking	VVG	talk
to	TO	to
us	PP	us
there	EX	there
'	''	'
s	NNS	s
still	RB	still
a	DT	a
lot	NN	lot
of	IN	of
fighting	VVG	fight
going	VVG	go
on	IN	on
around	IN	around
you	PP	you
near	IN	near
the	DT	the
hospital	NN	hospital
are	NN	are
are	VBP	be
you	PP	you
not	RB	not
fearful	JJ	fearful
for	IN	for
the	DT	the
safety	NN	safety
of	IN	of
of	IN	of
the	DT	the
people	NNS	people
who	WP	who
are	VBP	be
under	IN	under
your	PP$	your
care	NN	care
and	CC	and
your	PP$	your
safety	NN	safety
we	PP	we
we	PP	we
told	VVD	tell
them	PP	them
to	TO	to
bring	VV	bring
a	DT	a
ambulance	NN	ambulance
but	CC	but
there	EX	there
is	VBZ	be
no	RB	no
no	DT	no
ambulance	NN	ambulance
has	VHZ	have
to	TO	to
come	VV	come
to	TO	to
uh	UH	uh
to	TO	to
bring	VV	bring
this	DT	this
uh	UH	uh
this	DT	this
patient	NN	patient
but	CC	but
really	RB	really
we	PP	we
if	IN	if
we	PP	we
have	VHP	have
if	IN	if
we	PP	we
have	VHP	have
also	RB	also
the	DT	the
ambulance	NN	ambulance
where	WRB	where
this	DT	this
patient	NN	patient
will	MD	will
go	VV	go
there	EX	there
is	VBZ	be
no	RB	no
another	DT	another
hospital	NN	hospital
to	TO	to
evacuate	VV	evacuate
this	DT	this
patient	NN	patient
to	TO	to
them	PP	them
so	IN	so
we	PP	we
should	MD	should
to	TO	to
provide	VV	provide
the	DT	the
health	NN	health
services	NNS	service
in	IN	in
our	PP$	our
patients	NNS	patient
inside	IN	inside
our	PP$	our
hospital	NN	hospital
and	CC	and
to	TO	to
allow	VV	allow
to	TO	to
us	PP	us
to	TO	to
bring	VV	bring
the	DT	the
medication	NN	medication
and	CC	and
medical	JJ	medical
supplies	NNS	supply
and	CC	and
to	TO	to
running	VVG	run
our	PP$	our
Hospital	NP	Hospital
right	NN	right
so	IN	so
it	PP	it
'	''	'
s	VVG	s
it	PP	it
'	POS	'
s	VVG	s
it	PP	it
'	POS	'
s	NN	S
not	RB	not
easy	JJ	easy
to	TO	to
to	TO	to
evacuate	VV	evacuate
this	DT	this
these	DT	these
patient	NN	patient
and	CC	and
also	RB	also
we	PP	we
are	VBP	be
uh	UH	uh
all	DT	all
contact	NN	contact
we	PP	we
have	VHP	have
a	DT	a
contact	NN	contact
with	IN	with
wh	NN	wh
and	CC	and
msf	NN	msf
our	PP$	our
partner	NN	partner
and	CC	and
also	RB	also
agenes	NNS	agenes
to	TO	to
uh	UH	uh
to	TO	to
evacuate	VV	evacuate
this	DT	this
this	NN	this
this	DT	this
paent	NN	paent
but	CC	but
we	PP	we
are	VBP	be
not	RB	not
succeed	VV	succeed
and	CC	and
also	RB	also
to	TO	to
coordinate	VV	coordinate
with	IN	with
the	DT	the
with	IN	with
with	IN	with
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
to	TO	to
to	TO	to
stop	VV	stop
attacking	VVG	attack
the	DT	the
the	DT	the
hospital	NN	hospital
we	PP	we
are	VBP	be
non	JJ	non
-	NN	-
government	NN	government
organization	NN	organization
providing	VVG	provide
our	PP$	our
services	NNS	service
to	TO	to
the	DT	the
uh	UH	uh
to	TO	to
the	DT	the
patient	NN	patient
in	IN	in
the	DT	the
northern	JJ	northern
Gaza	NP	Gaza
and	CC	and
we	PP	we
have	VHP	have
now	RB	now
a	DT	a
huge	JJ	huge
crisis	NN	crisis
with	IN	with
the	DT	the
women	NNS	woman
they	PP	they
are	VBP	be
not	RB	not
having	VHG	have
now	RB	now
maternity	NN	maternity
Services	NPS	Services
we	PP	we
are	VBP	be
the	DT	the
only	JJ	only
Hospital	NN	hospital
also	RB	also
providing	VVG	provide
maternity	NN	maternity
services	NNS	service
in	IN	in
the	DT	the
northa	NN	northa
and	CC	and
this	DT	this
woman	NN	woman
will	MD	will
not	RB	not
have	VH	have
this	DT	this
these	DT	these
Services	NPS	Services
now	RB	now
the	DT	the
women	NNS	woman
will	MD	will
get	VV	get
better	JJR	good
in	IN	in
the	DT	the
in	IN	in
the	DT	the
shelters	NNS	shelter
and	CC	and
will	MD	will
get	VV	get
in	IN	in
the	DT	the
street	NN	street
at	IN	at
home	NN	home
no	RB	no
they	PP	they
didn	JJ	didn
'	''	'
t	NN	t
have	VHP	have
this	DT	this
kind	NN	kind
of	IN	of
services	NNS	service
in	IN	in
the	DT	the
north	JJ	north
Gaza	NP	Gaza
STP	NP	STP
nowadays	RB	nowadays
so	RB	so
a	DT	a
lot	NN	lot
of	IN	of
problem	NN	problem
the	DT	the
people	NNS	people
in	IN	in
the	DT	the
north	JJ	north
Gaza	NP	Gaza
will	MD	will
face	VV	face
if	IN	if
they	PP	they
really	RB	really
the	DT	the
LA	NP	LA
the	DT	the
hospital	NN	hospital
is	VBZ	be
uh	UH	uh
out	RP	out
of	IN	of
service	NN	service
yeah	RB	yeah
alaa	NN	alaa
hospital	NN	hospital
is	VBZ	be
located	VVN	locate
in	IN	in
the	DT	the
jabalia	NN	jabalia
refugee	NN	refugee
camp	NN	camp
for	IN	for
our	PP$	our
viewers	NNS	viewer
who	WP	who
who	WP	who
don	NN	don
'	POS	'
t	NN	t
know	VVP	know
and	CC	and
this	DT	this
is	VBZ	be
a	DT	a
refugee	NN	refugee
camp	NN	camp
which	WDT	which
has	VHZ	have
been	VBN	be
repeatedly	RB	repeatedly
targeted	VVN	target
by	IN	by
Israeli	JJ	Israeli
forces	NNS	force
since	IN	since
October	NP	October
the	DT	the
7th	JJ	7th
and	CC	and
you	PP	you
'	POS	'
ve	NN	ve
described	VVD	describe
some	RB	some
some	DT	some
very	RB	very
difficult	JJ	difficult
conditions	NNS	condition
Mr	NN	Mr
salha	NN	salha
that	IN/that	that
you	PP	you
'	POS	'
ve	RB	ve
been	VBN	be
working	NN	working
under	IN	under
uh	UH	uh
in	IN	in
uh	UH	uh
AA	NN	aa
since	IN	since
uh	UH	uh
the	DT	the
War	NP	War
Began	NP	Began
can	MD	can
can	VV	can
you	PP	you
uh	UH	uh
perhaps	RB	perhaps
uh	UH	uh
you	PP	you
know	VVP	know
just	RB	just
give	VV	give
us	PP	us
a	DT	a
final	JJ	final
message	NN	message
what	WP	what
would	MD	would
you	PP	you
like	VV	like
to	TO	to
say	VV	say
today	NN	today
to	TO	to
the	DT	the
people	NNS	people
who	WP	who
are	VBP	be
listening	VVG	listen
to	TO	to
you	PP	you
and	CC	and
to	TO	to
the	DT	the
International	NP	International
Community	NP	Community
the	DT	the
the	DT	the
message	NN	message
is	VBZ	be
that	IN/that	that
we	PP	we
uh	UH	uh
working	VVG	work
with	IN	with
to	TO	to
serve	VV	serve
the	DT	the
lives	NNS	life
of	IN	of
the	DT	the
life	NN	life
of	IN	of
people	NNS	people
we	PP	we
ask	VVP	ask
everybody	NN	everybody
to	TO	to
uh	UH	uh
to	TO	to
stand	VV	stand
with	IN	with
the	DT	the
hospital	NN	hospital
our	PP$	our
hospital	NN	hospital
to	TO	to
not	RB	not
Target	NP	Target
it	PP	it
from	IN	from
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
and	CC	and
we	PP	we
call	VVP	call
on	IN	on
the	DT	the
International	NP	International
Community	NN	community
to	TO	to
uh	UH	uh
pressure	NN	pressure
on	IN	on
the	DT	the
Israeli	JJ	Israeli
not	RB	not
to	TO	to
targeted	VVN	target
our	PP$	our
our	PP$	our
hospital	NN	hospital
and	CC	and
let	VV	let
us	PP	us
to	TO	to
work	VV	work
and	CC	and
to	TO	to
providing	VVG	provide
the	DT	the
health	NN	health
services	NNS	service
for	IN	for
the	DT	the
people	NNS	people
in	IN	in
need	NN	need
thank	VVP	thank
you	PP	you
so	RB	so
much	JJ	much
Mr	NP	Mr
salha	NN	salha
Muhammad	NP	Muhammad
salha	NN	salha
for	IN	for
speaking	VVG	speak
to	TO	to
us	PP	us
we	PP	we
wish	VVP	wish
for	IN	for
your	PP$	your
continued	JJ	continued
safety	NN	safety
and	CC	and
the	DT	the
safety	NN	safety
of	IN	of
your	PP$	your
patients	NNS	patient
of	IN	of
course	NN	course
Muhammad	NP	Muhammad
Salah	NP	Salah
is	VBZ	be
the	DT	the
acting	VVG	act
director	NN	director
of	IN	of
the	DT	the
AL	NP	al
Hospital	NP	Hospital
in	IN	in
Northern	NP	Northern
Gaza	NP	Gaza
which	WDT	which
is	VBZ	be
under	IN	under
siege	NN	siege
by	IN	by
Israeli	JJ	Israeli
forces	NNS	force
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
talking	VVG	talk
to	TO	to
us	PP	us
make	VVP	make
sure	RB	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
aler	NN	aler
