<	SYM	<
the	DT	the
parties	NNS	party
have	VHP	have
provided	VVN	provide
with	IN	with
respect	NN	respect
to	TO	to
the	DT	the
current	JJ	current
situation	NN	situation
there	EX	there
is	VBZ	be
reason	NN	reason
to	TO	to
conclude	VV	conclude
that	IN/that	that
the	DT	the
situation	NN	situation
that	WDT	that
warranted	VVD	warrant
the	DT	the
decision	NN	decision
set	VVN	set
out	RP	out
in	IN	in
its	PP$	its
order	NN	order
of	IN	of
March	NP	March
2	CD	@card@
8	CD	@card@
2024	CD	@card@
has	VHZ	have
changed	VVN	change
since	IN	since
that	DT	that
time	NN	time
that	IN/that	that
time	NN	time
if	IN	if
the	DT	the
court	NN	court
find	VVP	find
that	IN/that	that
there	EX	there
was	VBD	be
a	DT	a
change	NN	change
in	IN	in
the	DT	the
situation	NN	situation
since	IN	since
the	DT	the
delivery	NN	delivery
of	IN	of
its	PP$	its
earlier	JJR	early
order	NN	order
it	PP	it
will	MD	will
then	RB	then
have	VH	have
to	TO	to
consider	VV	consider
whether	IN	whether
such	PDT	such
a	DT	a
change	NN	change
justifies	VVZ	justify
a	DT	a
modification	NN	modification
of	IN	of
its	PP$	its
earlier	JJR	early
decision	NN	decision
concerning	VVG	concern
provisional	JJ	provisional
measures	NNS	measure
any	DT	any
such	JJ	such
modification	NN	modification
would	MD	would
be	VB	be
appropriate	JJ	appropriate
only	RB	only
if	IN	if
the	DT	the
general	JJ	general
conditions	NNS	condition
leted	VVN	leted
down	RP	down
in	IN	in
article	NN	article
41	CD	@card@
of	IN	of
the	DT	the
statute	NN	statute
of	IN	of
the	DT	the
Court	NP	Court
were	VBD	be
also	RB	also
met	VVN	meet
in	IN	in
this	DT	this
instance	NN	instance
the	DT	the
court	NN	court
thus	RB	thus
Begins	VVZ	begin
by	IN	by
determining	VVG	determine
whether	IN	whether
there	EX	there
has	VHZ	have
been	VBN	be
a	DT	a
change	NN	change
in	IN	in
the	DT	the
situation	NN	situation
that	WDT	that
warranted	VVD	warrant
the	DT	the
decision	NN	decision
set	VVN	set
out	RP	out
in	IN	in
its	PP$	its
order	NN	order
of	IN	of
March	NP	March
28	CD	@card@
2024	CD	@card@
the	DT	the
court	NN	court
recalls	VVZ	recall
that	IN/that	that
its	PP$	its
order	NN	order
of	IN	of
2024	CD	@card@
it	PP	it
noted	VVD	note
that	IN/that	that
the	DT	the
military	JJ	military
operation	NN	operation
conducted	VVN	conduct
by	IN	by
Israel	NP	Israel
following	VVG	follow
the	DT	the
attack	NN	attack
of	IN	of
October	NP	October
7	CD	@card@
2023	NP	@card@
had	VHD	have
resulted	VVN	result
in	IN	in
I	PP	I
quote	VVP	quote
a	DT	a
large	JJ	large
number	NN	number
of	IN	of
deaths	NNS	death
and	CC	and
injuries	NNS	injury
as	RB	as
well	RB	well
as	IN	as
the	DT	the
massive	JJ	massive
destruction	NN	destruction
of	IN	of
homes	NNS	home
the	DT	the
forceable	JJ	forceable
displacement	NN	displacement
of	IN	of
the	DT	the
vast	JJ	vast
majority	NN	majority
of	IN	of
the	DT	the
population	NN	population
and	CC	and
extensive	JJ	extensive
damage	NN	damage
to	TO	to
civilian	JJ	civilian
infrastructure	NN	infrastructure
end	NN	end
of	IN	of
quote	NN	quote
in	IN	in
its	PP$	its
decision	NN	decision
communicate	VV	communicate
to	TO	to
the	DT	the
parties	NNS	party
by	IN	by
letters	NNS	letter
of	IN	of
16	CD	@card@
February	NP	February
2024	CD	@card@
the	DT	the
court	NN	court
noted	VVD	note
quoting	VVG	quote
the	DT	the
United	NP	United
Nations	NPS	Nations
Secretary	NP	Secretary
General	NP	General
that	IN/that	that
the	DT	the
developments	NNS	development
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
Rafa	NP	Rafa
in	IN	in
particular	NN	particular
I	PP	I
quote	VVP	quote
would	MD	would
exponentially	RB	exponentially
increase	VV	increase
what	WP	what
was	VBD	be
already	RB	already
a	DT	a
humanitarian	JJ	humanitarian
nightmare	NN	nightmare
with	IN	with
Untold	JJ	untold
Regional	JJ	regional
consequences	NNS	consequence
end	NN	end
of	IN	of
quote	NN	quote
the	DT	the
court	NN	court
further	RBR	further
recalls	VVZ	recall
that	IN/that	that
in	IN	in
its	PP$	its
order	NN	order
of	IN	of
March	NP	March
28	CD	@card@
2024	CD	@card@
it	PP	it
observed	VVD	observe
with	IN	with
regret	NN	regret
that	IN/that	that
the	DT	the
catastrophic	JJ	catastrophic
living	NN	living
conditions	NNS	condition
of	IN	of
the	DT	the
Palestinians	NPS	Palestinians
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
had	VHD	have
deteriorated	VVN	deteriorate
further	RBR	further
since	IN	since
January	NP	January
2024	CD	@card@
especially	RB	especially
in	IN	in
view	NN	view
of	IN	of
the	DT	the
prolonged	JJ	prolonged
and	CC	and
widespread	JJ	widespread
deprivation	NN	deprivation
of	IN	of
food	NN	food
and	CC	and
other	JJ	other
basic	JJ	basic
necessities	NNS	necessity
to	TO	to
where	WRB	where
the	DT	the
Palestinians	NPS	Palestinians
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
had	VHD	have
been	VBN	be
subjected	VVN	subject
in	IN	in
the	DT	the
present	JJ	present
order	NN	order
the	DT	the
court	NN	court
notes	VVZ	note
that	IN/that	that
the	DT	the
catastrophic	JJ	catastrophic
humanitarian	JJ	humanitarian
situation	NN	situation
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
which	WDT	which
as	RB	as
stated	VVD	state
in	IN	in
its	PP$	its
order	NN	order
of	IN	of
2024	CD	@card@
was	VBD	be
a	DT	a
serious	JJ	serious
risk	NN	risk
of	IN	of
deteriorating	VVG	deteriorate
has	VHZ	have
deteriorated	VVN	deteriorate
and	CC	and
has	VHZ	have
done	VVN	do
so	RB	so
even	RB	even
further	RBR	further
since	IN	since
the	DT	the
court	NN	court
adopted	VVD	adopt
its	PP$	its
2024	CD	@card@
in	IN	in
this	DT	this
regard	NN	regard
the	DT	the
court	NN	court
observes	VVZ	observe
that	IN/that	that
the	DT	the
concern	NN	concern
that	IN/that	that
it	PP	it
expressed	VVD	express
in	IN	in
its	PP$	its
decision	NN	decision
communicate	VV	communicate
with	IN	with
the	DT	the
departs	VVZ	depart
on	IN	on
February	NP	February
16	CD	@card@
2024	CD	@card@
with	IN	with
respect	NN	respect
to	TO	to
the	DT	the
developments	NNS	development
in	IN	in
Rafa	NP	Rafa
have	VHP	have
materialized	VVN	materialize
and	CC	and
that	IN/that	that
the	DT	the
humanitarian	JJ	humanitarian
situation	NN	situation
is	VBZ	be
now	RB	now
to	TO	to
be	VB	be
characterized	VVN	characterize
as	RB	as
disastrous	JJ	disastrous
after	IN	after
weeks	NNS	week
of	IN	of
intensification	NN	intensification
of	IN	of
military	JJ	military
bombardments	NNS	bombardment
of	IN	of
Rafa	NP	Rafa
were	VBD	be
more	JJR	more
than	IN	than
million	CD	million
Palestinians	NNS	Palestinian
had	VHD	have
fled	VVN	flee
as	IN	as
a	DT	a
result	NN	result
of	IN	of
Israeli	JJ	Israeli
evacuation	NN	evacuation
orders	NNS	order
covering	VVG	cover
more	JJR	more
than	IN	than
34s	JJ	34s
of	IN	of
gaza	NP	Gaza
'	POS	'
s	JJ	s
entire	JJ	entire
territory	NN	territory
on	IN	on
May	NP	May
6	CD	@card@
2024	CD	@card@
nearly	RB	nearly
100	CD	@card@
,	,	,
000	CD	@card@
Palestinians	NNS	Palestinian
were	VBD	be
ordered	VVN	order
by	IN	by
Israel	NP	Israel
to	TO	to
evacuate	VV	evacuate
the	DT	the
Eastern	JJ	eastern
portion	NN	portion
of	IN	of
Rafa	NP	Rafa
and	CC	and
relocate	VV	relocate
to	TO	to
Al	NP	Al
maasi	NNS	maasi
and	CC	and
kanun	NN	kanun
areas	NNS	area
ahead	RB	ahead
of	IN	of
a	DT	a
planned	JJ	planned
military	JJ	military
offensive	NN	offensive
the	DT	the
military	JJ	military
ground	NN	ground
offensive	NN	offensive
in	IN	in
Rafa	NP	Rafa
which	WDT	which
Israel	NP	Israel
started	VVD	start
on	IN	on
May	NP	May
7	CD	@card@
2024	CD	@card@
is	VBZ	be
still	RB	still
ongoing	JJ	ongoing
and	CC	and
has	VHZ	have
led	VVN	lead
to	TO	to
new	JJ	new
evacuation	NN	evacuation
orders	NNS	order
as	IN	as
a	DT	a
result	NN	result
according	VVG	accord
to	TO	to
United	NP	United
Nations	NPS	Nations
reports	VVZ	report
nearly	RB	nearly
800	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
have	VHP	have
been	VBN	be
displaced	VVN	displace
from	IN	from
Rafa	NP	Rafa
as	IN	as
at	IN	at
May	NP	May
18	CD	@card@
2024	CD	@card@
the	DT	the
court	NN	court
considered	VVD	consider
that	IN/that	that
the	DT	the
aforementioned	JJ	aforementioned
developments	NNS	development
which	WDT	which
are	VBP	be
exceptionally	RB	exceptionally
grave	JJ	grave
in	IN	in
particular	JJ	particular
the	DT	the
military	JJ	military
offensive	NN	offensive
in	IN	in
Rafa	NP	Rafa
and	CC	and
resulting	VVG	result
repeated	JJ	repeated
large	JJ	large
scale	NN	scale
displacement	NN	displacement
of	IN	of
already	RB	already
extremely	RB	extremely
vulnerable	JJ	vulnerable
Palestinian	JJ	Palestinian
population	NN	population
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
constitute	VVP	constitute
a	DT	a
change	NN	change
in	IN	in
the	DT	the
situation	NN	situation
within	IN	within
the	DT	the
meaning	NN	meaning
of	IN	of
article	NN	article
76	CD	@card@
of	IN	of
the	DT	the
rules	NNS	rule
of	IN	of
court	NN	court
the	DT	the
court	NN	court
is	VBZ	be
also	RB	also
of	IN	of
the	DT	the
view	NN	view
that	IN/that	that
provisional	JJ	provisional
measures	NNS	measure
indicated	VVN	indicate
in	IN	in
its	PP$	its
2024	CD	@card@
as	RB	as
well	RB	well
as	IN	as
those	DT	those
reaffirmed	VVD	reaffirm
therein	RB	therein
do	VV	do
not	RB	not
fully	RB	fully
address	VV	address
the	DT	the
consequences	NNS	consequence
arising	VVG	arise
from	IN	from
the	DT	the
change	NN	change
in	IN	in
the	DT	the
situation	NN	situation
previously	RB	previously
explained	VVD	explain
thus	RB	thus
justifying	VVG	justify
the	DT	the
modification	NN	modification
of	IN	of
these	DT	these
measures	NNS	measure
however	RB	however
in	IN	in
order	NN	order
to	TO	to
modify	VV	modify
its	PP$	its
measures	NNS	measure
the	DT	the
court	NN	court
must	MD	must
still	RB	still
satisfy	VV	satisfy
itself	PP	itself
that	IN/that	that
the	DT	the
general	JJ	general
conditions	NNS	condition
let	VVP	let
down	RP	down
in	IN	in
article	NN	article
41	CD	@card@
of	IN	of
the	DT	the
statute	NN	statute
of	IN	of
the	DT	the
Court	NP	Court
are	VBP	be
met	VVN	meet
in	IN	in
the	DT	the
current	JJ	current
circum	NN	circum
situation	NN	situation
the	DT	the
court	NN	court
next	RB	next
turns	VVZ	turn
to	TO	to
the	DT	the
conditions	NNS	condition
for	IN	for
the	DT	the
indication	NN	indication
of	IN	of
measures	NNS	measure
it	PP	it
records	VVZ	record
that	IN/that	that
in	IN	in
its	PP$	its
orders	NNS	order
of	IN	of
January	NP	January
26	CD	@card@
2024	CD	@card@
and	CC	and
March	NP	March
28th	JJ	28th
2024	CD	@card@
it	PP	it
concluded	VVD	conclude
that	IN/that	that
Prima	JJ	prima
fashi	NNS	fashi
it	PP	it
had	VHD	have
jurisdiction	NN	jurisdiction
pursuant	JJ	pursuant
to	TO	to
article	NN	article
9	CD	@card@
of	IN	of
the	DT	the
genocide	NN	genocide
convention	NN	convention
to	TO	to
entertain	VV	entertain
the	DT	the
case	NN	case
the	DT	the
court	NN	court
sees	VVZ	see
no	DT	no
reason	NN	reason
to	TO	to
revisit	VV	revisit
that	DT	that
conclusion	NN	conclusion
for	IN	for
the	DT	the
purposes	NNS	purpose
of	IN	of
deciding	VVG	decide
on	IN	on
the	DT	the
present	JJ	present
request	NN	request
in	IN	in
the	DT	the
order	NN	order
of	IN	of
January	NP	January
26	CD	@card@
2024	CD	@card@
the	DT	the
court	NN	court
also	RB	also
found	VVD	find
that	IN/that	that
at	IN	at
least	JJS	least
some	DT	some
of	IN	of
the	DT	the
rights	NNS	right
claimed	VVN	claim
by	IN	by
South	NP	South
Africa	NP	Africa
under	IN	under
the	DT	the
jasad	NN	jasad
convention	NN	convention
and	CC	and
for	IN	for
which	WDT	which
it	PP	it
was	VBD	be
seeking	VVG	seek
protection	NN	protection
were	VBD	be
plausible	JJ	plausible
namely	RB	namely
the	DT	the
right	NN	right
of	IN	of
the	DT	the
Palestinians	NPS	Palestinians
in	IN	in
Gaza	NP	Gaza
to	TO	to
be	VB	be
protected	VVN	protect
from	IN	from
acts	NNS	act
of	IN	of
genocide	NN	genocide
and	CC	and
related	JJ	related
prohibited	VVN	prohibit
acts	NNS	act
mentioned	VVN	mention
in	IN	in
article	NN	article
3	CD	@card@
and	CC	and
the	DT	the
right	NN	right
of	IN	of
South	NP	South
Africa	NP	Africa
to	TO	to
seek	VV	seek
Israel	NP	Israel
'	POS	'
s	JJ	s
compliance	NN	compliance
with	IN	with
the	DT	the
latter	NN	latter
'	POS	'
s	JJ	s
obligation	NN	obligation
under	IN	under
the	DT	the
convention	NN	convention
the	DT	the
court	NN	court
saw	VVD	see
no	DT	no
reason	NN	reason
to	TO	to
revisit	VV	revisit
this	DT	this
conclusion	NN	conclusion
in	IN	in
its	PP$	its
order	NN	order
of	IN	of
March	NP	March
28	CD	@card@
2024	CD	@card@
the	DT	the
court	NN	court
likewise	RB	likewise
sees	VVZ	see
no	DT	no
reason	NN	reason
to	TO	to
do	VV	do
so	RB	so
for	IN	for
the	DT	the
purposes	NNS	purpose
of	IN	of
deciding	VVG	decide
on	IN	on
the	DT	the
present	JJ	present
request	NN	request
it	PP	it
further	RBR	further
considers	VVZ	consider
that	IN/that	that
by	IN	by
their	PP$	their
very	JJ	very
nature	NN	nature
at	IN	at
least	JJS	least
some	DT	some
of	IN	of
the	DT	the
provisional	JJ	provisional
measures	NNS	measure
sought	VVD	seek
pursuant	JJ	pursuant
to	TO	to
the	DT	the
present	NN	present
re	IN	re
Quest	NP	Quest
are	VBP	be
aimed	VVN	aim
at	IN	at
preserving	VVG	preserve
the	DT	the
rights	NNS	right
claimed	VVN	claim
by	IN	by
the	DT	the
applicant	NN	applicant
that	IN/that	that
the	DT	the
court	NN	court
has	VHZ	have
found	VVN	find
to	TO	to
be	VB	be
plausible	JJ	plausible
the	DT	the
court	NN	court
must	MD	must
next	RB	next
consider	VV	consider
whether	IN	whether
the	DT	the
current	JJ	current
situation	NN	situation
entails	VVZ	entail
a	DT	a
risk	NN	risk
of	IN	of
irreparable	JJ	irreparable
prejudice	NN	prejudice
to	TO	to
the	DT	the
plausible	JJ	plausible
rights	NNS	right
claimed	VVN	claim
by	IN	by
South	NP	South
Africa	NP	Africa
and	CC	and
whether	IN	whether
there	EX	there
is	VBZ	be
urgency	NN	urgency
the	DT	the
court	NN	court
recalls	VVZ	recall
in	IN	in
this	DT	this
regard	NN	regard
that	IN/that	that
it	PP	it
has	VHZ	have
previously	RB	previously
included	VVN	include
that	IN/that	that
in	IN	in
view	NN	view
of	IN	of
the	DT	the
fundamental	JJ	fundamental
values	NNS	value
so	RB	so
to	TO	to
be	VB	be
protected	VVN	protect
by	IN	by
the	DT	the
genocide	NN	genocide
convention	NN	convention
the	DT	the
plausible	JJ	plausible
rights	NNS	right
in	IN	in
question	NN	question
in	IN	in
these	DT	these
proceedings	NNS	proceeding
are	VBP	be
of	IN	of
such	PDT	such
a	DT	a
nature	NN	nature
that	WDT	that
prejudices	VVZ	prejudice
to	TO	to
them	PP	them
is	VBZ	be
capable	JJ	capable
of	IN	of
causing	VVG	cause
irreparable	JJ	irreparable
harm	NN	harm
the	DT	the
court	NN	court
recalls	VVZ	recall
that	IN/that	that
on	IN	on
May	NP	May
7	CD	@card@
2024	CD	@card@
Israel	NP	Israel
began	VVD	begin
a	DT	a
military	JJ	military
offensive	NN	offensive
in	IN	in
Rafa	NP	Rafa
following	VVG	follow
weeks	NNS	week
of	IN	of
intensified	JJ	intensified
bombardment	NN	bombardment
and	CC	and
that	IN/that	that
as	IN	as
a	DT	a
result	NN	result
approximately	RB	approximately
800	CD	@card@
,	,	,
000	CD	@card@
Palestinians	NNS	Palestinian
were	VBD	be
displaced	VVN	displace
from	IN	from
Rafa	NP	Rafa
as	IN	as
at	IN	at
May	NP	May
18	CD	@card@
2024	CD	@card@
the	DT	the
court	NN	court
notes	VVZ	note
that	IN/that	that
senior	JJ	senior
United	NP	United
Nations	NPS	Nations
officials	NNS	official
have	VHP	have
consistently	RB	consistently
underscored	VVN	underscore
the	DT	the
immense	JJ	immense
risks	NNS	risk
associated	VVN	associate
with	IN	with
the	DT	the
military	JJ	military
offensive	NN	offensive
in	IN	in
Rafa	NP	Rafa
for	IN	for
for	IN	for
instance	NN	instance
on	IN	on
May	NP	May
3	CD	@card@
2024	CD	@card@
the	DT	the
spokesperson	NN	spokesperson
of	IN	of
the	DT	the
office	NN	office
for	IN	for
the	DT	the
coordination	NN	coordination
of	IN	of
humanitarian	JJ	humanitarian
Affairs	NPS	Affairs
warned	VVD	warn
that	IN/that	that
an	DT	an
assault	NN	assault
on	IN	on
rafah	NN	rafah
would	MD	would
put	VV	put
I	PP	I
quote	VV	quote
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
of	IN	of
people	NNS	people
at	IN	at
imminent	JJ	imminent
risk	NN	risk
of	IN	of
death	NN	death
end	NN	end
of	IN	of
quot	NN	quot
and	CC	and
would	MD	would
severely	RB	severely
impact	VV	impact
the	DT	the
humanitarian	JJ	humanitarian
operation	NN	operation
in	IN	in
entire	JJ	entire
Gaza	NP	Gaza
Strip	NP	Strip
which	WDT	which
is	VBZ	be
run	VVN	run
primarily	RB	primarily
out	RB	out
of	IN	of
Rafa	NP	Rafa
on	IN	on
May	NP	May
6	CD	@card@
2024	CD	@card@
the	DT	the
United	NP	United
Nations	NPS	Nations
children	NNS	child
fund	NN	fund
indicated	VVD	indicate
that	IN/that	that
about	IN	about
half	NN	half
of	IN	of
the	DT	the
approximately	RB	approximately
1	CD	@card@
.	SENT	.
2	CD	@card@
million	CD	million
Palestinians	NPS	Palestinians
Sheltering	VVG	shelter
in	IN	in
Rafa	NP	Rafa
were	VBD	be
children	NNS	child
and	CC	and
warned	VVD	warn
that	IN/that	that
military	JJ	military
operations	NNS	operation
therein	RB	therein
would	MD	would
result	VV	result
in	IN	in
I	PP	I
quote	VVP	quote
the	DT	the
few	JJ	few
remaining	VVG	remain
basic	JJ	basic
services	NNS	service
and	CC	and
infrastructure	NN	infrastructure
they	PP	they
need	VVP	need
to	TO	to
survive	VV	survive
being	VBG	be
totally	RB	totally
