<video_id>wMfb2N_D6y0</video_id>	JJ	<video_id>wMfb2N_D6y0</video_id>
Reproductive	NP	Reproductive
Rights	NPS	Rights
uh	UH	uh
lgbtq	JJ	lgbtq
issues	NNS	issue
um	NNS	um
and	CC	and
then	RB	then
of	IN	of
course	NN	course
there	EX	there
were	VBD	be
a	DT	a
number	NN	number
who	WP	who
were	VBD	be
also	RB	also
protesting	VVG	protest
against	IN	against
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
and	CC	and
uh	UH	uh
unlike	IN	unlike
many	JJ	many
of	IN	of
the	DT	the
protests	NNS	protest
we're	NN	we're
going	VVG	go
to	TO	to
see	VV	see
later	RBR	later
in	IN	in
the	DT	the
week	NN	week
this	DT	this
is	VBZ	be
one	CD	one
where	WRB	where
they	PP	they
actually	RB	actually
uh	UH	uh
are	VBP	be
outside	JJ	outside
of	IN	of
the	DT	the
regular	JJ	regular
protest	NN	protest
zones	NNS	zone
and	CC	and
they	PP	they
March	NP	March
down	IN	down
Michigan	NP	Michigan
avue	NN	avue
the	DT	the
most	RBS	most
iconic	JJ	iconic
Avenue	NP	Avenue
in	IN	in
Chicago	NP	Chicago
and	CC	and
shut	VVD	shut
down	RP	down
uh	UH	uh
the	DT	the
about	IN	about
a	DT	a
mile	NN	mile
long	JJ	long
portion	NN	portion
of	IN	of
the	DT	the
city	NN	city
they	PP	they
were	VBD	be
escorted	VVN	escort
by	IN	by
police	NNS	police
it	PP	it
was	VBD	be
entirely	RB	entirely
peaceful	JJ	peaceful
there	RB	there
were	VBD	be
as	RB	as
far	RB	far
as	IN	as
we	PP	we
could	MD	could
tell	VV	tell
no	DT	no
arrests	NNS	arrest
but	CC	but
among	IN	among
that	DT	that
crowd	NN	crowd
there	RB	there
were	VBD	be
there	EX	there
were	VBD	be
people	NNS	people
who	WP	who
were	VBD	be
who	WP	who
were	VBD	be
calling	VVG	call
for	IN	for
a	DT	a
broad	JJ	broad
array	NN	array
of	IN	of
issues	NNS	issue
and	CC	and
of	IN	of
course	NN	course
Gaza	NP	Gaza
was	VBD	be
a	DT	a
big	JJ	big
one	CD	one
and	CC	and
this	DT	this
is	VBZ	be
a	DT	a
a	DT	a
quote	NN	quote
from	IN	from
one	CD	one
of	IN	of
those	DT	those
that	WDT	that
we	PP	we
spoke	VVD	speak
to	TO	to
on	IN	on
that	DT	that
issue	NN	issue
what	WP	what
brings	VVZ	bring
you	PP	you
here	RB	here
yeah	RB	yeah
yeah	RB	yeah
so	IN	so
my	PP$	my
dad	NN	dad
immigrated	VVD	immigrate
here	RB	here
from	IN	from
Palestine	NP	Palestine
when	WRB	when
he	PP	he
was	VBD	be
18	CD	@card@
I've	NN	I've
known	VVN	know
the	DT	the
occupation	NN	occupation
and	CC	and
the	DT	the
hardships	NNS	hardship
that	IN/that	that
Palestinians	NPS	Palestinians
have	VHP	have
had	VHN	have
to	TO	to
face	VV	face
throughout	IN	throughout
the	DT	the
years	NNS	year
since	IN	since
1948	CD	@card@
leading	VVG	lead
up	RP	up
till	IN	till
now	RB	now
the	DT	the
you	PP	you
know	VV	know
uh	UH	uh
genocide	NN	genocide
happening	VVG	happen
in	IN	in
Gaza	NP	Gaza
and	CC	and
so	IN	so
I'm	NP	I'm
here	RB	here
today	NN	today
to	TO	to
do	VV	do
whatever	WDT	whatever
I	PP	I
can	MD	can
in	IN	in
whatever	WDT	whatever
capacity	NN	capacity
I	PP	I
can	MD	can
for	IN	for
the	DT	the
people	NNS	people
the	DT	the
innocent	JJ	innocent
people	NNS	people
by	IN	by
40,000	CD	@card@
innocent	JJ	innocent
people	NNS	people
who	WP	who
are	VBP	be
dying	VVG	die
right	RB	right
now	RB	now
in	IN	in
Gaza	NP	Gaza
and	CC	and
you're	NN	you're
here	RB	here
protesting	VVG	protest
at	IN	at
the	DT	the
Democratic	JJ	Democratic
National	NP	National
Convention	NP	Convention
is	VBZ	be
that	IN/that	that
safe	JJ	safe
to	TO	to
say	VV	say
that	IN/that	that
you	PP	you
won't	NN	won't
be	VB	be
voting	VVG	vote
for	IN	for
Comm	NP	Comm
Harris	NP	Harris
yeah	RB	yeah
I	PP	I
would	MD	would
say	VV	say
as	RB	as
of	IN	of
right	RB	right
now	RB	now
my	PP$	my
vote	NN	vote
is	VBZ	be
not	RB	not
with	IN	with
KLA	NP	KLA
Harris	NP	Harris
um	NNS	um
I	PP	I
hope	VVP	hope
that	IN/that	that
that	WDT	that
could	MD	could
change	VV	change
um	JJ	um
I'm	NP	I'm
somebody	NN	somebody
who's	NNS	who's
open	VVP	open
um	NNS	um
to	TO	to
always	RB	always
having	VHG	have
their	PP$	their
mind	NN	mind
changed	VVD	change
I	PP	I
think	VVP	think
what	WP	what
it	PP	it
comes	VVZ	come
down	RP	down
to	TO	to
is	VBZ	be
whether	IN	whether
or	CC	or
not	RB	not
you're	NN	you're
going	VVG	go
to	TO	to
take	VV	take
a	DT	a
legitimate	JJ	legitimate
stance	NN	stance
against	IN	against
a	DT	a
country	NN	country
that's	NNS	that's
acting	VVG	act
out	RP	out
and	CC	and
the	DT	the
whole	JJ	whole
world	NN	world
sees	VVZ	see
that	DT	that
that's	NNS	that's
why	WRB	why
we	PP	we
have	VHP	have
a	DT	a
un	JJ	un
un	NN	un
and	CC	and
so	RB	so
when	WRB	when
America	NP	America
goes	VVZ	go
against	IN	against
the	DT	the
UN	NP	UN
and	CC	and
systematically	RB	systematically
vetos	NNS	veto
various	JJ	various
treaties	NNS	treaty
and	CC	and
various	JJ	various
positions	NNS	position
that	IN/that	that
the	DT	the
whole	JJ	whole
world	NN	world
wants	VVZ	want
to	TO	to
see	VV	see
that	DT	that
call	NN	call
for	IN	for
a	DT	a
permanent	JJ	permanent
ceasefire	NN	ceasefire
in	IN	in
Gaza	NP	Gaza
right	RB	right
now	RB	now
so	IN	so
no	DT	no
more	JJR	more
women	NNS	woman
and	CC	and
children	NNS	child
die	VVP	die
I	PP	I
I	PP	I
think	VVP	think
that	IN/that	that
it's	NN	it's
important	JJ	important
that	IN/that	that
kamla	NNS	kamla
back	VVP	back
that	IN/that	that
and	CC	and
until	IN	until
she	PP	she
can	MD	can
do	VV	do
that	DT	that
um	JJ	um
Jill	NP	Jill
Stein	NP	Stein
will	NN	will
will	MD	will
have	VH	have
my	PP$	my
vote	NN	vote
and	CC	and
Jill	NP	Jill
Stein	NP	Stein
is	VBZ	be
with	IN	with
the	DT	the
green	JJ	green
party	NN	party
so	IN	so
a	DT	a
third	JJ	third
party	NN	party
and	CC	and
you	PP	you
were	VBD	be
saying	VVG	say
earlier	RBR	earlier
you	PP	you
think	VVP	think
it's	NNS	it's
important	JJ	important
that	WDT	that
third	NN	third
parties	VVZ	party
uh	UH	uh
in	IN	in
the	DT	the
US	NP	US
grow	VV	grow
yeah	RB	yeah
exactly	RB	exactly
I	PP	I
don't	VVD	don't
agree	VV	agree
with	IN	with
all	DT	all
um	NN	um
that	IN/that	that
the	DT	the
green	JJ	green
party	NN	party
has	VHZ	have
on	IN	on
its	PP$	its
on	IN	on
its	PP$	its
uh	UH	uh
plate	NN	plate
but	CC	but
that	WDT	that
said	VVD	say
I	PP	I
also	RB	also
don't	VVD	don't
think	VV	think
the	DT	the
green	JJ	green
party	NN	party
you	PP	you
know	VVP	know
legitimately	RB	legitimately
has	VHZ	have
a	DT	a
chance	NN	chance
at	IN	at
this	DT	this
stage	NN	stage
in	IN	in
2024	CD	@card@
to	TO	to
beat	VV	beat
the	DT	the
DNC	NN	DNC
or	CC	or
RNC	NP	RNC
but	CC	but
that	DT	that
that	WDT	that
said	VVD	say
I	PP	I
think	VVP	think
it's	NN	it's
important	JJ	important
that	IN/that	that
we	PP	we
make	VVP	make
this	DT	this
our	PP$	our
year	NN	year
to	TO	to
start	VV	start
putting	VVG	put
our	PP$	our
efforts	NNS	effort
into	IN	into
other	JJ	other
parties	NNS	party
so	IN	so
that	DT	that
way	NN	way
we	PP	we
can	MD	can
build	VV	build
those	DT	those
up	RP	up
over	IN	over
time	NN	time
and	CC	and
hopefully	RB	hopefully
that	IN/that	that
they	PP	they
have	VHP	have
a	DT	a
chance	NN	chance
that's	NNS	that's
true	JJ	true
democracy	NN	democracy
having	VHG	have
more	JJR	more
candidates	NNS	candidate
on	IN	on
the	DT	the
ballots	NNS	ballot
for	IN	for
voters	NNS	voter
to	TO	to
choose	VV	choose
not	RB	not
for	IN	for
big	JJ	big
machine	NN	machine
political	JJ	political
parties	NNS	party
to	TO	to
choose	VV	choose
and	CC	and
John	NP	John
just	RB	just
moving	VVG	move
now	RB	now
to	TO	to
uh	UH	uh
tomorrow	NN	tomorrow
where	WRB	where
we're	NN	we're
expecting	VVG	expect
uh	UH	uh
to	TO	to
see	VV	see
uh	UH	uh
4	CD	@card@
days	NNS	day
of	IN	of
this	DT	this
uh	UH	uh
convention	NN	convention
we	PP	we
know	VVP	know
that	IN/that	that
Harris	NP	Harris
has	VHZ	have
been	VBN	be
formally	RB	formally
now	RB	now
she	PP	she
will	MD	will
be	VB	be
formally	RB	formally
declared	VVN	declare
as	IN	as
the	DT	the
Democratic	JJ	Democratic
nominee	NN	nominee
what	WP	what
else	RB	else
are	VBP	be
we	PP	we
expecting	VVG	expect
over	IN	over
these	DT	these
next	JJ	next
4	CD	@card@
days	NNS	day
well	RB	well
these	DT	these
4	CD	@card@
days	NNS	day
are	VBP	be
really	RB	really
a	DT	a
celebration	NN	celebration
of	IN	of
the	DT	the
democratic	JJ	democratic
party	NN	party
for	IN	for
the	DT	the
viewers	NNS	viewer
out	RB	out
there	RB	there
on	IN	on
television	NN	television
and	CC	and
it's	NNS	it's
an	DT	an
opportunity	NN	opportunity
for	IN	for
those	DT	those
delegates	NNS	delegate
in	IN	in
the	DT	the
Democratic	JJ	Democratic
party	NN	party
to	TO	to
sort	VV	sort
of	IN	of
get	VV	get
their	PP$	their
moment	NN	moment
in	IN	in
the	DT	the
sunshine	NN	sunshine
but	CC	but
all	PDT	all
the	DT	the
formal	JJ	formal
business	NN	business
has	VHZ	have
really	RB	really
taken	VVN	take
place	NN	place
normally	RB	normally
in	IN	in
the	DT	the
old	JJ	old
days	NNS	day
before	IN	before
when	WRB	when
a	DT	a
convention	NN	convention
happened	VVD	happen
like	IN	like
this	DT	this
it	PP	it
would	MD	would
be	VB	be
at	IN	at
the	DT	the
convention	NN	convention
that	IN/that	that
the	DT	the
ultimate	JJ	ultimate
nominee	NN	nominee
was	VBD	be
elected	VVN	elect
and	CC	and
that	IN/that	that
the	DT	the
delegates	NNS	delegate
would	MD	would
vote	VV	vote
for	IN	for
them	PP	them
this	DT	this
time	NN	time
they've	NN	they've
done	VVN	do
that	IN/that	that
in	IN	in
advance	NN	advance
by	IN	by
a	DT	a
roll	NN	roll
call	NN	call
that	WDT	that
was	VBD	be
virtual	JJ	virtual
so	RB	so
when	WRB	when
they	PP	they
announc	NP	announc
kamla	NP	Kamla
Harris	NP	Harris
and	CC	and
Tim	NP	Tim
Walls	NP	Walls
will	MD	will
be	VB	be
the	DT	the
nominees	NNS	nominee
on	IN	on
Tuesday	NP	Tuesday
that	WDT	that
will	MD	will
have	VH	have
already	RB	already
all	DT	all
taken	VVN	take
place	NN	place
and	CC	and
it	PP	it
will	MD	will
really	RB	really
just	RB	just
be	VB	be
an	DT	an
opportunity	NN	opportunity
for	IN	for
speaker	NN	speaker
after	IN	after
speaker	NN	speaker
to	TO	to
anoint	VV	anoint
the	DT	the
next	JJ	next
person	NN	person
that	IN/that	that
they	PP	they
hope	VVP	hope
will	MD	will
be	VB	be
president	NN	president
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
in	IN	in
this	DT	this
case	NN	case
of	IN	of
course	NN	course
it	PP	it
would	MD	would
be	VB	be
the	DT	the
first	JJ	first
black	JJ	black
woman	NN	woman
president	NN	president
it	PP	it
would	MD	would
be	VB	be
the	DT	the
first	JJ	first
South	NP	South
Asian	NP	Asian
President	NP	President
and	CC	and
there	EX	there
will	MD	will
be	VB	be
a	DT	a
number	NN	number
number	NN	number
of	IN	of
speakers	NNS	speaker
first	JJ	first
of	IN	of
all	DT	all
on	IN	on
Monday	NP	Monday
Joe	NP	Joe
Biden	NP	Biden
gets	VVZ	get
his	PP$	his
due	JJ	due
he	PP	he
will	MD	will
speak	VV	speak
and	CC	and
then	RB	then
it's	NNS	it's
the	DT	the
first	JJ	first
lady	NN	lady
and	CC	and
the	DT	the
second	JJ	second
Gentleman	NN	gentleman
on	IN	on
Tuesday	NP	Tuesday
who	WP	who
will	MD	will
speak	VV	speak
as	RB	as
well	RB	well
we	PP	we
expect	VVP	expect
Barack	NP	Barack
Obama	NP	Obama
Hillary	NP	Hillary
Clinton	NP	Clinton
Bill	NP	Bill
Clinton	NP	Clinton
and	CC	and
of	IN	of
course	NN	course
ultimately	RB	ultimately
kamla	NP	Kamla
Harris	NP	Harris
and	CC	and
Tim	NP	Tim
Walls	NP	Walls
to	TO	to
cap	VV	cap
off	RP	off
this	DT	this
4-day	JJ	4-day
celebration	NN	celebration
of	IN	of
the	DT	the
democratic	JJ	democratic
party	NN	party
and	CC	and
what	WP	what
they're	NNS	they're
hoping	VVG	hope
to	TO	to
do	VV	do
is	VBZ	be
have	VH	have
viewers	NNS	viewer
back	RB	back
the	DT	the
party	NN	party
learn	VV	learn
what	WP	what
kamla	NP	Kamla
Harris	NP	Harris
stands	VVZ	stand
for	IN	for
because	IN	because
of	IN	of
course	NN	course
she's	NNS	she's
only	RB	only
been	VBN	be
in	IN	in
the	DT	the
race	NN	race
a	DT	a
number	NN	number
of	IN	of
weeks	NNS	week
and	CC	and
then	RB	then
we'll	RB	we'll
be	VB	be
motivated	VVN	motivate
to	TO	to
vote	VV	vote
for	IN	for
them	PP	them
uh	UH	uh
so	RB	so
in	IN	in
the	DT	the
end	NN	end
kamla	NN	kamla
Harris	NP	Harris
will	MD	will
accept	VV	accept
but	CC	but
it's	NNS	it's
really	RB	really
a	DT	a
surprise	NN	surprise
to	TO	to
nobody	NN	nobody
in	IN	in
a	DT	a
party	NN	party
for	IN	for
the	DT	the
television	NN	television
viewers	NNS	viewer
well	RB	well
thanks	VVZ	thank
John	NP	John
hendin	NNS	hendin
there	RB	there
live	VVP	live
for	IN	for
us	PP	us
from	IN	from
Chicago	NP	Chicago
of	IN	of
course	NN	course
we'll	NN	we'll
be	VB	be
covering	VVG	cover
this	DT	this
extensively	RB	extensively
here	RB	here
over	IN	over
the	DT	the
next	JJ	next
few	JJ	few
days	NNS	day
on	IN	on
aljazera	NN	aljazera
we're	NN	we're
still	RB	still
ahead	RB	ahead
here	RB	here
make	VV	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
aler	NN	aler
</doc>	NN	</doc>
