<video_id>s3D0t5QTtrI</video_id>	NN	<video_id>s3D0t5QTtrI</video_id>
that	IN/that	that
the	DT	the
production	NN	production
of	IN	of
bread	NN	bread
is	VBZ	be
being	VBG	be
impacted	VVN	impact
so	RB	so
in	IN	in
the	DT	the
also	RB	also
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
shops	NNS	shop
are	VBP	be
running	VVG	run
out	RP	out
of	IN	of
supplies	NNS	supply
the	DT	the
electricity	NN	electricity
Cuts	NNS	cut
is	VBZ	be
bringing	VVG	bring
the	DT	the
threat	NN	threat
of	IN	of
spoiling	VVG	spoil
Foods	NP	Foods
the	DT	the
only	JJ	only
Power	NP	Power
Plant	NP	Plant
in	IN	in
Gaza	NP	Gaza
is	VBZ	be
running	VVG	run
out	RP	out
of	IN	of
fuel	NN	fuel
so	IN	so
we	PP	we
do	VVP	do
have	VH	have
a	DT	a
lot	NN	lot
of	IN	of
risks	NNS	risk
especially	RB	especially
that	IN/that	that
we	PP	we
are	VBP	be
unable	JJ	unable
even	RB	even
on	IN	on
the	DT	the
humanitarian	JJ	humanitarian
side	NN	side
to	TO	to
replenish	VV	replenish
our	PP$	our
food	NN	food
stocks	NNS	stock
our	PP$	our
warehouses	NNS	warehouse
are	VBP	be
really	RB	really
running	VVG	run
low	JJ	low
because	IN	because
we're	NN	we're
Distributing	VVG	distribute
food	NN	food
on	IN	on
daily	JJ	daily
basis	NN	basis
today	NN	today
we	PP	we
have	VHP	have
reached	VVN	reach
up	RP	up
till	IN	till
now	RB	now
380,000	CD	@card@
people	NNS	people
whether	IN	whether
it	PP	it
is	VBZ	be
um	NN	um
with	IN	with
uh	UH	uh
ready	JJ	ready
to	TO	to
eat	VV	eat
food	NN	food
in	IN	in
the	DT	the
UN	NP	UN
run	NN	run
shelters	NNS	shelter
or	CC	or
by	IN	by
the	DT	the
distribution	NN	distribution
of	IN	of
vouchers	NNS	voucher
uh	UH	uh
for	IN	for
some	DT	some
of	IN	of
the	DT	the
families	NNS	family
outside	IN	outside
so	RB	so
they	PP	they
can	MD	can
go	VV	go
to	TO	to
the	DT	the
stores	NNS	store
and	CC	and
have	VHP	have
whatever	WDT	whatever
is	VBZ	be
left	VVN	leave
of	IN	of
the	DT	the
stocks	NNS	stock
in	IN	in
the	DT	the
sites	NNS	site
in	IN	in
these	DT	these
stores	NNS	store
you	PP	you
said	VVD	say
that	IN/that	that
some	DT	some
places	NNS	place
are	VBP	be
going	VVG	go
to	TO	to
run	VV	run
out	RP	out
of	IN	of
food	NN	food
within	IN	within
two	CD	two
days	NNS	day
what	WP	what
happens	VVZ	happen
after	IN	after
that	DT	that
point	NN	point
in	IN	in
time	NN	time
apart	RB	apart
from	IN	from
people	NNS	people
not	RB	not
being	VBG	be
able	JJ	able
to	TO	to
eat	VV	eat
what	WP	what
what	WP	what
what	WP	what
actually	RB	actually
happens	VVZ	happen
in	IN	in
the	DT	the
days	NNS	day
after	IN	after
that	DT	that
we'll	NN	we'll
be	VB	be
very	RB	very
difficult	JJ	difficult
these	DT	these
days	NNS	day
will	MD	will
be	VB	be
Bleak	NP	Bleak
people	NNS	people
will	MD	will
go	VV	go
hungry	JJ	hungry
and	CC	and
this	DT	this
is	VBZ	be
why	WRB	why
the	DT	the
world	NN	world
food	NN	food
program	NN	program
is	VBZ	be
calling	VVG	call
for	IN	for
humanitarian	JJ	humanitarian
access	NN	access
to	TO	to
Gaza	NP	Gaza
to	TO	to
allow	VV	allow
the	DT	the
delivery	NN	delivery
of	IN	of
essential	JJ	essential
food	NN	food
commodities	NNS	commodity
Fuel	NN	fuel
and	CC	and
other	JJ	other
humanitarian	JJ	humanitarian
supplies	NNS	supply
we	PP	we
need	VVP	need
safe	JJ	safe
and	CC	and
OB	NP	OB
unobstructed	JJ	unobstructed
uh	UH	uh
passage	VV	passage
to	TO	to
all	PDT	all
the	DT	the
humanitarian	JJ	humanitarian
workers	NNS	worker
and	CC	and
the	DT	the
protection	NN	protection
of	IN	of
the	DT	the
premises	NNS	premise
we	PP	we
work	VVP	work
and	CC	and
also	RB	also
most	JJS	most
importantly	RB	importantly
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
get	VV	get
food	NN	food
inside	IN	inside
Gaza	NP	Gaza
Gaza	NP	Gaza
the	DT	the
prepositioned	JJ	prepositioned
food	NN	food
stocks	NNS	stock
that	WDT	that
FP	NP	FP
uh	UH	uh
have	VH	have
is	VBZ	be
running	VVG	run
out	IN	out
we	PP	we
only	RB	only
had	VHD	have
food	NN	food
enough	RB	enough
for	IN	for
44,000	CD	@card@
PE	NN	pe
uh	UH	uh
people	NNS	people
that's	NNS	that's
beginning	VVG	begin
at	IN	at
the	DT	the
beginning	VVG	begin
uh	UH	uh
of	IN	of
the	DT	the
crisis	NN	crisis
just	RB	just
like	IN	like
four	CD	four
or	CC	or
five	CD	five
days	NNS	day
ago	RB	ago
and	CC	and
we	PP	we
will	MD	will
run	VV	run
out	RP	out
so	IN	so
we	PP	we
H	NN	H
we	PP	we
have	VHP	have
procured	VVN	procure
food	NN	food
regionally	RB	regionally
we	PP	we
have	VHP	have
food	NN	food
that's	NNS	that's
ready	JJ	ready
to	TO	to
be	VB	be
deployed	VVN	deploy
we	PP	we
just	RB	just
need	VVP	need
the	DT	the
safe	JJ	safe
access	NN	access
and	CC	and
the	DT	the
safe	JJ	safe
passage	NN	passage
who	WP	who
are	VBP	be
you	PP	you
appealing	VVG	appeal
to	TO	to
are	VBP	be
you	PP	you
talking	VVG	talk
to	TO	to
anyone	NN	anyone
directly	RB	directly
are	VBP	be
you	PP	you
talking	VVG	talk
to	TO	to
Israel	NP	Israel
are	VBP	be
you	PP	you
talking	VVG	talk
to	TO	to
Egypt	NP	Egypt
the	DT	the
United	NP	United
Nations	NPS	Nations
the	DT	the
the	DT	the
United	NP	United
uned	JJ	uned
States	NPS	States
who	WP	who
who	WP	who
are	VBP	be
you	PP	you
speaking	VVG	speak
to	TO	to
directly	RB	directly
about	RB	about
trying	VVG	try
to	TO	to
get	VV	get
a	DT	a
humanitarian	JJ	humanitarian
corridor	NN	corridor
open	JJ	open
so	IN	so
you	PP	you
can	MD	can
get	VV	get
supplies	NNS	supply
back	RB	back
into	IN	into
Gaza	NP	Gaza
I	PP	I
think	VVP	think
collectively	RB	collectively
as	IN	as
the	DT	the
United	NP	United
Nations	NPS	Nations
were	VBD	be
all	RB	all
calling	VVG	call
and	CC	and
appealing	VVG	appeal
and	CC	and
the	DT	the
I	PP	I
know	VVP	know
the	DT	the
Secretary	NP	Secretary
General	NP	General
is	VBZ	be
doing	VVG	do
a	DT	a
lot	NN	lot
of	IN	of
efforts	NNS	effort
uh	UH	uh
to	TO	to
uh	UH	uh
you	PP	you
know	VVP	know
help	VV	help
open	RP	open
a	DT	a
passage	NN	passage
for	IN	for
the	DT	the
humanitarian	JJ	humanitarian
supplies	NNS	supply
inside	IN	inside
Gaza	NP	Gaza
but	CC	but
also	RB	also
from	IN	from
the	DT	the
world	NN	world
food	NN	food
program	VV	program
uh	UH	uh
we	PP	we
are	VBP	be
in	IN	in
touch	NN	touch
with	IN	with
all	PDT	all
the	DT	the
parties	NNS	party
to	TO	to
allow	VV	allow
us	PP	us
to	TO	to
get	VV	get
to	TO	to
this	DT	this
point	NN	point
I	PP	I
think	VVP	think
there	EX	there
are	VBP	be
also	RB	also
the	DT	the
issue	NN	issue
of	IN	of
you	PP	you
know	VVP	know
shelling	VVG	shell
and	CC	and
safe	JJ	safe
passage	NN	passage
and	CC	and
ensuring	VVG	ensure
that	IN/that	that
these	DT	these
trucks	NNS	truck
have	VHP	have
the	DT	the
guarantees	NNS	guarantee
that	WDT	that
would	MD	would
uh	UH	uh
make	VV	make
them	PP	them
able	JJ	able
to	TO	to
go	VV	go
inside	IN	inside
Gazza	NP	Gazza
but	CC	but
also	RB	also
most	JJS	most
importantly	RB	importantly
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
move	VV	move
inside	IN	inside
Gazza	NP	Gazza
to	TO	to
get	VV	get
food	NN	food
from	IN	from
these	DT	these
borders	NNS	border
to	TO	to
the	DT	the
areas	NNS	area
where	WRB	where
we	PP	we
need	VVP	need
to	TO	to
distribute	VV	distribute
them	PP	them
which	WDT	which
is	VBZ	be
basically	RB	basically
mostly	RB	mostly
the	DT	the
shelter	NN	shelter
yeah	RB	yeah
of	IN	of
course	NN	course
just	RB	just
finally	RB	finally
is	VBZ	be
this	DT	this
your	PP$	your
worst	JJS	bad
case	NN	case
scenario	NN	scenario
what	WP	what
is	VBZ	be
playing	VVG	play
out	RP	out
right	RB	right
now	RB	now
of	IN	of
course	NN	course
I	PP	I
think	VVP	think
it's	NNS	it's
it's	NNS	it's
a	DT	a
it's	NN	it's
a	DT	a
very	RB	very
dire	JJ	dire
situation	NN	situation
it's	NNS	it's
difficult	JJ	difficult
the	DT	the
humanitarian	JJ	humanitarian
suffering	NN	suffering
is	VBZ	be
beyond	IN	beyond
uh	UH	uh
imagination	NN	imagination
and	CC	and
um	NN	um
you	PP	you
know	VVP	know
we're	NN	we're
running	VVG	run
out	RP	out
of	IN	of
time	NN	time
we're	NN	we're
running	VVG	run
out	RP	out
of	IN	of
supplies	NNS	supply
and	CC	and
our	PP$	our
hands	NNS	hand
are	VBP	be
tied	VVN	tie
okay	JJ	okay
thank	VVP	thank
you	PP	you
so	RB	so
much	RB	much
we	PP	we
really	RB	really
do	VVP	do
appreciate	VV	appreciate
your	PP$	your
time	NN	time
that	WDT	that
is	VBZ	be
ABIA	NP	ABIA
atifa	NP	atifa
the	DT	the
senior	JJ	senior
spokesperson	NN	spokesperson
for	IN	for
the	DT	the
Middle	NP	Middle
East	NP	East
at	IN	at
the	DT	the
world	NN	world
food	NN	food
program	NN	program
thank	VVP	thank
you	PP	you
so	RB	so
much	JJ	much
</doc>	NN	</doc>
