<video_id>nb7s20xyHqo</video_id>	JJ	<video_id>nb7s20xyHqo</video_id>
not	RB	not
just	RB	just
attacked	VVN	attack
it's	NNS	it's
bombed	VVN	bomb
from	IN	from
the	DT	the
air	NN	air
which	WDT	which
means	VVZ	mean
there's	RB	there's
absolutely	RB	absolutely
nothing	NN	nothing
discriminate	JJ	discriminate
about	IN	about
the	DT	the
fact	NN	fact
that	IN/that	that
a	DT	a
school	NN	school
that	WDT	that
shelters	VVZ	shelter
thousands	NNS	thousand
of	IN	of
people	NNS	people
yeah	RB	yeah
has	VHZ	have
been	VBN	be
bombed	VVN	bomb
from	IN	from
the	DT	the
air	NN	air
that	WDT	that
is	VBZ	be
meant	VVN	mean
to	TO	to
create	VV	create
damage	NN	damage
human	JJ	human
loss	NN	loss
suffering	NN	suffering
and	CC	and
deaths	NNS	death
because	IN	because
when	WRB	when
you	PP	you
attack	VVP	attack
a	DT	a
hospital	NN	hospital
with	IN	with
such	PDT	such
a	DT	a
concentration	NN	concentration
of	IN	of
people	NNS	people
taking	VVG	take
Refuge	NP	Refuge
refuge	NN	refuge
in	IN	in
the	DT	the
school	NN	school
you	PP	you
are	VBP	be
sending	VVG	send
a	DT	a
message	NN	message
that	WDT	that
is	VBZ	be
more	JJR	more
than	IN	than
I	PP	I
am	VBP	be
uh	UH	uh
going	VVG	go
after	IN	after
I	PP	I
don't	VVD	don't
know	VV	know
what	WP	what
Hamas	JJ	Hamas
Fighters	NNS	fighter
here	RB	here
and	CC	and
there	RB	there
yeah	RB	yeah
what	WP	what
is	VBZ	be
saying	VVG	say
is	VBZ	be
I	PP	I
want	VVP	want
people	NNS	people
to	TO	to
be	VB	be
driven	VVN	drive
out	IN	out
I	PP	I
want	VVP	want
people	NNS	people
to	TO	to
pay	VV	pay
a	DT	a
price	NN	price
I	PP	I
want	VVP	want
people	NNS	people
to	TO	to
die	VV	die
so	RB	so
once	RB	once
again	RB	again
just	RB	just
to	TO	to
summarize	VV	summarize
so	RB	so
our	PP$	our
viewers	NNS	viewer
around	IN	around
the	DT	the
world	NN	world
don't	NN	don't
get	VVP	get
confused	VVN	confuse
about	IN	about
some	DT	some
detail	NN	detail
or	CC	or
another	DT	another
this	DT	this
school	NN	school
was	VBD	be
bombed	VVN	bomb
in	IN	in
2009	CD	@card@
2014	CD	@card@
and	CC	and
2023	CD	@card@
and	CC	and
this	DT	this
is	VBZ	be
the	DT	the
second	JJ	second
time	NN	time
this	DT	this
month	NN	month
that	WDT	that
has	VHZ	have
been	VBN	be
bound	VVN	bind
and	CC	and
we're	NN	we're
seeing	VVG	see
the	DT	the
human	JJ	human
toll	NN	toll
of	IN	of
that	DT	that
right	NN	right
now	RB	now
on	IN	on
our	PP$	our
screens	NNS	screen
what	WP	what
is	VBZ	be
is	VBZ	be
the	DT	the
jabala	NN	jabala
refugee	NN	refugee
camp	NN	camp
now	RB	now
to	TO	to
Israeli	JJ	Israeli
forces	NNS	force
clearly	RB	clearly
that	IN/that	that
there's	RB	there's
a	DT	a
huge	JJ	huge
military	JJ	military
focus	NN	focus
on	IN	on
this	DT	this
refugee	NN	refugee
camp	NN	camp
and	CC	and
and	CC	and
for	IN	for
our	PP$	our
viewers	NNS	viewer
from	IN	from
around	IN	around
the	DT	the
world	NN	world
what	WP	what
does	VVZ	do
it	PP	it
mean	VV	mean
for	IN	for
the	DT	the
Israeli	JJ	Israeli
Army	NN	army
you	PP	you
know	VVP	know
just	RB	just
generally	RB	generally
speaking	VVG	speak
and	CC	and
and	CC	and
just	RB	just
for	IN	for
our	PP$	our
viewers	NNS	viewer
around	IN	around
the	DT	the
world	NN	world
who	WP	who
were	VBD	be
of	IN	of
a	DT	a
certain	JJ	certain
age	NN	age
I	PP	I
would	MD	would
say	VV	say
something	NN	something
like	IN	like
it's	NN	it's
suo	NN	suo
you	PP	you
know	VVP	know
of	IN	of
Palestine	NP	Palestine
right	NN	right
like	IN	like
Su	NP	Su
of	IN	of
South	NP	South
Africa	NP	Africa
I	PP	I
mean	VVP	mean
it	PP	it
is	VBZ	be
a	DT	a
a	DT	a
place	NN	place
where	WRB	where
um	JJ	um
it's	NNS	it's
of	IN	of
course	NN	course
a	DT	a
refugee	NN	refugee
camp	NN	camp
right	NN	right
so	IN	so
it's	NNS	it's
another	DT	another
one	CD	one
of	IN	of
those	DT	those
refugee	NN	refugee
camps	NNS	camp
and	CC	and
clearly	RB	clearly
it	PP	it
has	VHZ	have
been	VBN	be
trying	VVG	try
to	TO	to
uh	UH	uh
rebuild	VV	rebuild
itself	PP	itself
and	CC	and
when	WRB	when
it	PP	it
was	VBD	be
destroyed	VVN	destroy
in	IN	in
2009	CD	@card@
they	PP	they
rebuilt	VVD	rebuild
it	PP	it
again	RB	again
in	IN	in
fact	NN	fact
with	IN	with
outside	JJ	outside
help	NN	help
yeah	RB	yeah
but	CC	but
the	DT	the
people	NNS	people
in	IN	in
refu	NN	refu
in	IN	in
in	IN	in
in	IN	in
jabalia	NNS	jabalia
have	VHP	have
been	VBN	be
steadfast	JJ	steadfast
throughout	IN	throughout
the	DT	the
Israelis	NPS	Israelis
considered	VVD	consider
it	PP	it
at	IN	at
one	CD	one
point	NN	point
or	CC	or
another	DT	another
in	IN	in
the	DT	the
past	NN	past
as	IN	as
as	IN	as
some	DT	some
kind	NN	kind
of	IN	of
a	DT	a
resistance	NN	resistance
stronghold	NN	stronghold
but	CC	but
clearly	RB	clearly
the	DT	the
boming	NN	boming
of	IN	of
the	DT	the
hospital	NN	hospital
had	VHD	have
absolutely	RB	absolutely
nothing	NN	nothing
to	TO	to
do	VV	do
with	IN	with
that	IN/that	that
because	IN	because
when	WRB	when
we	PP	we
saw	VVD	see
the	DT	the
images	NNS	image
and	CC	and
later	RBR	later
on	IN	on
we	PP	we
looked	VVD	look
at	IN	at
what	WP	what
in	IN	in
fact	NN	fact
happened	VVD	happen
and	CC	and
who	WP	who
died	VVD	die
scores	NNS	score
dozens	NNS	dozen
of	IN	of
people	NNS	people
died	VVN	die
in	IN	in
each	DT	each
and	CC	and
every	DT	every
one	CD	one
that	IN/that	that
we	PP	we
know	VVP	know
of	IN	of
at	IN	at
the	DT	the
time	NN	time
right	RB	right
and	CC	and
now	RB	now
clearly	RB	clearly
this	DT	this
is	VBZ	be
just	RB	just
another	DT	another
Massacre	NN	massacre
another	DT	another
Slaughter	NP	Slaughter
of	IN	of
people	NNS	people
happening	VVG	happen
in	IN	in
front	NN	front
of	IN	of
our	PP$	our
eyes	NNS	eye
but	CC	but
once	RB	once
again	RB	again
I	PP	I
mean	VVP	mean
to	TO	to
underline	VV	underline
uh	UH	uh
the	DT	the
tactic	NN	tactic
being	VBG	be
used	VVN	use
the	DT	the
strategy	NN	strategy
by	IN	by
the	DT	the
Israelis	NPS	Israelis
is	VBZ	be
on	IN	on
the	DT	the
one	CD	one
hand	NN	hand
they	PP	they
want	VVP	want
to	TO	to
cause	VV	cause
as	IN	as
much	JJ	much
damage	NN	damage
as	IN	as
possible	JJ	possible
they	PP	they
want	VVP	want
to	TO	to
make	VV	make
sure	RB	sure
that	DT	that
none	NN	none
of	IN	of
their	PP$	their
soldiers	NNS	soldier
is	VBZ	be
in	IN	in
Any	DT	any
Which	WDT	which
Way	NN	way
in	IN	in
any	DT	any
which	WDT	which
probability	NN	probability
as	IN	as
In	IN	in
Harm's	NP	Harm's
Way	NP	Way
so	IN	so
they	PP	they
bomb	VVP	bomb
from	IN	from
the	DT	the
air	NN	air
bombing	NN	bombing
from	IN	from
the	DT	the
air	NN	air
and	CC	and
not	RB	not
from	IN	from
drones	NNS	drone
or	CC	or
helicopters	NNS	helicopter
where	WRB	where
at	IN	at
least	JJS	least
you	PP	you
can	MD	can
see	VV	see
clearly	RB	clearly
closely	RB	closely
and	CC	and
you're	RB	you're
targeting	VVG	target
certain	JJ	certain
thing	NN	thing
when	WRB	when
you're	NN	you're
bombing	NN	bombing
from	IN	from
the	DT	the
air	NN	air
that	WDT	that
means	VVZ	mean
you	PP	you
are	VBP	be
bombing	VVG	bomb
a	DT	a
wide	JJ	wide
air	NN	air
area	NN	area
of	IN	of
of	IN	of
uh	UH	uh
of	IN	of
geographically	RB	geographically
speaking	VVG	speak
and	CC	and
that	IN/that	that
in	IN	in
a	DT	a
place	NN	place
where	WRB	where
it	PP	it
takes	VVZ	take
shelter	NN	shelter
thousands	NNS	thousand
of	IN	of
people	NNS	people
yeah	RB	yeah
it's	NN	it's
meant	VVD	mean
to	TO	to
kill	VV	kill
as	IN	as
many	JJ	many
people	NNS	people
as	IN	as
possible	JJ	possible
and	CC	and
Marana	NP	Marana
I	PP	I
know	VVP	know
that	IN/that	that
our	PP$	our
our	PP$	our
audience	NN	audience
isn't	NN	isn't
listening	VVG	listen
to	TO	to
the	DT	the
audio	NN	audio
of	IN	of
this	DT	this
of	IN	of
this	DT	this
video	NN	video
we	PP	we
have	VHP	have
been	VBN	be
getting	VVG	get
that	IN/that	that
translated	VVN	translate
for	IN	for
you	PP	you
here	RB	here
at	IN	at
Al	NP	Al
jazer	NP	jazer
English	NP	English
and	CC	and
we're	JJ	we're
hearing	NN	hearing
people	NNS	people
there	RB	there
in	IN	in
that	DT	that
video	NN	video
talking	VVG	talk
about	IN	about
being	VBG	be
hit	VVN	hit
overnight	RB	overnight
while	IN	while
sleeping	NN	sleeping
let's	NNS	let's
listen	VVP	listen
because	IN	because
you	PP	you
can	MD	can
also	RB	also
not	RB	not
only	RB	only
hear	VV	hear
people	NNS	people
talk	VV	talk
about	RB	about
what	WP	what
happened	VVD	happen
that	IN/that	that
this	DT	this
strike	NN	strike
took	VVD	take
place	NN	place
overnight	RB	overnight
while	IN	while
people	NNS	people
were	VBD	be
sleeping	VVG	sleep
but	CC	but
you	PP	you
can	MD	can
also	RB	also
not	RB	not
only	RB	only
hear	VV	hear
but	CC	but
see	VV	see
children	NNS	child
there	RB	there
who	WP	who
are	VBP	be
searching	VVG	search
for	IN	for
their	PP$	their
parents	NNS	parent
you	PP	you
you	PP	you
can	MD	can
hear	VV	hear
children	NNS	child
calling	VVG	call
for	IN	for
their	PP$	their
parents	NNS	parent
who	WP	who
aren't	VVD	aren't
there	RB	there
now	RB	now
Maran	NP	Maran
you've	NN	you've
been	VBN	be
saying	VVG	say
that	IN/that	that
this	DT	this
is	VBZ	be
obviously	RB	obviously
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
densely	RB	densely
populated	VVN	populate
parts	NNS	part
of	IN	of
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
densely	RB	densely
populated	VVN	populate
parts	NNS	part
of	IN	of
the	DT	the
world	NN	world
is	VBZ	be
this	DT	this
part	NN	part
of	IN	of
a	DT	a
a	DT	a
broader	JJR	broad
policy	NN	policy
of	IN	of
a	DT	a
depopulation	NN	depopulation
of	IN	of
the	DT	the
northern	JJ	northern
Gaza	NP	Gaza
Strip	NP	Strip
it's	NNS	it's
looking	VVG	look
more	JJR	more
and	CC	and
more	RBR	more
likely	JJ	likely
I	PP	I
mean	VVP	mean
you	PP	you
know	VVP	know
as	RB	as
they	PP	they
say	VV	say
uh	UH	uh
I	PP	I
hate	VVP	hate
to	TO	to
use	VV	use
such	PDT	such
uh	UH	uh
uh	UH	uh
sayings	NNS	saying
now	RB	now
but	CC	but
if	IN	if
it	PP	it
does	VVZ	do
you	PP	you
know	VV	know
uh	UH	uh
quack	UH	quack
like	IN	like
a	DT	a
dog	NN	dog
and	CC	and
a	DT	a
dock	NN	dock
and	CC	and
and	CC	and
walk	VV	walk
like	IN	like
a	DT	a
dock	NN	dock
then	RB	then
you	PP	you
know	VVP	know
it	PP	it
is	VBZ	be
probably	RB	probably
as	IN	as
such	PDT	such
and	CC	and
and	CC	and
the	DT	the
way	NN	way
Israelis	NNS	Israeli
have	VHP	have
been	VBN	be
the	DT	the
way	NN	way
isra	NN	isra
the	DT	the
way	NN	way
Israeli	JJ	Israeli
military	NN	military
has	VHZ	have
been	VBN	be
handling	VVG	handle
itself	PP	itself
and	CC	and
the	DT	the
way	NN	way
it's	NNS	it's
getting	VVG	get
that	DT	that
justification	NN	justification
from	IN	from
Israeli	JJ	Israeli
politicians	NNS	politician
clearly	RB	clearly
there	EX	there
is	VBZ	be
intent	NN	intent
at	IN	at
ethnic	JJ	ethnic
cleansing	NN	cleansing
clearly	RB	clearly
there	EX	there
is	VBZ	be
intent	NN	intent
at	IN	at
Revenge	NN	revenge
clearly	RB	clearly
there's	RB	there's
intent	JJ	intent
at	IN	at
punitive	JJ	punitive
measures	NNS	measure
against	IN	against
an	DT	an
entire	JJ	entire
population	NN	population
and	CC	and
that's	NNS	that's
why	WRB	why
it's	NNS	it's
probably	RB	probably
important	JJ	important
once	RB	once
again	RB	again
to	TO	to
contextualize	VV	contextualize
what	WP	what
is	VBZ	be
it	PP	it
that	IN/that	that
we're	NN	we're
seeing	VVG	see
so	RB	so
in	IN	in
the	DT	the
past	JJ	past
six	CD	six
weeks	NNS	week
we've	VVP	we've
seeing	VVG	see
bombings	NNS	bombing
of	IN	of
hospital	NN	hospital
vicinities	NNS	vicinity
and	CC	and
even	RB	even
attacks	NNS	attack
on	IN	on
hospitals	NNS	hospital
we've	VVP	we've
seen	VVN	see
bombings	NNS	bombing
of	IN	of
schools	NNS	school
we've	VVP	we've
seen	VVN	see
bombings	NNS	bombing
of	IN	of
mosques	NNS	mosque
we've	VVP	we've
seen	VVN	see
bombings	NNS	bombing
of	IN	of
a	DT	a
church	NN	church
we've	NN	we've
seen	VVN	see
bombings	NNS	bombing
of	IN	of
residential	JJ	residential
buildings	NNS	building
all	RB	all
of	IN	of
that	DT	that
happening	NN	happening
in	IN	in
plain	JJ	plain
sight	NN	sight
in	IN	in
other	JJ	other
words	NNS	word
Israel	NP	Israel
is	VBZ	be
carrying	VVG	carry
killing	VVG	kill
on	IN	on
an	DT	an
industrial	JJ	industrial
scale	NN	scale
this	DT	this
is	VBZ	be
no	RB	no
longer	RBR	longer
what	WP	what
they	PP	they
call	VVP	call
hand-to-hand	JJ	hand-to-hand
confrontations	NNS	confrontation
this	DT	this
is	VBZ	be
an	DT	an
army	NN	army
with	IN	with
a	DT	a
with	IN	with
an	DT	an
incredible	JJ	incredible
Firepower	NN	firepower
that	IN/that	that
Firepower	NN	firepower
is	VBZ	be
not	RB	not
just	RB	just
Israeli	JJ	Israeli
it's	NNS	it's
American	JJ	American
in	IN	in
fact	NN	fact
looking	VVG	look
back	RB	back
at	IN	at
some	DT	some
of	IN	of
the	DT	the
reports	NNS	report
that	WDT	that
came	VVD	come
out	RP	out
in	IN	in
2009	CD	@card@
and	CC	and
2014	CD	@card@
the	DT	the
people	NNS	people
in	IN	in
gaza's	JJ	gaza's
mess	NN	mess
m	NN	m
to	TO	to
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
world	NN	world
was	VBD	be
American	JJ	American
jet	NN	jet
fighters	NNS	fighter
are	VBP	be
bombing	VVG	bomb
us	PP	us
Maran	NP	Maran
let	VV	let
me	PP	me
ask	VV	ask
you	PP	you
you've	NN	you've
talked	VVD	talk
here	RB	here
about	IN	about
potential	JJ	potential
ethnic	JJ	ethnic
cleansing	NN	cleansing
we've	NN	we've
seen	VVN	see
literally	RB	literally
in	IN	in
in	IN	in
the	DT	the
last	JJ	last
day	NN	day
or	CC	or
so	RB	so
36	CD	@card@
un	NN	un
special	JJ	special
rapporteur	NN	rapporteur
signed	VVD	sign
a	DT	a
letter	NN	letter
saying	VVG	say
that	IN/that	that
there	EX	there
is	VBZ	be
clear	JJ	clear
evidence	NN	evidence
of	IN	of
genocidal	JJ	genocidal
intent	NN	intent
that	IN/that	that
this	DT	this
is	VBZ	be
potentially	RB	potentially
a	DT	a
genocide	NN	genocide
in	IN	in
the	DT	the
making	VVG	make
they're	NN	they're
calling	VVG	call
on	IN	on
the	DT	the
World	NP	World
to	TO	to
do	VV	do
more	RBR	more
what	WP	what
more	JJR	more
could	MD	could
the	DT	the
world	NN	world
do	VVP	do
right	RB	right
now	RB	now
given	VVN	give
the	DT	the
state	NN	state
of	IN	of
of	IN	of
of	IN	of
politics	NNS	politics
and	CC	and
the	DT	the
way	NN	way
that	IN/that	that
countries	NNS	country
are	VBP	be
making	VVG	make
their	PP$	their
decisions	NNS	decision
could	MD	could
something	RB	something
like	VV	like
this	DT	this
what	WP	what
we're	VVP	we're
seeing	VVG	see
now	RB	now
on	IN	on
a	DT	a
school	NN	school
the	DT	the
death	NN	death
toll	NN	toll
of	IN	of
women	NNS	woman
and	CC	and
children	NNS	child
is	VBZ	be
something	NN	something
like	IN	like
that	IN/that	that
going	VVG	go
to	TO	to
shift	VV	shift
opinion	NN	opinion
or	CC	or
is	VBZ	be
it	PP	it
all	RB	all
just	RB	just
a	DT	a
bit	NN	bit
too	RB	too
far	RB	far
gone	VVN	go
this	DT	this
is	VBZ	be
see	VV	see
this	DT	this
is	VBZ	be
the	DT	the
thing	NN	thing
so	IN	so
the	DT	the
so-called	JJ	so-called
International	NP	International
Community	NP	Community
or	CC	or
at	IN	at
least	JJS	least
the	DT	the
hypocritical	JJ	hypocritical
part	NN	part
of	IN	of
it	PP	it
the	DT	the
Western	NP	Western
Powers	NP	Powers
have	VHP	have
been	VBN	be
making	VVG	make
statements	NNS	statement
about	IN	about
this	DT	this
and	CC	and
Maran	NP	Maran
I'm	NP	I'm
sorry	RB	sorry
to	TO	to
interrupt	VV	interrupt
you	PP	you
so	RB	so
quickly	RB	quickly
into	IN	into
your	PP$	your
answer	NN	answer
but	CC	but
we	PP	we
are	VBP	be
now	RB	now
getting	VVG	get
translation	NN	translation
of	IN	of
of	IN	of
an	DT	an
unra	NN	unra
press	NN	press
conference	NN	conference
Tamara	NP	Tamara
alari	NP	alari
who	WP	who
is	VBZ	be
a	DT	a
communications	NN	communications
director	NN	director
at	IN	at
unra	NN	unra
that's	NNS	that's
the	DT	the
UN	NP	UN
Agency	NP	Agency
for	IN	for
Palestine	NP	Palestine
refugees	NNS	refugee
is	VBZ	be
giving	VVG	give
a	DT	a
press	NN	press
conference	NN	conference
on	IN	on
the	DT	the
phone	NN	phone
right	RB	right
now	RB	now
let's	NNS	let's
listen	VVP	listen
in	IN	in
dead	JJ	dead
bodies	NNS	body
are	VBP	be
received	VVN	receive
namely	RB	namely
those	DT	those
from	IN	from
Alura	NP	Alura
un	NNS	un
the	DT	the
capacity	NN	capacity
of	IN	of
this	DT	this
hospital	NN	hospital
is	VBZ	be
very	JJ	very
uh	UH	uh
minimum	NN	minimum
we	PP	we
are	VBP	be
taking	VVG	take
hard	JJ	hard
decisions	NNS	decision
we	PP	we
are	VBP	be
comparing	VVG	compare
and	CC	and
contrasting	VVG	contrast
victims	NNS	victim
who	WP	who
to	TO	to
attend	VV	attend
and	CC	and
who	WP	who
to	TO	to
leave	VV	leave
to	TO	to
die	VV	die
these	DT	these
are	VBP	be
very	RB	very
difficult	JJ	difficult
decisions	NNS	decision
to	TO	to
be	VB	be
made	VVN	make
by	IN	by
doctors	NNS	doctor
we	PP	we
are	VBP	be
overwhelmed	VVN	overwhelm
receiving	VVG	receive
hundreds	NNS	hundred
of	IN	of
well	NN	well
we've	NN	we've
been	VBN	be
listening	VVG	listen
just	RB	just
briefly	RB	briefly
there	RB	there
to	TO	to
an	DT	an
unra	NN	unra
press	NN	press
conference	NN	conference
that's	NNS	that's
the	DT	the
UN	NP	UN
Agency	NP	Agency
for	IN	for
Palestine	NP	Palestine
refugees	NNS	refugee
now	RB	now
they	PP	they
were	VBD	be
running	VVG	run
the	DT	the
school	NN	school
the	DT	the
alpha	NN	alpha
cor	NN	cor
school	NN	school
that's	NN	that's
been	VBN	be
hit	VVN	hit
in	IN	in
this	DT	this
Israeli	JJ	Israeli
air	NN	air
strike	NN	strike
that	IN/that	that
you're	NN	you're
watching	VVG	watch
the	DT	the
the	DT	the
video	NN	video
right	RB	right
now	RB	now
the	DT	the
aftermath	NN	aftermath
of	IN	of
they	PP	they
were	VBD	be
running	VVG	run
that	DT	that
school	NN	school
and	CC	and
they've	NN	they've
been	VBN	be
talking	VVG	talk
about	IN	about
their	PP$	their
their	PP$	their
operations	NNS	operation
the	DT	the
dire	JJ	dire
state	NN	state
of	IN	of
their	PP$	their
operations	NNS	operation
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
we're	NN	we're
trying	VVG	try
to	TO	to
get	VV	get
translation	NN	translation
back	RB	back
for	IN	for
you	PP	you
um	NNS	um
of	IN	of
that	DT	that
press	NN	press
conference	NN	conference
and	CC	and
we'll	NN	we'll
go	VVP	go
back	RB	back
to	TO	to
that	DT	that
as	RB	as
soon	RB	soon
as	IN	as
we	PP	we
get	VVP	get
it	PP	it
but	CC	but
for	IN	for
for	IN	for
now	RB	now
let's	NNS	let's
go	VVP	go
back	RB	back
to	TO	to
Maan	NP	Maan
Bashar	NP	Bashar
Maran	NP	Maran
you	PP	you
and	CC	and
I	PP	I
were	VBD	be
just	RB	just
discussing	VVG	discuss
the	DT	the
idea	NN	idea
of	IN	of
genocidal	JJ	genocidal
intent	NN	intent
here	RB	here
and	CC	and
whether	IN	whether
anyone	NN	anyone
could	MD	could
do	VV	do
anything	NN	anything
about	IN	about
it	PP	it
do	VVP	do
you	PP	you
think	VVP	think
that	IN/that	that
the	DT	the
there's	NNS	there's
any	DT	any
kind	NN	kind
of	IN	of
light	NN	light
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
tunnel	NN	tunnel
well	RB	well
as	RB	as
as	IN	as
I	PP	I
was	VBD	be
saying	VVG	say
um	NNS	um
the	DT	the
United	NP	United
States	NPS	States
is	VBZ	be
the	DT	the
one	CD	one
that	WDT	that
could	MD	could
actually	RB	actually
put	VV	put
an	DT	an
end	NN	end
to	TO	to
this	DT	this
now	RB	now
if	IN	if
it	PP	it
actually	RB	actually
uses	VVZ	use
its	PP$	its
leverage	NN	leverage
with	IN	with
Israel	NP	Israel
but	CC	but
the	DT	the
United	NP	United
States	NPS	States
has	VHZ	have
been	VBN	be
too	RB	too
weak	JJ	weak
and	CC	and
it's	NNS	it's
a	DT	a
very	RB	very
very	RB	very
old	JJ	old
and	CC	and
apparently	RB	apparently
not	RB	not
very	RB	very
well	RB	well
very	RB	very
old	JJ	old
president	NN	president
uh	UH	uh
has	VHZ	have
been	VBN	be
boxing	VVG	box
himself	PP	himself
in	RB	in
be	VB	be
behind	RB	behind
prime	JJ	prime
minister	NN	minister
Netanyahu	NP	Netanyahu
and	CC	and
his	PP$	his
military	NN	military
and	CC	and
that's	NNS	that's
why	WRB	why
the	DT	the
United	NP	United
States	NPS	States
while	IN	while
it	PP	it
says	VVZ	say
it	PP	it
doesn't	NN	doesn't
want	VVP	want
to	TO	to
see	VV	see
that	DT	that
kind	NN	kind
of	IN	of
action	NN	action
against	IN	against
schools	NNS	school
and	CC	and
hospitals	NNS	hospital
it's	NNS	it's
actually	RB	actually
given	VVN	give
the	DT	the
green	JJ	green
light	NN	light
for	IN	for
it	PP	it
so	RB	so
while	IN	while
the	DT	the
United	NP	United
States	NPS	States
has	VHZ	have
been	VBN	be
putting	VVG	put
pressure	NN	pressure
verbally	RB	verbally
but	CC	but
not	RB	not
in	IN	in
any	DT	any
other	JJ	other
way	NN	way
secretary	NN	secretary
of	IN	of
state	NN	state
blinkin	NN	blinkin
had	VHD	have
to	TO	to
go	VV	go
to	TO	to
Japan	NP	Japan
in	IN	in
order	NN	order
to	TO	to
issue	NN	issue
have	VHP	have
a	DT	a
statement	NN	statement
issued	VVN	issue
by	IN	by
the	DT	the
G7	JJ	G7
most	RBS	most
powerful	JJ	powerful
most	RBS	most
rich	JJ	rich
World	NP	World
democracies	NNS	democracy
to	TO	to
tell	VV	tell
Israel	NP	Israel
that	IN/that	that
it	PP	it
can	MD	can
not	RB	not
ethnically	RB	ethnically
cleanse	VV	cleanse
the	DT	the
Palestinians	NPS	Palestinians
again	RB	again
and	CC	and
push	VV	push
them	PP	them
into	IN	into
the	DT	the
Sinai	NP	Sinai
so	IN	so
the	DT	the
question	NN	question
is	VBZ	be
to	TO	to
our	PP$	our
viewers	NNS	viewer
around	IN	around
the	DT	the
world	NN	world
is	VBZ	be
why	WRB	why
with	IN	with
the	DT	the
G7	JJ	G7
out	RP	out
of	IN	of
out	RB	out
of	IN	of
Japan	NP	Japan
issue	NN	issue
a	DT	a
statement	NN	statement
to	TO	to
Israel	NP	Israel
not	RB	not
to	TO	to
ethnically	RB	ethnically
