<video_id>qAmSDhaPpKE</video_id>	JJ	<video_id>qAmSDhaPpKE</video_id>
Hamas	NP	Hamas
has	VHZ	have
seen	VVN	see
an	DT	an
uptick	NN	uptick
in	IN	in
uh	UH	uh
weapons	NNS	weapon
they've	NNS	they've
been	VBN	be
able	JJ	able
to	TO	to
use	VV	use
uh	UH	uh
sort	NN	sort
of	IN	of
repurpose	NNS	repurpose
many	JJ	many
of	IN	of
these	DT	these
unexploded	JJ	unexploded
bombs	NNS	bomb
there	EX	there
are	VBP	be
thousands	NNS	thousand
of	IN	of
unexploded	JJ	unexploded
bombs	VVZ	bomb
uh	UH	uh
on	IN	on
the	DT	the
ground	JJ	ground
uh	UH	uh
in	IN	in
Gaza	NP	Gaza
um	NNS	um
and	CC	and
Hamas	NNS	Hamas
has	VHZ	have
been	VBN	be
able	JJ	able
to	TO	to
repurpose	VV	repurpose
those	DT	those
and	CC	and
now	RB	now
they're	NN	they're
using	VVG	use
those	DT	those
as	IN	as
weapons	NNS	weapon
so	CC	so
uh	UH	uh
what	WP	what
seemed	VVD	seem
like	IN	like
a	DT	a
crisis	NN	crisis
maybe	RB	maybe
a	DT	a
couple	NN	couple
of	IN	of
months	NNS	month
ago	RB	ago
in	IN	in
terms	NNS	term
of	IN	of
Manpower	NP	Manpower
and	CC	and
weapons	NNS	weapon
doesn't	NN	doesn't
seem	VVP	seem
like	IN	like
it's	JJ	it's
uh	UH	uh
as	RB	as
much	RB	much
of	IN	of
a	DT	a
crisis	NN	crisis
anymore	RB	anymore
so	RB	so
Israel	NP	Israel
may	MD	may
may	MD	may
have	VH	have
its	PP$	its
hands	NNS	hand
full	JJ	full
in	IN	in
Rafa	NP	Rafa
and	CC	and
of	IN	of
course	NN	course
Rafa	NP	Rafa
is	VBZ	be
still	RB	still
under	IN	under
attack	NN	attack
we	PP	we
are	VBP	be
still	RB	still
reporting	VVG	report
uh	UH	uh
what	WP	what
we	PP	we
hear	VV	hear
and	CC	and
see	VV	see
uh	UH	uh
with	IN	with
our	PP$	our
correspondents	NNS	correspondent
on	IN	on
the	DT	the
ground	NN	ground
and	CC	and
we	PP	we
know	VVP	know
there	EX	there
is	VBZ	be
a	DT	a
limited	JJ	limited
operation	NN	operation
which	WDT	which
the	DT	the
Biden	NP	Biden
Administration	NP	Administration
seems	VVZ	seem
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
deal	VV	deal
with	IN	with
right	NN	right
now	RB	now
but	CC	but
the	DT	the
level	NN	level
of	IN	of
response	NN	response
has	VHZ	have
you	PP	you
might	MD	might
say	VV	say
increased	VVN	increase
over	IN	over
the	DT	the
past	JJ	past
72	CD	@card@
hours	NNS	hour
at	IN	at
least	JJS	least
right	RB	right
well	RB	well
I	PP	I
think	VVP	think
there	EX	there
was	VBD	be
a	DT	a
certainly	RB	certainly
an	DT	an
initial	JJ	initial
shock	NN	shock
on	IN	on
Monday	NP	Monday
when	WRB	when
uh	UH	uh
Israel	NP	Israel
rejected	VVN	reject
the	DT	the
the	DT	the
ceas	NNS	ceas
fire	NN	fire
I	PP	I
think	VVP	think
the	DT	the
United	NP	United
States	NPS	States
expected	VVD	expect
that	IN/that	that
Israel	NP	Israel
was	VBD	be
going	VVG	go
to	TO	to
fall	VV	fall
in	IN	in
line	NN	line
um	NN	um
is	VBZ	be
the	DT	the
US	PP	us
is	VBZ	be
kind	NN	kind
of	IN	of
acting	VVG	act
as	IN	as
a	DT	a
uh	UH	uh
a	DT	a
proxy	NN	proxy
for	IN	for
for	IN	for
Israel	NP	Israel
in	IN	in
many	JJ	many
ways	NNS	way
and	CC	and
this	DT	this
was	VBD	be
the	DT	the
agreement	NN	agreement
that	WDT	that
was	VBD	be
that	IN/that	that
that	WDT	that
all	DT	all
sides	NNS	side
had	VHD	have
signed	VVN	sign
up	RP	up
signed	VVN	sign
up	RP	up
for	IN	for
Israel	NP	Israel
rejected	VVD	reject
it	PP	it
there	EX	there
was	VBD	be
an	DT	an
initial	JJ	initial
initial	JJ	initial
shock	NN	shock
now	RB	now
the	DT	the
US	NP	US
has	VHZ	have
temporarily	RB	temporarily
paused	VVN	pause
this	DT	this
this	DT	this
shipment	NN	shipment
as	IN	as
a	DT	a
way	NN	way
to	TO	to
sort	VV	sort
of	IN	of
signal	NN	signal
to	TO	to
Israel	NP	Israel
its	PP$	its
displeasure	NN	displeasure
um	NNS	um
on	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
the	DT	the
US	NP	US
is	VBZ	be
kind	NN	kind
of	IN	of
talking	VVG	talk
out	RP	out
of	IN	of
both	CC	both
both	DT	both
sides	NNS	side
of	IN	of
its	PP$	its
mouth	NN	mouth
I	PP	I
listened	VVD	listen
to	TO	to
the	DT	the
press	NN	press
conference	NN	conference
uh	UH	uh
tonight	NN	tonight
with	IN	with
Matthew	NP	Matthew
Miller	NP	Miller
at	IN	at
the	DT	the
state	NN	state
department	NN	department
and	CC	and
he's	NNS	he's
still	RB	still
saying	VVG	say
that	IN/that	that
there's	RB	there's
Ironclad	JJ	ironclad
support	NN	support
for	IN	for
Israel	NP	Israel
and	CC	and
he	PP	he
did	VVD	do
use	VV	use
the	DT	the
word	NN	word
Ironclad	NN	ironclad
and	CC	and
now	RB	now
he's	NNS	he's
softening	VVG	soften
his	PP$	his
tone	NN	tone
a	DT	a
little	JJ	little
bit	NN	bit
on	IN	on
Rafa	NP	Rafa
he's	NNS	he's
saying	VVG	say
that	IN/that	that
the	DT	the
US	NP	US
only	RB	only
opposes	VVZ	oppose
a	DT	a
major	JJ	major
operation	NN	operation
in	IN	in
Rafa	NP	Rafa
he	PP	he
also	RB	also
changed	VVD	change
his	PP$	his
previous	JJ	previous
discourse	NN	discourse
about	IN	about
ham	NN	ham
Hamas	NNS	Hamas
he	PP	he
used	VVD	use
to	TO	to
say	VV	say
that	IN/that	that
U	NP	U
Hamas	VVD	Hamas
uh	UH	uh
uh	UH	uh
needs	VVZ	need
to	TO	to
um	RB	um
surrender	VV	surrender
completely	RB	completely
right	RB	right
and	CC	and
now	RB	now
he's	NNS	he's
using	VVG	use
a	DT	a
slightly	RB	slightly
different	JJ	different
discourse	NN	discourse
with	IN	with
regards	NNS	regard
to	TO	to
Hames	NP	Hames
so	IN	so
you	PP	you
see	VVP	see
the	DT	the
US	NP	US
sort	NN	sort
of	IN	of
softening	VVG	soften
its	PP$	its
tone	NN	tone
on	IN	on
it	PP	it
can	MD	can
use	VV	use
the	DT	the
Nuance	NN	nuance
of	IN	of
language	NN	language
can't	VVD	can't
it	PP	it
for	IN	for
the	DT	the
international	JJ	international
audience	NN	audience
but	CC	but
for	IN	for
the	DT	the
domestic	JJ	domestic
audience	NN	audience
it	PP	it
doesn't	VVD	doesn't
work	VV	work
so	RB	so
easily	RB	easily
because	IN	because
Biden's	NP	Biden's
poll	NN	poll
numbers	NNS	number
are	VBP	be
dropping	VVG	drop
protests	NNS	protest
continue	VV	continue
across	IN	across
University	NP	University
campuses	NNS	campus
and	CC	and
in	IN	in
major	JJ	major
cities	NNS	city
where	WRB	where
those	DT	those
demonstrations	NNS	demonstration
continue	VVP	continue
you	PP	you
know	VVP	know
Matthew	NP	Matthew
Miller	NP	Miller
can	MD	can
say	VV	say
whatever	WDT	whatever
he	PP	he
wants	VVZ	want
at	IN	at
the	DT	the
podium	NN	podium
and	CC	and
so	RB	so
can	MD	can
President	NP	President
Biden	NP	Biden
it's	NNS	it's
just	RB	just
not	RB	not
winning	VVG	win
people	NNS	people
over	IN	over
is	VBZ	be
it	PP	it
it's	JJ	it's
not	RB	not
Biden	NP	Biden
is	VBZ	be
struggling	VVG	struggle
right	RB	right
now	RB	now
with	IN	with
the	DT	the
polls	NNS	poll
he's	NNS	he's
losing	VVG	lose
in	IN	in
all	DT	all
seven	CD	seven
swing	NN	swing
States	NNS	state
according	VVG	accord
to	TO	to
uh	UH	uh
the	DT	the
website	NN	website
538	CD	@card@
uh	UH	uh
39%	CD	@card@
of	IN	of
us	PP	us
uh	UH	uh
college	NN	college
students	NNS	student
say	VVP	say
they	PP	they
are	VBP	be
pro	JJ	pro
Palestinian	JJ	Palestinian
now	RB	now
only	JJ	only
11%	CD	@card@
say	VVP	say
they	PP	they
are	VBP	be
pro	JJ	pro
uh	UH	uh
Israel	NP	Israel
uh	UH	uh
more	JJR	more
college	NN	college
students	NNS	student
are	VBP	be
saying	VVG	say
they	PP	they
uh	UH	uh
support	VV	support
or	CC	or
sympathize	VV	sympathize
with	IN	with
Hamas	NNS	Hamas
than	IN	than
sympathize	VVP	sympathize
with	IN	with
Israel	NP	Israel
uh	UH	uh
and	CC	and
there	EX	there
are	VBP	be
all	DT	all
kinds	NNS	kind
of	IN	of
polling	NN	polling
data	NNS	datum
that	WDT	that
suggest	VVP	suggest
that	IN/that	that
Biden	NP	Biden
is	VBZ	be
in	IN	in
a	DT	a
lot	NN	lot
of	IN	of
trouble	NN	trouble
in	IN	in
November	NP	November
that	WDT	that
might	MD	might
be	VB	be
one	CD	one
reason	NN	reason
why	WRB	why
they're	NN	they're
putting	VVG	put
a	DT	a
little	JJ	little
bit	NN	bit
more	JJR	more
pressure	NN	pressure
on	IN	on
Israel	NP	Israel
these	DT	these
days	NNS	day
I	PP	I
think	VVP	think
Biden	NP	Biden
realizes	VVZ	realize
he	PP	he
may	MD	may
well	RB	well
lose	VV	lose
this	DT	this
election	NN	election
in	IN	in
November	NP	November
which	WDT	which
is	VBZ	be
what	WP	what
happens	VVZ	happen
mammad	NN	mammad
Al	NP	Al
Master	NP	Master
it's	NNS	it's
good	JJ	good
to	TO	to
speak	VV	speak
to	TO	to
and	CC	and
get	VV	get
your	PP$	your
analysis	NN	analysis
thank	VV	thank
you	PP	you
for	IN	for
joining	VVG	join
us	PP	us
make	VVP	make
sure	RB	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jazer	NN	jazer
</doc>	NN	</doc>
