<video_id>7xTBZj-nzY4</video_id>	NP	<video_id>7xTBZj-nzY4</video_id>
Israeli	JJ	Israeli
air	NN	air
strikes	NNS	strike
that	WDT	that
had	VHD	have
destroyed	VVN	destroy
uh	UH	uh
several	JJ	several
residential	JJ	residential
areas	NNS	area
across	IN	across
Gaza	NP	Gaza
and	CC	and
T	NN	T
from	IN	from
the	DT	the
point	NN	point
of	IN	of
view	NN	view
of	IN	of
uh	UH	uh
Hamas	NN	Hamas
we	PP	we
know	VVP	know
that	IN/that	that
their	PP$	their
um	JJ	um
military	NN	military
win	VV	win
Elan	NP	Elan
brigades	NNS	brigade
have	VHP	have
put	VVN	put
out	IN	out
a	DT	a
uh	UH	uh
statement	NN	statement
uh	UH	uh
in	IN	in
the	DT	the
last	JJ	last
couple	NN	couple
of	IN	of
hours	NNS	hour
and	CC	and
I'm	NP	I'm
going	VVG	go
to	TO	to
read	VV	read
some	DT	some
of	IN	of
that	WDT	that
to	TO	to
you	PP	you
now	RB	now
neither	CC	neither
the	DT	the
fascist	JJ	fascist
enemy	NN	enemy
and	CC	and
its	PP$	its
leadership	NN	leadership
like	IN	like
the	DT	the
corrupt	JJ	corrupt
Netanyahu	NP	Netanyahu
or	CC	or
the	DT	the
senile	JJ	senile
old	JJ	old
Galant	NN	Galant
nor	CC	nor
those	DT	those
who	WP	who
support	VVP	support
them	PP	them
or	CC	or
middlemen	NNS	middleman
among	IN	among
the	DT	the
zionists	NNS	Zionist
in	IN	in
the	DT	the
white	JJ	white
house	NN	house
will	MD	will
be	VB	be
able	JJ	able
to	TO	to
get	VV	get
their	PP$	their
prisoners	NNS	prisoner
back	RB	back
alive	JJ	alive
without	IN	without
an	DT	an
exchange	NN	exchange
and	CC	and
negotiation	NN	negotiation
and	CC	and
without	IN	without
meeting	VVG	meet
the	DT	the
demands	NNS	demand
of	IN	of
the	DT	the
resistance	NN	resistance
pretty	RB	pretty
defiant	JJ	defiant
statement	NN	statement
there	RB	there
from	IN	from
uh	UH	uh
the	DT	the
representative	NN	representative
of	IN	of
Elam	NP	Elam
brigades	NNS	brigade
what	WP	what
else	RB	else
did	VVD	do
he	PP	he
say	VV	say
yes	UH	yes
uh	UH	uh
this	DT	this
had	VHD	have
been	VBN	be
said	VVN	say
since	IN	since
the	DT	the
fighting	NN	fighting
as	IN	as
they	PP	they
have	VHP	have
a	DT	a
clear	JJ	clear
tactic	NN	tactic
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
number	NN	number
of	IN	of
uh	UH	uh
the	DT	the
captives	NNS	captive
who	WP	who
had	VHD	have
been	VBN	be
in	IN	in
their	PP$	their
hands	VVZ	hand
uh	UH	uh
while	IN	while
the	DT	the
occupation	NN	occupation
forces	NNS	force
are	VBP	be
trying	VVG	try
to	TO	to
carry	VV	carry
out	RP	out
different	JJ	different
secret	JJ	secret
operations	NNS	operation
in	IN	in
order	NN	order
to	TO	to
uh	UH	uh
redrive	NN	redrive
the	DT	the
captives	NNS	captive
from	IN	from
the	DT	the
hands	NNS	hand
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
Fighters	NNS	fighter
now	RB	now
also	RB	also
they	PP	they
have	VHP	have
said	VVN	say
that	IN/that	that
they	PP	they
have	VHP	have
attacked	VVN	attack
different	JJ	different
Israeli	JJ	Israeli
soldiers	NNS	soldier
who	WP	who
try	VVP	try
to	TO	to
uh	UH	uh
push	VV	push
deeper	JJR	deep
into	IN	into
hunas	NNS	hunas
where	WRB	where
they	PP	they
have	VHP	have
eliminated	VVN	eliminate
one	CD	one
of	IN	of
the	DT	the
Israeli	JJ	Israeli
force	NN	force
that	WDT	that
consist	VVP	consist
of	IN	of
15	CD	@card@
soldiers	NNS	soldier
as	IN	as
they	PP	they
have	VHP	have
been	VBN	be
hit	VVN	hit
by	IN	by
different	JJ	different
explosive	JJ	explosive
devices	NNS	device
and	CC	and
they	PP	they
have	VHP	have
later	RBR	later
uh	UH	uh
displayed	VVD	display
a	DT	a
number	NN	number
of	IN	of
videos	NNS	video
that	WDT	that
had	VHD	have
shown	VVN	show
the	DT	the
Israeli	JJ	Israeli
soldiers	NNS	soldier
who	WP	who
had	VHD	have
been	VBN	be
attacked	VVN	attack
and	CC	and
the	DT	the
number	NN	number
of	IN	of
artillery	NN	artillery
armored	JJ	armored
vehicles	NNS	vehicle
where	WRB	where
they	PP	they
have	VHP	have
been	VBN	be
hit	VVN	hit
by	IN	by
several	JJ	several
drones	VVZ	drone
uh	UH	uh
which	WDT	which
had	VHD	have
dropped	VVN	drop
different	JJ	different
explosive	JJ	explosive
devices	NNS	device
over	IN	over
them	PP	them
so	IN	so
the	DT	the
confrontations	NNS	confrontation
according	VVG	accord
to	TO	to
the	DT	the
an	DT	an
a	DT	a
statement	NN	statement
of	IN	of
the	DT	the
uh	UH	uh
spokesperson	NN	spokesperson
of	IN	of
the	DT	the
military	JJ	military
wing	NN	wing
of	IN	of
Hamas	NP	Hamas
continues	VVZ	continue
as	IN	as
they	PP	they
saying	VVG	say
that	IN/that	that
they	PP	they
are	VBP	be
destroying	VVG	destroy
more	JJR	more
artillery	NN	artillery
tanks	NNS	tank
uh	UH	uh
across	IN	across
the	DT	the
axis	NN	axis
of	IN	of
fighting	VVG	fight
and	CC	and
they	PP	they
are	VBP	be
trying	VVG	try
to	TO	to
block	VV	block
the	DT	the
entry	NN	entry
to	TO	to
the	DT	the
vital	JJ	vital
areas	NNS	area
uh	UH	uh
and	CC	and
which	WDT	which
considered	VVD	consider
to	TO	to
be	VB	be
an	DT	an
active	JJ	active
areas	NNS	area
for	IN	for
the	DT	the
Israeli	JJ	Israeli
uh	UH	uh
uh	UH	uh
operations	NNS	operation
now	RB	now
they	PP	they
have	VHP	have
said	VVN	say
also	RB	also
that	IN/that	that
there	EX	there
are	VBP	be
all	DT	all
kinds	NNS	kind
of	IN	of
efforts	NNS	effort
made	VVN	make
by	IN	by
International	JJ	international
uh	UH	uh
allays	VVZ	allay
for	IN	for
Israel	NP	Israel
wouldn't	VVD	wouldn't
uh	UH	uh
be	VB	be
fruitful	JJ	fruitful
until	IN	until
they	PP	they
met	VVD	meet
all	PDT	all
the	DT	the
demands	NNS	demand
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
uh	UH	uh
uh	UH	uh
uh	UH	uh
resistance	NN	resistance
as	IN	as
they	PP	they
have	VHP	have
stated	VVN	state
before	IN	before
and	CC	and
this	DT	this
is	VBZ	be
the	DT	the
clear	JJ	clear
tactic	NN	tactic
that	WDT	that
has	VHZ	have
been	VBN	be
adopted	VVN	adopt
by	IN	by
Hamas	NNS	Hamas
since	IN	since
the	DT	the
early	JJ	early
beginning	NN	beginning
of	IN	of
this	DT	this
round	NN	round
of	IN	of
fighting	VVG	fight
that	IN/that	that
all	DT	all
prisoners	NNS	prisoner
must	MD	must
be	VB	be
released	VVN	release
according	VVG	accord
to	TO	to
negotiations	NNS	negotiation
and	CC	and
ceasefire	NN	ceasefire
exchange	NN	exchange
which	WDT	which
can	MD	can
help	VV	help
to	TO	to
release	VV	release
more	JJR	more
Palestinian	JJ	Palestinian
prisoners	NNS	prisoner
from	IN	from
the	DT	the
Israeli	JJ	Israeli
jails	NNS	jail
AB	NP	AB
in	IN	in
off	RB	off
for	IN	for
us	PP	us
thanks	VVZ	thank
very	RB	very
much	RB	much
we	PP	we
hope	VVP	hope
you	PP	you
stay	VV	stay
safe	JJ	safe
</doc>	NN	</doc>
