Tommy	NP	Tommy
it	PP	it
will	MD	will
recognize	VV	recognize
a	DT	a
Palestinian	JJ	Palestinian
State	NP	State
uh	UH	uh
from	IN	from
the	DT	the
Irish	JJ	Irish
we	PP	we
we	PP	we
heard	VVD	hear
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
say	VVP	say
that	IN/that	that
from	IN	from
Ireland	NP	Ireland
'	POS	'
s	JJ	s
own	JJ	own
history	NN	history
it	PP	it
knows	VVZ	know
what	WP	what
it	PP	it
means	VVZ	mean
to	TO	to
aspire	VV	aspire
to	TO	to
statehood	NN	statehood
and	CC	and
having	VHG	have
full	JJ	full
rights	NNS	right
Ireland	NP	Ireland
he	PP	he
said	VVD	say
uh	UH	uh
believed	VVN	believe
in	IN	in
the	DT	the
fundamental	JJ	fundamental
rights	NNS	right
of	IN	of
Palestinian	JJ	Palestinian
people	NNS	people
and	CC	and
this	DT	this
was	VBD	be
also	RB	also
a	DT	a
way	NN	way
for	IN	for
Ireland	NP	Ireland
to	TO	to
show	VV	show
its	PP$	its
unequivocal	JJ	unequivocal
support	NN	support
to	TO	to
the	DT	the
two	CD	two
-	NN	-
state	NN	state
solution	NN	solution
well	RB	well
the	DT	the
reaction	NN	reaction
from	IN	from
Israel	NP	Israel
to	TO	to
these	DT	these
three	CD	three
countries	NNS	country
Spain	NP	Spain
Ireland	NP	Ireland
and	CC	and
Norway	NP	Norway
announcing	VVG	announce
that	IN/that	that
they	PP	they
will	MD	will
recognize	VV	recognize
uh	UH	uh
Palestine	NP	Palestine
well	RB	well
the	DT	the
reaction	NN	reaction
from	IN	from
Israel	NP	Israel
has	VHZ	have
been	VBN	be
Swift	NP	Swift
and	NP	and
and	CC	and
very	RB	very
angry	JJ	angry
uh	UH	uh
the	DT	the
foreign	JJ	foreign
minister	NN	minister
of	IN	of
Israel	NP	Israel
uh	UH	uh
uh	UH	uh
cat	NN	cat
saying	VVG	say
that	DT	that
uh	UH	uh
in	IN	in
his	PP$	his
words	NNS	word
the	DT	the
Irish	JJ	Irish
and	CC	and
Norwegian	JJ	Norwegian
Folly	NN	folly
does	VVZ	do
not	RB	not
deter	VV	deter
us	PP	us
and	CC	and
we	PP	we
are	VBP	be
determined	VVN	determine
to	TO	to
achieve	VV	achieve
our	PP$	our
goals	NNS	goal
he	PP	he
says	VVZ	say
Israel	NP	Israel
will	MD	will
not	RB	not
remain	VV	remain
silent	JJ	silent
in	IN	in
the	DT	the
face	NN	face
of	IN	of
those	DT	those
who	WP	who
undermine	VVP	undermine
its	PP$	its
sovereignty	NN	sovereignty
and	CC	and
endanger	VV	endanger
its	PP$	its
security	NN	security
there	EX	there
will	MD	will
be	VB	be
serious	JJ	serious
consequences	NNS	consequence
for	IN	for
the	DT	the
decision	NN	decision
of	IN	of
Ireland	NP	Ireland
and	CC	and
Norway	NP	Norway
uh	UH	uh
the	DT	the
Israeli	JJ	Israeli
foreign	JJ	foreign
minister	NN	minister
has	VHZ	have
said	VVN	say
and	CC	and
Israel	NP	Israel
has	VHZ	have
already	RB	already
announced	VVN	announce
that	IN/that	that
it	PP	it
'	POS	'
s	NN	S
withdrawing	VVG	withdraw
its	PP$	its
ambassadors	NNS	ambassador
from	IN	from
Norway	NP	Norway
and	CC	and
Ireland	NP	Ireland
let	VVP	let
'	POS	'
s	NNS	s
bring	VVP	bring
in	IN	in
Mustafa	NP	Mustafa
bargoti	NP	bargoti
once	RB	once
again	RB	again
who	WP	who
'	POS	'
s	NN	S
the	DT	the
Secretary	NP	Secretary
General	NP	General
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
national	JJ	national
initiative	NN	initiative
joining	VVG	join
us	PP	us
from	IN	from
romala	NN	romala
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
Mustafa	NP	Mustafa
you	PP	you
were	VBD	be
able	JJ	able
to	TO	to
hear	VV	hear
I	PP	I
believe	VVP	believe
what	WP	what
uh	UH	uh
the	DT	the
Irish	JJ	Irish
leaders	NNS	leader
had	VHD	have
to	TO	to
say	VV	say
about	IN	about
their	PP$	their
decision	NN	decision
to	TO	to
to	TO	to
recognize	VV	recognize
uh	UH	uh
Palestine	NP	Palestine
today	NN	today
what	WP	what
what	WDT	what
is	VBZ	be
your	PP$	your
reaction	NN	reaction
to	TO	to
what	WP	what
you	PP	you
heard	VVD	hear
and	CC	and
also	RB	also
your	PP$	your
reaction	NN	reaction
to	TO	to
the	DT	the
angry	JJ	angry
response	NN	response
from	IN	from
Israel	NP	Israel
well	RB	well
thank	VVP	thank
you	PP	you
first	JJ	first
of	IN	of
all	DT	all
I	PP	I
think	VVP	think
I	PP	I
would	MD	would
be	VB	be
speaking	VVG	speak
on	IN	on
behalf	NN	behalf
of	IN	of
all	DT	all
Palestinian	JJ	Palestinian
people	NNS	people
in	IN	in
uh	UH	uh
welcoming	VVG	welcome
this	DT	this
wonderful	JJ	wonderful
act	NN	act
by	IN	by
Ireland	NP	Ireland
and	CC	and
Norway	NP	Norway
and	CC	and
I	NP	I
'	POS	'
m	NN	m
sure	RB	sure
the	DT	the
Spanish	JJ	Spanish
step	NN	step
will	MD	will
follow	VV	follow
very	RB	very
soon	RB	soon
they	PP	they
have	VHP	have
in	IN	in
fact	NN	fact
Spain	NP	Spain
has	VHZ	have
now	RB	now
also	RB	also
recognized	VVN	recognize
Palestine	NP	Palestine
excellent	JJ	excellent
so	IN	so
three	CD	three
countries	NNS	country
hopefully	RB	hopefully
Malta	NP	Malta
and	CC	and
Slovenia	NP	Slovenia
will	MD	will
follow	VV	follow
so	IN	so
we	PP	we
are	VBP	be
talking	VVG	talk
here	RB	here
about	IN	about
a	DT	a
true	JJ	true
powerful	JJ	powerful
political	JJ	political
and	CC	and
symbolic	JJ	symbolic
significant	JJ	significant
step	VV	step
uh	UH	uh
that	WDT	that
means	VVZ	mean
a	DT	a
lot	NN	lot
in	IN	in
the	DT	the
direction	NN	direction
of	IN	of
achieving	VVG	achieve
freedom	NN	freedom
justice	NN	justice
and	CC	and
just	RB	just
peace	NN	peace
as	RB	as
was	VBD	be
said	VVN	say
uh	UH	uh
but	CC	but
it	PP	it
is	VBZ	be
a	DT	a
very	RB	very
important	JJ	important
step	NN	step
in	IN	in
determining	VVG	determine
uh	UH	uh
the	DT	the
right	NN	right
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
our	PP$	our
people	NNS	people
for	IN	for
self	JJ	self
-	NN	-
determination	NN	determination
and	CC	and
also	RB	also
it	PP	it
is	VBZ	be
a	DT	a
blow	NN	blow
up	IN	up
it	PP	it
blows	VVZ	blow
away	RP	away
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
de	FW	de
facto	FW	facto
effects	NNS	effect
that	IN/that	that
Israel	NP	Israel
has	VHZ	have
created	VVN	create
through	IN	through
settlement	NN	settlement
building	NN	building
on	IN	on
the	DT	the
ground	JJ	ground
uh	UH	uh
confirming	VVG	confirm
that	DT	that
Palestine	NP	Palestine
today	NN	today
is	VBZ	be
a	DT	a
state	NN	state
under	IN	under
occupation	NN	occupation
and	CC	and
so	RB	so
any	DT	any
effect	NN	effect
any	DT	any
efforts	NNS	effort
of	IN	of
the	DT	the
occupying	JJ	occupying
power	NN	power
to	TO	to
change	VV	change
facts	NNS	fact
of	IN	of
the	DT	the
ground	NN	ground
is	VBZ	be
meaningless	JJ	meaningless
and	CC	and
will	MD	will
not	RB	not
have	VH	have
an	DT	an
impact	NN	impact
in	IN	in
the	DT	the
long	JJ	long
run	NN	run
right	NN	right
but	CC	but
also	RB	also
this	DT	this
is	VBZ	be
this	DT	this
is	VBZ	be
a	DT	a
blow	NN	blow
a	DT	a
second	JJ	second
one	CD	one
to	TO	to
Netanyahu	NP	Netanyahu
and	CC	and
his	PP$	his
extreme	JJ	extreme
government	NN	government
and	CC	and
to	TO	to
the	DT	the
fascist	NN	fascist
in	IN	in
his	PP$	his
Government	NN	government
after	IN	after
they	PP	they
were	VBD	be
indicted	VVN	indict
by	IN	by
Natan	NP	Natan
and	CC	and
Galant	NP	Galant
were	VBD	be
indicted	VVN	indict
by	IN	by
the	DT	the
international	JJ	international
criminal	JJ	criminal
court	NN	court
H	NN	H
it	PP	it
means	VVZ	mean
that	IN/that	that
the	DT	the
act	NN	act
of	IN	of
fascism	NN	fascism
and	CC	and
the	DT	the
the	DT	the
the	DT	the
extremism	NN	extremism
in	IN	in
the	DT	the
isi	NN	isi
government	NN	government
has	VHZ	have
no	DT	no
future	NN	future
and	CC	and
the	DT	the
Israeli	JJ	Israeli
reaction	NN	reaction
of	IN	of
the	DT	the
of	IN	of
of	IN	of
refusing	VVG	refuse
these	DT	these
recognitions	NNS	recognition
and	CC	and
claiming	VVG	claim
that	IN/that	that
it	PP	it
affects	VVZ	affect
isra	NN	isra
security	NN	security
is	VBZ	be
of	IN	of
course	NN	course
something	NN	something
that	WDT	that
will	MD	will
not	RB	not
convince	VV	convince
anybody	NN	anybody
I	PP	I
think	VVP	think
this	DT	this
is	VBZ	be
a	DT	a
historical	JJ	historical
moment	NN	moment
and	CC	and
the	DT	the
big	JJ	big
change	NN	change
Mr	NP	Mr
baruti	NP	baruti
let	VVD	let
me	PP	me
ask	VVP	ask
you	PP	you
this	DT	this
I	PP	I
mean	VVP	mean
you	PP	you
say	VVP	say
it	PP	it
'	''	'
s	VVG	s
a	DT	a
historic	JJ	historic
moment	NN	moment
a	DT	a
hugely	RB	hugely
symbolic	JJ	symbolic
moment	NN	moment
but	CC	but
what	WP	what
does	VVZ	do
it	PP	it
change	VV	change
practically	RB	practically
on	IN	on
the	DT	the
ground	NN	ground
it	PP	it
uh	UH	uh
it	PP	it
will	VVP	will
it	PP	it
the	DT	the
main	JJ	main
change	NN	change
is	VBZ	be
of	IN	of
course	NN	course
it	PP	it
could	MD	could
be	VB	be
perceived	VVN	perceive
as	IN	as
symbolic	JJ	symbolic
but	CC	but
it	PP	it
'	POS	'
s	NNS	s
more	RBR	more
than	IN	than
symbolic	JJ	symbolic
because	IN	because
uh	UH	uh
in	IN	in
fact	NN	fact
what	WP	what
we	PP	we
have	VHP	have
seen	VVN	see
since	IN	since
1967	CD	@card@
is	VBZ	be
Israel	NP	Israel
'	POS	'
s	JJ	s
effort	NN	effort
to	TO	to
change	VV	change
the	DT	the
status	NN	status
of	IN	of
the	DT	the
West	NP	West
band	NN	band
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
East	NP	East
Jerusalem	NP	Jerusalem
to	TO	to
make	VV	make
it	PP	it
Israeli	JJ	Israeli
they	PP	they
Annex	NP	Annex
East	NP	East
Jerusalem	NP	Jerusalem
they	PP	they
are	VBP	be
in	IN	in
the	DT	the
process	NN	process
of	IN	of
annexing	VVG	annex
the	DT	the
West	NP	West
Bank	NP	Bank
they	PP	they
reoccupied	VVD	reoccupied
now	RB	now
Gaza	NP	Gaza
as	IN	as
well	RB	well
as	IN	as
all	DT	all
of	IN	of
the	DT	the
West	NP	West
Bank	NP	Bank
so	IN	so
their	PP$	their
goal	NN	goal
is	VBZ	be
to	TO	to
Annex	NP	Annex
the	DT	the
occupied	JJ	occupied
territories	NNS	territory
and	CC	and
make	VV	make
it	PP	it
part	NN	part
of	IN	of
Israel	NP	Israel
and	CC	and
consistently	RB	consistently
ethnically	RB	ethnically
cleanse	VV	cleanse
Palestinians	NNS	Palestinian
from	IN	from
this	DT	this
land	NN	land
this	DT	this
plan	NN	plan
is	VBZ	be
failing	VVG	fail
and	CC	and
the	DT	the
fact	NN	fact
that	IN/that	that
now	RB	now
we	PP	we
are	VBP	be
a	DT	a
state	NN	state
under	IN	under
occupation	NN	occupation
means	NNS	mean
that	IN/that	that
whatever	WDT	whatever
Israel	NP	Israel
did	VVD	do
or	CC	or
does	VVZ	do
now	RB	now
in	IN	in
the	DT	the
occupied	JJ	occupied
territories	NNS	territory
will	MD	will
have	VH	have
no	DT	no
legal	JJ	legal
value	NN	value
and	CC	and
eventually	RB	eventually
will	MD	will
have	VH	have
to	TO	to
be	VB	be
reversed	VVN	reverse
we	PP	we
we	PP	we
heard	VVD	hear
that	WDT	that
is	VBZ	be
very	RB	very
important	JJ	important
yeah	RB	yeah
we	PP	we
we	PP	we
heard	VVD	hear
the	DT	the
three	CD	three
countries	NNS	country
say	VVP	say
that	IN/that	that
this	DT	this
move	NN	move
they	PP	they
hope	VVP	hope
that	IN/that	that
this	DT	this
move	NN	move
will	MD	will
complement	VV	complement
efforts	NNS	effort
towards	IN	towards
the	DT	the
two	CD	two
-	NN	-
state	NN	state
solution	NN	solution
uh	UH	uh
and	CC	and
a	DT	a
secure	JJ	secure
lasting	JJ	lasting
peace	NN	peace
between	IN	between
Israel	NP	Israel
and	CC	and
Palestine	NP	Palestine
but	CC	but
we	PP	we
talk	VVP	talk
about	RB	about
they	PP	they
talk	VVP	talk
about	IN	about
a	DT	a
two	CD	two
-	NN	-
state	NN	state
solution	NN	solution
is	VBZ	be
that	IN/that	that
still	RB	still
something	NN	something
feasible	JJ	feasible
today	NN	today
when	WRB	when
you	PP	you
look	VVP	look
at	IN	at
the	DT	the
reality	NN	reality
on	IN	on
the	DT	the
ground	NN	ground
I	PP	I
mean	VVP	mean
what	WP	what
impact	NN	impact
is	VBZ	be
this	DT	this
move	NN	move
going	VVG	go
to	TO	to
have	VH	have
on	IN	on
this	DT	this
peace	NN	peace
process	NN	process
and	CC	and
and	CC	and
this	DT	this
two	CD	two
-	NN	-
state	NN	state
solution	NN	solution
that	IN/that	that
we	PP	we
keep	VVP	keep
hearing	VVG	hear
about	RB	about
well	RB	well
look	VV	look
now	RB	now
the	DT	the
number	NN	number
of	IN	of
states	NNS	state
that	WDT	that
recognize	VVP	recognize
Palestine	NP	Palestine
is	VBZ	be
probably	RB	probably
larger	JJR	large
than	IN	than
the	DT	the
number	NN	number
of	IN	of
countries	NNS	country
that	WDT	that
recognize	VVP	recognize
Israel	NP	Israel
that	WDT	that
'	POS	'
s	NN	S
very	RB	very
meaningful	JJ	meaningful
but	CC	but
on	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
of	IN	of
course	NN	course
this	DT	this
will	MD	will
not	RB	not
become	VV	become
a	DT	a
reality	NN	reality
unless	IN	unless
Israel	NP	Israel
withdraws	VVZ	withdraw
and	CC	and
takes	VVZ	take
away	RB	away
all	PDT	all
its	PP$	its
settlements	NNS	settlement
from	IN	from
the	DT	the
occupied	JJ	occupied
territories	NNS	territory
unless	IN	unless
Israel	NP	Israel
itself	PP	itself
accepts	VVZ	accept
the	DT	the
right	NN	right
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
to	TO	to
to	TO	to
be	VB	be
free	JJ	free
from	IN	from
occupation	NN	occupation
but	CC	but
the	DT	the
value	NN	value
of	IN	of
what	WP	what
'	POS	'
s	NN	S
happening	NN	happening
is	VBZ	be
that	IN/that	that
the	DT	the
rights	NNS	right
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
cannot	MD	can
be	VB	be
cannot	MD	can
vanish	VV	vanish
and	CC	and
whatever	WDT	whatever
Israel	NP	Israel
does	VVZ	do
it	PP	it
will	MD	will
not	RB	not
go	VV	go
away	RB	away
and	CC	and
of	IN	of
course	NN	course
the	DT	the
only	JJ	only
two	CD	two
solutions	NNS	solution
that	WDT	that
are	VBP	be
possible	JJ	possible
are	VBP	be
either	RB	either
two	CD	two
-	NN	-
State	NN	state
solution	NN	solution
with	IN	with
where	WRB	where
Israel	NP	Israel
would	MD	would
accept	VV	accept
an	DT	an
independent	JJ	independent
Sovereign	NP	Sovereign
Palestinian	JJ	Palestinian
state	NN	state
or	CC	or
one	CD	one
Democratic	JJ	Democratic
state	NN	state
with	IN	with
equal	JJ	equal
rights	NNS	right
for	IN	for
everybody	NN	everybody
the	DT	the
problem	NN	problem
is	VBZ	be
that	IN/that	that
this	DT	this
Israeli	JJ	Israeli
government	NN	government
and	CC	and
not	RB	not
only	RB	only
the	DT	the
government	NN	government
but	CC	but
also	RB	also
the	DT	the
Israeli	JJ	Israeli
opposition	NN	opposition
this	DT	this
establishment	NN	establishment
once	IN	once
a	DT	a
third	JJ	third
solution	NN	solution
which	WDT	which
is	VBZ	be
ethnic	JJ	ethnic
cleansing	NN	cleansing
of	IN	of
Palestinians	NNS	Palestinian
which	WDT	which
is	VBZ	be
exactly	RB	exactly
what	WP	what
they	PP	they
are	VBP	be
doing	VVG	do
now	RB	now
in	IN	in
Gaza	NP	Gaza
and	CC	and
what	WP	what
they	PP	they
try	VVP	try
to	TO	to
do	VV	do
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
there	RB	there
is	VBZ	be
no	RB	no
future	JJ	future
for	IN	for
such	PDT	such
a	DT	a
plan	NN	plan
this	DT	this
is	VBZ	be
a	DT	a
I	PP	I
said	VVD	say
it	PP	it
'	''	'
s	VVG	s
a	DT	a
historical	JJ	historical
moment	NN	moment
from	IN	from
the	DT	the
perspective	NN	perspective
of	IN	of
telling	VVG	tell
Israel	NP	Israel
that	IN/that	that
all	PDT	all
these	DT	these
uh	UH	uh
fascist	NN	fascist
and	CC	and
extreme	JJ	extreme
plans	NNS	plan
have	VHP	have
no	DT	no
future	NN	future
and	CC	and
they	PP	they
have	VHP	have
to	TO	to
accept	VV	accept
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
as	IN	as
equal	JJ	equal
people	NNS	people
but	CC	but
do	VVP	do
you	PP	you
think	VVP	think
this	DT	this
is	VBZ	be
likely	JJ	likely
to	TO	to
have	VH	have
a	DT	a
positive	JJ	positive
impact	NN	impact
on	IN	on
the	DT	the
peace	NN	peace
process	VV	process
uh	UH	uh
sorry	RB	sorry
on	IN	on
what	WP	what
can	MD	can
the	DT	the
peace	NN	peace
process	NN	process
do	VVP	do
you	PP	you
think	VVP	think
it	PP	it
will	MD	will
have	VH	have
a	DT	a
positive	JJ	positive
impact	NN	impact
on	IN	on
it	PP	it
h	NN	h
here	RB	here
you	PP	you
have	VHP	have
two	CD	two
factors	NNS	factor
that	WDT	that
have	VHP	have
to	TO	to
be	VB	be
uh	UH	uh
changed	VVD	change
the	DT	the
Israeli	JJ	Israeli
position	NN	position
of	IN	of
course	NN	course
which	WDT	which
is	VBZ	be
very	JJ	very
uh	UH	uh
extreme	NN	extreme
and	CC	and
the	DT	the
American	JJ	American
position	NN	position
which	WDT	which
is	VBZ	be
covering	VVG	cover
up	RP	up
Israeli	JJ	Israeli
without	IN	without
a	DT	a
change	NN	change
from	IN	from
the	DT	the
side	NN	side
of	IN	of
the	DT	the
United	NP	United
States	NP	States
we	PP	we
will	MD	will
not	RB	not
see	VV	see
a	DT	a
peace	NN	peace
process	NN	process
but	CC	but
we	PP	we
will	MD	will
see	VV	see
the	DT	the
continuation	NN	continuation
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
struggle	NN	struggle
which	WDT	which
is	VBZ	be
even	RB	even
more	RBR	more
Justified	VVN	justify
now	RB	now
with	IN	with
all	PDT	all
these	DT	these
recognitions	NNS	recognition
I	PP	I
think	VVP	think
it	PP	it
'	''	'
s	VVG	s
now	RB	now
12	CD	@card@
countries	NNS	country
of	IN	of
the	DT	the
European	JJ	European
union	NN	union
members	NNS	member
that	WDT	that
have	VHP	have
already	RB	already
recognized	VVN	recognize
Palestine	NP	Palestine
this	DT	this
means	VVZ	mean
that	IN/that	that
the	DT	the
struggle	NN	struggle
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
for	IN	for
their	PP$	their
freedom	NN	freedom
for	IN	for
their	PP$	their
for	IN	for
justice	NN	justice
and	CC	and
for	IN	for
self	JJ	self
-	NN	-
determination	NN	determination
is	VBZ	be
even	RB	even
more	RBR	more
Justified	JJ	justified
than	IN	than
it	PP	it
was	VBD	be
until	IN	until
that	DT	that
moment	NN	moment
happens	VVZ	happen
when	WRB	when
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
Israel	NP	Israel
change	NN	change
and	CC	and
they	PP	they
will	MD	will
not	RB	not
change	VV	change
without	IN	without
our	PP$	our
struggle	NN	struggle
on	IN	on
the	DT	the
ground	NN	ground
thank	VV	thank
you	PP	you
Mr	NP	Mr
baruti	NP	baruti
for	IN	for
speaking	VVG	speak
to	TO	to
us	PP	us
Mustafa	NP	Mustafa
baruti	VVD	baruti
uh	UH	uh
the	DT	the
uh	UH	uh
Secretary	NP	Secretary
General	NP	General
of	IN	of
the	DT	the
Palestine	NP	Palestine
National	NP	National
initiative	NN	initiative
joining	VVG	join
us	PP	us
there	RB	there
from	IN	from
ramala	NNS	ramala
make	VVP	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jazer	NP	jazer
