<video_id>h6s-gsUeKPo</video_id>	JJ	<video_id>h6s-gsUeKPo</video_id>
who	WP	who
have	VHP	have
died	VVN	die
so	RB	so
far	RB	far
uh	UH	uh
in	IN	in
the	DT	the
ongoing	JJ	ongoing
uh	UH	uh
bombardment	NN	bombardment
of	IN	of
this	DT	this
trip	NN	trip
and	CC	and
he	PP	he
also	RB	also
sent	VVD	send
his	PP$	his
best	JJS	good
wishes	NNS	wish
to	TO	to
the	DT	the
injured	JJ	injured
but	CC	but
beyond	IN	beyond
that	DT	that
Manuel	NP	Manuel
mcon	NN	mcon
kind	NN	kind
of	IN	of
um	NNS	um
repeated	VVN	repeat
what	WP	what
he	PP	he
said	VVD	say
when	WRB	when
he	PP	he
was	VBD	be
next	JJ	next
to	TO	to
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
that	IN/that	that
he	PP	he
proposes	VVZ	propose
an	DT	an
international	JJ	international
coalition	NN	coalition
to	TO	to
fight	VV	fight
Hamas	VV	Hamas
uh	UH	uh
in	IN	in
his	PP$	his
view	NN	view
to	TO	to
Hamas	NN	Hamas
being	VBG	be
a	DT	a
terrorist	JJ	terrorist
organization	NN	organization
uh	UH	uh
that	IN/that	that
won't	NP	won't
BW	NP	BW
well	RB	well
for	IN	for
many	JJ	many
people	NNS	people
in	IN	in
around	IN	around
uh	UH	uh
many	JJ	many
Palestinians	NPS	Palestinians
who	WP	who
look	VVP	look
at	IN	at
Hamas	NNS	Hamas
as	IN	as
a	DT	a
resistance	NN	resistance
movement	NN	movement
uh	UH	uh
regardless	RB	regardless
of	IN	of
what	WP	what
has	VHZ	have
been	VBN	be
been	VBN	be
unfolding	VVG	unfold
over	IN	over
the	DT	the
past	JJ	past
uh	UH	uh
3	CD	@card@
weeks	NNS	week
uh	UH	uh
Emmanuel	NP	Emmanuel
mcon	NP	mcon
also	RB	also
said	VVD	say
that	IN/that	that
there	EX	there
is	VBZ	be
need	NN	need
for	IN	for
a	DT	a
political	JJ	political
uh	UH	uh
solution	NN	solution
to	TO	to
go	VV	go
back	RB	back
to	TO	to
get	VV	get
back	RB	back
on	IN	on
the	DT	the
political	JJ	political
track	NN	track
which	WDT	which
has	VHZ	have
been	VBN	be
uh	UH	uh
all	DT	all
but	CC	but
elusive	JJ	elusive
I	PP	I
would	MD	would
say	VV	say
since	IN	since
back	RB	back
in	IN	in
2014	CD	@card@
and	CC	and
then	RB	then
uh	UH	uh
if	IN	if
you	PP	you
recall	VVP	recall
during	IN	during
the	DT	the
um	JJ	um
Trump	NP	Trump
Administration	NP	Administration
uh	UH	uh
when	WRB	when
the	DT	the
US	NP	US
Embassy	NP	Embassy
moved	VVD	move
from	IN	from
Tel	NP	Tel
Aviv	NP	Aviv
to	TO	to
Jerusalem	NP	Jerusalem
all	DT	all
contacts	NNS	contact
between	IN	between
the	DT	the
Palestinian	NP	Palestinian
Authority	NP	Authority
and	CC	and
the	DT	the
US	NP	US
had	VHD	have
stopped	VVN	stop
that	DT	that
has	VHZ	have
picked	VVN	pick
up	RP	up
again	RB	again
now	RB	now
uh	UH	uh
under	IN	under
the	DT	the
Biden	NP	Biden
Administration	NP	Administration
but	CC	but
from	IN	from
there	EX	there
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
have	VH	have
actually	RB	actually
a	DT	a
political	JJ	political
solution	NN	solution
that	WDT	that
would	MD	would
include	VV	include
Israel	NP	Israel
I	PP	I
think	VVP	think
there's	RB	there's
still	RB	still
need	VV	need
for	IN	for
a	DT	a
lot	NN	lot
of	IN	of
negotiations	NNS	negotiation
and	CC	and
and	CC	and
not	RB	not
of	IN	of
behind	IN	behind
closed	VVN	close
doors	NNS	door
uh	UH	uh
talks	NNS	talk
but	CC	but
Mahmud	NP	Mahmud
abz	NP	abz
does	VVZ	do
agree	VV	agree
that	IN/that	that
there	EX	there
is	VBZ	be
Need	NN	need
for	IN	for
political	JJ	political
solution	NN	solution
Huda	NP	Huda
we're	NN	we're
also	RB	also
hearing	VVG	hear
about	IN	about
the	DT	the
death	NN	death
of	IN	of
a	DT	a
second	JJ	second
Palestinian	JJ	Palestinian
prisoner	NN	prisoner
in	IN	in
Israeli	JJ	Israeli
custody	NN	custody
what	WP	what
do	VVP	do
you	PP	you
know	VVP	know
know	VV	know
about	IN	about
that	DT	that
well	UH	well
yes	UH	yes
that's	NNS	that's
from	IN	from
the	DT	the
uh	UH	uh
Palestinian	NN	Palestinian
prisoner	NN	prisoner
Society	NP	Society
that's	NP	that's
the	DT	the
second	JJ	second
de	NP	de
a	DT	a
Palestinian	JJ	Palestinian
dete	NN	dete
to	TO	to
die	VV	die
in	IN	in
as	IN	as
many	JJ	many
days	NNS	day
in	IN	in
an	DT	an
Israeli	JJ	Israeli
jail	NN	jail
this	DT	this
one	CD	one
is	VBZ	be
a	DT	a
young	JJ	young
uh	UH	uh
25-year-old	JJ	25-year-old
a	DT	a
man	VV	man
uh	UH	uh
we	PP	we
uh	UH	uh
who	WP	who
was	VBD	be
held	VVN	hold
uh	UH	uh
in	IN	in
an	DT	an
Israeli	JJ	Israeli
jail	NN	jail
and	CC	and
we	PP	we
presume	VVP	presume
that	IN/that	that
he	PP	he
was	VBD	be
held	VVN	hold
inside	IN	inside
Israel	NP	Israel
um	NNS	um
now	RB	now
the	DT	the
Palestinian	JJ	Palestinian
uh	UH	uh
Society	NP	Society
for	IN	for
prisoners	NNS	prisoner
is	VBZ	be
saying	VVG	say
that	IN/that	that
they	PP	they
are	VBP	be
they're	RB	they're
claiming	VVG	claim
that	IN/that	that
Israel	NP	Israel
is	VBZ	be
carrying	VVG	carry
on	IN	on
a	DT	a
targeting	VVG	target
assassination	NN	assassination
campaign	NN	campaign
against	IN	against
Deton	NP	Deton
inside	IN	inside
their	PP$	their
uh	UH	uh
jails	NNS	jail
that's	NNS	that's
the	DT	the
claim	NN	claim
they	PP	they
had	VHD	have
got	VVN	get
we	PP	we
have	VHP	have
uh	UH	uh
we	PP	we
can't	VVD	can't
really	RB	really
elaborate	VV	elaborate
more	JJR	more
on	IN	on
that	IN/that	that
but	CC	but
I	PP	I
can	MD	can
tell	VV	tell
you	PP	you
that	IN/that	that
on	IN	on
social	JJ	social
media	NNS	medium
there	EX	there
is	VBZ	be
a	DT	a
lot	NN	lot
of	IN	of
uh	UH	uh
different	JJ	different
calls	NNS	call
there's	RB	there's
a	DT	a
lot	NN	lot
of	IN	of
De	NP	De
dehumanization	NN	dehumanization
of	IN	of
Palestinians	NPS	Palestinians
there's	NPS	there's
actually	RB	actually
calls	VVZ	call
also	RB	also
to	TO	to
go	VV	go
after	IN	after
certain	JJ	certain
Palestinians	NPS	Palestinians
uh	UH	uh
religious	JJ	religious
leaders	NNS	leader
uh	UH	uh
political	JJ	political
activists	NNS	activist
journalists	NNS	journalist
um	RB	um
there	EX	there
is	VBZ	be
call	NN	call
for	IN	for
that	DT	that
so	RB	so
certainly	RB	certainly
that	DT	that
is	VBZ	be
spreading	VVG	spread
a	DT	a
lot	NN	lot
of	IN	of
fear	NN	fear
among	IN	among
uh	UH	uh
Palestinians	NPS	Palestinians
who	WP	who
have	VHP	have
been	VBN	be
worried	VVN	worry
about	IN	about
the	DT	the
conditions	NNS	condition
inside	IN	inside
the	DT	the
jails	NNS	jail
about	RB	about
of	IN	of
the	DT	the
detes	VVZ	detes
uh	UH	uh
many	JJ	many
families	NNS	family
saying	VVG	say
they	PP	they
hadn't	NNS	hadn't
been	VBN	be
in	IN	in
contact	NN	contact
since	IN	since
October	NP	October
7th	JJ	7th
others	NNS	other
saying	VVG	say
that	IN/that	that
they	PP	they
had	VHD	have
received	VVN	receive
information	NN	information
that	IN/that	that
the	DT	the
conditions	NNS	condition
have	VHP	have
uh	UH	uh
uh	UH	uh
deteriorated	VVN	deteriorate
and	CC	and
that	IN/that	that
basically	RB	basically
uh	UH	uh
there's	RB	there's
a	DT	a
Revenge	NN	revenge
coming	VVG	come
caign	NNS	caign
against	IN	against
those	DT	those
dayes	NN	dayes
that	WDT	that
is	VBZ	be
happening	VVG	happen
at	IN	at
the	DT	the
moment	NN	moment
at	IN	at
outside	NN	outside
of	IN	of
the	DT	the
prison	NN	prison
people	NNS	people
Palestinians	NNS	Palestinian
are	VBP	be
afraid	JJ	afraid
pans	NNS	pan
are	VBP	be
afraid	JJ	afraid
that	IN/that	that
they	PP	they
will	MD	will
be	VB	be
targeted	VVN	target
in	IN	in
these	DT	these
sort	NN	sort
of	IN	of
individual	JJ	individual
attacks	NNS	attack
thank	VVP	thank
you	PP	you
very	RB	very
much	JJ	much
Hoda	NP	Hoda
this	DT	this
is	VBZ	be
something	NN	something
that	DT	that
you've	NN	you've
been	VBN	be
reporting	VVG	report
us	PP	us
reporting	VVG	report
on	RP	on
and	CC	and
telling	VVG	tell
us	PP	us
about	IN	about
with	IN	with
your	PP$	your
uh	UH	uh
in	IN	in
your	PP$	your
various	JJ	various
reports	NNS	report
bringing	VVG	bring
us	PP	us
the	DT	the
voices	NNS	voice
of	IN	of
the	DT	the
Palestinians	NPS	Palestinians
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
that's	NP	that's
aljaz	NP	aljaz
HUD	NP	HUD
Abdul	NP	Abdul
Hamid	NP	Hamid
reporting	VVG	report
from	IN	from
romala	NN	romala
there	RB	there
</doc>	JJ	</doc>
