head	NN	head
'	POS	'
t	NN	t
want	VVP	want
to	TO	to
speak	VV	speak
to	TO	to
him	PP	him
so	IN	so
this	DT	this
is	VBZ	be
the	DT	the
way	NN	way
that	IN/that	that
the	DT	the
Secretary	NP	Secretary
General	NP	General
can	MD	can
speak	VV	speak
to	TO	to
the	DT	the
wider	JJR	wide
world	NN	world
and	CC	and
he	PP	he
hopes	VVZ	hope
that	IN/that	that
his	PP$	his
message	NN	message
is	VBZ	be
heard	VVN	hear
uh	UH	uh
everywhere	RB	everywhere
that	IN/that	that
it	PP	it
will	MD	will
make	VV	make
an	DT	an
impact	NN	impact
indeed	RB	indeed
uh	UH	uh
the	DT	the
Secretary	NP	Secretary
General	NP	General
was	VBD	be
also	RB	also
very	RB	very
clear	JJ	clear
on	IN	on
a	DT	a
sort	NN	sort
of	IN	of
De	NP	De
developing	VVG	develop
Story	NN	story
coming	VVG	come
out	RP	out
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
these	DT	these
issues	NNS	issue
of	IN	of
mass	JJ	mass
Graves	NP	Graves
which	WDT	which
are	VBP	be
now	RB	now
being	VBG	be
uncovered	VVN	uncover
yeah	RB	yeah
that	RB	that
'	''	'
s	NNS	s
right	JJ	right
he	PP	he
'	''	'
s	NNS	s
clearly	RB	clearly
very	RB	very
concerned	VVN	concern
about	IN	about
this	DT	this
we	PP	we
'	POS	'
ve	NN	ve
heard	VVD	hear
from	IN	from
the	DT	the
secretary	NN	secretary
General	NP	General
'	POS	'
s	NNS	s
spokesperson	NN	spokesperson
uh	UH	uh
talking	VVG	talk
about	IN	about
concerns	NNS	concern
over	IN	over
this	DT	this
over	IN	over
the	DT	the
last	JJ	last
week	NN	week
or	CC	or
so	RB	so
but	CC	but
this	DT	this
is	VBZ	be
the	DT	the
first	JJ	first
time	NN	time
we	PP	we
'	POS	'
ve	NN	ve
actually	RB	actually
heard	VVN	hear
from	IN	from
the	DT	the
Secretary	NP	Secretary
General	NP	General
himself	PP	himself
uh	UH	uh
and	CC	and
he	PP	he
cited	VVD	cite
390	CD	@card@
uh	UH	uh
bodies	NNS	body
reportedly	RB	reportedly
being	VBG	be
exuded	VVN	exude
from	IN	from
al	NP	al
-	NP	-
Nasser	NP	Nasser
hospital	NN	hospital
and	CC	and
now	RB	now
the	DT	the
Secretary	NP	Secretary
General	NP	General
clearly	RB	clearly
calling	VVG	call
for	IN	for
what	WP	what
he	PP	he
said	VVD	say
say	VV	say
an	DT	an
independent	JJ	independent
International	NP	International
investigation	NN	investigation
with	IN	with
forensic	JJ	forensic
expertise	NN	expertise
to	TO	to
be	VB	be
allowed	VVN	allow
into	IN	into
Gaza	NP	Gaza
uh	UH	uh
immediately	RB	immediately
to	TO	to
begin	VV	begin
this	DT	this
uh	UH	uh
process	NN	process
of	IN	of
an	DT	an
investigation	NN	investigation
on	IN	on
this	DT	this
Mass	NP	Mass
Graves	NP	Graves
to	TO	to
see	VV	see
who	WP	who
is	VBZ	be
responsible	JJ	responsible
the	DT	the
problem	NN	problem
of	IN	of
course	NN	course
is	VBZ	be
Israel	NP	Israel
controls	VVZ	control
access	NN	access
to	TO	to
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
without	IN	without
Israel	NP	Israel
'	POS	'
s	JJ	s
permission	NN	permission
it	PP	it
uh	UH	uh
is	VBZ	be
almost	RB	almost
impossible	JJ	impossible
to	TO	to
get	VV	get
experts	NNS	expert
in	IN	in
there	RB	there
but	CC	but
clearly	RB	clearly
uh	UH	uh
the	DT	the
Secretary	NP	Secretary
General	NP	General
is	VBZ	be
calling	VVG	call
on	IN	on
an	DT	an
international	JJ	international
inves	NNS	inves
ation	NN	ation
the	DT	the
issue	NN	issue
is	VBZ	be
Will	NP	Will
Israel	NP	Israel
agree	VVP	agree
to	TO	to
it	PP	it
and	CC	and
open	VV	open
their	PP$	their
borders	NNS	border
to	TO	to
it	PP	it
and	CC	and
what	WP	what
can	MD	can
the	DT	the
Secretary	NP	Secretary
General	NP	General
do	VVP	do
to	TO	to
put	VV	put
pressure	NN	pressure
on	IN	on
Israel	NP	Israel
uh	UH	uh
to	TO	to
accept	VV	accept
some	DT	some
sort	NN	sort
of	IN	of
international	JJ	international
independent	NN	independent
that	RB	that
'	POS	'
s	NN	S
a	DT	a
key	JJ	key
word	NN	word
independent	JJ	independent
investigation	NN	investigation
gab	NN	gab
under	IN	under
there	RB	there
at	IN	at
unhq	NP	unhq
in	IN	in
New	NP	New
York	NP	York
thank	VVP	thank
you	PP	you
make	VVP	make
sure	RB	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
aler	NN	aler
