<video_id>2DsGPCrVlSQ</video_id>	JJ	<video_id>2DsGPCrVlSQ</video_id>
past	JJ	past
week's	NN	week's
events	NNS	event
have	VHP	have
raised	VVN	raise
all	DT	all
manner	NN	manner
of	IN	of
tensions	NNS	tension
right	JJ	right
across	IN	across
the	DT	the
world	NN	world
it	PP	it
would	MD	would
seem	VV	seem
uh	UH	uh
especially	RB	especially
in	IN	in
the	DT	the
UK	NP	UK
okay	JJ	okay
yes	NN	yes
yeah	RB	yeah
and	CC	and
there	EX	there
are	VBP	be
I	PP	I
think	VVP	think
fears	NNS	fear
of	IN	of
tensions	NNS	tension
in	IN	in
the	DT	the
UK	NP	UK
as	IN	as
well	RB	well
the	DT	the
the	DT	the
police	NNS	police
are	VBP	be
out	RB	out
in	IN	in
force	NN	force
today	NN	today
to	TO	to
try	VV	try
and	CC	and
make	VV	make
sure	JJ	sure
that	IN/that	that
there's	RB	there's
no	DT	no
unrest	NN	unrest
of	IN	of
any	DT	any
type	NN	type
really	RB	really
so	RB	so
braan	JJ	braan
the	DT	the
UK	NP	UK
Home	NP	Home
Secretary	NP	Secretary
uh	UH	uh
I	PP	I
think	VVP	think
in	IN	in
a	DT	a
bid	NN	bid
to	TO	to
try	VV	try
and	CC	and
reassure	VV	reassure
the	DT	the
Jewish	JJ	Jewish
population	NN	population
in	IN	in
the	DT	the
UK	NP	UK
uh	UH	uh
that	IN/that	that
there	RB	there
shouldn't	NN	shouldn't
be	VB	be
any	DT	any
support	NN	support
for	IN	for
Hamas	NNS	Hamas
visible	JJ	visible
at	IN	at
least	JJS	least
uh	UH	uh
in	IN	in
or	CC	or
demonstrations	NNS	demonstration
like	IN	like
this	DT	this
has	VHZ	have
asked	VVN	ask
the	DT	the
police	NN	police
to	TO	to
try	VV	try
and	CC	and
make	VV	make
a	DT	a
call	NN	call
on	IN	on
whether	IN	whether
things	NNS	thing
like	IN	like
even	RB	even
the	DT	the
waving	VVG	wave
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
flag	NN	flag
might	MD	might
constitute	VV	constitute
a	DT	a
racially	RB	racially
aggravated	VVN	aggravate
offense	NN	offense
well	RB	well
the	DT	the
police	NNS	police
seem	VVP	seem
to	TO	to
have	VH	have
made	VVN	make
that	DT	that
call	NN	call
I	PP	I
think	VVP	think
they've	NN	they've
said	VVD	say
as	RB	as
much	RB	much
and	CC	and
you	PP	you
can	MD	can
see	VV	see
behind	IN	behind
me	PP	me
there	EX	there
are	VBP	be
numerous	JJ	numerous
Palestinian	JJ	Palestinian
Flags	NNS	flag
the	DT	the
police	NN	police
aren't	NN	aren't
making	VVG	make
any	DT	any
arrests	NNS	arrest
for	IN	for
that	DT	that
sort	NN	sort
of	IN	of
thing	NN	thing
at	IN	at
the	DT	the
moment	NN	moment
uh	UH	uh
Rory	NP	Rory
we're	NN	we're
just	RB	just
talking	VVG	talk
to	TO	to
the	DT	the
former	JJ	former
International	NP	International
Secretary	NP	Secretary
of	IN	of
State	NP	State
for	IN	for
International	NP	International
Development	NP	Development
uh	UH	uh
CLA	NP	CLA
Shaw	NP	Shaw
and	CC	and
she	PP	she
was	VBD	be
just	RB	just
talking	VVG	talk
about	IN	about
the	DT	the
UK	NP	UK
government	NN	government
other	JJ	other
governments	NNS	government
around	IN	around
the	DT	the
world	NN	world
just	RB	just
following	VVG	follow
the	DT	the
US	NP	US
lead	NN	lead
being	VBG	be
very	RB	very
strident	JJ	strident
in	IN	in
supporting	VVG	support
the	DT	the
Israelis	NPS	Israelis
without	IN	without
giving	VVG	give
any	DT	any
context	NN	context
to	TO	to
the	DT	the
situation	NN	situation
as	IN	as
if	IN	if
the	DT	the
whole	JJ	whole
events	NNS	event
just	RB	just
started	VVD	start
last	JJ	last
Saturday	NP	Saturday
that	WDT	that
is	VBZ	be
the	DT	the
picture	NN	picture
that	IN/that	that
you	PP	you
could	MD	could
describe	VV	describe
as	RB	as
far	RB	far
as	IN	as
UK	NP	UK
government	NN	government
is	VBZ	be
concerned	VVN	concern
well	RB	well
the	DT	the
UK	NP	UK
government	NN	government
is	VBZ	be
a	DT	a
sta	NP	sta
Ally	NP	Ally
of	IN	of
Israel	NP	Israel
has	VHZ	have
been	VBN	be
for	IN	for
for	IN	for
many	JJ	many
many	JJ	many
years	NNS	year
and	CC	and
that	DT	that
is	VBZ	be
not	RB	not
changing	VVG	change
um	NNS	um
but	CC	but
of	IN	of
course	NN	course
it	PP	it
is	VBZ	be
trying	VVG	try
trying	VVG	try
to	TO	to
uh	UH	uh
you	PP	you
know	VVP	know
sort	RB	sort
of	IN	of
take	VV	take
take	VV	take
as	RB	as
balanced	VVN	balance
a	DT	a
view	NN	view
as	IN	as
it	PP	it
sees	VVZ	see
fit	NN	fit
within	IN	within
its	PP$	its
own	JJ	own
position	NN	position
on	IN	on
geopolitics	NNS	geopolitics
and	CC	and
with	IN	with
it	PP	it
within	IN	within
its	PP$	its
own	JJ	own
position	NN	position
towards	IN	towards
the	DT	the
population	NN	population
of	IN	of
this	DT	this
country	NN	country
clearly	RB	clearly
there	EX	there
are	VBP	be
large	JJ	large
uh	UH	uh
Muslim	JJ	Muslim
parts	NNS	part
of	IN	of
the	DT	the
UK	NP	UK
population	NN	population
clearly	RB	clearly
there	EX	there
are	VBP	be
Jewish	JJ	Jewish
parts	NNS	part
of	IN	of
of	IN	of
the	DT	the
UK	NP	UK
population	NN	population
as	IN	as
well	RB	well
but	CC	but
I	PP	I
think	VVP	think
for	IN	for
many	JJ	many
people	NNS	people
here	RB	here
they	PP	they
think	VVP	think
that	IN/that	that
the	DT	the
British	JJ	British
government	NN	government
is	VBZ	be
well	RB	well
and	CC	and
truly	RB	truly
on	IN	on
the	DT	the
wrong	JJ	wrong
side	NN	side
that	IN/that	that
they	PP	they
are	VBP	be
giving	VVG	give
far	RB	far
too	RB	too
much	JJ	much
support	NN	support
for	IN	for
Israel	NP	Israel
uh	UH	uh
they	PP	they
should	MD	should
be	VB	be
much	RB	much
much	RB	much
more	RBR	more
critical	JJ	critical
of	IN	of
Israeli	JJ	Israeli
uh	UH	uh
Israeli	JJ	Israeli
policy	NN	policy
in	IN	in
Gaza	NP	Gaza
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
are	VBP	be
layers	NNS	layer
bro	NN	bro
UK	NP	UK
are	VBP	be
layers	NNS	layer
thank	VVP	thank
you	PP	you
very	RB	very
much	JJ	much
UK	NP	UK
are	VBP	be
layers	NNS	layer
as	IN	as
you	PP	you
can	MD	can
see	VV	see
that's	NNS	that's
I	PP	I
think	VVP	think
expressing	VVG	express
my	PP$	my
that's	NNS	that's
expressing	VVG	express
my	PP$	my
point	NN	point
there	RB	there
that	IN/that	that
many	JJ	many
people	NNS	people
who	WP	who
the	DT	the
British	JJ	British
government	NN	government
is	VBZ	be
taking	VVG	take
the	DT	the
wrong	JJ	wrong
side	VV	side
uh	UH	uh
in	IN	in
the	DT	the
struggle	NN	struggle
of	IN	of
the	DT	the
Palestinians	NPS	Palestinians
and	CC	and
the	DT	the
Israeli	NP	Israeli
States	NPS	States
all	DT	all
right	JJ	right
Rory	NP	Rory
thanks	NNS	thanks
to	TO	to
that	WDT	that
emotions	NNS	emotion
uh	UH	uh
very	RB	very
high	JJ	high
about	IN	about
this	DT	this
whole	JJ	whole
thanks	NNS	thanks
very	RB	very
much	RB	much
</doc>	JJ	</doc>
