<video_id>1NUzHFvxgBQ</video_id>	JJ	<video_id>1NUzHFvxgBQ</video_id>
time	NN	time
being	VBG	be
within	IN	within
the	DT	the
field	NN	field
Dev	NP	Dev
velopment	NN	velopment
and	CC	and
since	IN	since
the	DT	the
occupation	NN	occupation
has	VHZ	have
knocked	VVN	knock
out	RP	out
the	DT	the
communication	NN	communication
system	NN	system
and	CC	and
the	DT	the
internet	NN	Internet
in	IN	in
Gaza	NP	Gaza
we	PP	we
said	VVD	say
that	IN/that	that
the	DT	the
occupation	NN	occupation
is	VBZ	be
intending	VVG	intend
to	TO	to
commit	VV	commit
more	JJR	more
massacres	NNS	massacre
against	IN	against
our	PP$	our
people	NNS	people
they	PP	they
have	VHP	have
done	VVN	do
that	IN/that	that
the	DT	the
occupation	NN	occupation
has	VHZ	have
done	VVN	do
that	IN/that	that
during	IN	during
the	DT	the
last	JJ	last
two	CD	two
days	NNS	day
they	PP	they
committed	VVD	commit
more	JJR	more
than	IN	than
60	CD	@card@
massacres	NNS	massacre
hundreds	NNS	hundred
have	VHP	have
lost	VVN	lose
their	PP$	their
lives	NNS	life
and	CC	and
hundreds	NNS	hundred
were	VBD	be
critically	RB	critically
injured	VVN	injure
the	DT	the
ambulances	NNS	ambulance
that	WDT	that
used	VVD	use
to	TO	to
go	VV	go
to	TO	to
aif	NN	aif
hospital	NN	hospital
were	VBD	be
full	JJ	full
with	IN	with
dead	JJ	dead
bodies	NNS	body
the	DT	the
next	JJ	next
day	NN	day
when	WRB	when
we	PP	we
have	VHP	have
the	DT	the
internet	NN	Internet
we	PP	we
have	VHP	have
seen	VVN	see
and	CC	and
you	PP	you
have	VHP	have
seen	VVN	see
the	DT	the
Massac	NP	Massac
and	CC	and
the	DT	the
consequences	NNS	consequence
of	IN	of
the	DT	the
massacres	NNS	massacre
hundreds	NNS	hundred
of	IN	of
Martyrs	NNS	martyr
and	CC	and
hundreds	NNS	hundred
of	IN	of
dead	JJ	dead
bodies	NNS	body
those	DT	those
people	NNS	people
lost	VVD	lose
their	PP$	their
lives	NNS	life
because	IN	because
of	IN	of
the	DT	the
so	RB	so
that's	JJ	that's
uh	UH	uh
Sal	NP	Sal
Maru	NP	Maru
the	DT	the
head	NN	head
of	IN	of
government	NN	government
media	NNS	medium
the	DT	the
government	NN	government
media	NNS	medium
office	NN	office
in	IN	in
Gaza	NP	Gaza
he's	NNS	he's
he	PP	he
was	VBD	be
speaking	VVG	speak
at	IN	at
shiffer	NN	shiffer
hospital	NN	hospital
it	PP	it
wasn't	VVD	wasn't
a	DT	a
representative	JJ	representative
shiffer	NN	shiffer
hospital	NN	hospital
it	PP	it
it	PP	it
was	VBD	be
a	DT	a
representative	NN	representative
the	DT	the
Gaza	NP	Gaza
media	NN	media
office	NN	office
saying	VVG	say
that	IN/that	that
Medical	NP	Medical
Teams	NNS	team
and	CC	and
I	PP	I
think	VVP	think
the	DT	the
number	NN	number
he	PP	he
said	VVD	say
was	VBD	be
160	CD	@card@
medical	JJ	medical
staff	NN	staff
have	VHP	have
lost	VVN	lose
their	PP$	their
lives	NNS	life
across	IN	across
the	DT	the
strip	NN	strip
a	DT	a
journalist	NN	journalist
35	CD	@card@
lives	NNS	life
lost	VVD	lose
he	PP	he
said	VVD	say
80	CD	@card@
government	NN	government
buildings	NNS	building
have	VHP	have
been	VBN	be
targeted	VVN	target
uh	UH	uh
the	DT	the
comm's	NNS	comm's
system	NN	system
has	VHZ	have
been	VBN	be
knocked	VVN	knock
out	RP	out
there	EX	there
are	VBP	be
hundreds	NNS	hundred
and	CC	and
hundreds	NNS	hundred
of	IN	of
dead	JJ	dead
bodies	NNS	body
</doc>	NN	</doc>
