<video_id>ZbwEHoJPv7E</video_id>	JJ	<video_id>ZbwEHoJPv7E</video_id>
this	DT	this
wall	NN	wall
to	TO	to
make	VV	make
them	PP	them
move	VV	move
as	RB	as
quickly	RB	quickly
as	IN	as
possible	JJ	possible
and	CC	and
as	RB	as
many	JJ	many
as	IN	as
possible	JJ	possible
now	RB	now
recently	RB	recently
it	PP	it
was	VBD	be
announced	VVN	announce
by	IN	by
Israel	NP	Israel
and	CC	and
by	IN	by
the	DT	the
United	NP	United
States	NPS	States
that	DT	that
humanitarian	JJ	humanitarian
Aid	NN	aid
would	MD	would
be	VB	be
allowed	VVN	allow
to	TO	to
enter	VV	enter
Gaza	NP	Gaza
and	CC	and
I	PP	I
know	VVP	know
that	IN/that	that
there	EX	there
is	VBZ	be
also	RB	also
an	DT	an
agreement	NN	agreement
between	IN	between
Egypt	NP	Egypt
and	CC	and
Israel	NP	Israel
to	TO	to
make	VV	make
it	PP	it
possible	JJ	possible
but	CC	but
these	DT	these
announcements	NNS	announcement
were	VBD	be
made	VVN	make
with	IN	with
some	DT	some
conditions	NNS	condition
and	CC	and
some	DT	some
restrictions	NNS	restriction
and	CC	and
so	RB	so
we	PP	we
are	VBP	be
now	RB	now
actively	RB	actively
engaging	JJ	engaging
with	IN	with
all	PDT	all
the	DT	the
parties	NNS	party
actively	RB	actively
engaging	VVG	engage
with	IN	with
Egypt	NP	Egypt
with	IN	with
Israel	NP	Israel
with	IN	with
us	PP	us
in	IN	in
order	NN	order
to	TO	to
make	VV	make
sure	JJ	sure
that	IN/that	that
we	PP	we
are	VBP	be
able	JJ	able
to	TO	to
clarify	VV	clarify
those	DT	those
conditions	NNS	condition
that	IN/that	that
we	PP	we
are	VBP	be
able	JJ	able
to	TO	to
limit	VV	limit
those	DT	those
restrictions	NNS	restriction
in	IN	in
order	NN	order
to	TO	to
have	VH	have
as	RB	as
soon	RB	soon
as	RB	as
possible	JJ	possible
these	DT	these
trucks	NNS	truck
moving	JJ	moving
to	TO	to
where	WRB	where
they	PP	they
are	VBP	be
needed	VVN	need
we	PP	we
need	VVP	need
we	PP	we
absolutely	RB	absolutely
need	VVP	need
to	TO	to
have	VH	have
these	DT	these
tracks	NNS	track
moving	VVG	move
as	RB	as
quickly	RB	quickly
as	IN	as
possible	JJ	possible
and	CC	and
as	RB	as
many	JJ	many
as	IN	as
necessary	JJ	necessary
but	CC	but
for	IN	for
that	IN/that	that
this	DT	this
must	MD	must
be	VB	be
a	DT	a
sustained	JJ	sustained
effort	NN	effort
we	PP	we
are	VBP	be
not	RB	not
looking	VVG	look
for	IN	for
a	DT	a
one	CD	one
Convoy	NN	convoy
to	TO	to
come	VV	come
we	PP	we
are	VBP	be
looking	VVG	look
for	IN	for
convoys	NNS	convoy
to	TO	to
be	VB	be
authorized	VVN	authorize
in	IN	in
a	DT	a
meaningful	JJ	meaningful
numbers	NNS	number
of	IN	of
trucks	NNS	truck
to	TO	to
go	VV	go
every	DT	every
day	NN	day
into	IN	into
Gaza	NP	Gaza
to	TO	to
provide	VV	provide
enough	JJ	enough
support	NN	support
to	TO	to
the	DT	the
Gaza	NP	Gaza
people	NNS	people
on	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
there	EX	there
are	VBP	be
requirements	NNS	requirement
of	IN	of
verification	NN	verification
but	CC	but
those	DT	those
verifications	NNS	verification
need	VVP	need
to	TO	to
be	VB	be
effective	JJ	effective
but	CC	but
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
those	DT	those
verifications	NNS	verification
need	VVP	need
to	TO	to
be	VB	be
done	VVN	do
in	IN	in
a	DT	a
way	NN	way
that	WDT	that
is	VBZ	be
practical	JJ	practical
and	CC	and
in	IN	in
a	DT	a
way	NN	way
that	WDT	that
is	VBZ	be
expedite	VV	expedite
on	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
we	PP	we
are	VBP	be
not	RB	not
in	IN	in
a	DT	a
No	NP	No
Man's	NP	Man's
Land	VVP	land
we	PP	we
are	VBP	be
in	IN	in
the	DT	the
land	NN	land
of	IN	of
a	DT	a
sovereign	JJ	sovereign
country	NN	country
Egypt	NP	Egypt
and	CC	and
it's	NNS	it's
essential	JJ	essential
to	TO	to
recognize	VV	recognize
the	DT	the
role	NN	role
of	IN	of
the	DT	the
Egyptian	JJ	Egyptian
institutions	NNS	institution
and	CC	and
namely	RB	namely
of	IN	of
the	DT	the
Egyptian	JJ	Egyptian
red	JJ	red
crescent	NN	crescent
and	CC	and
finally	RB	finally
for	IN	for
unra	NN	unra
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
distribute	VV	distribute
Aid	NN	aid
on	IN	on
that	DT	that
side	NN	side
it's	NNS	it's
necessary	JJ	necessary
that	WDT	that
unra	NN	unra
is	VBZ	be
Foo	NP	Foo
and	CC	and
so	RB	so
we	PP	we
need	VVP	need
to	TO	to
have	VH	have
the	DT	the
guarantee	NN	guarantee
that	IN/that	that
there	EX	there
will	MD	will
be	VB	be
enough	JJ	enough
foel	NN	foel
on	IN	on
the	DT	the
other	JJ	other
side	NN	side
to	TO	to
distribute	VV	distribute
Aid	NN	aid
to	TO	to
the	DT	the
people	NNS	people
in	IN	in
need	NN	need
so	IN	so
it	PP	it
is	VBZ	be
very	RB	very
clear	JJ	clear
that	DT	that
uh	UH	uh
it	PP	it
is	VBZ	be
abs	NNS	abs
absolutely	RB	absolutely
essential	JJ	essential
to	TO	to
solve	VV	solve
these	DT	these
problems	NNS	problem
quickly	RB	quickly
and	CC	and
I'm	NP	I'm
hopeful	JJ	hopeful
they	PP	they
will	MD	will
be	VB	be
solved	VVN	solve
quickly	RB	quickly
to	TO	to
make	VV	make
sure	JJ	sure
that	IN/that	that
there	EX	there
is	VBZ	be
massive	JJ	massive
support	NN	support
humanitarian	JJ	humanitarian
support	NN	support
to	TO	to
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
unfortunately	RB	unfortunately
this	DT	this
is	VBZ	be
not	RB	not
a	DT	a
normal	JJ	normal
humanitarian	JJ	humanitarian
operation	NN	operation
it's	NNS	it's
an	DT	an
operation	NN	operation
in	IN	in
a	DT	a
war	NN	war
zone	NN	zone
and	CC	and
that	DT	that
is	VBZ	be
the	DT	the
reason	NN	reason
why	WRB	why
I	PP	I
have	VHP	have
appaled	VVN	appaled
for	IN	for
a	DT	a
humanitarian	JJ	humanitarian
ceas	NNS	ceas
fire	NN	fire
not	RB	not
that	IN/that	that
I	PP	I
consider	VVP	consider
that	IN/that	that
humanitarian	JJ	humanitarian
his	PP$	his
fire	NN	fire
is	VBZ	be
a	DT	a
precondition	NN	precondition
for	IN	for
humanitarian	JJ	humanitarian
delivery	NN	delivery
we	PP	we
don't	VVD	don't
want	VV	want
to	TO	to
punish	VV	punish
the	DT	the
Gaza	NP	Gaza
people	NNS	people
Twice	RB	twice
first	RB	first
because	IN	because
of	IN	of
the	DT	the
war	NN	war
and	CC	and
second	JJ	second
because	IN	because
of	IN	of
the	DT	the
lack	NN	lack
of	IN	of
humanitarian	JJ	humanitarian
aid	NN	aid
but	CC	but
it	PP	it
is	VBZ	be
clear	JJ	clear
that	IN/that	that
humanitarian	JJ	humanitarian
C	NP	C
fire	NN	fire
would	MD	would
make	VV	make
uh	UH	uh
things	NNS	thing
much	RB	much
easier	JJR	easy
and	CC	and
much	RB	much
safer	JJR	safe
for	IN	for
everybody	NN	everybody
and	CC	and
I	PP	I
want	VVP	want
to	TO	to
end	VV	end
by	IN	by
expressing	VVG	express
my	PP$	my
deep	JJ	deep
gratitudes	NNS	gratitude
to	TO	to
the	DT	the
people	NNS	people
and	CC	and
the	DT	the
government	NN	government
of	IN	of
Egypt	NP	Egypt
Egypt	NP	Egypt
is	VBZ	be
today	RB	today
the	DT	the
fundamental	JJ	fundamental
pillar	NN	pillar
that	WDT	that
allows	VVZ	allow
hope	NN	hope
to	TO	to
exist	VV	exist
on	IN	on
that	DT	that
side	NN	side
of	IN	of
the	DT	the
Border	NP	Border
hope	VVP	hope
that	IN/that	that
these	DT	these
trucks	NNS	truck
will	MD	will
move	VV	move
to	TO	to
support	VV	support
them	PP	them
hope	VVP	hope
that	IN/that	that
the	DT	the
food	NN	food
Aid	NN	aid
and	CC	and
the	DT	the
medicines	NNS	medicine
I've	NN	I've
seen	VVN	see
in	IN	in
a	DT	a
train	NN	train
in	IN	in
a	DT	a
in	IN	in
a	DT	a
plane	NN	plane
that	WDT	that
has	VHZ	have
landed	VVN	land
will	MD	will
also	RB	also
go	VV	go
to	TO	to
the	DT	the
people	NNS	people
that	WDT	that
needs	VVZ	need
it	PP	it
hope	VVP	hope
that	IN/that	that
there	EX	there
will	MD	will
be	VB	be
a	DT	a
future	NN	future
and	CC	and
hope	VVP	hope
that	IN/that	that
one	CD	one
day	NN	day
there	RB	there
will	MD	will
be	VB	be
peace	NN	peace
with	IN	with
a	DT	a
two	CD	two
State	NN	state
solution	NN	solution
with	IN	with
Palestinians	NPS	Palestinians
and	CC	and
Israelis	NPS	Israelis
living	VVG	live
in	IN	in
peace	NN	peace
in	IN	in
two	CD	two
states	NNS	state
one	CD	one
side	NN	side
by	IN	by
the	DT	the
other	JJ	other
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
thank	VV	thank
you	PP	you
very	RB	very
much	JJ	much
</doc>	NN	</doc>
